geo,epidemic_affected_annual_number,time
mac,0,1982
mac,0,1983
mac,0,1984
mac,0,1985
mac,0,1986
mac,0,1987
mac,0,1988
mac,0,1989
mac,0,1990
mac,0,1991
mac,0,1992
mac,0,1993
mac,0,1994
mac,0,1995
mac,0,1996
mac,0,1997
mac,0,1998
mac,0,1999
mac,0,2000
mac,0,2001
mac,1,2002
mac,0,2003
mac,0,2004
mac,0,2005
mac,0,2006
mac,0,2007
mac,0,2008
mkd,0,1970
mkd,0,1971
mkd,0,1972
mkd,0,1974
mkd,0,1975
mkd,0,1976
mkd,0,1977
mkd,0,1978
mkd,0,1979
mkd,0,1980
mkd,0,1981
mkd,0,1982
mkd,0,1983
mkd,0,1984
mkd,0,1985
mkd,0,1986
mkd,0,1987
mkd,0,1988
mkd,0,1989
mkd,0,1990
mkd,0,1991
mkd,0,1992
mkd,0,1993
mkd,0,1994
mkd,0,1995
mkd,0,1996
mkd,0,1997
mkd,0,1998
mkd,0,1999
mkd,0,2000
mkd,0,2001
mkd,200,2002
mkd,0,2003
mkd,0,2004
mkd,0,2005
mkd,0,2006
mkd,0,2007
mkd,0,2008
mdg,0,1970
mdg,0,1971
mdg,0,1972
mdg,0,1974
mdg,0,1975
mdg,0,1976
mdg,0,1977
mdg,0,1978
mdg,0,1979
mdg,0,1980
mdg,0,1981
mdg,0,1982
mdg,0,1983
mdg,0,1984
mdg,0,1985
mdg,0,1986
mdg,0,1987
mdg,0,1988
mdg,0,1989
mdg,0,1990
mdg,0,1991
mdg,0,1992
mdg,0,1993
mdg,0,1994
mdg,0,1995
mdg,0,1996
mdg,0,1997
mdg,0,1998
mdg,19210,1999
mdg,0,2000
mdg,0,2001
mdg,22650,2002
mdg,0,2003
mdg,0,2004
mdg,0,2005
mdg,0,2006
mdg,0,2007
mdg,540,2008
mwi,0,1970
mwi,0,1971
mwi,0,1972
mwi,0,1974
mwi,0,1975
mwi,0,1976
mwi,0,1977
mwi,0,1978
mwi,0,1979
mwi,0,1980
mwi,0,1981
mwi,0,1982
mwi,0,1983
mwi,0,1984
mwi,0,1985
mwi,0,1986
mwi,0,1987
mwi,0,1988
mwi,479,1989
mwi,0,1990
mwi,0,1991
mwi,0,1992
mwi,0,1993
mwi,0,1994
mwi,0,1995
mwi,0,1996
mwi,632,1997
mwi,0,1998
mwi,0,1999
mwi,3406,2000
mwi,41400,2001
mwi,989,2002
mwi,0,2003
mwi,0,2004
mwi,0,2005
mwi,872,2006
mwi,0,2007
mwi,0,2008
mys,0,1970
mys,0,1971
mys,0,1972
mys,0,1974
mys,0,1975
mys,0,1976
mys,50,1977
mys,0,1978
mys,0,1979
mys,0,1980
mys,0,1981
