co2_intensity_of_economic_output_kg_co2_per_2005_ppp_of_gdp,geo,time
0.3999,dom,2001
0.4016,dom,2002
0.403,dom,2003
0.3697,dom,2004
0.3343,dom,2005
0.3182,dom,2006
0.3011,dom,2007
0.2894,dom,2008
0.2964,ecu,1980
0.3561,ecu,1981
0.4138,ecu,1982
0.4305,ecu,1983
0.4507,ecu,1984
0.4003,ecu,1985
0.3024,ecu,1986
0.3057,ecu,1987
0.3224,ecu,1988
0.3746,ecu,1989
0.3031,ecu,1990
0.2821,ecu,1991
0.376,ecu,1992
0.4066,ecu,1993
0.2189,ecu,1994
0.3599,ecu,1995
0.3681,ecu,1996
0.2706,ecu,1997
0.3223,ecu,1998
0.3292,ecu,1999
0.3152,ecu,2000
0.3351,ecu,2001
0.3357,ecu,2002
0.3492,ecu,2003
0.3467,ecu,2004
0.3352,ecu,2005
0.3259,ecu,2006
0.3307,ecu,2007
0.2677,ecu,2008
0.4187,egy,1980
0.4547,egy,1981
0.4587,egy,1982
0.4314,egy,1983
0.4547,egy,1984
0.4272,egy,1985
0.4854,egy,1986
0.475,egy,1987
0.4494,egy,1988
0.4146,egy,1989
0.4127,egy,1990
0.4232,egy,1991
0.4184,egy,1992
0.4661,egy,1993
0.4105,egy,1994
0.4402,egy,1995
0.4469,egy,1996
0.4492,egy,1997
0.4878,egy,1998
0.4716,egy,1999
0.5045,egy,2000
0.4325,egy,2001
0.4284,egy,2002
0.5185,egy,2003
0.5035,egy,2004
0.5241,egy,2005
0.5267,egy,2006
0.5225,egy,2007
0.5148,egy,2008
0.1048,slv,1980
0.1006,slv,1981
0.1035,slv,1982
0.1097,slv,1983
0.0914,slv,1984
0.1124,slv,1985
0.1124,slv,1986
0.1349,slv,1987
0.1336,slv,1988
0.1386,slv,1989
0.1337,slv,1990
0.1593,slv,1991
0.1572,slv,1992
0.1661,slv,1993
0.1784,slv,1994
0.1998,slv,1995
0.1822,slv,1996
0.2056,slv,1997
0.2,slv,1998
0.1895,slv,1999
0.1869,slv,2000
0.1904,slv,2001
0.1889,slv,2002
0.2003,slv,2003
0.1884,slv,2004
0.1844,slv,2005
0.1809,slv,2006
0.1854,slv,2007
0.1621,slv,2008
0.09431,gnq,1985
0.118,gnq,1986
0.1387,gnq,1987
0.1451,gnq,1988
0.1621,gnq,1989
0.1619,gnq,1990
0.2729,gnq,1991
0.2645,gnq,1992
0.1181,gnq,1993
0.04012,gnq,1994
0.1264,gnq,1995
0.08701,gnq,1996
0.1271,gnq,1997
0.05993,gnq,1998
0.1188,gnq,1999
0.1006,gnq,2000
0.4231,gnq,2001
0.5699,gnq,2002
0.6044,gnq,2003
0.3405,gnq,2004
0.3125,gnq,2005
0.3112,gnq,2006
0.2586,gnq,2007
0.2346,gnq,2008
0.08353,eri,1994
0.1316,eri,1995
0.1412,eri,1996
0.1984,eri,1997
0.2179,eri,1998
0.2287,eri,1999
0.2586,eri,2000
0.2461,eri,2001
0.2292,eri,2002
0.2825,eri,2003
0.2953,eri,2004
0.2866,eri,2005
0.2118,eri,2006
0.2157,eri,2007
0.171,eri,2008
1.994,est,1992
1.712,est,1993
1.743,est,1994
1.491,est,1995
1.594,est,1996
1.424,est,1997
1.245,est,1998
1.125,est,1999
1.033,est,2000
0.9776,est,2001
0.8766,est,2002
0.9247,est,2003
0.8764,est,2004
0.7839,est,2005
0.6881,est,2006
0.7577,est,2007
0.7317,est,2008
0.08578,eth,1981
0.06746,eth,1982
0.07761,eth,1983
0.0721,eth,1984
0.08847,eth,1985
0.09844,eth,1986
0.1008,eth,1987
0.1038,eth,1988
0.1102,eth,1989
0.1145,eth,1990
0.122,eth,1991
0.1327,eth,1992
0.2042,eth,1993
0.1151,eth,1994
0.07773,eth,1995
0.1198,eth,1996
0.1332,eth,1997
0.1622,eth,1998
0.1557,eth,1999
0.1686,eth,2000
0.1151,eth,2001
0.1179,eth,2002
0.133,eth,2003
0.123,eth,2004
0.1162,eth,2005
0.1145,eth,2006
0.1124,eth,2007
0.1099,eth,2008
0.3647,fji,1980
0.4663,fji,1981
0.385,fji,1982
0.3413,fji,1983
0.2568,fji,1984
0.2675,fji,1985
0.2593,fji,1986
0.2187,fji,1987
0.2517,fji,1988
0.2668,fji,1989
0.327,fji,1990
0.2773,fji,1991
0.284,fji,1992
0.2934,fji,1993
0.299,fji,1994
0.3124,fji,1995
0.3092,fji,1996
0.2607,fji,1997
0.2474,fji,1998
0.2594,fji,1999
0.2732,fji,2000
0.3487,fji,2001
0.2584,fji,2002
0.4942,fji,2003
0.5348,fji,2004
0.4599,fji,2005
0.4323,fji,2006
0.4064,fji,2007
0.3457,fji,2008
0.6821,fin,1980
0.5981,fin,1981
0.4829,fin,1982
0.4532,fin,1983
0.4446,fin,1984
0.505,fin,1985
0.5314,fin,1986
0.556,fin,1987
0.4759,fin,1988
0.4571,fin,1989
0.4415,fin,1990
0.5061,fin,1991
0.4693,fin,1992
0.5002,fin,1993
0.552,fin,1994
0.4676,fin,1995
0.5297,fin,1996
0.4882,fin,1997
0.4408,fin,1998
0.4126,fin,1999
0.3685,fin,2000
0.3899,fin,2001
0.4145,fin,2002
0.4582,fin,2003
0.4278,fin,2004
0.339,fin,2005
0.3928,fin,2006
0.3608,fin,2007
0.318,fin,2008
0.4521,fra,1980
0.4028,fra,1981
0.3779,fra,1982
0.3611,fra,1983
0.3412,fra,1984
0.3321,fra,1985
0.3124,fra,1986
0.2987,fra,1987
0.2814,fra,1988
0.2835,fra,1989
0.2822,fra,1990
0.2993,fra,1991
0.2738,fra,1992
0.2702,fra,1993
0.2509,fra,1994
0.2617,fra,1995
0.2687,fra,1996
0.2445,fra,1997
0.255,fra,1998
0.224,fra,1999
0.2127,fra,2000
0.2205,fra,2001
0.2154,fra,2002
0.2173,fra,2003
0.2133,fra,2004
0.2106,fra,2005
0.2005,fra,2006
0.1919,fra,2007
0.1935,fra,2008
0.5714,gab,1980
0.5389,gab,1981
0.5546,gab,1982
0.442,gab,1983
0.4466,gab,1984
0.4819,gab,1985
0.3821,gab,1986
0.3733,gab,1987
0.3565,gab,1988
0.4373,gab,1989
0.3489,gab,1990
0.1003,gab,1991
0.1492,gab,1992
0.2211,gab,1993
0.2178,gab,1994
0.2388,gab,1995
0.2111,gab,1996
0.2003,gab,1997
0.08908,gab,1998
0.08616,gab,1999
0.06429,gab,2000
0.1066,gab,2001
0.1067,gab,2002
0.07812,gab,2003
0.08556,gab,2004
0.1001,gab,2005
0.09874,gab,2006
0.1037,gab,2007
0.1268,gab,2008
0.2071,gmb,1980
0.2004,gmb,1981
0.2067,gmb,1982
0.1864,gmb,1983
0.1923,gmb,1984
0.1939,gmb,1985
0.1744,gmb,1986
0.1895,gmb,1987
0.1851,gmb,1988
0.1713,gmb,1989
0.1756,gmb,1990
0.1768,gmb,1991
0.171,gmb,1992
0.1753,gmb,1993
0.175,gmb,1994
0.1796,gmb,1995
0.1756,gmb,1996
0.1674,gmb,1997
0.1755,gmb,1998
0.1804,gmb,1999
0.1832,gmb,2000
0.1778,gmb,2001
0.2052,gmb,2002
0.192,gmb,2003
0.1836,gmb,2004
0.1852,gmb,2005
0.1907,gmb,2006
0.2129,gmb,2007
0.2094,gmb,2008
1.197,geo,1992
1.099,geo,1993
0.7494,geo,1994
0.2765,geo,1995
0.4391,geo,1996
0.4335,geo,1997
0.4701,geo,1998
0.4003,geo,1999
0.4103,geo,2000
0.3253,geo,2001
0.2773,geo,2002
0.278,geo,2003
0.2733,geo,2004
0.3006,geo,2005
0.3191,geo,2006
0.3115,geo,2007
0.2628,geo,2008
0.4447,deu,1991
0.4216,deu,1992
0.4181,deu,1993
0.4045,deu,1994
0.3969,deu,1995
0.4036,deu,1996
0.3865,deu,1997
0.3775,deu,1998
0.3411,deu,1999
0.3341,deu,2000
0.3384,deu,2001
0.3286,deu,2002
0.3317,deu,2003
0.3251,deu,2004
0.3155,deu,2005
0.3051,deu,2006
0.2865,deu,2007
0.2832,deu,2008
0.236,gha,1980
0.2912,gha,1981
0.3125,gha,1982
0.3933,gha,1983
0.2556,gha,1984
0.3134,gha,1985
0.2729,gha,1986
0.2808,gha,1987
0.2792,gha,1988
0.2575,gha,1989
0.2929,gha,1990
0.2863,gha,1991
0.2791,gha,1992
0.3031,gha,1993
0.319,gha,1994
0.3279,gha,1995
0.3326,gha,1996
0.3546,gha,1997
0.3394,gha,1998
0.3327,gha,1999
0.3081,gha,2000
0.3254,gha,2001
0.3337,gha,2002
0.3252,gha,2003
0.2949,gha,2004
0.2681,gha,2005
0.3362,gha,2006
0.3254,gha,2007
0.2676,gha,2008
0.313,grc,1980
0.3135,grc,1981
0.326,grc,1982
0.351,grc,1983
0.3535,grc,1984
0.3663,grc,1985
0.3555,grc,1986
0.3905,grc,1987
0.4011,grc,1988
0.4216,grc,1989
0.4133,grc,1990
0.3727,grc,1991
0.4133,grc,1992
0.4208,grc,1993
0.4274,grc,1994
0.423,grc,1995
0.4195,grc,1996
0.4258,grc,1997
0.4278,grc,1998
0.4081,grc,1999
0.413,grc,2000
0.4059,grc,2001
0.3918,grc,2002
0.378,grc,2003
0.3675,grc,2004
0.365,grc,2005
0.3409,grc,2006
0.3342,grc,2007
0.3333,grc,2008
0.1329,grd,1980
0.1622,grd,1981
0.1642,grd,1982
0.1595,grd,1983
0.1522,grd,1984
0.1491,grd,1985
0.1531,grd,1986
0.1515,grd,1987
0.1864,grd,1988
0.1883,grd,1989
0.1969,grd,1990
0.1925,grd,1991
0.2048,grd,1992
0.2344,grd,1993
0.2632,grd,1994
0.2681,grd,1995
0.2632,grd,1996
0.2935,grd,1997
0.2558,grd,1998
0.2503,grd,1999
0.2222,grd,2000
0.2478,grd,2001
0.2386,grd,2002
0.2312,grd,2003
0.2352,grd,2004
0.2277,grd,2005
0.2431,grd,2006
0.2299,grd,2007
0.2266,grd,2008
0.1655,gtm,1980
0.1447,gtm,1981
0.1371,gtm,1982
0.1233,gtm,1983
0.1321,gtm,1984
0.1369,gtm,1985
0.1435,gtm,1986
0.1496,gtm,1987
0.1487,gtm,1988
0.1473,gtm,1989
0.1711,gtm,1990
0.164,gtm,1991
0.1863,gtm,1992
0.1685,gtm,1993
0.1958,gtm,1994
0.1955,gtm,1995
0.1762,gtm,1996
0.1929,gtm,1997
0.2117,gtm,1998
0.2079,gtm,1999
0.2228,gtm,2000
0.2334,gtm,2001
0.2362,gtm,2002
0.2201,gtm,2003
0.224,gtm,2004
0.2353,gtm,2005
0.2258,gtm,2006
0.2234,gtm,2007
0.1994,gtm,2008
0.2394,gin,1986
0.2309,gin,1987
0.2244,gin,1988
0.2196,gin,1989
0.2127,gin,1990
0.2109,gin,1991
0.2042,gin,1992
0.1997,gin,1993
0.2138,gin,1994
0.208,gin,1995
0.2012,gin,1996
0.1934,gin,1997
0.1792,gin,1998
0.1752,gin,1999
0.173,gin,2000
0.1705,gin,2001
0.1676,gin,2002
0.1612,gin,2003
0.1575,gin,2004
0.155,gin,2005
0.1512,gin,2006
0.1518,gin,2007
0.145,gin,2008
0.1941,gnb,1980
0.1602,gnb,1981
0.1537,gnb,1982
0.1591,gnb,1983
0.1645,gnb,1984
0.1687,gnb,1985
0.1809,gnb,1986
0.1864,gnb,1987
0.1983,gnb,1988
0.1996,gnb,1989
0.206,gnb,1990
0.1989,gnb,1991
0.1995,gnb,1992
0.2092,gnb,1993
0.2027,gnb,1994
0.1967,gnb,1995
0.1786,gnb,1996
0.1806,gnb,1997
0.1764,gnb,1998
0.1858,gnb,1999
0.1393,gnb,2000
0.139,gnb,2001
0.158,gnb,2002
0.1883,gnb,2003
0.1925,gnb,2004
0.1899,gnb,2005
0.1936,gnb,2006
0.1951,gnb,2007
0.1866,gnb,2008
1.119,guy,1980
1.109,guy,1981
0.9967,guy,1982
0.9493,guy,1983
1.126,guy,1984
1.111,guy,1985
0.8257,guy,1986
1.025,guy,1987
1.142,guy,1988
1.023,guy,1989
1.006,guy,1990
0.934,guy,1991
0.8124,guy,1992
0.7533,guy,1993
0.8773,guy,1994
0.9275,guy,1995
0.8874,guy,1996
0.8754,guy,1997
0.9192,guy,1998
0.8907,guy,1999
0.865,guy,2000
0.8126,guy,2001
0.8197,guy,2002
0.8143,guy,2003
0.7579,guy,2004
0.8001,guy,2005
0.7666,guy,2006
0.7165,guy,2007
0.7024,guy,2008
0.09956,hti,1991
0.09586,hti,1992
0.07398,hti,1993
0.03806,hti,1994
0.1086,hti,1995
0.1209,hti,1996
0.1532,hti,1997
0.1299,hti,1998
0.1366,hti,1999
0.1391,hti,2000
0.1613,hti,2001
0.1882,hti,2002
0.1781,hti,2003
0.2115,hti,2004
0.217,hti,2005
0.2167,hti,2006
0.2373,hti,2007
0.2389,hti,2008
0.2011,hnd,1980
0.1738,hnd,1981
0.1705,hnd,1982
0.1954,hnd,1983
0.1859,hnd,1984
0.1712,hnd,1985
0.1647,hnd,1986
0.1828,hnd,1987
0.2012,hnd,1988
0.2101,hnd,1989
0.1995,hnd,1990
0.2011,hnd,1991
0.2171,hnd,1992
0.1892,hnd,1993
0.2246,hnd,1994
0.2509,hnd,1995
0.2472,hnd,1996
0.2472,hnd,1997
0.2686,hnd,1998
0.2792,hnd,1999
0.2802,hnd,2000
0.3097,hnd,2001
0.3182,hnd,2002
0.3383,hnd,2003
0.3466,hnd,2004
0.338,hnd,2005
0.3042,hnd,2006
0.3542,hnd,2007
0.3262,hnd,2008
0.236,hkg,1980
0.2422,hkg,1981
0.248,hkg,1982
0.2497,hkg,1983
0.2415,hkg,1984
0.2471,hkg,1985
0.2483,hkg,1986
0.2409,hkg,1987
0.2316,hkg,1988
0.2333,hkg,1989
0.2046,hkg,1990
0.2022,hkg,1991
0.2205,hkg,1992
0.2185,hkg,1993
0.1844,hkg,1994
0.1814,hkg,1995
0.1617,hkg,1996
0.1617,hkg,1997
0.2188,hkg,1998
0.2325,hkg,1999
0.2044,hkg,2000
0.1903,hkg,2001
0.1819,hkg,2002
0.1914,hkg,2003
0.1692,hkg,2004
0.1668,hkg,2005
0.1482,hkg,2006
0.1444,hkg,2007
0.1362,hkg,2008
0.7147,hun,1980
0.6928,hun,1981
0.6757,hun,1982
0.6883,hun,1983
0.6834,hun,1984
0.6493,hun,1985
0.6205,hun,1986
0.6027,hun,1987
0.559,hun,1988
0.5395,hun,1989
0.4628,hun,1990
0.529,hun,1991
0.5051,hun,1992
0.5202,hun,1993
0.488,hun,1994
0.4973,hun,1995
0.5184,hun,1996
0.4955,hun,1997
0.4688,hun,1998
0.4506,hun,1999
0.4101,hun,2000
0.3938,hun,2001
0.3703,hun,2002
0.3755,hun,2003
0.348,hun,2004
0.338,hun,2005
0.3217,hun,2006
0.3136,hun,2007
0.3041,hun,2008
0.3745,isl,1980
0.3373,isl,1981
0.3012,isl,1982
0.2979,isl,1983
0.3356,isl,1984
0.2914,isl,1985
0.3026,isl,1986
0.2805,isl,1987
0.2956,isl,1988
0.3005,isl,1989
0.3172,isl,1990
0.3106,isl,1991
0.3005,isl,1992
0.3121,isl,1993
0.304,isl,1994
0.2931,isl,1995
0.3189,isl,1996
0.2893,isl,1997
0.2717,isl,1998
0.2569,isl,1999
0.2576,isl,2000
0.2407,isl,2001
0.2484,isl,2002
0.2421,isl,2003
0.2313,isl,2004
0.2129,isl,2005
0.206,isl,2006
0.2036,isl,2007
0.1916,isl,2008
0.5664,ind,1980
0.5745,ind,1981
0.5903,ind,1982
0.5969,ind,1983
0.5946,ind,1984
0.6198,ind,1985
0.6343,ind,1986
0.6516,ind,1987
0.6416,ind,1988
0.6622,ind,1989
0.6536,ind,1990
0.691,ind,1991
0.6958,ind,1992
0.6901,ind,1993
0.6873,ind,1994
0.6796,ind,1995
0.6883,ind,1996
0.689,ind,1997
0.6662,ind,1998
0.6624,ind,1999
0.6602,ind,2000
0.6366,ind,2001
0.6252,ind,2002
0.6028,ind,2003
0.5848,ind,2004
0.5606,ind,2005
0.5469,ind,2006
0.5338,ind,2007
0.5498,ind,2008
0.4751,idn,1980
0.4642,idn,1981
0.4832,idn,1982
0.4436,idn,1983
0.4424,idn,1984
0.4621,idn,1985
0.4379,idn,1986
0.4214,idn,1987
0.4245,idn,1988
0.3856,idn,1989
0.404,idn,1990
0.4457,idn,1991
0.4685,idn,1992
0.4714,idn,1993
0.4439,idn,1994
0.4161,idn,1995
0.4353,idn,1996
0.4574,idn,1997
0.3971,idn,1998
0.4454,idn,1999
0.4611,idn,2000
0.4983,idn,2001
0.5006,idn,2002
0.491,idn,2003
0.5002,idn,2004
0.4769,idn,2005
0.4545,idn,2006
0.4659,idn,2007
0.4841,idn,2008
0.4364,irn,1980
0.4298,irn,1981
0.4653,irn,1982
0.4484,irn,1983
0.4583,irn,1984
0.4791,irn,1985
0.487,irn,1986
0.531,irn,1987
0.6254,irn,1988
0.6394,irn,1989
0.6677,irn,1990
0.6102,irn,1991
0.6197,irn,1992
0.5843,irn,1993
0.7576,irn,1994
0.7086,irn,1995
0.6656,irn,1996
0.6528,irn,1997
0.6912,irn,1998
0.6792,irn,1999
0.692,irn,2000
0.7026,irn,2001
0.6867,irn,2002
0.7044,irn,2003
0.7194,irn,2004
0.7131,irn,2005
0.7225,irn,2006
0.6891,irn,2007
0.7163,irn,2008
0.9801,irq,1997
0.7704,irq,1998
0.6165,irq,1999
0.6457,irq,2000
0.8143,irq,2001
0.9031,irq,2002
1.607,irq,2003
1.191,irq,2004
1.182,irq,2005
1.151,irq,2006
1.13,irq,2007
1.057,irq,2008
0.5844,irl,1980
0.5606,irl,1981
0.5377,irl,1982
0.5425,irl,1983
0.5163,irl,1984
0.5248,irl,1985
0.5782,irl,1986
0.569,irl,1987
0.5343,irl,1988
0.5011,irl,1989
0.4743,irl,1990
0.5065,irl,1991
0.4627,irl,1992
0.451,irl,1993
0.4456,irl,1994
0.409,irl,1995
0.4025,irl,1996
0.3769,irl,1997
0.3627,irl,1998
0.3444,irl,1999
0.322,irl,2000
0.3285,irl,2001
0.308,irl,2002
0.2905,irl,2003
0.2813,irl,2004
0.2671,irl,2005
0.253,irl,2006
0.2478,irl,2007
0.2507,irl,2008
0.3629,isr,1980
0.3462,isr,1981
0.386,isr,1982
0.3707,isr,1983
0.3644,isr,1984
0.3689,isr,1985
0.3769,isr,1986
0.3617,isr,1987
0.389,isr,1988
0.4076,isr,1989
0.4028,isr,1990
0.3828,isr,1991
0.4382,isr,1992
0.4517,isr,1993
0.4408,isr,1994
0.4756,isr,1995
0.4517,isr,1996
0.5117,isr,1997
0.4859,isr,1998
0.4657,isr,1999
0.4302,isr,2000
0.4514,isr,2001
0.4364,isr,2002
0.4433,isr,2003
0.4098,isr,2004
0.3653,isr,2005
0.3839,isr,2006
0.204,isr,2007
0.2002,isr,2008
0.3663,ita,1980
0.353,ita,1981
0.3438,ita,1982
0.3322,ita,1983
0.3274,ita,1984
0.3224,ita,1985
0.3087,ita,1986
0.3132,ita,1987
0.3053,ita,1988
0.3143,ita,1989
0.3149,ita,1990
0.3173,ita,1991
0.3142,ita,1992
0.3093,ita,1993
0.2953,ita,1994
0.3047,ita,1995
0.2949,ita,1996
0.2922,ita,1997
0.2943,ita,1998
0.287,ita,1999
0.2827,ita,2000
0.2781,ita,2001
0.2782,ita,2002
0.2901,ita,2003
0.2865,ita,2004
0.2844,ita,2005
0.2765,ita,2006
0.2667,ita,2007
0.2615,ita,2008
0.7759,jam,1980
0.6631,jam,1981
0.5449,jam,1982
0.5546,jam,1983
0.4493,jam,1984
0.454,jam,1985
0.4019,jam,1986
0.4408,jam,1987
0.3567,jam,1988
0.4945,jam,1989
0.5617,jam,1990
0.5498,jam,1991
0.5342,jam,1992
0.5075,jam,1993
0.5134,jam,1994
0.5638,jam,1995
0.5933,jam,1996
0.6256,jam,1997
0.5862,jam,1998
0.5827,jam,1999
0.61,jam,2000
0.6198,jam,2001
0.595,jam,2002
0.5897,jam,2003
0.5812,jam,2004
0.5438,jam,2005
0.6318,jam,2006
0.7161,jam,2007
0.6324,jam,2008
0.4563,jpn,1980
0.43,jpn,1981
0.4061,jpn,1982
0.3968,jpn,1983
0.4083,jpn,1984
0.3792,jpn,1985
0.3696,jpn,1986
0.3527,jpn,1987
0.3622,jpn,1988
0.3534,jpn,1989
0.3391,jpn,1990
0.33,jpn,1991
0.3342,jpn,1992
0.3292,jpn,1993
0.3456,jpn,1994
0.3421,jpn,1995
0.3394,jpn,1996
0.3331,jpn,1997
0.328,jpn,1998
0.3394,jpn,1999
0.336,jpn,2000
0.3306,jpn,2001
0.3337,jpn,2002
0.3346,jpn,2003
0.3315,jpn,2004
0.3197,jpn,2005
0.3117,jpn,2006
0.3093,jpn,2007
0.3022,jpn,2008
0.5513,jor,1980
0.6531,jor,1981
0.6527,jor,1982
0.7489,jor,1983
0.782,jor,1984
0.7728,jor,1985
0.7848,jor,1986
0.794,jor,1987
0.7798,jor,1988
0.8932,jor,1989
0.9967,jor,1990
0.9219,jor,1991
0.9726,jor,1992
0.917,jor,1993
0.9841,jor,1994
0.9215,jor,1995
0.9447,jor,1996
0.9293,jor,1997
0.91,jor,1998
0.8817,jor,1999
0.9003,jor,2000
0.8825,jor,2001
0.8803,jor,2002
0.8742,jor,2003
0.8869,jor,2004
0.8964,jor,2005
0.8189,jor,2006
0.7826,jor,2007
0.7234,jor,2008
2.675,kaz,1992
2.493,kaz,1993
2.573,kaz,1994
2.343,kaz,1995
1.967,kaz,1996
1.782,kaz,1997
1.753,kaz,1998
1.59,kaz,1999
1.588,kaz,2000
1.62,kaz,2001
1.515,kaz,2002
1.404,kaz,2003
1.433,kaz,2004
1.345,kaz,2005
1.317,kaz,2006
1.432,kaz,2007
1.444,kaz,2008
0.2771,ken,1980
0.2812,ken,1981
0.1992,ken,1982
0.1953,ken,1983
0.1779,ken,1984
0.1488,ken,1985
0.1533,ken,1986
0.1799,ken,1987
0.1568,ken,1988
0.1624,ken,1989
0.1748,ken,1990
0.1432,ken,1991
0.1653,ken,1992
0.1886,ken,1993
0.1899,ken,1994
0.2095,ken,1995
0.2484,ken,1996
0.2191,ken,1997
0.2575,ken,1998
0.2551,ken,1999
0.2598,ken,2000
0.2251,ken,2001
0.1904,ken,2002
0.1568,ken,2003
0.1684,ken,2004
0.1786,ken,2005
0.1878,ken,2006
0.1802,ken,2007
0.1876,ken,2008
0.2418,kir,1980
0.2505,kir,1981
0.2052,kir,1982
0.1614,kir,1983
0.1634,kir,1984
0.1713,kir,1985
0.1406,kir,1986
0.174,kir,1987
0.1472,kir,1988
0.1609,kir,1989
0.1576,kir,1990
0.1647,kir,1991
0.1596,kir,1992
0.1555,kir,1993
0.1482,kir,1994
0.1501,kir,1995
0.2359,kir,1996
0.1789,kir,1997
0.1814,kir,1998
0.159,kir,1999
0.1668,kir,2000
0.1338,kir,2001
0.126,kir,2002
0.1206,kir,2003
0.1195,kir,2004
0.1192,kir,2005
0.1337,kir,2006
0.1498,kir,2007
0.1346,kir,2008
0.636,kor,1980
0.6199,kor,1981
0.5863,kor,1982
0.5626,kor,1983
0.5654,kor,1984
0.5756,kor,1985
0.5322,kor,1986
0.5056,kor,1987
0.5267,kor,1988
0.5242,kor,1989
0.4997,kor,1990
0.5029,kor,1991
0.5071,kor,1992
0.5286,kor,1993
0.5228,kor,1994
0.5217,kor,1995
0.5273,kor,1996
0.5317,kor,1997
0.4908,kor,1998
0.4867,kor,1999
0.4912,kor,2000
0.4809,kor,2001
0.4746,kor,2002
0.4619,kor,2003
0.4571,kor,2004
0.4221,kor,2005
0.4082,kor,2006
0.4109,kor,2007
0.4105,kor,2008
0.4482,kwt,1980
0.5656,kwt,1981
0.5416,kwt,1982
0.5007,kwt,1983
0.6246,kwt,1984
0.6706,kwt,1985
0.7481,kwt,1986
0.6164,kwt,1987
0.7167,kwt,1988
0.6207,kwt,1989
0.3961,kwt,1992
0.493,kwt,1993
0.533,kwt,1994
0.7429,kwt,1995
0.6995,kwt,1996
0.7067,kwt,1997
0.7056,kwt,1998
0.7498,kwt,1999
0.794,kwt,2000
0.7354,kwt,2001
0.6827,kwt,2002
0.6804,kwt,2003
0.6963,kwt,2004
0.6991,kwt,2005
0.6193,kwt,2006
0.602,kwt,2007
1.235,kgz,1992
1.117,kgz,1993
1.02,kgz,1994
0.7963,kgz,1995
0.9289,kgz,1996
0.829,kgz,1997
0.8623,kgz,1998
0.6517,kgz,1999
0.6137,kgz,2000
0.4864,kgz,2001
0.6238,kgz,2002
0.6344,kgz,2003
0.6298,kgz,2004
0.5835,kgz,2005
0.5643,kgz,2006
0.6497,kgz,2007
0.5759,kgz,2008
0.06051,lao,1984
0.06335,lao,1985
0.0626,lao,1986
0.0635,lao,1987
0.0648,lao,1988
0.06372,lao,1989
0.05972,lao,1990
0.06173,lao,1991
0.06441,lao,1992
0.06082,lao,1993
0.06067,lao,1994
0.05945,lao,1995
0.09438,lao,1996
0.1186,lao,1997
0.142,lao,1998
0.1334,lao,1999
0.1481,lao,2000
0.1585,lao,2001
0.1652,lao,2002
0.1595,lao,2003
0.1544,lao,2004
0.1472,lao,2005
0.1443,lao,2006
0.1359,lao,2007
0.126,lao,2008
0.8797,lva,1992
0.7952,lva,1993
0.7266,lva,1994
0.6273,lva,1995
0.5989,lva,1996
0.4887,lva,1997
0.4419,lva,1998
0.3562,lva,1999
0.3049,lva,2000
0.3134,lva,2001
0.2857,lva,2002
0.284,lva,2003
0.2629,lva,2004
0.2392,lva,2005
0.2254,lva,2006
0.2141,lva,2007
0.2141,lva,2008
0.3296,lbn,1988
0.6021,lbn,1989
0.5379,lbn,1990
0.4063,lbn,1991
0.4649,lbn,1992
0.446,lbn,1993
0.4514,lbn,1994
0.4529,lbn,1995
0.4364,lbn,1996
0.5065,lbn,1997
0.5055,lbn,1998
0.521,lbn,1999
0.4755,lbn,2000
0.4829,lbn,2001
0.4623,lbn,2002
0.5087,lbn,2003
0.4373,lbn,2004
0.4511,lbn,2005
0.3842,lbn,2006
0.3687,lbn,2007
0.3721,lbn,2008
0.606,lbr,1980
0.5881,lbr,1981
0.1869,lbr,1982
0.2253,lbr,1983
0.2266,lbr,1984
0.2357,lbr,1985
0.2422,lbr,1986
0.2569,lbr,1987
0.2799,lbr,1988
0.3115,lbr,1989
0.4613,lbr,1990
0.3178,lbr,1991
0.4959,lbr,1992
0.8241,lbr,1993
1.041,lbr,1994
1.138,lbr,1995
1.048,lbr,1996
0.5244,lbr,1997
0.4418,lbr,1998
0.3765,lbr,1999
0.3211,lbr,2000
0.3592,lbr,2001
0.3464,lbr,2002
0.5337,lbr,2003
0.6134,lbr,2004
0.6881,lbr,2005
0.6541,lbr,2006
0.5344,lbr,2007
0.4477,lbr,2008
0.7417,lby,1999
0.7535,lby,2000
0.8082,lby,2001
0.7636,lby,2002
0.6976,lby,2003
0.6839,lby,2004
0.6442,lby,2005
0.628,lby,2006
0.5971,lby,2007
0.6191,lby,2008
0.6453,ltu,1992
0.6083,ltu,1993
0.6689,ltu,1994
0.6045,ltu,1995
0.558,ltu,1996
0.5062,ltu,1997
0.4967,ltu,1998
0.4244,ltu,1999
0.3663,ltu,2000
0.3634,ltu,2001
0.3477,ltu,2002
0.3083,ltu,2003
0.2964,ltu,2004
0.2888,ltu,2005
0.2734,ltu,2006
0.2636,ltu,2007
0.256,ltu,2008
1.097,lux,1980
0.943,lux,1981
0.8762,lux,1982
0.7962,lux,1983
0.8075,lux,1984
0.8065,lux,1985
0.7207,lux,1986
0.6651,lux,1987
0.6335,lux,1988
0.618,lux,1989
0.607,lux,1990
0.6003,lux,1991
0.6547,lux,1992
0.576,lux,1993
0.5239,lux,1994
0.422,lux,1995
0.4201,lux,1996
0.3721,lux,1997
0.3246,lux,1998
0.3129,lux,1999
0.3092,lux,2000
0.3142,lux,2001
0.3315,lux,2002
