geo,debt_servicing_costs_percent_of_exports_and_net_income_from_abroad,time
slb,9.853,2003
slb,13.09,2004
slb,9.06,2005
slb,2.381,2006
slb,5.867,2007
slb,5.223,2008
slb,4.0,2009
som,3.792,1977
som,2.866,1978
som,2.707,1979
som,6.3,1980
som,18.49,1981
som,7.903,1982
som,13.7,1983
som,20.06,1984
som,15.69,1985
som,65.75,1986
som,39.45,1987
som,9.202,1988
som,47.59,1989
zaf,9.368,1994
zaf,9.541,1995
zaf,11.58,1996
zaf,17.23,1997
zaf,12.17,1998
zaf,12.07,1999
zaf,9.773,2000
zaf,11.34,2001
zaf,12.29,2002
zaf,5.737,2003
zaf,3.971,2004
zaf,4.477,2005
zaf,6.503,2006
zaf,5.448,2007
zaf,4.343,2008
zaf,9.269,2009
lka,26.47,1975
lka,24.87,1976
lka,19.13,1977
lka,15.04,1978
lka,13.59,1979
lka,13.37,1980
lka,15.4,1981
lka,18.15,1982
lka,18.9,1983
lka,15.25,1984
lka,19.46,1985
lka,25.2,1986
lka,27.74,1987
lka,25.85,1988
lka,22.11,1989
lka,16.11,1990
lka,15.99,1991
lka,15.14,1992
lka,11.57,1993
lka,10.12,1994
lka,9.335,1995
lka,9.269,1996
lka,9.245,1997
lka,9.866,1998
lka,13.21,1999
lka,12.06,2000
lka,11.81,2001
lka,11.72,2002
lka,8.853,2003
lka,10.18,2004
lka,5.277,2005
lka,10.52,2006
lka,8.49,2007
lka,11.91,2008
lka,15.58,2009
sdn,13.23,1977
sdn,17.18,1978
sdn,16.18,1979
sdn,25.6,1980
sdn,24.0,1981
sdn,32.28,1982
sdn,27.93,1983
sdn,21.8,1984
sdn,17.97,1985
sdn,44.47,1986
sdn,21.11,1987
sdn,29.86,1988
sdn,11.61,1989
sdn,9.711,1990
sdn,5.797,1991
sdn,7.207,1992
sdn,5.384,1993
sdn,0.5363,1994
sdn,10.1,1995
sdn,7.067,1996
sdn,8.953,1997
sdn,9.789,1998
sdn,6.457,1999
sdn,13.31,2000
sdn,13.66,2001
sdn,6.848,2002
sdn,10.66,2003
sdn,8.469,2004
sdn,7.992,2005
sdn,5.492,2006
sdn,3.88,2007
sdn,2.984,2008
sdn,5.825,2009
swz,2.165,1974
swz,1.77,1975
swz,1.165,1976
swz,1.405,1977
swz,1.577,1978
swz,2.398,1979
swz,3.911,1980
swz,4.115,1981
swz,5.318,1982
swz,5.63,1983
swz,6.282,1984
swz,9.685,1985
swz,9.088,1986
swz,8.799,1987
swz,5.762,1988
swz,4.362,1989
swz,5.395,1990
swz,3.033,1991
swz,2.319,1992
swz,2.268,1993
swz,2.228,1994
swz,1.528,1995
swz,2.577,1996
swz,2.291,1997
swz,2.227,1998
swz,3.003,1999
swz,2.22,2000
swz,1.83,2001
swz,1.425,2002
swz,1.332,2003
swz,2.008,2004
swz,1.574,2005
swz,1.625,2006
swz,1.902,2007
swz,2.142,2009
syr,4.546,1995
syr,3.854,1996
syr,9.362,1997
syr,6.888,1998
syr,7.675,1999
syr,6.757,2000
syr,6.009,2001
syr,3.548,2008
tjk,12.43,2002
tjk,8.25,2003
tjk,8.096,2004
tjk,5.561,2005
tjk,4.048,2006
tjk,3.691,2007
tjk,7.116,2008
tjk,38.4,2009
tza,3.753,1976
tza,5.378,1977
tza,13.76,1978
tza,11.47,1979
tza,18.16,1980
tza,18.78,1981
tza,24.83,1982
tza,29.38,1983
tza,24.52,1984
tza,38.94,1985
tza,34.41,1986
tza,39.18,1987
tza,31.92,1988
tza,32.95,1989
tza,32.89,1990
tza,39.95,1991
tza,40.12,1992
tza,26.81,1993
tza,18.94,1994
tza,17.43,1995
tza,18.85,1996
tza,13.02,1997
tza,19.73,1998
tza,18.62,1999
tza,12.42,2000
tza,7.775,2001
tza,5.282,2002
tza,3.888,2003
tza,4.432,2004
tza,4.352,2005
tza,2.461,2006
tza,1.523,2007
tza,1.213,2008
tza,3.536,2009
tha,11.95,1975
tha,10.45,1976
tha,13.69,1977
tha,21.07,1978
tha,19.67,1979
tha,18.86,1980
tha,20.26,1981
tha,20.6,1982
tha,23.99,1983
tha,25.7,1984
tha,31.89,1985
tha,30.1,1986
tha,21.91,1987
tha,20.18,1988
tha,16.35,1989
tha,16.91,1990
tha,12.97,1991
tha,13.74,1992
tha,12.95,1993
tha,13.37,1994
tha,11.59,1995
tha,12.63,1996
tha,15.51,1997
tha,18.41,1998
tha,21.78,1999
tha,16.27,2000
tha,25.38,2001
tha,23.24,2002
tha,15.73,2003
tha,11.05,2004
tha,13.66,2005
tha,9.371,2006
tha,11.76,2007
tha,7.919,2008
tha,6.784,2009
tgo,3.623,1974
tgo,9.462,1975
tgo,12.16,1976
tgo,24.25,1977
tgo,18.71,1978
tgo,8.717,1979
tgo,9.177,1980
tgo,18.13,1981
tgo,18.82,1982
tgo,16.49,1983
tgo,23.71,1984
tgo,28.35,1985
tgo,29.27,1986
tgo,16.92,1987
tgo,23.41,1988
tgo,16.2,1989
tgo,12.31,1990
tgo,8.075,1991
tgo,6.226,1992
tgo,7.052,1993
tgo,5.608,1994
tgo,6.203,1995
tgo,9.661,1996
tgo,10.25,1997
tgo,7.549,1998
tgo,8.531,1999
tgo,6.521,2000
tgo,7.467,2001
tgo,2.689,2002
tgo,2.66,2003
tgo,2.735,2004
tgo,2.44,2005
tgo,2.975,2006
tgo,1.552,2007
tgo,16.14,2008
ton,3.216,1985
ton,3.548,1986
ton,3.502,1987
ton,3.998,1988
ton,3.059,1989
ton,3.486,1990
ton,4.352,1991
ton,4.694,1992
ton,4.458,1993
ton,8.306,2001
ton,7.187,2002
ton,6.917,2003
ton,8.817,2004
ton,8.223,2005
ton,9.236,2006
ton,9.15,2007
ton,9.079,2008
ton,7.698,2009
tun,7.548,1976
tun,13.4,1977
tun,15.52,1978
tun,14.51,1979
tun,16.23,1980
tun,16.73,1981
tun,18.13,1982
tun,21.59,1983
tun,25.24,1984
tun,27.5,1985
tun,31.95,1986
tun,32.86,1987
tun,24.6,1988
tun,24.75,1989
tun,27.01,1990
tun,26.43,1991
tun,21.94,1992
tun,23.08,1993
tun,20.87,1994
tun,18.27,1995
tun,17.84,1996
tun,17.13,1997
tun,16.69,1998
tun,17.36,1999
tun,21.91,2000
tun,14.3,2001
tun,15.35,2002
tun,14.5,2003
tun,15.65,2004
tun,13.59,2005
tun,15.49,2006
tun,12.1,2007
tun,7.816,2008
tun,10.12,2009
tur,12.37,1974
tur,18.66,1975
tur,23.24,1976
tur,41.59,1977
tur,47.91,1978
tur,45.15,1979
tur,43.77,1980
tur,39.86,1981
tur,37.44,1982
tur,39.5,1983
tur,33.04,1984
tur,40.3,1985
tur,40.96,1986
tur,41.2,1987
tur,41.92,1988
tur,37.57,1989
tur,33.8,1990
tur,36.07,1991
tur,35.9,1992
tur,31.62,1993
tur,34.1,1994
tur,30.08,1995
tur,23.35,1996
tur,22.3,1997
tur,26.4,1998
tur,38.89,1999
tur,38.89,2000
tur,42.36,2001
tur,48.51,2002
tur,38.72,2003
tur,34.52,2004
tur,38.31,2005
tur,33.55,2006
tur,32.5,2007
tur,29.88,2008
tur,41.6,2009
tkm,10.2,1996
tkm,22.11,1997
uga,17.35,1980
uga,24.94,1981
uga,18.21,1982
uga,23.4,1983
uga,30.34,1984
uga,41.68,1985
uga,40.72,1986
uga,47.93,1987
uga,75.69,1988
uga,67.63,1989
uga,81.36,1990
uga,74.8,1991
uga,59.66,1992
uga,51.46,1993
uga,27.5,1994
uga,19.84,1995
uga,18.2,1996
uga,20.17,1997
uga,20.8,1998
uga,18.31,1999
uga,10.33,2000
uga,6.944,2001
uga,9.694,2002
uga,9.757,2003
uga,8.854,2004
uga,10.88,2005
uga,5.625,2006
uga,2.468,2007
uga,2.069,2008
uga,1.951,2009
ukr,1.967,1994
ukr,6.557,1995
ukr,6.147,1996
ukr,6.612,1997
ukr,11.4,1998
ukr,16.33,1999
ukr,18.62,2000
ukr,11.3,2001
ukr,14.81,2002
ukr,13.45,2003
ukr,10.95,2004
ukr,12.94,2005
ukr,18.11,2006
ukr,17.47,2007
ukr,19.69,2008
ukr,36.16,2009
ury,64.52,1978
ury,11.95,1979
ury,18.78,1980
ury,16.16,1981
ury,30.45,1982
ury,27.16,1983
ury,36.36,1984
ury,42.59,1985
ury,31.75,1986
ury,36.5,1987
ury,39.06,1988
ury,29.52,1989
ury,40.83,1990
ury,33.08,1991
ury,18.35,1992
ury,19.49,1993
ury,15.17,1994
ury,22.05,1995
ury,15.5,1996
ury,15.63,1997
ury,23.64,1998
ury,24.66,1999
ury,27.24,2000
ury,35.12,2001
ury,40.13,2002
ury,26.36,2003
ury,29.07,2004
ury,34.28,2005
ury,86.72,2006
ury,15.71,2007
ury,14.72,2008
ury,21.01,2009
vut,0.8937,1982
vut,2.114,1983
vut,1.62,1984
vut,1.574,1985
vut,1.971,1986
vut,4.242,1987
vut,3.018,1988
vut,2.549,1989
vut,2.286,1990
vut,1.495,1991
vut,1.426,1992
vut,1.513,1993
vut,1.406,1994
vut,1.308,1995
vut,1.181,1996
vut,1.395,1997
vut,0.8422,1998
vut,1.0,1999
vut,1.065,2000
vut,0.9771,2001
vut,1.398,2002
vut,1.34,2003
vut,1.844,2004
vut,1.287,2005
vut,1.67,2006
vut,1.489,2007
ven,4.234,1970
ven,5.142,1971
ven,7.769,1972
ven,7.325,1973
ven,4.86,1974
ven,5.861,1975
ven,4.364,1976
ven,8.376,1977
ven,9.013,1978
ven,19.09,1979
ven,27.16,1980
ven,23.25,1981
ven,29.52,1982
ven,26.85,1983
ven,25.17,1984
ven,25.04,1985
ven,45.36,1986
ven,37.83,1987
ven,43.7,1988
ven,24.61,1989
ven,23.25,1990
ven,17.9,1991
ven,19.46,1992
ven,22.27,1993
ven,19.11,1994
ven,22.86,1995
ven,18.4,1996
ven,31.9,1997
ven,27.83,1998
ven,23.34,1999
ven,16.84,2000
ven,25.42,2001
ven,25.58,2002
ven,29.61,2003
ven,17.2,2004
ven,9.381,2005
ven,13.07,2006
ven,7.095,2007
ven,5.712,2008
ven,6.402,2009
vnm,4.107,1996
vnm,7.712,1997
vnm,9.052,1998
vnm,9.964,1999
vnm,7.491,2000
vnm,6.714,2001
vnm,6.035,2002
vnm,3.426,2003
vnm,2.695,2004
vnm,2.642,2005
vnm,2.13,2006
vnm,2.25,2007
vnm,1.88,2008
vnm,1.791,2009
yem,11.07,1990
yem,13.94,1991
yem,10.44,1992
yem,8.753,1993
yem,5.384,1994
yem,4.639,1995
yem,3.477,1996
yem,3.838,1997
yem,11.25,1998
yem,6.563,1999
yem,5.852,2000
yem,6.977,2001
yem,4.36,2002
yem,4.042,2003
yem,4.336,2004
yem,3.03,2005
yem,2.856,2006
yem,3.314,2007
yem,2.693,2008
zmb,31.17,1978
zmb,22.07,1979
zmb,25.23,1980
zmb,35.88,1981
zmb,30.93,1982
zmb,29.12,1983
zmb,24.98,1984
zmb,15.72,1985
zmb,52.08,1986
zmb,18.99,1987
zmb,15.11,1988
zmb,13.32,1989
zmb,14.73,1990
zmb,46.88,1991
zmb,19.37,1997
zmb,20.96,1998
zmb,16.09,1999
zmb,20.8,2000
zmb,17.19,2001
zmb,19.63,2002
zmb,43.46,2003
zmb,22.14,2004
zmb,11.11,2005
zmb,3.369,2006
zmb,2.514,2007
zmb,3.148,2008
zmb,3.753,2009
zwe,0.5896,1977
zwe,0.8094,1978
zwe,1.183,1979
zwe,3.802,1980
zwe,6.427,1981
zwe,13.22,1982
zwe,36.91,1983
zwe,26.16,1984
zwe,29.04,1985
zwe,31.14,1986
zwe,32.29,1987
zwe,28.48,1988
zwe,22.38,1989
zwe,23.15,1990
zwe,23.08,1991
zwe,32.3,1992
zwe,31.0,1993
zwe,25.2,1994
