suicide_age_30_44_per_100000_people,geo,time
13.45,jpn,1964
13.25,jpn,1965
13.98,jpn,1966
12.98,jpn,1967
13.22,jpn,1968
14.17,jpn,1969
14.85,jpn,1970
15.31,jpn,1971
16.53,jpn,1972
17.55,jpn,1973
18.51,jpn,1974
19.54,jpn,1975
19.33,jpn,1976
19.59,jpn,1977
19.61,jpn,1978
19.79,jpn,1979
19.61,jpn,1980
19.17,jpn,1981
19.56,jpn,1982
22.98,jpn,1983
21.83,jpn,1984
19.78,jpn,1985
21.04,jpn,1986
18.97,jpn,1987
17.49,jpn,1988
16.16,jpn,1989
14.94,jpn,1990
14.51,jpn,1991
15.3,jpn,1992
15.57,jpn,1993
15.48,jpn,1994
15.76,jpn,1995
16.16,jpn,1996
17.4,jpn,1997
22.5,jpn,1998
23.06,jpn,1999
21.94,jpn,2000
21.78,jpn,2001
22.67,jpn,2002
26.15,jpn,2003
24.36,jpn,2004
25.52,jpn,2005
24.54,jpn,2006
25.3,jpn,2007
25.84,jpn,2008
42.12,kaz,1981
39.11,kaz,1982
37.54,kaz,1985
25.07,kaz,1986
22.81,kaz,1987
23.56,kaz,1988
28.16,kaz,1989
27.06,kaz,1990
26.13,kaz,1991
28.76,kaz,1992
34.12,kaz,1993
33.81,kaz,1994
42.89,kaz,1995
46.33,kaz,1996
46.38,kaz,1997
41.35,kaz,1998
40.43,kaz,1999
44.79,kaz,2000
43.84,kaz,2001
40.39,kaz,2002
43.38,kaz,2003
45.11,kaz,2004
38.01,kaz,2005
38.3,kaz,2006
41.21,kaz,2007
38.44,kaz,2008
12.0,kor,1985
11.31,kor,1986
10.68,kor,1987
9.06,kor,1988
9.59,kor,1989
9.458,kor,1990
9.488,kor,1991
10.66,kor,1992
12.37,kor,1993
11.88,kor,1994
12.82,kor,1995
15.56,kor,1996
15.93,kor,1997
22.84,kor,1998
18.13,kor,1999
16.18,kor,2000
15.89,kor,2001
19.37,kor,2002
23.47,kor,2003
22.75,kor,2004
23.06,kor,2005
18.44,kor,2006
1.076,kwt,1972
0.646,kwt,1975
0.6055,kwt,1976
0.7946,kwt,1977
1.628,kwt,1978
0.3453,kwt,1979
1.338,kwt,1980
0.8647,kwt,1981
0.2947,kwt,1982
1.317,kwt,1983
1.954,kwt,1984
2.057,kwt,1985
1.445,kwt,1986
1.094,kwt,1987
2.448,kwt,1993
3.79,kwt,1994
1.46,kwt,1995
3.192,kwt,1996
2.53,kwt,1997
3.151,kwt,1998
4.421,kwt,1999
2.073,kwt,2000
2.488,kwt,2001
