geo,internal_renewable_water_cu_meters_per_person,time
jpn,3361.0,2007
jor,708.7,1962
jor,524.9,1967
jor,384.8,1972
jor,334.2,1977
jor,283.9,1982
jor,236.2,1987
jor,185.9,1992
jor,150.2,1997
jor,134.9,2002
jor,119.0,2007
kaz,4591.0,1992
kaz,4874.0,1997
kaz,5050.0,2002
kaz,4925.0,2007
ken,2395.0,1962
ken,2034.0,1967
ken,1710.0,1972
ken,1423.0,1977
ken,1178.0,1982
ken,978.7,1987
ken,827.3,1992
ken,715.9,1997
ken,628.9,2002
ken,566.3,2007
kgz,11640.0,1987
kgz,10370.0,1992
kgz,9833.0,1997
kgz,9185.0,2002
kgz,8833.0,2007
lao,91170.0,1962
lao,80560.0,1967
lao,70510.0,1972
lao,63730.0,1977
lao,58810.0,1982
lao,51130.0,1987
lao,44030.0,1992
lao,38710.0,1997
lao,35250.0,2002
lao,33060.0,2007
lva,6409.0,1992
lva,6875.0,1997
lva,7139.0,2002
lva,7313.0,2007
lbn,2389.0,1962
lbn,2099.0,1967
lbn,1866.0,1972
lbn,1731.0,1977
lbn,1700.0,1982
lbn,1656.0,1987
lbn,1520.0,1992
lbn,1322.0,1997
lbn,1241.0,2002
lbn,1184.0,2007
lso,5931.0,1962
lso,5386.0,1967
lso,4858.0,1972
lso,4346.0,1977
lso,3826.0,1982
lso,3420.0,1987
lso,3176.0,1992
lso,2926.0,1997
lso,2707.0,2002
lso,2622.0,2007
lbr,180300.0,1962
lbr,157200.0,1967
lbr,136100.0,1972
lbr,117500.0,1977
lbr,99640.0,1982
lbr,91270.0,1987
lbr,96550.0,1992
lbr,80760.0,1997
lbr,61600.0,2002
lbr,55880.0,2007
lby,413.4,1962
lby,341.1,1967
lby,276.5,1972
lby,223.7,1977
lby,177.5,1982
lby,146.9,1987
lby,131.9,1992
lby,119.3,1997
lby,107.8,2002
lby,99.36,2007
ltu,4213.0,1992
ltu,4349.0,1997
ltu,4487.0,2002
ltu,4566.0,2007
lux,3115.0,1962
lux,2988.0,1967
lux,2883.0,1972
lux,2757.0,1977
lux,2743.0,1982
lux,2695.0,1987
lux,2554.0,1992
lux,2379.0,1997
lux,2247.0,2002
lux,2168.0,2007
mdg,59690.0,1962
mdg,52560.0,1967
mdg,46150.0,1972
mdg,40400.0,1977
mdg,35160.0,1982
mdg,30510.0,1987
mdg,26420.0,1992
mdg,22760.0,1997
mdg,19660.0,2002
mdg,17590.0,2007
mwi,4366.0,1962
mwi,3867.0,1967
mwi,3366.0,1972
mwi,2860.0,1977
mwi,2465.0,1982
mwi,1982.0,1987
mwi,1648.0,1992
mwi,1522.0,1997
mwi,1316.0,2002
mwi,1189.0,2007
mys,66890.0,1962
mys,57750.0,1967
mys,50840.0,1972
mys,45200.0,1977
mys,40090.0,1982
mys,34920.0,1987
mys,30390.0,1992
mys,26770.0,1997
mys,23910.0,2002
mys,22210.0,2007
mdv,292.8,1962
mdv,264.1,1967
mdv,235.7,1972
mdv,206.8,1977
mdv,179.0,1982
mdv,153.2,1987
mdv,131.0,1992
mdv,116.0,1997
mdv,106.5,2002
mdv,99.9,2007
mli,14400.0,1962
mli,13100.0,1967
mli,11790.0,1972
mli,10550.0,1977
mli,9459.0,1982
mli,8423.0,1987
mli,7432.0,1992
mli,6514.0,1997
mli,5657.0,2002
mli,5013.0,2007
mlt,163.3,1962
mlt,166.4,1967
mlt,167.2,1972
mlt,162.6,1977
mlt,151.8,1982
mlt,143.9,1987
mlt,137.5,1992
mlt,132.0,1997
mlt,128.0,2002
mlt,124.8,2007
mrt,426.5,1962
mrt,375.9,1967
mrt,329.7,1972
mrt,288.4,1977
mrt,252.3,1982
mrt,221.8,1987
mrt,195.1,1992
mrt,169.9,1997
mrt,147.0,2002
mrt,131.4,2007
mus,3939.0,1962
mus,3506.0,1967
mus,3228.0,1972
mus,2983.0,1977
mus,2782.0,1982
mus,2669.0,1987
mus,2543.0,1992
mus,2391.0,1997
mus,2276.0,2002
mus,2198.0,2007
mex,10130.0,1962
mex,8645.0,1967
mex,7380.0,1972
mex,6367.0,1977
mex,5646.0,1982
mex,5134.0,1987
mex,4699.0,1992
mex,4296.0,1997
mex,4020.0,2002
mex,3883.0,2007
mng,34470.0,1962
mng,30130.0,1967
mng,26180.0,1972
mng,22730.0,1977
mng,19840.0,1982
mng,17110.0,1987
mng,15110.0,1992
mng,14350.0,1997
mng,13870.0,2002
mng,13360.0,2007
mar,2363.0,1962
mar,2057.0,1967
mar,1801.0,1972
mar,1597.0,1977
mar,1405.0,1982
mar,1242.0,1987
mar,1128.0,1992
mar,1046.0,1997
mar,983.2,2002
mar,939.9,2007
moz,12600.0,1962
moz,11340.0,1967
moz,10160.0,1972
moz,8950.0,1977
moz,7885.0,1982
moz,7510.0,1987
moz,7005.0,1992
moz,5943.0,1997
moz,5242.0,2002
moz,4783.0,2007
mmr,40040.0,1962
mmr,35830.0,1967
mmr,31760.0,1972
mmr,28200.0,1977
mmr,25380.0,1982
mmr,23070.0,1987
mmr,21280.0,1992
mmr,19880.0,1997
mmr,18830.0,2002
mmr,18200.0,2007
nam,9801.0,1962
nam,8652.0,1967
nam,7516.0,1972
nam,6599.0,1977
nam,5949.0,1982
nam,4982.0,1987
nam,4054.0,1992
nam,3517.0,1997
nam,3172.0,2002
nam,3010.0,2007
npl,19020.0,1962
npl,17330.0,1967
npl,15630.0,1972
npl,13990.0,1977
npl,12490.0,1982
npl,11130.0,1987
npl,9865.0,1992
npl,8706.0,1997
npl,7775.0,2002
npl,7170.0,2007
nld,931.6,1962
nld,872.7,1967
nld,826.7,1972
nld,792.5,1977
nld,769.8,1982
nld,750.3,1987
nld,725.9,1992
nld,702.8,1997
nld,683.1,2002
nld,671.6,2007
nzl,132000.0,1962
nzl,120900.0,1967
nzl,111500.0,1972
nzl,105200.0,1977
nzl,103700.0,1982
nzl,98940.0,1987
nzl,93070.0,1992
nzl,87210.0,1997
nzl,82820.0,2002
nzl,78990.0,2007
nic,101200.0,1962
nic,86980.0,1967
nic,74390.0,1972
nic,63670.0,1977
nic,55110.0,1982
nic,48890.0,1987
nic,43660.0,1992
nic,39080.0,1997
nic,36100.0,2002
nic,34300.0,2007
ner,1075.0,1962
ner,914.0,1967
ner,778.9,1972
ner,664.5,1977
ner,570.0,1982
ner,491.4,1987
ner,418.6,1992
ner,350.7,1997
ner,293.1,2002
ner,254.8,2007
nga,4982.0,1962
nga,4424.0,1967
nga,3912.0,1972
nga,3404.0,1977
nga,2941.0,1982
nga,2556.0,1987
nga,2208.0,1992
nga,1919.0,1997
nga,1683.0,2002
nga,1527.0,2007
nor,105000.0,1962
nor,100900.0,1967
nor,97090.0,1972
nor,94470.0,1977
nor,92910.0,1982
nor,91290.0,1987
nor,89130.0,1992
nor,86640.0,1997
nor,84000.0,2002
nor,81820.0,2007
pse,705.3,1962
pse,700.4,1967
pse,717.3,1972
pse,607.1,1977
pse,510.8,1982
pse,422.3,1987
pse,348.6,1992
pse,287.8,1997
pse,239.7,2002
pse,208.8,2007
omn,2358.0,1962
omn,2063.0,1967
omn,1741.0,1972
omn,1381.0,1977
omn,1060.0,1982
omn,846.0,1987
omn,707.8,1992
omn,613.7,1997
