geo,all_forms_of_tb_new_cases_per_100000_reported,time
fra,16,1988
fra,16,1989
fra,16,1990
fra,15,1991
fra,15,1992
fra,17,1993
fra,16,1994
fra,15,1995
fra,13,1996
fra,12,1997
fra,10,1998
fra,10,1999
fra,10,2000
fra,10,2001
fra,10,2002
fra,10,2003
fra,8,2004
fra,8,2005
fra,8,2006
fra,9,2007
pyf,50,1980
pyf,42,1981
pyf,41,1982
pyf,47,1983
pyf,47,1984
pyf,45,1985
pyf,48,1986
pyf,44,1987
pyf,34,1988
pyf,38,1989
pyf,30,1990
pyf,25,1991
pyf,41,1992
pyf,38,1993
pyf,42,1994
pyf,39,1996
pyf,41,1997
pyf,46,1998
pyf,40,1999
pyf,26,2000
pyf,26,2001
pyf,26,2002
pyf,20,2003
pyf,24,2004
pyf,25,2005
pyf,27,2006
pyf,24,2007
gab,124,1980
gab,111,1981
gab,103,1982
gab,98,1983
gab,83,1984
gab,105,1985
gab,92,1986
gab,100,1987
gab,80,1988
gab,98,1989
gab,100,1990
gab,96,1991
gab,95,1992
gab,97,1993
gab,101,1994
gab,106,1995
gab,88,1996
gab,129,1997
gab,122,1998
gab,138,1999
gab,208,2001
gab,170,2002
gab,177,2003
gab,204,2004
gab,195,2005
gab,233,2006
gab,283,2007
gmb,37,1980
gmb,9,1981
gmb,88,1995
gmb,103,1996
gmb,109,1997
gmb,121,1998
gmb,113,1999
gmb,126,2002
gmb,128,2003
gmb,136,2004
gmb,126,2005
gmb,108,2006
gmb,112,2007
geo,41,1980
geo,42,1981
geo,42,1982
geo,36,1983
geo,35,1984
geo,34,1985
geo,34,1986
geo,34,1987
geo,29,1988
geo,29,1989
geo,28,1990
geo,40,1992
geo,72,1993
geo,32,1995
geo,71,1996
geo,173,1997
geo,131,1998
geo,100,1999
geo,93,2000
geo,86,2001
geo,97,2002
geo,92,2003
geo,89,2004
geo,101,2005
geo,103,2006
geo,98,2007
deu,38,1980
deu,35,1981
deu,33,1982
deu,30,1983
deu,26,1984
deu,26,1985
deu,23,1986
deu,22,1987
deu,21,1988
deu,19,1989
deu,18,1990
deu,17,1991
deu,18,1992
deu,18,1993
deu,16,1994
deu,15,1995
deu,14,1996
deu,14,1997
deu,13,1998
deu,12,1999
deu,11,2000
deu,8,2001
deu,8,2002
deu,8,2003
deu,7,2004
deu,7,2005
deu,6,2006
deu,6,2007
gha,46,1980
gha,35,1981
gha,36,1982
gha,21,1983
gha,15,1984
gha,24,1985
gha,28,1986
gha,41,1987
gha,36,1988
gha,40,1989
gha,41,1990
gha,45,1991
gha,43,1992
gha,51,1993
gha,98,1994
gha,48,1995
gha,57,1996
gha,57,1997
gha,59,1998
gha,53,1999
gha,54,2000
gha,58,2001
gha,56,2002
gha,55,2003
gha,54,2004
gha,54,2005
gha,54,2006
gha,54,2007
grc,56,1980
grc,75,1981
grc,53,1982
grc,39,1983
grc,20,1984
grc,16,1985
grc,16,1986
grc,12,1987
grc,9,1988
grc,11,1989
grc,9,1990
grc,7,1991
grc,9,1992
grc,9,1995
grc,9,1996
grc,7,1997
grc,11,1998
grc,9,1999
grc,6,2000
grc,5,2001
grc,5,2002
grc,5,2003
grc,6,2004
grc,6,2005
grc,5,2006
grc,5,2007
grd,19,1980
grd,1,1981
grd,1,1982
grd,7,1983
grd,4,1984
grd,2,1985
grd,1,1986
grd,2,1987
grd,0,1988
grd,4,1989
grd,0,1990
grd,1,1991
grd,3,1992
grd,0,1993
grd,3,1994
grd,4,1995
grd,0,1996
grd,2,1997
grd,2,1998
grd,5,1999
grd,0,2000
grd,1,2002
grd,2,2003
grd,2,2004
grd,1,2006
grd,3,2007
gum,52,1980
gum,38,1981
gum,44,1982
gum,42,1983
gum,46,1984
gum,31,1985
gum,40,1986
gum,27,1987
gum,32,1988
gum,57,1989
gum,43,1992
gum,50,1993
gum,66,1994
gum,35,2000
gum,40,2001
gum,32,2002
gum,13,2003
gum,30,2004
gum,37,2005
gum,26,2006
gum,31,2007
gtm,80,1980
gtm,92,1981
gtm,99,1982
gtm,80,1983
gtm,85,1984
gtm,83,1985
gtm,59,1986
gtm,69,1987
gtm,68,1988
gtm,56,1989
gtm,43,1990
gtm,29,1991
gtm,27,1992
gtm,26,1993
gtm,26,1994
gtm,31,1995
gtm,32,1996
gtm,28,1997
gtm,26,1998
gtm,26,1999
gtm,26,2000
gtm,21,2001
gtm,25,2002
gtm,22,2003
gtm,27,2004
gtm,26,2005
gtm,28,2006
gtm,24,2007
gin,38,1981
gin,29,1982
gin,16,1983
gin,23,1984
gin,24,1985
gin,20,1986
gin,21,1987
gin,30,1988
gin,31,1989
gin,33,1990
gin,36,1991
gin,45,1992
gin,46,1993
gin,47,1994
gin,48,1995
gin,58,1996
gin,57,1997
gin,60,1998
gin,64,1999
gin,66,2000
gin,70,2001
gin,73,2002
gin,76,2003
gin,84,2004
gin,76,2005
gin,96,2006
gin,100,2007
gnb,81,1980
gnb,57,1981
gnb,25,1982
gnb,44,1983
gnb,42,1984
gnb,59,1985
gnb,144,1986
gnb,80,1987
gnb,81,1988
gnb,138,1989
gnb,114,1990
gnb,119,1991
gnb,98,1992
gnb,139,1993
gnb,143,1994
gnb,135,1995
gnb,137,1996
gnb,115,1997
gnb,65,1998
gnb,87,1999
gnb,93,2000
gnb,108,2002
gnb,110,2003
gnb,118,2004
gnb,111,2005
gnb,130,2006
guy,16,1980
guy,15,1981
guy,18,1982
guy,20,1983
guy,22,1984
guy,29,1985
guy,25,1986
guy,16,1987
guy,20,1988
guy,16,1989
guy,23,1990
guy,18,1991
guy,25,1992
guy,12,1993
guy,36,1994
guy,40,1995
guy,42,1996
guy,55,1997
guy,43,1998
guy,55,1999
guy,57,2000
guy,57,2001
guy,80,2002
guy,86,2003
guy,82,2004
guy,86,2005
guy,96,2006
guy,80,2007
hti,152,1980
hti,117,1981
hti,58,1982
hti,117,1983
hti,97,1984
hti,81,1985
hti,137,1986
hti,132,1987
hti,122,1988
hti,120,1989
hti,141,1991
hti,79,1995
hti,83,1996
hti,124,1997
hti,118,1998
hti,108,1999
hti,122,2000
hti,117,2001
hti,136,2002
hti,156,2003
hti,159,2004
hti,154,2005
hti,148,2006
hti,147,2007
hnd,47,1980
hnd,46,1981
hnd,45,1982
hnd,49,1983
hnd,52,1984
hnd,81,1985
hnd,98,1986
hnd,95,1987
hnd,86,1988
hnd,85,1989
hnd,75,1990
hnd,91,1991
hnd,80,1992
hnd,71,1993
hnd,79,1994
hnd,89,1995
hnd,73,1996
hnd,69,1997
hnd,83,1998
hnd,75,1999
hnd,103,2000
hnd,80,2001
hnd,70,2002
hnd,59,2003
hnd,54,2004
hnd,49,2005
hnd,46,2006
hnd,39,2007
hun,51,1980
hun,50,1981
hun,48,1982
hun,47,1983
hun,42,1984
hun,46,1985
hun,43,1986
hun,39,1987
hun,38,1988
hun,36,1989
hun,35,1990
hun,35,1991
hun,38,1992
hun,41,1993
hun,40,1994
hun,42,1995
hun,43,1996
hun,41,1997
hun,39,1998
hun,34,1999
hun,30,2000
hun,29,2001
hun,27,2002
hun,25,2003
hun,22,2004
hun,18,2005
hun,17,2006
hun,15,2007
isl,11,1980
isl,10,1981
isl,11,1982
isl,10,1983
isl,11,1984
isl,5,1985
isl,5,1986
isl,5,1987
isl,6,1988
isl,7,1989
isl,7,1990
isl,6,1991
isl,6,1992
isl,4,1993
isl,7,1994
isl,4,1995
isl,4,1996
isl,4,1997
isl,6,1998
isl,4,1999
isl,5,2000
isl,4,2001
isl,3,2002
isl,2,2003
isl,4,2004
isl,3,2005
isl,4,2006
isl,4,2007
ind,102,1980
ind,109,1981
ind,128,1982
ind,146,1983
ind,148,1984
ind,153,1985
ind,164,1986
ind,176,1987
ind,179,1988
ind,181,1989
ind,177,1990
ind,177,1991
ind,125,1992
ind,118,1993
ind,119,1994
ind,128,1995
ind,133,1996
ind,114,1997
ind,109,1998
ind,119,1999
ind,107,2000
ind,102,2001
ind,98,2002
ind,98,2003
ind,102,2004
ind,102,2005
ind,107,2006
ind,111,2007
idn,17,1980
idn,21,1981
idn,21,1982
idn,20,1983
idn,20,1984
idn,11,1985
idn,10,1986
idn,56,1988
idn,59,1989
idn,41,1990
idn,33,1991
idn,52,1992
idn,33,1993
idn,26,1994
idn,18,1995
idn,12,1996
idn,11,1997
idn,20,1998
idn,33,1999
idn,40,2000
idn,43,2001
idn,71,2002
idn,79,2003
idn,94,2004
idn,113,2005
idn,121,2006
idn,119,2007
irn,109,1980
irn,29,1981
irn,22,1982
irn,19,1983
irn,23,1984
irn,18,1985
irn,16,1986
irn,19,1987
irn,19,1988
irn,22,1989
irn,16,1990
irn,25,1991
irn,24,1992
irn,34,1993
irn,21,1994
irn,26,1995
irn,22,1996
irn,20,1997
irn,18,1998
irn,18,1999
irn,18,2000
irn,18,2001
irn,17,2002
irn,16,2003
irn,15,2004
irn,13,2005
irn,13,2006
irn,13,2007
irq,84,1980
irq,73,1981
irq,52,1982
irq,45,1983
irq,43,1984
irq,40,1985
irq,41,1986
irq,38,1987
irq,65,1988
irq,79,1989
irq,80,1990
irq,71,1991
irq,76,1992
irq,91,1993
irq,94,1994
irq,45,1995
irq,131,1996
irq,116,1997
irq,124,1998
irq,123,1999
irq,39,2000
irq,41,2001
irq,45,2002
irq,43,2003
irq,38,2004
irq,34,2005
irq,28,2006
irq,27,2007
irl,34,1980
irl,30,1981
irl,28,1982
irl,26,1983
irl,24,1984
irl,23,1985
irl,17,1986
irl,16,1987
irl,15,1988
irl,19,1989
irl,18,1990
irl,18,1991
irl,17,1992
irl,17,1993
irl,15,1994
irl,13,1995
irl,12,1996
irl,11,1997
irl,11,1998
irl,12,1999
irl,10,2000
irl,10,2001
irl,10,2002
irl,9,2003
irl,9,2004
irl,9,2005
irl,10,2006
irl,10,2007
isr,7,1980
isr,6,1981
isr,6,1982
isr,6,1983
isr,6,1984
isr,9,1985
isr,6,1986
isr,4,1987
isr,5,1988
isr,4,1989
isr,5,1990
isr,11,1991
isr,7,1992
isr,8,1993
isr,8,1994
isr,7,1995
isr,7,1996
isr,7,1997
isr,11,1998
isr,8,1999
isr,9,2000
isr,9,2001
isr,8,2002
isr,8,2003
isr,8,2004
isr,6,2005
isr,6,2006
isr,6,2007
ita,6,1980
ita,6,1981
ita,7,1982
ita,8,1983
ita,6,1984
ita,7,1985
ita,7,1986
ita,6,1987
ita,6,1988
ita,7,1989
ita,7,1990
ita,7,1991
ita,8,1992
ita,8,1993
ita,10,1994
ita,10,1995
ita,7,1996
ita,8,1997
ita,10,1998
ita,8,1999
ita,6,2000
ita,7,2001
ita,7,2002
ita,7,2003
ita,7,2004
ita,7,2005
ita,7,2006
ita,5,2007
jam,8,1980
jam,8,1981
jam,7,1982
jam,7,1983
jam,7,1984
jam,6,1985
jam,4,1986
jam,6,1987
jam,3,1988
jam,4,1989
jam,5,1990
jam,5,1991
jam,5,1992
jam,5,1993
jam,4,1994
jam,4,1995
jam,5,1996
jam,5,1997
jam,5,1998
jam,4,1999
jam,5,2000
jam,5,2001
jam,4,2002
jam,5,2003
jam,4,2004
jam,3,2005
jam,4,2006
jam,4,2007
jpn,61,1980
jpn,56,1981
jpn,54,1982
jpn,52,1983
jpn,51,1984
jpn,48,1985
jpn,47,1986
jpn,46,1987
jpn,44,1988
jpn,43,1989
jpn,42,1990
jpn,41,1991
jpn,39,1992
jpn,39,1993
jpn,36,1994
jpn,34,1995
jpn,33,1996
jpn,33,1997
jpn,35,1998
jpn,32,1999
jpn,31,2000
jpn,28,2001
jpn,26,2002
jpn,25,2003
jpn,23,2004
jpn,21,2005
jpn,20,2006
jpn,19,2007
jor,13,1980
jor,28,1981
jor,36,1982
jor,34,1983
jor,26,1984
jor,28,1985
jor,21,1986
jor,19,1987
jor,19,1988
jor,16,1989
jor,13,1990
jor,11,1991
jor,14,1992
jor,11,1993
jor,11,1994
jor,12,1995
jor,11,1996
jor,9,1997
jor,8,1998
jor,8,1999
jor,6,2000
jor,7,2001
jor,6,2002
jor,6,2003
jor,6,2004
jor,7,2005
jor,6,2006
jor,6,2007
kaz,97,1980
kaz,92,1981
kaz,91,1982
kaz,87,1983
kaz,81,1984
kaz,79,1985
kaz,82,1986
kaz,82,1987
kaz,83,1988
kaz,81,1989
kaz,66,1990
kaz,66,1991
kaz,66,1992
kaz,64,1993
kaz,65,1994
kaz,71,1995
kaz,89,1996
kaz,104,1997
kaz,135,1998
kaz,166,1999
kaz,173,2000
kaz,176,2001
kaz,184,2002
kaz,179,2003
kaz,175,2004
kaz,169,2005
kaz,155,2006
kaz,161,2007
ken,68,1980
ken,59,1981
ken,66,1983
ken,53,1985
ken,49,1986
ken,50,1987
ken,50,1988
ken,56,1989
ken,50,1990
ken,51,1991
ken,58,1992
ken,79,1993
ken,86,1994
ken,103,1995
ken,124,1996
ken,137,1997
ken,165,1998
ken,188,1999
ken,205,2000
ken,228,2001
ken,244,2002
ken,271,2003
ken,290,2004
ken,288,2005
ken,296,2006
ken,284,2007
kir,267,1980
kir,333,1981
kir,334,1982
kir,214,1983
kir,182,1984
kir,164,1985
kir,200,1986
kir,166,1987
kir,305,1988
kir,173,1989
kir,95,1990
kir,124,1991
kir,135,1992
kir,132,1993
kir,332,1994
kir,417,1996
kir,582,1997
kir,340,1998
kir,309,1999
kir,300,2000
kir,221,2001
kir,225,2002
kir,320,2003
kir,343,2004
kir,361,2005
kir,404,2006
kir,351,2007
kwt,62,1980
kwt,57,1981
kwt,59,1982
kwt,55,1983
kwt,50,1984
kwt,42,1985
kwt,33,1986
kwt,28,1987
kwt,23,1988
kwt,22,1989
kwt,13,1990
kwt,16,1991
kwt,14,1992
kwt,12,1993
kwt,13,1994
kwt,19,1995
kwt,23,1996
kwt,29,1997
kwt,29,1998
kwt,24,1999
kwt,23,2000
kwt,21,2001
kwt,24,2002
kwt,22,2003
kwt,21,2004
kwt,19,2005
kwt,23,2006
kwt,23,2007
kgz,54,1980
kgz,56,1981
kgz,54,1982
kgz,51,1983
kgz,51,1984
kgz,52,1985
kgz,52,1986
kgz,50,1987
kgz,51,1988
kgz,49,1989
kgz,52,1990
kgz,57,1991
kgz,58,1992
kgz,54,1993
kgz,60,1994
kgz,74,1995
kgz,88,1996
kgz,110,1997
kgz,119,1998
kgz,131,1999
kgz,125,2000
kgz,133,2001
kgz,131,2002
kgz,121,2003
kgz,118,2004
kgz,122,2005
kgz,117,2006
kgz,115,2007
lao,238,1980
lao,141,1982
lao,137,1983
lao,185,1984
lao,118,1985
lao,41,1986
lao,91,1987
lao,186,1988
lao,73,1989
lao,45,1990
lao,46,1991
lao,23,1992
lao,47,1993
lao,25,1994
lao,18,1995
lao,30,1996
lao,39,1997
lao,43,1998
lao,47,1999
lao,43,2000
lao,45,2001
lao,49,2002
lao,50,2003
lao,57,2004
lao,67,2005
lao,69,2006
lao,67,2007
lva,48,1980
lva,45,1981
lva,43,1982
lva,42,1983
lva,41,1984
lva,47,1985
lva,38,1986
lva,36,1987
lva,35,1988
lva,32,1989
lva,34,1990
lva,36,1991
lva,37,1992
lva,39,1993
lva,45,1994
lva,62,1995
lva,72,1996
lva,82,1997
lva,90,1998
lva,79,1999
lva,83,2000
lva,85,2001
lva,77,2002
lva,72,2003
lva,68,2004
lva,61,2005
lva,56,2006
lva,54,2007
lbn,2,1981
lbn,3,1982
lbn,10,1983
lbn,15,1984
lbn,70,1985
lbn,81,1986
lbn,90,1987
lbn,29,1991
lbn,28,1992
lbn,28,1994
lbn,28,1995
lbn,23,1996
lbn,19,1997
lbn,17,1998
lbn,18,1999
lbn,15,2000
lbn,14,2001
lbn,11,2002
lbn,10,2003
lbn,10,2004
lbn,10,2005
lbn,9,2006
lbn,12,2007
lso,316,1980
lso,289,1981
lso,362,1982
lso,246,1983
lso,203,1984
lso,199,1985
lso,1,1986
lso,15,1987
lso,151,1988
lso,157,1989
lso,158,1990
lso,184,1991
lso,202,1992
lso,203,1993
lso,256,1994
lso,301,1995
lso,319,1996
lso,361,1997
lso,428,1998
lso,461,1999
lso,517,2000
lso,523,2002
lso,616,2003
lso,580,2004
lso,545,2005
lso,605,2006
lso,115,2007
lbr,41,1980
lbr,52,1981
lbr,42,1982
lbr,43,1983
lbr,20,1985
lbr,11,1986
lbr,18,1987
lbr,41,1988
lbr,94,1992
lbr,86,1993
lbr,85,1994
lbr,65,1995
lbr,37,1996
lbr,65,1998
lbr,49,2000
lbr,55,2001
lbr,105,2002
lbr,76,2003
lbr,130,2004
lbr,100,2005
lbr,124,2006
lby,24,1980
lby,15,1981
lby,15,1982
lby,17,1983
lby,10,1984
lby,9,1985
lby,7,1986
lby,8,1987
lby,10,1988
lby,6,1989
lby,10,1990
lby,5,1991
lby,26,1992
lby,30,1995
lby,26,1996
lby,31,1998
lby,31,1999
lby,25,2000
lby,33,2002
lby,34,2003
lby,29,2004
lby,35,2005
lby,33,2006
lby,34,2007
ltu,48,1980
ltu,47,1981
ltu,43,1982
ltu,42,1983
ltu,40,1984
ltu,41,1985
ltu,39,1986
ltu,38,1987
ltu,37,1988
ltu,38,1989
ltu,40,1990
ltu,42,1991
ltu,43,1992
ltu,52,1993
ltu,58,1994
ltu,65,1995
ltu,72,1996
ltu,82,1997
ltu,85,1998
ltu,79,1999
ltu,76,2000
ltu,75,2001
ltu,70,2002
ltu,75,2003
ltu,59,2004
ltu,62,2005
ltu,69,2006
ltu,66,2007
lux,20,1980
lux,12,1981
lux,11,1982
lux,11,1983
lux,13,1984
lux,11,1985
lux,12,1986
lux,13,1987
lux,4,1988
lux,12,1989
lux,13,1990
lux,12,1991
lux,6,1992
lux,9,1993
lux,8,1994
lux,8,1995
lux,10,1996
lux,9,1997
lux,10,1998
lux,9,1999
lux,10,2000
lux,7,2001
lux,7,2002
lux,12,2003
lux,7,2004
lux,8,2005
lux,7,2006
lux,8,2007
mdg,100,1980
mdg,80,1981
mdg,37,1982
mdg,36,1983
mdg,85,1984
mdg,31,1985
mdg,35,1986
mdg,36,1987
mdg,39,1988
mdg,46,1989
mdg,52,1990
mdg,49,1991
mdg,64,1992
mdg,75,1993
mdg,79,1994
mdg,155,1995
mdg,88,1996
mdg,96,1998
mdg,99,2001
mdg,98,2002
mdg,109,2003
mdg,110,2004
mdg,102,2005
mdg,115,2006
mdg,111,2007
mwi,77,1980
mwi,79,1981
mwi,68,1982
mwi,70,1983
mwi,63,1984
mwi,74,1985
mwi,82,1986
mwi,93,1987
mwi,97,1988
mwi,104,1989
mwi,131,1990
mwi,152,1991
mwi,145,1992
mwi,173,1993
mwi,196,1994
mwi,190,1995
mwi,200,1996
mwi,195,1997
mwi,207,1998
mwi,216,1999
mwi,203,2000
mwi,218,2001
mwi,201,2002
mwi,206,2003
mwi,210,2004
mwi,193,2005
mwi,185,2006
mwi,176,2007
mys,82,1980
mys,78,1981
mys,82,1982
mys,78,1983
mys,69,1984
mys,67,1985
mys,67,1986
mys,67,1987
mys,65,1988
mys,61,1989
mys,65,1990
mys,59,1991
mys,60,1992
mys,63,1993
mys,58,1994
mys,57,1995
mys,60,1996
mys,62,1997
mys,64,1998
mys,66,1999
mys,65,2000
mys,62,2001
mys,59,2002
mys,63,2003
mys,59,2004
mys,60,2005
mys,61,2006
mys,61,2007
mdv,46,1980
mdv,69,1981
mdv,66,1982
mdv,83,1983
mdv,69,1984
mdv,50,1985
mdv,59,1986
mdv,59,1987
mdv,42,1988
mdv,97,1989
mdv,70,1990
mdv,55,1991
mdv,40,1992
mdv,74,1993
mdv,103,1994
mdv,93,1995
mdv,84,1996
mdv,67,1997
mdv,67,1998
mdv,57,1999
mdv,48,2000
mdv,50,2001
mdv,44,2002
mdv,48,2003
mdv,41,2004
mdv,41,2005
mdv,33,2006
mdv,42,2007
mli,12,1980
mli,13,1981
mli,3,1982
mli,7,1983
mli,24,1984
mli,21,1985
mli,23,1986
mli,31,1987
mli,30,1988
mli,19,1989
mli,38,1990
mli,33,1991
mli,39,1992
mli,39,1993
mli,36,1994
mli,35,1995
mli,41,1996
mli,55,1997
mli,44,1998
mli,46,1999
mli,42,2000
mli,42,2002
mli,41,2003
mli,40,2004
mli,40,2005
mli,42,2006
mli,42,2007
mlt,7,1980
mlt,8,1981
mlt,4,1982
mlt,7,1983
mlt,4,1984
mlt,3,1985
mlt,4,1986
mlt,4,1987
mlt,3,1988
mlt,4,1989
mlt,4,1990
mlt,7,1991
mlt,8,1992
mlt,7,1993
mlt,7,1994
mlt,3,1995
mlt,7,1996
mlt,3,1997
mlt,4,1998
mlt,6,1999
mlt,4,2000
mlt,4,2001
mlt,6,2002
mlt,2,2003
mlt,4,2004
mlt,5,2005
mlt,7,2006
mlt,9,2007
mrt,471,1980
mrt,572,1981
mrt,138,1982
mrt,135,1983
mrt,225,1984
mrt,243,1985
mrt,122,1986
mrt,196,1987
mrt,203,1988
mrt,204,1989
mrt,272,1990
mrt,153,1991
mrt,211,1992
mrt,190,1993
mrt,173,1995
mrt,168,1996
mrt,161,1997
mrt,149,1998
mrt,146,1999
mrt,120,2000
mrt,115,2004
mrt,73,2005
mrt,89,2006
mrt,95,2007
mus,14,1980
mus,16,1981
mus,12,1982
mus,15,1983
mus,12,1984
mus,11,1985
mus,12,1986
mus,11,1987
mus,11,1988
mus,12,1989
mus,11,1990
mus,13,1991
mus,12,1992
mus,15,1993
mus,13,1994
mus,12,1995
mus,10,1996
mus,11,1997
mus,10,1998
mus,13,1999
mus,13,2000
mus,10,2001
mus,12,2002
mus,11,2003
mus,11,2004
mus,10,2005
mus,9,2006
mus,8,2007
mex,46,1980
mex,47,1981
mex,35,1982
mex,31,1983
mex,20,1984
mex,20,1985
mex,17,1986
mex,18,1987
mex,19,1988
mex,19,1989
mex,17,1990
mex,18,1991
mex,17,1992
mex,17,1993
mex,18,1994
mex,12,1995
mex,22,1996
mex,25,1997
mex,22,1998
mex,20,1999
mex,18,2000
mex,19,2001
mex,17,2002
mex,17,2003
mex,15,2004
mex,18,2005
mex,17,2006
mex,17,2007
fsm,86,1982
fsm,91,1983
fsm,90,1984
fsm,77,1985
fsm,68,1986
fsm,109,1987
fsm,84,1988
fsm,72,1989
fsm,381,1990
fsm,354,1991
fsm,110,1992
fsm,146,1993
fsm,163,1994
fsm,160,1995
fsm,117,1996
fsm,99,1997
fsm,114,1998
fsm,85,2000
fsm,97,2001
fsm,118,2002
fsm,91,2003
fsm,108,2004
fsm,89,2005
fsm,94,2006
fsm,123,2007
mco,4,1980
mco,0,1981
mco,0,1982
mco,0,1983
mco,0,1984
mco,4,1985
mco,7,1986
mco,7,1987
mco,3,1988
mco,3,1989
mco,3,1990
mco,0,1991
mco,3,1992
mco,3,1994
mco,3,1995
mco,0,1996
mco,0,1997
mco,0,1998
mco,9,1999
mco,0,2000
mco,0,2001
mco,0,2002
mng,70,1980
mng,64,1981
mng,76,1982
mng,84,1983
mng,89,1984
mng,157,1985
mng,143,1986
mng,120,1987
mng,121,1988
mng,103,1989
mng,75,1990
mng,71,1991
mng,66,1992
mng,61,1993
mng,73,1994
mng,116,1995
mng,169,1996
mng,148,1997
mng,119,1998
mng,136,1999
mng,126,2000
mng,142,2001
mng,153,2002
mng,155,2003
mng,178,2004
mng,178,2005
mng,194,2006
mng,177,2007
msr,8,1980
msr,0,1981
msr,0,1982
msr,9,1983
msr,61,1984
msr,80,1985
msr,45,1986
msr,118,1987
msr,55,1988
msr,46,1989
msr,9,1990
msr,9,1991
msr,0,1992
msr,0,1994
msr,15,1998
msr,35,1999
msr,0,2000
msr,0,2001
msr,0,2002
msr,20,2003
msr,0,2004
msr,18,2005
msr,0,2006
msr,34,2007
mar,127,1980
mar,143,1981
mar,137,1982
mar,128,1983
mar,103,1984
mar,121,1985
mar,121,1986
mar,117,1987
mar,108,1988
mar,111,1989
mar,111,1990
mar,109,1991
mar,99,1992
mar,106,1993
mar,114,1994
mar,111,1995
mar,116,1996
mar,109,1997
mar,103,1998
mar,105,1999
mar,100,2000
mar,97,2001
mar,101,2002
mar,90,2003
mar,86,2004
mar,86,2005
mar,85,2006
mar,82,2007
moz,62,1980
moz,57,1981
moz,46,1982
moz,46,1983
moz,40,1984
moz,43,1985
moz,62,1986
moz,83,1987
moz,105,1988
moz,120,1989
moz,117,1990
moz,120,1991
moz,105,1992
moz,112,1993
moz,111,1994
moz,112,1995
moz,112,1996
moz,112,1997
moz,114,1998
moz,116,1999
moz,116,2000
moz,118,2001
moz,133,2002
moz,146,2003
moz,155,2004
moz,162,2005
moz,168,2006
moz,176,2007
mmr,38,1980
mmr,36,1981
mmr,34,1982
mmr,31,1983
mmr,30,1984
mmr,28,1985
mmr,29,1986
mmr,31,1987
mmr,24,1988
mmr,27,1989
mmr,31,1990
mmr,37,1991
mmr,41,1992
mmr,45,1993
mmr,37,1994
mmr,42,1995
mmr,51,1996
mmr,39,1997
mmr,33,1998
mmr,43,1999
mmr,67,2000
mmr,92,2001
mmr,122,2002
mmr,161,2003
mmr,203,2004
mmr,223,2005
mmr,253,2006
mmr,265,2007
nam,433,1985
nam,380,1986
nam,298,1987
nam,220,1988
nam,276,1989
nam,188,1990
nam,170,1991
nam,116,1992
nam,351,1993
nam,93,1995
nam,565,1996
nam,568,1997
nam,620,1998
nam,545,1999
nam,575,2000
nam,683,2001
nam,684,2002
nam,736,2003
nam,754,2004
nam,739,2005
nam,717,2006
nam,733,2007
nru,0,1980
nru,26,1981
nru,104,1982
nru,0,1983
nru,0,1984
nru,0,1985
nru,95,1986
nru,69,1987
nru,90,1988
nru,0,1989
nru,77,1990
nru,41,1994
nru,20,1999
nru,40,2000
nru,30,2001
nru,50,2002
nru,30,2003
nru,109,2005
nru,118,2006
nru,30,2007
npl,7,1980
npl,2,1981
npl,9,1982
npl,4,1983
npl,1,1984
npl,0,1985
npl,1,1986
npl,6,1987
npl,9,1988
npl,59,1989
npl,53,1990
npl,46,1991
npl,64,1993
npl,74,1994
npl,91,1995
npl,103,1996
npl,106,1997
npl,103,1998
npl,115,1999
npl,121,2000
npl,118,2001
npl,119,2002
npl,119,2003
npl,120,2004
npl,123,2005
npl,118,2006
npl,117,2007
nld,12,1980
nld,12,1981
nld,11,1982
nld,10,1983
nld,10,1984
nld,9,1985
nld,8,1986
nld,8,1987
nld,9,1988
nld,9,1989
nld,9,1990
nld,9,1991
nld,10,1992
nld,10,1993
nld,12,1994
nld,10,1995
nld,11,1996
nld,9,1997
nld,9,1998
nld,9,1999
nld,8,2000
nld,9,2001
nld,8,2002
nld,8,2003
nld,8,2004
nld,7,2005
nld,6,2006
nld,6,2007
ant,3,1996
ant,8,1997
ant,4,1998
ant,2,1999
ant,3,2000
ant,5,2001
ant,8,2002
ant,5,2003
ant,6,2004
ant,3,2006
ncl,76,1980
ncl,88,1981
ncl,81,1982
ncl,114,1983
ncl,94,1984
ncl,67,1985
ncl,62,1986
ncl,46,1987
ncl,68,1988
ncl,76,1989
ncl,84,1990
ncl,80,1991
ncl,78,1992
ncl,57,1993
ncl,51,1994
ncl,45,1995
ncl,53,1996
ncl,44,1997
ncl,44,1998
ncl,37,1999
ncl,44,2000
ncl,28,2001
ncl,29,2002
ncl,17,2003
ncl,26,2004
ncl,20,2005
ncl,20,2006
ncl,19,2007
nzl,15,1980
nzl,14,1981
nzl,14,1982
nzl,13,1983
nzl,13,1984
nzl,11,1985
nzl,10,1986
nzl,9,1987
nzl,9,1988
nzl,9,1989
nzl,10,1990
nzl,10,1991
nzl,9,1992
nzl,8,1993
nzl,10,1994
nzl,11,1995
nzl,9,1996
nzl,9,1997
nzl,10,1998
nzl,12,1999
nzl,9,2000
nzl,10,2001
nzl,8,2002
nzl,10,2003
nzl,9,2004
nzl,8,2005
nzl,8,2006
nzl,7,2007
nic,42,1980
nic,118,1981
nic,95,1982
nic,83,1983
nic,79,1984
nic,74,1985
nic,72,1986
