geo,females_aged_15_24_employment_rate_percent,time
omn,16.5,1998
omn,17.0,1999
omn,17.3,2000
omn,17.4,2001
omn,17.5,2002
omn,17.6,2003
omn,17.7,2004
omn,17.8,2005
omn,17.8,2006
omn,18.2,2007
pak,10.6,1991
pak,11.5,1992
pak,11.5,1993
pak,11.6,1994
pak,8.6,1995
pak,9.8,1996
pak,11.0,1997
pak,11.6,1998
pak,9.4,1999
pak,7.3,2000
pak,9.0,2001
pak,11.7,2002
pak,12.4,2003
pak,13.6,2004
pak,14.8,2005
pak,16.8,2006
pak,16.2,2007
pan,19.7,1991
pan,21.2,1992
pan,22.8,1993
pan,22.8,1994
pan,23.0,1995
pan,22.3,1996
pan,23.4,1997
pan,22.5,1998
pan,24.2,1999
pan,22.5,2000
pan,21.0,2001
pan,21.1,2002
pan,22.1,2003
pan,22.4,2004
pan,25.4,2005
pan,23.6,2006
pan,26.5,2007
png,58.2,1991
png,56.1,1992
png,54.0,1993
png,53.8,1994
png,54.7,1995
png,54.0,1996
png,54.7,1997
png,55.9,1998
png,54.9,1999
png,56.3,2000
png,56.9,2001
png,56.1,2002
png,54.9,2003
png,54.7,2004
png,55.1,2005
png,55.0,2006
png,55.5,2007
pry,41.5,1991
pry,43.6,1992
pry,43.8,1993
pry,44.4,1994
pry,49.9,1995
pry,49.1,1996
pry,48.5,1997
pry,49.3,1998
pry,49.3,1999
pry,48.0,2000
pry,48.7,2001
pry,45.3,2002
pry,48.6,2003
pry,52.6,2004
pry,51.8,2005
pry,53.0,2006
pry,52.4,2007
per,38.5,1991
per,38.6,1992
per,38.9,1993
per,39.8,1994
per,39.9,1995
per,39.9,1996
per,40.6,1997
per,40.5,1998
per,41.1,1999
per,41.6,2000
per,41.8,2001
per,42.6,2002
per,42.8,2003
per,43.2,2004
per,43.6,2005
per,44.0,2006
per,44.0,2007
phl,30.9,1991
phl,32.3,1992
phl,31.5,1993
phl,30.8,1994
phl,32.6,1995
phl,32.1,1996
phl,30.5,1997
phl,30.5,1998
phl,30.2,1999
phl,29.0,2000
phl,29.3,2001
phl,28.7,2002
phl,28.7,2003
phl,27.4,2004
phl,29.7,2005
phl,29.6,2006
phl,31.5,2007
pol,26.9,1991
