geo,population_aged_60plus_years_female_percent,time
dnk,23.18,2005
dnk,25.26,2010
dnk,26.71,2015
dnk,28.17,2020
dnk,30.0,2025
dnk,31.57,2030
dnk,32.66,2035
dnk,32.9,2040
dnk,32.22,2045
dnk,31.99,2050
dji,0.0,1950
dji,2.857,1955
dji,2.326,1960
dji,3.448,1965
dji,3.704,1970
dji,3.54,1975
dji,4.094,1980
dji,3.98,1985
dji,3.957,1990
dji,4.792,1995
dji,4.905,2000
dji,5.198,2005
dji,5.896,2010
dji,6.303,2015
dji,7.184,2020
dji,7.928,2025
dji,8.739,2030
dji,9.637,2035
dji,10.76,2040
dji,11.98,2045
dji,13.86,2050
dom,4.202,1950
dom,4.029,1955
dom,3.951,1960
dom,3.911,1965
dom,4.023,1970
dom,4.204,1975
dom,4.516,1980
dom,5.122,1985
dom,5.753,1990
dom,6.534,1995
dom,7.303,2000
dom,8.124,2005
dom,8.918,2010
dom,10.11,2015
dom,11.64,2020
dom,13.53,2025
dom,15.48,2030
dom,17.28,2035
dom,19.06,2040
dom,21.0,2045
dom,23.02,2050
ecu,8.958,1950
ecu,8.213,1955
ecu,7.571,1960
ecu,7.21,1965
ecu,6.824,1970
ecu,6.517,1975
ecu,6.338,1980
ecu,6.34,1985
ecu,6.609,1990
ecu,7.082,1995
ecu,7.878,2000
ecu,8.873,2005
ecu,10.0,2010
ecu,11.55,2015
ecu,13.19,2020
ecu,14.93,2025
ecu,16.83,2030
ecu,18.74,2035
ecu,20.67,2040
ecu,22.66,2045
ecu,24.71,2050
egy,5.676,1950
egy,5.792,1955
egy,5.826,1960
egy,5.844,1965
egy,5.897,1970
egy,5.995,1975
egy,6.085,1980
egy,6.252,1985
egy,6.44,1990
egy,6.741,1995
egy,7.016,2000
egy,7.156,2005
egy,7.884,2010
egy,8.576,2015
egy,9.605,2020
egy,10.89,2025
egy,12.26,2030
egy,13.59,2035
egy,15.49,2040
egy,17.89,2045
egy,20.67,2050
slv,6.278,1950
slv,5.992,1955
slv,5.907,1960
slv,5.868,1965
slv,5.751,1970
slv,5.932,1975
slv,6.205,1980
slv,6.68,1985
slv,7.237,1990
slv,7.953,1995
slv,8.962,2000
slv,9.846,2005
slv,10.8,2010
slv,11.79,2015
slv,12.83,2020
slv,14.12,2025
slv,15.71,2030
slv,17.53,2035
slv,19.38,2040
slv,21.29,2045
slv,23.72,2050
gnq,8.696,1950
gnq,8.403,1955
gnq,7.692,1960
gnq,8.029,1965
gnq,7.432,1970
gnq,9.016,1975
gnq,9.649,1980
gnq,8.125,1985
gnq,7.732,1990
gnq,6.494,1995
gnq,5.204,2000
gnq,4.59,2005
gnq,4.286,2010
gnq,5.063,2015
gnq,6.576,2020
gnq,7.959,2025
gnq,8.955,2030
gnq,8.576,2035
gnq,7.911,2040
gnq,8.1,2045
gnq,8.953,2050
eri,5.546,1950
eri,5.189,1955
eri,4.881,1960
eri,4.657,1965
eri,4.726,1970
eri,4.597,1975
eri,5.901,1980
eri,5.108,1985
eri,4.789,1990
eri,4.637,1995
eri,4.604,2000
eri,4.691,2005
eri,4.9,2010
eri,4.998,2015
eri,5.068,2020
eri,5.088,2025
eri,5.551,2030
eri,6.928,2035
eri,9.009,2040
eri,10.64,2045
eri,12.14,2050
est,17.65,1950
est,17.74,1955
est,18.33,1960
est,19.64,1965
est,20.7,1970
est,21.3,1975
est,20.13,1980
est,20.47,1985
est,21.22,1990
est,23.06,1995
est,25.27,2000
est,26.17,2005
est,27.18,2010
est,28.47,2015
est,29.93,2020
est,30.54,2025
est,31.36,2030
est,32.35,2035
est,33.28,2040
est,34.5,2045
est,36.34,2050
eth,5.514,1950
eth,5.128,1955
eth,4.897,1960
eth,4.889,1965
eth,4.905,1970
eth,4.944,1975
eth,4.976,1980
eth,4.95,1985
eth,4.929,1990
eth,4.922,1995
eth,5.026,2000
eth,5.194,2005
eth,5.378,2010
eth,5.549,2015
eth,5.766,2020
eth,6.111,2025
eth,6.547,2030
eth,7.093,2035
eth,7.789,2040
eth,8.731,2045
eth,10.04,2050
fji,2.899,1950
fji,3.636,1955
fji,3.141,1960
fji,3.097,1965
fji,3.906,1970
fji,4.211,1975
fji,4.792,1980
fji,4.558,1985
fji,4.533,1990
fji,5.305,1995
fji,6.329,2000
fji,7.579,2005
fji,9.026,2010
fji,10.47,2015
fji,12.39,2020
fji,14.13,2025
fji,15.38,2030
fji,16.09,2035
fji,17.32,2040
fji,19.82,2045
fji,21.38,2050
fin,11.85,1950
fin,12.07,1955
fin,13.07,1960
fin,14.36,1965
fin,16.6,1970
fin,18.44,1975
fin,19.75,1980
fin,21.13,1985
fin,22.12,1990
fin,22.33,1995
fin,22.96,2000
fin,24.15,2005
fin,27.3,2010
fin,29.63,2015
fin,31.35,2020
fin,32.86,2025
fin,33.84,2030
fin,33.92,2035
fin,34.24,2040
fin,34.49,2045
fin,34.6,2050
fra,18.67,1950
fra,19.29,1955
fra,19.89,1960
fra,20.49,1965
fra,21.09,1970
fra,21.27,1975
fra,20.18,1980
fra,21.14,1985
fra,22.12,1990
fra,23.07,1995
fra,23.29,2000
fra,23.27,2005
fra,25.54,2010
fra,27.65,2015
fra,29.59,2020
fra,31.48,2025
fra,33.05,2030
fra,34.33,2035
fra,34.71,2040
fra,35.14,2045
fra,35.32,2050
guf,0.0,1950
guf,0.0,1955
guf,6.25,1960
guf,5.263,1965
guf,4.545,1970
guf,3.704,1975
guf,6.061,1980
guf,6.977,1985
guf,5.455,1990
guf,4.478,1995
guf,6.25,2000
guf,5.941,2005
guf,6.087,2010
guf,8.397,2015
guf,9.655,2020
guf,12.2,2025
guf,14.04,2030
guf,15.9,2035
guf,16.5,2040
guf,17.81,2045
guf,18.53,2050
pyf,0.0,1950
pyf,3.125,1955
pyf,2.564,1960
pyf,4.348,1965
pyf,3.846,1970
pyf,4.839,1975
pyf,4.167,1980
pyf,3.659,1985
pyf,5.376,1990
pyf,5.825,1995
pyf,6.14,2000
pyf,8.871,2005
pyf,9.091,2010
pyf,11.89,2015
pyf,12.24,2020
pyf,16.03,2025
pyf,18.01,2030
pyf,20.83,2035
pyf,22.09,2040
pyf,24.14,2045
pyf,26.7,2050
gab,12.03,1950
gab,11.89,1955
gab,11.69,1960
gab,12.06,1965
gab,11.76,1970
gab,11.11,1975
gab,10.09,1980
gab,9.75,1985
gab,8.565,1990
gab,7.875,1995
gab,7.223,2000
gab,6.696,2005
gab,6.782,2010
gab,7.335,2015
gab,8.014,2020
gab,8.929,2025
gab,9.852,2030
gab,10.73,2035
gab,11.71,2040
gab,12.98,2045
gab,14.47,2050
gmb,5.185,1950
gmb,4.93,1955
gmb,6.098,1960
gmb,5.291,1965
gmb,4.587,1970
gmb,4.598,1975
gmb,4.823,1980
gmb,5.094,1985
gmb,4.857,1990
gmb,4.909,1995
gmb,5.03,2000
gmb,4.954,2005
gmb,5.215,2010
gmb,5.295,2015
gmb,5.446,2020
gmb,6.01,2025
gmb,6.589,2030
gmb,7.219,2035
gmb,7.968,2040
gmb,8.794,2045
gmb,9.742,2050
geo,15.84,1950
geo,14.36,1955
geo,13.13,1960
geo,13.09,1965
geo,13.82,1970
geo,14.79,1975
geo,15.01,1980
geo,15.87,1985
geo,17.74,1990
geo,18.64,1995
geo,20.84,2000
geo,20.42,2005
geo,21.59,2010
geo,23.36,2015
geo,25.97,2020
geo,29.2,2025
geo,30.83,2030
geo,32.37,2035
geo,33.73,2040
geo,35.03,2045
geo,37.43,2050
deu,15.22,1950
