geo,median_age_years,time
cpv,17.53,1965
cpv,16.12,1970
cpv,16.3,1975
cpv,16.48,1980
cpv,16.77,1985
cpv,16.33,1990
cpv,16.71,1995
cpv,17.78,2000
cpv,19.27,2005
cpv,21.26,2010
cpv,23.27,2015
cpv,25.27,2020
cpv,27.42,2025
cpv,29.61,2030
cpv,31.82,2035
cpv,33.95,2040
cpv,35.88,2045
cpv,37.81,2050
caf,22.52,1950
caf,22.07,1955
caf,21.43,1960
caf,20.79,1965
caf,20.04,1970
caf,19.28,1975
caf,18.91,1980
caf,18.85,1985
caf,18.43,1990
caf,18.67,1995
caf,18.8,2000
caf,18.92,2005
caf,19.5,2010
caf,20.24,2015
caf,21.23,2020
caf,22.3,2025
caf,23.4,2030
caf,24.53,2035
caf,25.77,2040
caf,27.06,2045
caf,28.35,2050
tcd,21.55,1950
tcd,20.81,1955
tcd,20.12,1960
tcd,19.52,1965
tcd,18.92,1970
tcd,18.52,1975
tcd,17.96,1980
tcd,17.4,1985
tcd,17.01,1990
tcd,16.87,1995
tcd,16.86,2000
tcd,16.87,2005
tcd,17.05,2010
tcd,17.41,2015
tcd,17.94,2020
tcd,18.64,2025
tcd,19.48,2030
tcd,20.54,2035
tcd,21.79,2040
tcd,23.11,2045
tcd,24.49,2050
chanisl,35.73,1950
chanisl,36.18,1955
chanisl,36.71,1960
chanisl,36.17,1965
chanisl,35.34,1970
chanisl,34.55,1975
chanisl,34.99,1980
chanisl,35.84,1985
chanisl,36.04,1990
chanisl,36.95,1995
chanisl,38.09,2000
chanisl,40.05,2005
chanisl,42.15,2010
chanisl,44.21,2015
chanisl,45.84,2020
chanisl,46.92,2025
chanisl,47.57,2030
chanisl,48.11,2035
chanisl,48.72,2040
chanisl,49.12,2045
chanisl,49.32,2050
chl,22.2,1950
chl,21.74,1955
chl,20.63,1960
chl,20.01,1965
chl,20.21,1970
chl,21.04,1975
chl,22.62,1980
chl,24.15,1985
chl,25.71,1990
chl,27.11,1995
chl,28.76,2000
chl,30.56,2005
chl,32.06,2010
chl,33.55,2015
chl,35.18,2020
chl,37.0,2025
chl,38.77,2030
chl,40.48,2035
chl,41.71,2040
chl,42.56,2045
chl,43.14,2050
chn,23.93,1950
chn,22.49,1955
chn,21.81,1960
chn,20.36,1965
chn,19.68,1970
chn,20.57,1975
chn,22.11,1980
chn,23.65,1985
chn,24.98,1990
chn,27.22,1995
chn,29.63,2000
chn,32.06,2005
chn,34.21,2010
chn,35.58,2015
chn,37.09,2020
chn,38.91,2025
chn,41.08,2030
chn,42.83,2035
chn,44.12,2040
chn,44.86,2045
chn,45.16,2050
hkg,23.71,1950
hkg,24.04,1955
hkg,23.06,1960
hkg,19.62,1965
hkg,21.19,1970
hkg,23.85,1975
hkg,25.98,1980
hkg,28.32,1985
hkg,31.01,1990
hkg,33.57,1995
hkg,36.27,2000
hkg,39.26,2005
hkg,41.86,2010
hkg,43.82,2015
hkg,45.58,2020
hkg,47.13,2025
hkg,48.62,2030
hkg,50.03,2035
hkg,51.15,2040
hkg,52.17,2045
hkg,52.71,2050
mac,25.27,1950
mac,24.49,1955
mac,21.76,1960
mac,18.32,1965
mac,18.68,1970
mac,22.2,1975
mac,25.73,1980
mac,27.05,1985
mac,29.01,1990
mac,31.15,1995
mac,33.6,2000
mac,36.27,2005
mac,38.31,2010
mac,41.23,2015
mac,43.81,2020
mac,46.06,2025
mac,48.35,2030
mac,50.52,2035
mac,52.72,2040
mac,54.63,2045
mac,55.78,2050
col,18.71,1950
col,17.73,1955
col,16.88,1960
col,16.54,1965
col,16.84,1970
col,17.8,1975
col,18.84,1980
col,20.07,1985
col,21.47,1990
col,22.61,1995
col,23.83,2000
col,25.24,2005
col,26.77,2010
col,28.34,2015
col,29.93,2020
col,31.62,2025
col,33.26,2030
col,34.82,2035
col,36.32,2040
col,37.74,2045
col,39.05,2050
com,21.16,1950
com,20.27,1955
com,19.1,1960
com,17.73,1965
com,17.01,1970
com,16.89,1975
com,16.65,1980
com,16.22,1985
com,16.77,1990
com,17.81,1995
com,19.06,2000
com,20.38,2005
com,21.08,2010
com,21.75,2015
com,22.7,2020
com,23.91,2025
com,25.31,2030
com,26.94,2035
com,28.49,2040
com,30.03,2045
com,31.49,2050
cog,19.98,1950
cog,19.82,1955
cog,19.48,1960
cog,18.93,1965
cog,18.3,1970
cog,17.79,1975
cog,17.46,1980
cog,17.48,1985
cog,17.82,1990
cog,18.17,1995
cog,18.34,2000
cog,18.94,2005
cog,19.46,2010
cog,20.65,2015
cog,21.85,2020
cog,23.01,2025
cog,24.29,2030
cog,25.67,2035
cog,27.08,2040
cog,28.49,2045
cog,29.9,2050
cri,21.59,1950
cri,19.68,1955
cri,18.01,1960
cri,16.89,1965
cri,17.4,1970
cri,18.68,1975
cri,19.99,1980
cri,21.45,1985
cri,22.52,1990
cri,23.55,1995
cri,24.53,2000
cri,26.11,2005
cri,28.18,2010
cri,30.2,2015
cri,32.41,2020
cri,34.52,2025
cri,36.48,2030
cri,38.24,2035
cri,39.76,2040
cri,41.02,2045
cri,41.92,2050
civ,18.29,1950
civ,18.68,1955
civ,18.74,1960
civ,18.62,1965
civ,18.16,1970
civ,17.75,1975
civ,17.4,1980
civ,17.38,1985
civ,17.65,1990
civ,18.32,1995
civ,18.94,2000
civ,19.08,2005
civ,19.48,2010
civ,20.19,2015
civ,21.16,2020
civ,22.31,2025
civ,23.57,2030
civ,24.88,2035
civ,26.33,2040
civ,27.81,2045
civ,29.29,2050
hrv,27.9,1950
hrv,28.3,1955
hrv,29.4,1960
hrv,30.59,1965
hrv,32.45,1970
hrv,33.11,1975
hrv,33.55,1980
hrv,34.37,1985
hrv,35.79,1990
hrv,37.44,1995
hrv,39.07,2000
hrv,40.33,2005
hrv,41.55,2010
hrv,42.61,2015
hrv,43.68,2020
hrv,44.91,2025
hrv,46.17,2030
hrv,47.16,2035
hrv,47.85,2040
hrv,48.23,2045
hrv,48.17,2050
cub,22.34,1950
cub,22.38,1955
cub,22.9,1960
cub,22.3,1965
cub,21.87,1970
cub,22.27,1975
cub,23.93,1980
cub,26.11,1985
cub,28.24,1990
cub,30.65,1995
cub,34.21,2000
cub,35.49,2005
cub,38.3,2010
cub,40.99,2015
cub,43.02,2020
cub,44.53,2025
cub,45.89,2030
cub,47.66,2035
cub,49.45,2040
cub,50.85,2045
cub,51.88,2050
cyp,23.7,1950
cyp,24.38,1955
cyp,23.04,1960
cyp,23.33,1965
cyp,25.91,1970
cyp,27.11,1975
cyp,28.69,1980
cyp,29.26,1985
cyp,30.88,1990
cyp,31.91,1995
cyp,33.53,2000
cyp,35.32,2005
cyp,36.49,2010
cyp,37.72,2015
cyp,39.0,2020
cyp,40.38,2025
cyp,41.74,2030
cyp,43.03,2035
cyp,44.09,2040
cyp,44.48,2045
cyp,44.41,2050
cze,32.65,1950
cze,32.24,1955
cze,33.07,1960
cze,33.66,1965
cze,33.57,1970
cze,32.78,1975
cze,32.95,1980
cze,34.07,1985
cze,35.25,1990
cze,36.16,1995
cze,37.58,2000
cze,38.83,2005
cze,39.59,2010
cze,41.19,2015
cze,42.91,2020
cze,44.66,2025
cze,45.86,2030
cze,46.91,2035
cze,47.51,2040
cze,47.13,2045
cze,46.21,2050
prk,15.86,1950
prk,18.46,1955
prk,19.96,1960
prk,21.49,1965
prk,21.85,1970
prk,21.18,1975
prk,22.93,1980
prk,24.55,1985
prk,26.18,1990
prk,28.07,1995
prk,30.19,2000
prk,32.25,2005
prk,33.96,2010
prk,34.62,2015
prk,35.84,2020
prk,37.0,2025
prk,38.38,2030
prk,39.96,2035
prk,41.17,2040
prk,41.78,2045
prk,41.9,2050
cod,18.11,1950
cod,18.0,1955
cod,17.97,1960
cod,17.92,1965
cod,17.76,1970
cod,17.52,1975
cod,17.25,1980
cod,16.86,1985
cod,16.41,1990
cod,15.97,1995
cod,15.91,2000
cod,16.08,2005
cod,16.63,2010
cod,17.31,2015
cod,18.14,2020
cod,19.12,2025
cod,20.23,2030
cod,21.61,2035
cod,23.09,2040
cod,24.63,2045
cod,26.31,2050
dnk,31.77,1950
dnk,32.4,1955
dnk,32.99,1960
dnk,32.76,1965
dnk,32.52,1970
dnk,33.02,1975
dnk,34.26,1980
dnk,36.0,1985
dnk,37.15,1990
dnk,37.71,1995
dnk,38.41,2000
dnk,39.54,2005
dnk,40.8,2010
dnk,41.97,2015
dnk,42.74,2020
dnk,42.76,2025
dnk,42.43,2030
dnk,42.59,2035
dnk,43.03,2040
dnk,43.4,2045
dnk,43.64,2050
dji,16.53,1950
dji,16.86,1955
dji,17.06,1960
dji,17.24,1965
dji,17.09,1970
dji,16.98,1975
dji,17.2,1980
dji,17.5,1985
dji,17.78,1990
dji,18.19,1995
dji,19.04,2000
dji,20.08,2005
dji,21.5,2010
dji,22.95,2015
dji,24.36,2020
dji,25.6,2025
dji,26.85,2030
dji,28.1,2035
dji,29.33,2040
dji,30.57,2045
dji,31.84,2050
dom,16.56,1950
dom,16.45,1955
dom,16.07,1960
dom,15.76,1965
dom,16.08,1970
dom,16.95,1975
dom,18.08,1980
dom,19.2,1985
dom,20.34,1990
dom,21.46,1995
dom,22.63,2000
dom,23.78,2005
dom,25.01,2010
dom,26.47,2015
dom,28.0,2020
dom,29.57,2025
dom,31.13,2030
dom,32.73,2035
dom,34.34,2040
dom,35.97,2045
dom,37.53,2050
ecu,20.57,1950
ecu,19.39,1955
ecu,18.53,1960
ecu,17.84,1965
ecu,17.66,1970
ecu,17.92,1975
ecu,18.36,1980
ecu,19.08,1985
ecu,20.11,1990
ecu,21.45,1995
ecu,22.68,2000
ecu,23.98,2005
ecu,25.45,2010
ecu,27.07,2015
ecu,28.71,2020
ecu,30.43,2025
ecu,32.31,2030
ecu,34.16,2035
ecu,35.95,2040
ecu,37.62,2045
ecu,39.12,2050
egy,20.41,1950
egy,19.73,1955
egy,18.61,1960
egy,18.03,1965
egy,18.23,1970
egy,18.51,1975
egy,18.62,1980
egy,18.77,1985
egy,18.9,1990
egy,19.64,1995
egy,20.92,2000
egy,22.38,2005
egy,23.91,2010
egy,25.63,2015
egy,27.0,2020
egy,28.35,2025
egy,29.73,2030
egy,31.21,2035
egy,32.76,2040
egy,34.35,2045
egy,36.0,2050
slv,18.5,1950
slv,18.34,1955
slv,17.59,1960
slv,16.95,1965
slv,16.81,1970
slv,17.21,1975
slv,17.56,1980
slv,18.04,1985
slv,19.16,1990
slv,20.59,1995
slv,21.64,2000
slv,22.69,2005
slv,23.94,2010
slv,25.4,2015
slv,27.29,2020
slv,29.14,2025
slv,31.16,2030
slv,32.92,2035
slv,34.49,2040
slv,36.03,2045
slv,37.59,2050
gnq,23.84,1950
gnq,23.09,1955
gnq,22.43,1960
gnq,21.74,1965
gnq,20.94,1970
gnq,17.35,1975
gnq,17.29,1980
gnq,20.95,1985
gnq,21.24,1990
gnq,20.22,1995
gnq,18.46,2000
gnq,18.58,2005
gnq,19.26,2010
gnq,19.68,2015
gnq,20.05,2020
gnq,20.58,2025
gnq,21.41,2030
gnq,22.45,2035
gnq,23.59,2040
gnq,24.79,2045
gnq,26.06,2050
eri,17.28,1950
eri,17.45,1955
eri,17.5,1960
eri,17.55,1965
eri,17.4,1970
eri,17.28,1975
eri,16.78,1980
eri,16.14,1985
eri,16.54,1990
eri,16.15,1995
eri,17.2,2000
eri,18.58,2005
eri,19.1,2010
eri,19.62,2015
eri,20.29,2020
eri,21.67,2025
eri,23.26,2030
eri,24.9,2035
eri,26.52,2040
eri,27.99,2045
eri,29.39,2050
est,29.93,1950
est,30.19,1955
est,31.98,1960
est,32.89,1965
est,33.72,1970
est,34.06,1975
est,33.85,1980
est,33.94,1985
est,34.4,1990
est,36.34,1995
est,37.85,2000
est,38.98,2005
est,39.58,2010
est,40.11,2015
est,40.71,2020
est,41.77,2025
est,43.21,2030
est,44.71,2035
est,44.68,2040
est,43.48,2045
est,42.98,2050
eth,17.89,1950
eth,17.95,1955
eth,18.08,1960
eth,18.08,1965
eth,17.96,1970
eth,17.74,1975
eth,17.64,1980
eth,17.6,1985
eth,17.4,1990
eth,17.09,1995
eth,17.03,2000
eth,17.39,2005
eth,18.02,2010
eth,18.86,2015
eth,19.79,2020
eth,20.9,2025
eth,22.21,2030
eth,23.64,2035
eth,25.17,2040
eth,26.84,2045
eth,28.54,2050
fji,16.58,1950
fji,16.11,1955
fji,15.97,1960
fji,16.47,1965
fji,17.79,1970
fji,19.03,1975
fji,19.75,1980
fji,20.5,1985
fji,21.3,1990
fji,22.0,1995
fji,22.62,2000
fji,23.65,2005
fji,25.0,2010
fji,26.26,2015
fji,27.68,2020
fji,29.18,2025
fji,30.82,2030
fji,32.45,2035
fji,34.11,2040
fji,35.78,2045
fji,37.47,2050
fin,27.71,1950
fin,27.94,1955
fin,28.24,1960
fin,28.45,1965
fin,29.64,1970
fin,30.75,1975
fin,32.79,1980
fin,34.72,1985
fin,36.43,1990
fin,37.8,1995
fin,39.34,2000
fin,40.89,2005
fin,41.98,2010
fin,42.61,2015
fin,43.04,2020
fin,43.64,2025
fin,44.21,2030
fin,44.59,2035
fin,45.05,2040
fin,45.0,2045
fin,44.81,2050
fra,34.51,1950
fra,32.99,1955
fra,33.02,1960
fra,32.77,1965
fra,32.45,1970
fra,31.69,1975
fra,32.47,1980
fra,33.62,1985
fra,34.88,1990
fra,36.35,1995
fra,37.7,2000
fra,38.87,2005
fra,40.11,2010
fra,41.31,2015
fra,42.14,2020
fra,42.85,2025
fra,43.56,2030
fra,44.05,2035
fra,44.21,2040
fra,44.38,2045
fra,44.76,2050
guf,26.6,1950
guf,25.64,1955
guf,24.41,1960
guf,22.29,1965
guf,21.08,1970
guf,20.85,1975
guf,23.2,1980
guf,23.96,1985
guf,23.39,1990
guf,23.47,1995
guf,23.52,2000
guf,23.31,2005
guf,24.03,2010
guf,25.05,2015
guf,26.55,2020
guf,27.95,2025
guf,29.32,2030
guf,30.79,2035
guf,32.16,2040
guf,33.46,2045
guf,34.69,2050
pyf,17.84,1950
pyf,17.84,1955
pyf,17.84,1960
pyf,17.01,1965
pyf,17.01,1970
pyf,18.68,1975
pyf,19.43,1980
pyf,20.53,1985
pyf,22.12,1990
pyf,23.98,1995
pyf,25.37,2000
pyf,27.07,2005
pyf,28.46,2010
pyf,30.01,2015
pyf,32.14,2020
pyf,34.1,2025
pyf,35.57,2030
pyf,37.09,2035
pyf,38.41,2040
pyf,39.49,2045
pyf,40.58,2050
gab,28.35,1950
gab,27.87,1955
gab,27.44,1960
gab,26.75,1965
gab,25.71,1970
gab,23.56,1975
gab,22.14,1980
gab,20.72,1985
gab,19.59,1990
gab,19.04,1995
gab,19.32,2000
gab,20.3,2005
gab,21.55,2010
gab,22.93,2015
gab,24.39,2020
gab,25.77,2025
gab,27.1,2030
gab,28.39,2035
gab,29.68,2040
gab,31.06,2045
