geo,motorcycle_deaths_per_100000_people,time
mda,0.664,1999
mda,1.193,2000
mda,1.271,2001
mda,1.16,2002
mda,1.276,2003
mda,1.932,2004
mda,0.862,2005
mda,1.966,2006
mda,1.731,2007
mda,1.687,2008
reu,3.717,2001
reu,8.877,2002
reu,10.8,2003
reu,6.679,2004
reu,5.573,2005
reu,5.923,2006
lca,23.73,1997
sgp,2.749,1991
sgp,2.645,1992
sgp,2.939,1993
sgp,2.535,1994
sgp,2.728,1995
sgp,2.081,1996
sgp,2.434,1997
sgp,1.87,1998
sgp,1.677,1999
sgp,2.208,2000
sgp,2.079,2001
sgp,2.045,2002
sgp,2.763,2003
svk,0.675,1994
svk,0.773,1995
svk,0.582,1996
svk,0.717,1997
svk,0.998,1998
svk,0.549,1999
svk,0.848,2000
svk,0.613,2001
svk,0.826,2002
svk,0.829,2003
svk,0.893,2004
svk,1.07,2005
svn,2.742,1985
svn,2.856,1986
svn,1.928,1987
svn,2.895,1988
svn,2.156,1989
svn,3.77,1990
svn,3.527,1991
svn,2.135,1992
svn,2.041,1993
svn,1.985,1994
svn,1.836,1995
svn,1.812,1996
svn,2.199,1997
svn,1.828,1998
svn,2.271,1999
svn,2.225,2000
svn,2.762,2001
svn,1.42,2002
svn,1.636,2003
svn,1.777,2004
svn,2.116,2005
svn,3.103,2006
svn,3.025,2007
svn,2.282,2008
zaf,0.77,1996
zaf,2.242,1997
zaf,2.012,1998
zaf,2.096,1999
zaf,1.734,2000
zaf,0.964,2001
zaf,2.228,2002
zaf,1.296,2003
zaf,2.028,2004
zaf,1.355,2005
zaf,0.78,2006
zaf,1.11,2007
esp,2.471,1997
esp,2.628,1998
esp,1.859,1999
esp,1.961,2000
esp,2.029,2001
esp,1.817,2002
esp,1.911,2003
esp,1.788,2004
esp,2.039,2005
sur,0.426,1997
sur,1.09,1999
sur,0.496,2000
sur,1.577,2004
sur,2.383,2005
swe,0.848,1996
swe,0.656,1997
swe,0.729,1998
swe,0.576,1999
swe,0.606,2000
swe,0.609,2001
swe,0.644,2002
swe,0.79,2003
swe,0.946,2004
swe,0.686,2005
swe,0.912,2006
swe,0.93,2007
tha,26.36,1990
tha,16.91,1991
tha,27.96,1992
tha,2.08,1994
tha,3.316,1995
tha,1.999,1997
tha,2.198,1998
tha,6.521,1999
tha,12.28,2000
tha,14.82,2002
tha,14.32,2006
tto,0.444,1999
tto,0.668,2000
tto,0.302,2001
tto,0.168,2002
gbr,1.051,1998
gbr,1.16,1999
gbr,1.091,2001
gbr,1.162,2002
gbr,1.249,2003
gbr,1.202,2004
gbr,1.089,2005
gbr,1.194,2006
gbr,1.225,2007
usa,0.868,1997
usa,0.883,1998
usa,1.356,1999
usa,1.597,2000
usa,1.675,2001
usa,1.647,2002
usa,1.858,2003
usa,2.044,2004
usa,2.246,2005
ury,6.936,1997
ury,5.863,1998
ury,5.523,1999
ury,6.249,2000
ury,4.306,2001
ury,6.166,2004
uzb,0.072,2004
uzb,0.051,2005
ven,2.393,1996
ven,1.486,1997
ven,1.585,1998
ven,2.186,1999
ven,2.433,2000
ven,3.075,2001
ven,3.284,2002
ven,3.097,2003
ven,2.118,2004
ven,1.977,2005
ven,7.864,2007
