geo,electricity_use_total,time
can,514900000000,2010
chl,7569000000,1971
chl,7960000000,1972
chl,7780000000,1973
chl,8349000000,1974
chl,7745000000,1975
chl,8269000000,1976
chl,8671000000,1977
chl,9249000000,1978
chl,9864000000,1979
chl,10310000000,1980
chl,10640000000,1981
chl,10420000000,1982
chl,10790000000,1983
chl,11680000000,1984
chl,12110000000,1985
chl,12800000000,1986
chl,13330000000,1987
chl,14410000000,1988
chl,15780000000,1989
chl,16430000000,1990
chl,17730000000,1991
chl,19990000000,1992
chl,21120000000,1993
chl,22510000000,1994
chl,25100000000,1995
chl,28100000000,1996
chl,30600000000,1997
chl,32610000000,1998
chl,36280000000,1999
chl,38340000000,2000
chl,40790000000,2001
chl,42780000000,2002
chl,45930000000,2003
chl,49080000000,2004
chl,50100000000,2005
chl,52700000000,2006
chl,55200000000,2007
chl,55780000000,2008
chl,55670000000,2009
chl,56420000000,2010
chn,126500000000,1971
chn,139400000000,1972
chn,152600000000,1973
chn,154600000000,1974
chn,179700000000,1975
chn,186700000000,1976
chn,205600000000,1977
chn,236100000000,1978
chn,259400000000,1979
chn,276900000000,1980
chn,284900000000,1981
chn,302400000000,1982
chn,325000000000,1983
chn,350000000000,1984
chn,383300000000,1985
chn,420200000000,1986
chn,465800000000,1987
chn,512800000000,1988
chn,549900000000,1989
chn,584700000000,1990
chn,637200000000,1991
chn,710500000000,1992
chn,787600000000,1993
chn,873500000000,1994
chn,935000000000,1995
chn,1007000000000,1996
chn,1055000000000,1997
chn,1087000000000,1998
chn,1151000000000,1999
chn,1261000000000,2000
chn,1376000000000,2001
chn,1537000000000,2002
chn,1785000000000,2003
chn,2064000000000,2004
chn,2333000000000,2005
chn,2684000000000,2006
chn,3079000000000,2007
chn,3264000000000,2008
chn,3514000000000,2009
chn,3948000000000,2010
col,9086000000,1971
col,8987000000,1972
col,9932000000,1973
col,11090000000,1974
col,10980000000,1975
col,11590000000,1976
col,12940000000,1977
col,14620000000,1978
col,15980000000,1979
col,17140000000,1980
col,17440000000,1981
col,18530000000,1982
col,19070000000,1983
col,21130000000,1984
col,22620000000,1985
col,24740000000,1986
col,24490000000,1987
col,25600000000,1988
col,27640000000,1989
col,28850000000,1990
col,29410000000,1991
col,26800000000,1992
col,30630000000,1993
col,32550000000,1994
col,33520000000,1995
col,33780000000,1996
col,34620000000,1997
col,34310000000,1998
col,32280000000,1999
col,33510000000,2000
col,34860000000,2001
col,35700000000,2002
col,36360000000,2003
col,38380000000,2004
col,38780000000,2005
col,41540000000,2006
col,43260000000,2007
col,43760000000,2008
col,47730000000,2009
col,46870000000,2010
cod,3337000000,1971
cod,3354000000,1972
cod,3630000000,1973
cod,3772000000,1974
cod,3830000000,1975
cod,3813000000,1976
cod,3840000000,1977
cod,3703000000,1978
cod,3668000000,1979
cod,3978000000,1980
cod,3668000000,1981
cod,3613000000,1982
cod,3921000000,1983
cod,4116000000,1984
cod,4427000000,1985
cod,4623000000,1986
cod,4598000000,1987
cod,4733000000,1988
cod,5672000000,1989
cod,4530000000,1990
cod,4506000000,1991
cod,4302000000,1992
cod,3982000000,1993
cod,4078000000,1994
cod,4527000000,1995
cod,4483000000,1996
cod,4181000000,1997
cod,4189000000,1998
cod,4388000000,1999
cod,4549000000,2000
cod,4627000000,2001
cod,4475000000,2002
cod,4639000000,2003
cod,4680000000,2004
cod,4901000000,2005
cod,5758000000,2006
cod,6152000000,2007
cod,6114000000,2008
cod,6668000000,2009
cod,6277000000,2010
cog,77000000,1971
cog,81000000,1972
cog,91000000,1973
cog,95000000,1974
cog,102000000,1975
cog,109000000,1976
cog,115000000,1977
cog,121000000,1978
cog,131000000,1979
cog,148000000,1980
cog,128000000,1981
cog,197000000,1982
cog,193000000,1983
cog,298000000,1984
cog,232000000,1985
cog,372000000,1986
cog,390000000,1987
cog,375000000,1988
cog,390000000,1989
cog,410000000,1990
cog,448000000,1991
cog,442000000,1992
cog,411000000,1993
cog,380000000,1994
cog,410000000,1995
cog,430000000,1996
cog,370000000,1997
cog,327000000,1998
cog,211000000,1999
cog,299000000,2000
cog,337000000,2001
cog,382000000,2002
cog,391000000,2003
cog,370000000,2004
cog,425000000,2005
cog,471000000,2006
cog,486000000,2007
cog,543000000,2008
cog,600000000,2009
cog,588000000,2010
cri,1148000000,1971
cri,1267000000,1972
cri,1347000000,1973
cri,1468000000,1974
cri,1531000000,1975
cri,1647000000,1976
cri,1760000000,1977
cri,1925000000,1978
cri,1997000000,1979
cri,2226000000,1980
cri,2365000000,1981
cri,2356000000,1982
cri,2382000000,1983
cri,2637000000,1984
cri,2757000000,1985
cri,3027000000,1986
cri,3303000000,1987
cri,3383000000,1988
cri,3272000000,1989
cri,3344000000,1990
cri,3592000000,1991
cri,4619000000,1992
cri,4495000000,1993
cri,4384000000,1994
cri,4526000000,1995
cri,4540000000,1996
cri,5057000000,1997
cri,4996000000,1998
cri,5578000000,1999
cri,5971000000,2000
cri,5994000000,2001
cri,6392000000,2002
cri,6844000000,2003
cri,7096000000,2004
cri,7376000000,2005
cri,7921000000,2006
cri,8305000000,2007
cri,8432000000,2008
cri,8342000000,2009
cri,8643000000,2010
civ,517000000,1971
civ,581000000,1972
civ,669000000,1973
civ,717000000,1974
civ,808000000,1975
civ,937000000,1976
civ,1044000000,1977
civ,1188000000,1978
civ,1528000000,1979
civ,1469000000,1980
civ,1586000000,1981
civ,1635000000,1982
civ,1627000000,1983
civ,1257000000,1984
civ,1499000000,1985
civ,1563000000,1986
civ,1825000000,1987
civ,1941000000,1988
civ,1849000000,1989
civ,1913000000,1990
civ,1835000000,1991
civ,1961000000,1992
civ,1914000000,1993
civ,2012000000,1994
civ,2504000000,1995
civ,2370000000,1996
civ,2603000000,1997
civ,2915000000,1998
civ,2819000000,1999
civ,2863000000,2000
civ,3071000000,2001
civ,3044000000,2002
civ,3069000000,2003
civ,3121000000,2004
civ,3154000000,2005
civ,3408000000,2006
civ,3587000000,2007
civ,3836000000,2008
civ,4056000000,2009
civ,4137000000,2010
hrv,13510000000,1990
hrv,12360000000,1991
hrv,10460000000,1992
hrv,10140000000,1993
hrv,10270000000,1994
hrv,10690000000,1995
hrv,11360000000,1996
hrv,11970000000,1997
hrv,12150000000,1998
hrv,12410000000,1999
hrv,12800000000,2000
hrv,12910000000,2001
hrv,13760000000,2002
hrv,14020000000,2003
hrv,14750000000,2004
hrv,15440000000,2005
hrv,16120000000,2006
hrv,16540000000,2007
hrv,17140000000,2008
hrv,16370000000,2009
hrv,16790000000,2010
cub,4486000000,1971
cub,4648000000,1972
cub,5023000000,1973
cub,5326000000,1974
cub,5882000000,1975
cub,6406000000,1976
cub,6952000000,1977
cub,7658000000,1978
cub,8444000000,1979
cub,8274000000,1980
cub,9533000000,1981
cub,10010000000,1982
cub,10490000000,1983
cub,11200000000,1984
cub,10130000000,1985
cub,10930000000,1986
cub,11230000000,1987
cub,11930000000,1988
cub,12450000000,1989
cub,12850000000,1990
cub,11200000000,1991
cub,9711000000,1992
cub,9065000000,1993
cub,9738000000,1994
cub,10010000000,1995
cub,10660000000,1996
cub,11430000000,1997
cub,11540000000,1998
cub,11980000000,1999
cub,12660000000,2000
cub,12930000000,2001
cub,13270000000,2002
cub,13400000000,2003
cub,13220000000,2004
cub,13010000000,2005
cub,13820000000,2006
cub,14650000000,2007
cub,14870000000,2008
cub,14980000000,2009
cub,14630000000,2010
cyp,615000000,1971
cyp,712000000,1972
cyp,774000000,1973
cyp,670000000,1974
cyp,669000000,1975
cyp,749000000,1976
cyp,810000000,1977
cyp,865000000,1978
cyp,924000000,1979
cyp,970000000,1980
cyp,990000000,1981
cyp,1063000000,1982
cyp,1149000000,1983
cyp,1175000000,1984
cyp,1243000000,1985
cyp,1334000000,1986
cyp,1411000000,1987
cyp,1540000000,1988
cyp,1724000000,1989
cyp,1863000000,1990
cyp,1943000000,1991
cyp,2272000000,1992
cyp,2460000000,1993
cyp,2560000000,1994
cyp,2382000000,1995
cyp,2460000000,1996
cyp,2555000000,1997
cyp,2815000000,1998
cyp,2943000000,1999
cyp,3182000000,2000
cyp,3318000000,2001
cyp,3618000000,2002
cyp,3893000000,2003
cyp,3988000000,2004
cyp,4213000000,2005
cyp,4431000000,2006
cyp,4656000000,2007
cyp,4925000000,2008
cyp,5044000000,2009
cyp,5160000000,2010
cze,33620000000,1971
cze,35440000000,1972
cze,36910000000,1973
cze,38380000000,1974
cze,40290000000,1975
cze,41940000000,1976
cze,43400000000,1977
cze,45760000000,1978
cze,44900000000,1979
cze,47050000000,1980
cze,47730000000,1981
cze,48160000000,1982
cze,49580000000,1983
cze,51100000000,1984
cze,52960000000,1985
cze,54170000000,1986
cze,56110000000,1987
cze,56700000000,1988
cze,57450000000,1989
cze,57700000000,1990
cze,54180000000,1991
cze,52370000000,1992
cze,51930000000,1993
cze,53540000000,1994
cze,56450000000,1995
cze,59070000000,1996
cze,58280000000,1997
cze,57610000000,1998
cze,56370000000,1999
cze,58330000000,2000
cze,60130000000,2001
cze,60130000000,2002
cze,61880000000,2003
cze,63440000000,2004
cze,64820000000,2005
cze,66780000000,2006
cze,67000000000,2007
cze,67080000000,2008
cze,63830000000,2009
cze,66330000000,2010
dnk,4990000000,1960
dnk,5500000000,1961
dnk,6303000000,1962
dnk,7018000000,1963
dnk,7672000000,1964
dnk,8655000000,1965
dnk,9515000000,1966
dnk,10280000000,1967
dnk,11380000000,1968
dnk,12830000000,1969
dnk,14260000000,1970
dnk,15170000000,1971
dnk,16690000000,1972
dnk,17190000000,1973
dnk,16360000000,1974
dnk,17280000000,1975
dnk,19270000000,1976
dnk,20380000000,1977
dnk,22040000000,1978
dnk,23240000000,1979
dnk,23560000000,1980
dnk,23520000000,1981
dnk,23970000000,1982
dnk,24260000000,1983
dnk,25470000000,1984
dnk,27360000000,1985
dnk,28730000000,1986
dnk,29650000000,1987
dnk,30010000000,1988
dnk,30030000000,1989
dnk,30560000000,1990
dnk,32050000000,1991
dnk,32250000000,1992
dnk,32740000000,1993
dnk,34080000000,1994
dnk,33620000000,1995
dnk,34930000000,1996
dnk,34870000000,1997
dnk,34470000000,1998
dnk,34630000000,1999
dnk,34610000000,2000
dnk,34760000000,2001
dnk,35090000000,2002
dnk,35550000000,2003
dnk,35730000000,2004
dnk,36090000000,2005
dnk,37140000000,2006
dnk,36470000000,2007
