geo,traffic_total_deaths,time
nzl,458,2005
nzl,433,2006
nzl,423,2007
nic,855,2002
nic,726,2004
nic,797,2007
ner,4975,2002
ner,4180,2004
ner,5357,2007
nga,32250,2002
nga,33560,2004
nga,47860,2007
nor,316,1996
nor,340,1997
nor,406,1998
nor,353,1999
nor,374,2000
nor,310,2001
nor,331,2002
nor,321,2003
nor,284,2004
nor,284,2005
nor,299,2006
nor,233,2007
omn,333,2002
omn,291,2004
omn,553,2007
pak,17720,2002
pak,17290,2004
pak,41490,2007
plw,2,2002
plw,1,2004
plw,3,2007
pan,433,2002
pan,472,2004
pan,425,2007
png,853,2002
png,876,2004
png,901,2007
pry,569,1996
pry,619,1997
pry,531,1998
pry,583,1999
pry,527,2000
pry,629,2001
pry,524,2002
pry,619,2003
pry,662,2004
pry,782,2005
pry,954,2006
pry,1206,2007
per,3107,1999
per,3111,2000
per,4157,2002
per,3694,2004
per,6001,2007
phl,7886,2002
phl,8207,2004
phl,17560,2007
pol,7653,1999
pol,7270,2000
pol,6439,2001
pol,6012,2002
pol,6405,2003
pol,6225,2004
pol,6167,2005
pol,5775,2006
pol,5583,2007
pol,6327,2008
prt,1720,2002
prt,2003,2004
prt,1110,2007
pri,632,1999
pri,631,2000
pri,571,2001
pri,588,2002
pri,524,2003
pri,513,2005
pri,511,2007
qat,128,2002
qat,151,2004
qat,199,2007
reu,139,2001
reu,107,2002
reu,95,2003
reu,86,2004
reu,98,2005
reu,83,2006
rou,2775,2002
rou,2612,2004
rou,2712,2007
rus,44580,2002
rus,45310,2004
rus,35970,2007
rwa,2473,2002
rwa,2756,2004
rwa,3077,2007
kna,6,2002
kna,7,2004
lca,22,2002
lca,29,2004
lca,29,2007
vct,6,2000
vct,6,2001
vct,6,2002
vct,12,2003
vct,10,2004
vct,8,2007
wsm,13,2002
wsm,13,2004
wsm,24,2007
smr,3,2002
smr,3,2004
smr,1,2007
stp,34,2002
stp,41,2004
stp,52,2007
sau,5636,2002
sau,5644,2004
sau,7166,2007
sen,3064,2002
sen,2699,2004
sen,4023,2007
srb,1350,1998
srb,1101,1999
srb,1004,2000
srb,1243,2001
srb,871,2002
srb,847,2003
srb,964,2004
srb,961,2005
srb,1023,2006
srb,962,2007
srb,1022,2008
scg,907,2002
scg,919,2004
syc,9,2002
syc,9,2004
syc,16,2007
sle,3061,2002
sle,2660,2004
sle,1661,2007
sgp,223,2002
sgp,305,2004
sgp,214,2007
svk,785,1994
svk,837,1995
svk,767,1996
svk,936,1997
svk,999,1998
svk,819,1999
svk,796,2000
svk,781,2001
svk,60,2002
svk,795,2003
svk,769,2004
svk,702,2005
svk,815,2007
svn,445,1985
svn,487,1986
svn,497,1987
svn,504,1988
svn,515,1989
svn,492,1990
svn,462,1991
svn,472,1992
svn,493,1993
svn,527,1994
svn,402,1995
svn,374,1996
svn,366,1997
svn,333,1998
svn,353,1999
svn,323,2000
svn,315,2001
svn,283,2002
svn,289,2003
svn,287,2004
svn,274,2005
svn,283,2006
svn,293,2007
svn,236,2008
slb,27,2002
slb,28,2004
slb,84,2007
som,3637,2002
som,1776,2004
zaf,13560,2002
zaf,18570,2004
zaf,16110,2007
esp,6636,1997
esp,6996,1998
esp,7024,1999
esp,7078,2000
esp,6681,2001
esp,6489,2002
esp,6454,2003
esp,5047,2004
esp,5374,2005
esp,4104,2006
lka,1627,2002
lka,1464,2004
lka,2603,2007
sdn,10120,2002
sdn,16800,2004
sdn,13360,2007
sur,96,2002
sur,129,2004
sur,84,2007
swz,241,2002
swz,277,2004
swz,300,2007
swe,682,1996
swe,616,1997
swe,596,1998
swe,631,1999
swe,659,2000
swe,675,2001
swe,558,2002
swe,593,2003
swe,543,2004
swe,515,2005
swe,525,2006
swe,471,2007
che,430,2002
che,466,2004
che,370,2006
syr,2275,2002
syr,2264,2004
syr,6552,2007
tjk,255,2002
tjk,226,2004
tjk,951,2007
tza,10140,2002
tza,10140,2004
tza,13890,2007
tha,14570,1990
tha,16700,1991
tha,18350,1992
tha,24250,1994
tha,26350,1995
tha,23740,1996
tha,21160,1997
tha,11450,1998
tha,16050,1999
tha,17400,2000
tha,18710,2002
tha,15610,2004
tha,17280,2006
tha,16240,2007
tls,128,2002
tls,119,2004
tls,186,2007
tgo,1526,2002
tgo,1354,2004
tgo,1851,2007
ton,6,2002
ton,5,2004
ton,7,2007
tto,164,2002
tto,218,2004
tto,207,2007
tun,3042,2002
tun,2559,2004
tun,3568,2007
tur,6224,2002
tur,8307,2004
tur,10070,2007
tkm,452,2002
tkm,407,2004
tkm,926,2007
tuv,1,2002
tuv,1,2004
tuv,1,2006
uga,6879,2002
uga,8438,2004
uga,7634,2007
ukr,6252,2002
ukr,9021,2004
ukr,9921,2007
are,1485,2002
are,935,2004
are,1626,2007
gbr,4068,1998
gbr,4105,1999
gbr,3917,2001
gbr,3864,2002
gbr,4144,2003
gbr,3743,2004
gbr,3818,2005
gbr,3298,2006
gbr,4039,2007
usa,46330,1997
usa,46250,1998
usa,46110,1999
usa,46070,2000
usa,46560,2001
usa,45080,2002
usa,47210,2003
usa,45610,2004
usa,47530,2005
usa,42640,2006
ury,357,2002
ury,364,2004
ury,145,2007
uzb,2189,2002
uzb,3128,2004
uzb,3203,2005
uzb,2644,2006
vut,14,2002
vut,14,2004
vut,42,2007
ven,6895,2002
ven,7004,2004
ven,6031,2006
vnm,12400,2002
vnm,11440,2004
vnm,14100,2007
vir,15,1999
vir,16,2000
vir,21,2001
vir,18,2002
vir,9,2003
vir,4,2005
pse,896,2007
yem,7560,2002
yem,8715,2004
yem,6553,2007
zmb,1424,2002
zmb,2790,2004
zmb,3056,2007
zwe,1946,2002
zwe,4342,2004
zwe,3669,2007
