newly_hiv_infected_percent_age_15_49,geo,time
0.88,civ,1996
0.72,civ,1997
0.6,civ,1998
0.51,civ,1999
0.45,civ,2000
0.39,civ,2001
0.34,civ,2002
0.3,civ,2003
0.26,civ,2004
0.22,civ,2005
0.19,civ,2006
0.16,civ,2007
0.13,civ,2008
0.11,civ,2009
0.06,hrv,2011
0.06,cub,2011
0.06,dnk,2011
0.3,dji,1990
0.35,dji,1991
0.4,dji,1992
0.44,dji,1993
0.45,dji,1994
0.45,dji,1995
0.43,dji,1996
0.39,dji,1997
0.36,dji,1998
0.33,dji,1999
0.3,dji,2000
0.29,dji,2001
0.27,dji,2002
0.26,dji,2003
0.25,dji,2004
0.25,dji,2005
0.24,dji,2006
0.25,dji,2007
0.25,dji,2008
0.25,dji,2009
0.14,dom,1990
0.15,dom,1991
0.15,dom,1992
0.16,dom,1993
0.16,dom,1994
0.15,dom,1995
0.13,dom,1996
0.12,dom,1997
0.11,dom,1998
0.1,dom,1999
0.1,dom,2000
0.06,dom,2001
0.06,dom,2002
0.06,dom,2003
0.06,dom,2004
0.06,dom,2005
0.06,dom,2006
0.06,dom,2007
0.06,dom,2008
0.06,dom,2009
0.06,dom,2010
0.06,dom,2011
0.06,ecu,2011
0.06,egy,2011
0.06,slv,2011
0.56,gnq,2011
0.13,eri,1990
0.17,eri,1991
0.2,eri,1992
0.22,eri,1993
0.21,eri,1994
0.2,eri,1995
0.18,eri,1996
0.16,eri,1997
0.14,eri,1998
0.12,eri,1999
0.11,eri,2000
0.06,eri,2001
0.06,eri,2002
0.06,eri,2003
0.06,eri,2004
0.06,eri,2005
0.06,eri,2006
0.06,eri,2007
0.06,eri,2008
0.06,eri,2009
0.06,eri,2011
0.06,est,2011
0.36,eth,1990
0.44,eth,1991
0.52,eth,1992
0.55,eth,1993
0.56,eth,1994
0.56,eth,1995
0.54,eth,1996
0.51,eth,1997
0.46,eth,1998
0.41,eth,1999
0.35,eth,2000
0.29,eth,2001
0.22,eth,2002
0.16,eth,2003
0.11,eth,2004
0.06,eth,2005
0.06,eth,2006
0.06,eth,2007
0.06,eth,2008
0.06,eth,2009
0.06,eth,2010
0.06,eth,2011
0.06,fji,2011
0.06,fin,2011
0.06,fra,1990
0.06,fra,1991
0.06,fra,1992
0.06,fra,1993
0.06,fra,1994
0.06,fra,1995
0.06,fra,1996
0.06,fra,1997
0.06,fra,1998
0.06,fra,1999
0.06,fra,2000
0.06,fra,2001
0.06,fra,2002
