geo,female_service_workers_percent_of_female_labour_force,time
pri,89.4,2007
qat,97.7,1997
qat,95.9,2001
qat,96.5,2004
qat,95.9,2006
mda,40.0,2000
mda,39.5,2001
mda,40.6,2002
mda,46.3,2003
mda,48.3,2004
mda,48.2,2005
mda,55.6,2006
mda,57.5,2007
rou,26.7,1980
rou,27.1,1981
rou,27.1,1982
rou,26.9,1983
rou,26.8,1984
rou,27.0,1985
rou,27.1,1986
rou,27.3,1987
rou,27.4,1988
rou,27.8,1989
rou,29.2,1990
rou,32.6,1991
rou,32.5,1992
rou,31.0,1993
rou,29.5,1994
rou,29.5,1995
rou,32.1,1996
rou,32.5,1997
rou,32.8,1998
rou,33.1,1999
rou,33.4,2000
rou,33.3,2001
rou,37.1,2002
rou,37.8,2003
rou,41.6,2004
rou,42.2,2005
rou,43.3,2006
rou,44.3,2007
rus,68.9,1997
rus,69.9,1998
rus,66.0,1999
rus,66.5,2000
rus,67.9,2001
rus,68.4,2002
rus,69.4,2003
rus,70.4,2004
rus,70.7,2005
rus,71.6,2006
rus,72.9,2007
rwa,3.2,1989
kna,65.8,1984
lca,64.3,1993
lca,59.4,1994
lca,57.5,1995
lca,62.1,1996
lca,70.6,1997
lca,69.5,1998
lca,70.5,1999
lca,70.1,2000
lca,67.6,2002
lca,73.0,2003
lca,72.8,2004
vct,74.7,1991
vct,80.1,2001
smr,50.5,1980
smr,51.8,1981
smr,53.7,1982
smr,54.9,1983
smr,57.0,1984
smr,57.6,1985
smr,59.2,1986
smr,60.6,1987
smr,62.2,1988
smr,63.5,1989
smr,65.7,1990
smr,66.7,1991
smr,68.9,1992
smr,69.8,1993
smr,68.4,1995
smr,69.8,1996
smr,70.2,1997
smr,71.3,1998
smr,71.9,1999
smr,75.4,2001
smr,75.8,2002
smr,75.2,2003
smr,75.5,2004
smr,76.3,2005
smr,76.4,2006
smr,77.7,2007
stp,18.8,1980
stp,17.9,1981
stp,33.1,1982
stp,26.7,1983
stp,27.1,1984
stp,59.0,1991
stp,70.7,2000
sau,97.3,1999
sau,96.1,2000
sau,97.5,2001
sau,98.1,2002
sau,98.5,2006
sau,98.5,2007
sen,42.0,2006
srb,57.2,2004
srb,59.1,2005
srb,62.1,2006
srb,60.8,2007
sle,26.3,2004
sgp,58.8,1980
sgp,59.1,1981
sgp,61.0,1982
sgp,63.2,1983
sgp,63.3,1984
sgp,66.0,1985
sgp,66.1,1986
sgp,64.2,1987
sgp,64.0,1988
sgp,64.4,1989
sgp,65.6,1990
sgp,66.9,1991
sgp,67.7,1992
sgp,69.5,1993
sgp,71.3,1994
sgp,74.5,1995
sgp,73.8,1996
sgp,73.0,1997
sgp,74.4,1998
sgp,74.8,1999
sgp,78.8,2000
sgp,78.8,2001
sgp,79.2,2002
sgp,79.3,2003
sgp,80.3,2004
sgp,82.4,2006
sgp,81.9,2007
svk,63.8,1994
svk,65.0,1995
svk,65.1,1996
svk,66.1,1997
svk,67.4,1998
svk,69.3,1999
svk,70.6,2000
svk,70.6,2001
svk,69.9,2002
svk,70.6,2003
svk,71.0,2004
svk,72.0,2005
svk,72.8,2006
svk,73.4,2007
svn,53.9,1993
svn,54.9,1994
svn,55.3,1995
svn,57.8,1996
svn,56.7,1997
svn,57.6,1998
svn,61.0,1999
svn,61.5,2000
svn,60.7,2001
svn,61.5,2002
svn,65.0,2003
svn,64.3,2004
svn,65.3,2005
svn,67.2,2006
svn,65.4,2007
zaf,71.1,2000
zaf,78.3,2001
zaf,75.2,2002
zaf,78.6,2003
zaf,77.8,2004
zaf,80.2,2005
zaf,78.4,2006
zaf,79.7,2007
esp,60.2,1980
esp,62.2,1981
esp,63.8,1982
esp,64.2,1983
esp,65.6,1984
esp,66.5,1985
esp,69.1,1986
esp,69.7,1987
esp,70.9,1988
esp,72.2,1989
esp,72.8,1990
esp,74.7,1991
esp,75.8,1992
esp,77.2,1993
esp,78.1,1994
esp,79.0,1995
esp,79.9,1996
esp,80.4,1997
esp,80.7,1998
esp,81.1,1999
esp,80.7,2000
esp,81.1,2001
esp,81.6,2002
esp,82.6,2003
esp,83.4,2004
esp,84.0,2005
esp,85.1,2006
esp,85.4,2007
lka,27.6,1981
lka,24.4,1985
lka,31.7,1993
lka,26.9,1994
lka,27.6,1995
lka,34.0,1996
lka,27.3,1998
lka,17.1,2001
lka,33.9,2005
lka,33.0,2006
lka,34.4,2007
shn,93.3,1998
sur,87.1,1992
sur,88.4,1993
sur,88.6,1994
sur,88.5,1995
sur,91.6,1996
sur,89.9,1997
sur,85.5,1998
sur,96.6,1999
sur,82.2,2004
swe,80.6,1980
swe,81.6,1981
swe,82.3,1982
swe,82.7,1983
swe,83.0,1984
swe,83.0,1985
swe,83.3,1986
swe,83.0,1987
swe,83.4,1988
swe,83.4,1989
swe,84.1,1990
swe,84.9,1991
swe,85.8,1992
swe,86.3,1993
swe,86.7,1994
swe,86.5,1995
swe,86.6,1996
swe,86.5,1997
swe,86.5,1998
swe,86.9,1999
swe,87.3,2000
swe,87.8,2001
swe,88.7,2002
swe,89.2,2003
swe,89.2,2004
swe,89.5,2005
swe,89.6,2006
swe,89.8,2007
che,71.9,1980
che,72.0,1981
che,73.0,1982
che,74.1,1983
che,74.6,1984
che,74.5,1985
che,75.0,1986
che,76.0,1987
che,76.9,1988
che,77.5,1989
che,78.2,1990
che,79.5,1991
che,80.9,1992
che,81.1,1993
che,80.7,1994
che,80.6,1995
che,80.8,1996
che,82.1,1997
che,82.8,1998
che,83.1,1999
che,83.3,2000
che,83.7,2001
che,84.2,2002
che,84.8,2003
che,85.0,2004
che,85.3,2005
che,85.4,2006
che,86.0,2007
syr,36.9,1983
syr,38.8,1984
syr,40.1,1989
syr,34.5,1993
syr,53.0,1994
syr,29.1,1995
syr,60.4,1997
syr,39.9,1999
syr,45.1,2000
syr,35.2,2001
syr,31.6,2002
syr,42.7,2003
tjk,19.7,2004
tza,14.8,2001
tza,17.9,2006
tha,18.1,1980
tha,22.7,1981
tha,25.2,1982
tha,24.7,1983
tha,23.6,1984
tha,25.2,1985
tha,23.2,1986
tha,25.0,1987
tha,23.4,1988
tha,22.1,1989
tha,23.1,1990
tha,25.9,1991
tha,25.0,1992
tha,27.6,1993
tha,28.0,1994
tha,29.8,1995
tha,31.1,1996
tha,31.9,1997
tha,34.3,1998
tha,36.4,1999
tha,35.5,2000
tha,37.9,2001
tha,37.0,2002
tha,38.7,2003
tha,40.4,2004
tha,40.5,2005
tha,40.3,2006
tha,40.7,2007
mkd,45.4,2002
mkd,46.7,2003
mkd,54.7,2004
mkd,50.7,2005
mkd,50.1,2006
mkd,53.6,2007
ton,84.3,1984
ton,39.7,2003
tto,70.1,1980
tto,69.4,1981
tto,71.4,1982
tto,74.2,1983
tto,73.8,1984
tto,75.7,1985
tto,80.4,1986
tto,80.3,1987
tto,78.0,1988
tto,79.5,1989
tto,77.7,1991
tto,80.2,1992
tto,80.6,1993
tto,80.5,1994
tto,82.3,1995
tto,82.7,1996
tto,83.5,1997
tto,83.4,1998
tto,84.1,1999
tto,83.7,2000
tto,83.8,2001
tto,83.7,2002
tto,84.5,2003
tto,82.6,2004
tto,82.0,2005
tun,20.1,1980
tun,32.1,1989
tur,60.4,1982
tur,64.2,1983
tur,63.0,1984
tur,12.9,1985
tur,13.3,1988
tur,13.0,1989
tur,14.4,1990
tur,14.4,1991
tur,16.7,1992
tur,19.6,1993
tur,18.2,1994
tur,19.0,1995
tur,18.4,1996
tur,21.0,1997
tur,21.7,1998
tur,21.5,1999
tur,26.3,2000
tur,24.5,2001
tur,26.3,2002
tur,28.1,2003
tur,28.7,2004
tur,33.3,2005
tur,36.5,2006
tur,37.9,2007
uga,19.2,2003
are,85.9,1995
are,85.9,2000
are,92.3,2005
gbr,76.0,1980
gbr,77.8,1981
gbr,78.7,1982
gbr,79.6,1983
gbr,80.4,1984
gbr,80.7,1985
gbr,81.4,1986
gbr,81.9,1987
gbr,80.3,1988
gbr,80.8,1989
gbr,80.9,1990
gbr,81.3,1991
gbr,82.1,1992
gbr,82.6,1993
gbr,84.2,1994
gbr,84.4,1995
gbr,84.6,1996
gbr,85.5,1997
gbr,85.9,1998
gbr,86.4,1999
gbr,87.0,2000
gbr,87.7,2001
gbr,88.3,2002
gbr,89.0,2003
gbr,89.6,2004
gbr,89.5,2005
gbr,89.5,2006
gbr,89.5,2007
usa,79.9,1980
usa,80.2,1981
usa,81.1,1982
usa,81.6,1983
usa,81.5,1984
usa,82.1,1985
usa,82.6,1986
usa,82.8,1987
usa,82.9,1988
usa,83.2,1989
usa,83.8,1990
usa,84.1,1991
usa,84.5,1992
usa,85.2,1993
usa,85.0,1994
usa,85.2,1995
usa,85.3,1996
usa,85.4,1997
usa,85.7,1998
usa,86.2,1999
usa,86.2,2000
usa,86.9,2001
usa,87.8,2002
usa,89.0,2003
usa,89.3,2004
usa,89.6,2005
usa,89.8,2006
usa,89.9,2007
ury,78.4,1984
ury,77.6,1986
ury,75.9,1987
ury,77.4,1988
ury,76.9,1989
ury,78.2,1990
ury,76.8,1991
ury,78.4,1992
ury,79.2,1993
ury,80.5,1994
ury,81.7,1995
ury,84.4,1998
ury,84.9,1999
ury,85.4,2000
ury,84.9,2001
ury,86.5,2002
ury,86.2,2003
ury,85.6,2004
ury,85.7,2005
ury,82.3,2006
ury,82.5,2007
ven,79.2,1980
ven,80.6,1981
ven,80.4,1982
ven,82.3,1983
ven,82.2,1984
ven,81.4,1985
ven,80.4,1986
ven,79.7,1987
ven,79.8,1988
ven,81.2,1989
ven,82.2,1990
ven,82.1,1991
ven,82.2,1992
ven,83.0,1993
ven,86.0,2003
ven,85.8,2006
ven,86.0,2007
vnm,20.7,1996
vnm,23.5,1997
vnm,25.2,1998
vnm,24.7,1999
vnm,23.6,2000
vnm,23.8,2001
vnm,25.1,2002
vnm,25.3,2003
vnm,26.3,2004
pse,55.6,1996
pse,54.9,1997
pse,53.3,1998
pse,53.6,1999
pse,53.4,2000
pse,62.8,2001
pse,60.1,2002
pse,57.2,2003
pse,56.3,2004
pse,57.2,2005
pse,55.3,2006
pse,52.5,2007
yem,13.4,1991
yem,9.4,1994
yem,9.2,1998
yem,9.2,1999
zmb,17.8,1990
zmb,20.0,1998
zmb,18.4,2000
zwe,20.4,1999
