geo,aid_given_percent_of_gni,time
nor,1.03,1984
nor,1.01,1985
nor,1.17,1986
nor,1.09,1987
nor,1.13,1988
nor,1.05,1989
nor,1.17,1990
nor,1.13,1991
nor,1.16,1992
nor,1.01,1993
nor,1.05,1994
nor,0.86,1995
nor,0.83,1996
nor,0.84,1997
nor,0.89,1998
nor,0.88,1999
nor,0.76,2000
nor,0.8,2001
nor,0.89,2002
nor,0.92,2003
nor,0.87,2004
nor,0.94,2005
nor,0.89,2006
nor,0.95,2007
nor,0.88,2008
prt,0.02,1980
prt,0.03,1981
prt,0.02,1982
prt,0.06,1983
prt,0.04,1984
prt,0.05,1985
prt,0.08,1986
prt,0.11,1987
prt,0.21,1988
prt,0.25,1989
prt,0.24,1990
prt,0.3,1991
prt,0.35,1992
prt,0.28,1993
prt,0.34,1994
prt,0.25,1995
prt,0.21,1996
prt,0.25,1997
prt,0.24,1998
prt,0.26,1999
prt,0.26,2000
prt,0.25,2001
prt,0.27,2002
prt,0.22,2003
prt,0.63,2004
prt,0.21,2005
prt,0.21,2006
prt,0.22,2007
prt,0.27,2008
esp,0.08,1980
esp,0.13,1981
esp,0.13,1982
esp,0.04,1983
esp,0.08,1984
esp,0.1,1985
esp,0.09,1986
esp,0.08,1987
esp,0.07,1988
esp,0.14,1989
esp,0.2,1990
esp,0.24,1991
esp,0.27,1992
esp,0.28,1993
esp,0.28,1994
esp,0.24,1995
esp,0.22,1996
esp,0.24,1997
esp,0.24,1998
esp,0.23,1999
esp,0.22,2000
esp,0.3,2001
esp,0.26,2002
esp,0.23,2003
esp,0.24,2004
esp,0.27,2005
esp,0.32,2006
esp,0.37,2007
esp,0.43,2008
swe,0.05,1960
swe,0.06,1961
swe,0.12,1962
swe,0.14,1963
swe,0.18,1964
swe,0.19,1965
swe,0.25,1966
swe,0.25,1967
swe,0.28,1968
swe,0.43,1969
swe,0.35,1970
swe,0.44,1971
swe,0.46,1972
swe,0.53,1973
swe,0.69,1974
swe,0.78,1975
swe,0.78,1976
swe,0.95,1977
swe,0.86,1978
swe,0.92,1979
swe,0.78,1980
swe,0.83,1981
swe,1.02,1982
swe,0.84,1983
swe,0.8,1984
swe,0.86,1985
swe,0.85,1986
swe,0.88,1987
swe,0.86,1988
swe,0.96,1989
swe,0.91,1990
swe,0.9,1991
swe,1.03,1992
swe,0.99,1993
swe,0.96,1994
swe,0.77,1995
swe,0.84,1996
swe,0.79,1997
swe,0.72,1998
swe,0.7,1999
swe,0.8,2000
swe,0.77,2001
swe,0.84,2002
swe,0.79,2003
swe,0.78,2004
swe,0.94,2005
swe,1.02,2006
swe,0.93,2007
swe,0.98,2008
che,0.04,1960
che,0.08,1961
che,0.05,1962
che,0.05,1963
che,0.07,1964
che,0.09,1965
che,0.09,1966
che,0.08,1967
che,0.14,1968
che,0.16,1969
che,0.14,1970
che,0.11,1971
che,0.21,1972
che,0.15,1973
che,0.14,1974
che,0.18,1975
che,0.19,1976
che,0.19,1977
che,0.2,1978
che,0.21,1979
che,0.24,1980
che,0.24,1981
che,0.25,1982
che,0.31,1983
che,0.3,1984
che,0.31,1985
che,0.3,1986
che,0.31,1987
che,0.32,1988
che,0.3,1989
che,0.32,1990
che,0.36,1991
che,0.45,1992
che,0.33,1993
che,0.36,1994
che,0.34,1995
che,0.34,1996
che,0.34,1997
che,0.32,1998
che,0.35,1999
che,0.34,2000
che,0.34,2001
che,0.33,2002
che,0.37,2003
che,0.4,2004
che,0.44,2005
che,0.39,2006
che,0.37,2007
che,0.41,2008
gbr,0.56,1960
gbr,0.59,1961
gbr,0.52,1962
gbr,0.48,1963
gbr,0.53,1964
gbr,0.47,1965
gbr,0.45,1966
gbr,0.44,1967
gbr,0.4,1968
gbr,0.43,1969
gbr,0.39,1970
gbr,0.44,1971
gbr,0.42,1972
gbr,0.36,1973
gbr,0.4,1974
gbr,0.38,1975
gbr,0.39,1976
gbr,0.44,1977
gbr,0.46,1978
gbr,0.51,1979
gbr,0.35,1980
gbr,0.43,1981
gbr,0.37,1982
gbr,0.35,1983
gbr,0.33,1984
gbr,0.33,1985
gbr,0.31,1986
gbr,0.28,1987
gbr,0.32,1988
gbr,0.31,1989
gbr,0.27,1990
gbr,0.32,1991
gbr,0.31,1992
gbr,0.31,1993
gbr,0.31,1994
gbr,0.29,1995
gbr,0.27,1996
gbr,0.26,1997
gbr,0.27,1998
