geo,adults_with_hiv_percent_age_15_49,time
nam,2.2,1991
nam,3.0,1992
nam,4.1,1993
nam,5.5,1994
nam,7.1,1995
nam,8.9,1996
nam,10.7,1997
nam,12.5,1998
nam,14.1,1999
nam,15.3,2000
nam,16.1,2001
nam,16.5,2002
nam,16.5,2003
nam,16.2,2004
nam,15.7,2005
nam,15.0,2006
nam,14.3,2007
nam,13.7,2008
nam,13.7,2009
nam,13.6,2010
nam,13.4,2011
npl,0.01,1985
npl,0.2,1990
npl,0.3,1991
npl,0.3,1992
npl,0.3,1993
npl,0.4,1994
npl,0.4,1995
npl,0.4,1996
npl,0.4,1997
npl,0.5,1998
npl,0.5,1999
npl,0.5,2000
npl,0.5,2001
npl,0.5,2002
npl,0.5,2003
npl,0.5,2004
npl,0.4,2005
npl,0.4,2006
npl,0.4,2007
npl,0.4,2008
npl,0.4,2009
npl,0.3,2010
npl,0.3,2011
nld,0.01081,1982
nld,0.1,1990
nld,0.1,1991
nld,0.1,1992
nld,0.1,1993
nld,0.1,1994
nld,0.2,1995
nld,0.2,1996
nld,0.2,1997
nld,0.2,1998
nld,0.2,1999
nld,0.2,2000
nld,0.2,2001
nld,0.2,2002
nld,0.2,2003
nld,0.2,2004
nld,0.2,2005
nld,0.2,2006
nld,0.2,2007
nld,0.2,2008
nld,0.2,2009
nld,0.2,2010
nld,0.2,2011
nzl,0.01137,1986
nzl,0.1,1990
nzl,0.1,1991
nzl,0.1,1992
nzl,0.06,1993
nzl,0.06,1994
nzl,0.06,1995
nzl,0.1,1996
nzl,0.1,1997
nzl,0.1,1998
nzl,0.1,1999
nzl,0.1,2000
nzl,0.1,2001
nzl,0.1,2002
nzl,0.1,2003
nzl,0.1,2004
nzl,0.1,2005
nzl,0.1,2006
nzl,0.1,2007
nzl,0.1,2008
nzl,0.1,2009
nzl,0.1,2010
nzl,0.1,2011
nic,0.00951,1986
nic,0.06,1990
nic,0.06,1991
nic,0.06,1992
nic,0.1,1993
nic,0.1,1994
nic,0.1,1995
nic,0.1,1996
nic,0.1,1997
nic,0.1,1998
nic,0.1,1999
nic,0.1,2000
nic,0.1,2001
nic,0.1,2002
nic,0.1,2003
nic,0.2,2004
nic,0.2,2005
nic,0.2,2006
nic,0.2,2007
nic,0.2,2008
nic,0.2,2009
nic,0.2,2010
nic,0.2,2011
ner,0.01143,1983
ner,0.1,1990
ner,0.1,1991
ner,0.2,1992
ner,0.3,1993
ner,0.4,1994
ner,0.6,1995
ner,0.7,1996
ner,0.9,1997
ner,0.9,1998
ner,1.0,1999
ner,1.0,2000
ner,1.0,2001
ner,1.0,2002
ner,1.0,2003
ner,0.9,2004
ner,0.9,2005
ner,0.9,2006
ner,0.8,2007
ner,0.8,2008
ner,0.8,2009
ner,0.8,2010
ner,0.8,2011
nga,0.03798,1979
nga,1.3,1990
nga,2.2,1991
nga,3.1,1992
nga,3.6,1993
nga,3.8,1994
nga,4.0,1995
nga,4.0,1996
nga,4.0,1997
nga,4.0,1998
nga,4.0,1999
nga,3.9,2000
nga,3.8,2001
nga,3.8,2002
nga,3.7,2003
nga,3.7,2004
nga,3.7,2005
nga,3.6,2006
nga,3.6,2007
nga,3.6,2008
nga,3.6,2009
nga,3.7,2010
nga,3.7,2011
nor,0.01445,1983
nor,0.06,1990
nor,0.06,1991
nor,0.1,1992
nor,0.1,1993
nor,0.1,1994
nor,0.1,1995
nor,0.1,1996
nor,0.1,1997
nor,0.1,1998
nor,0.1,1999
nor,0.1,2000
nor,0.1,2001
nor,0.1,2002
nor,0.1,2003
nor,0.1,2004
nor,0.1,2005
