geo,total_gdp_us_inflation_adjusted,time
bwa,159800000,1964
bwa,169000000,1965
bwa,179800000,1966
bwa,190400000,1967
bwa,210500000,1968
bwa,242400000,1969
bwa,283900000,1970
bwa,357200000,1971
bwa,451300000,1972
bwa,547500000,1973
bwa,595600000,1974
bwa,645900000,1975
bwa,714700000,1976
bwa,800600000,1977
bwa,915300000,1978
bwa,1027000000,1979
bwa,1150000000,1980
bwa,1254000000,1981
bwa,1406000000,1982
bwa,1591000000,1983
bwa,1727000000,1984
bwa,1850000000,1985
bwa,2001000000,1986
bwa,2239000000,1987
bwa,2675000000,1988
bwa,3024000000,1989
bwa,3229000000,1990
bwa,3470000000,1991
bwa,3571000000,1992
bwa,3639000000,1993
bwa,3771000000,1994
bwa,3937000000,1995
bwa,4156000000,1996
bwa,4579000000,1997
bwa,5063000000,1998
bwa,5319000000,1999
bwa,5632000000,2000
bwa,5832000000,2001
bwa,6357000000,2002
bwa,6756000000,2003
bwa,7160000000,2004
bwa,7278000000,2005
bwa,7652000000,2006
bwa,8020000000,2007
bwa,8255000000,2008
bwa,7857000000,2009
bwa,8408000000,2010
bwa,8833000000,2011
bra,105300000000,1960
bra,116200000000,1961
bra,122200000000,1962
bra,123300000000,1963
bra,127600000000,1964
bra,131500000000,1965
bra,136900000000,1966
bra,143700000000,1967
bra,160100000000,1968
bra,175700000000,1969
bra,191100000000,1970
bra,212700000000,1971
bra,238300000000,1972
bra,271600000000,1973
bra,296200000000,1974
bra,311600000000,1975
bra,342100000000,1976
bra,357900000000,1977
bra,369400000000,1978
bra,394400000000,1979
bra,430400000000,1980
bra,411500000000,1981
bra,413900000000,1982
bra,399700000000,1983
bra,420800000000,1984
bra,454200000000,1985
bra,490500000000,1986
bra,508200000000,1987
bra,507700000000,1988
bra,524300000000,1989
bra,501800000000,1990
bra,509400000000,1991
bra,507000000000,1992
bra,530600000000,1993
bra,558900000000,1994
bra,583600000000,1995
bra,596200000000,1996
bra,616300000000,1997
bra,616500000000,1998
bra,618100000000,1999
bra,644700000000,2000
bra,653100000000,2001
bra,670500000000,2002
bra,678200000000,2003
bra,717000000000,2004
bra,739600000000,2005
bra,768900000000,2006
bra,815700000000,2007
bra,857900000000,2008
bra,855100000000,2009
bra,919500000000,2010
bra,944600000000,2011
brn,3547000000,1974
brn,3560000000,1975
brn,4277000000,1976
brn,4744000000,1977
brn,5066000000,1978
brn,6209000000,1979
brn,5774000000,1980
brn,4630000000,1981
brn,4813000000,1982
brn,4837000000,1983
brn,4866000000,1984
brn,4793000000,1985
brn,4663000000,1986
brn,4757000000,1987
brn,4809000000,1988
brn,4757000000,1989
brn,4809000000,1990
brn,4961000000,1991
brn,5197000000,1992
brn,5212000000,1993
brn,5376000000,1994
brn,5617000000,1995
brn,5779000000,1996
brn,5694000000,1997
brn,5662000000,1998
brn,5835000000,1999
brn,6001000000,2000
brn,6166000000,2001
brn,6405000000,2002
brn,6591000000,2003
brn,6624000000,2004
brn,6649000000,2005
brn,6942000000,2006
brn,6953000000,2007
brn,6818000000,2008
brn,6697000000,2009
brn,6872000000,2010
bgr,11460000000,1980
bgr,12030000000,1981
bgr,12310000000,1982
bgr,12730000000,1983
bgr,13160000000,1984
bgr,13510000000,1985
bgr,14080000000,1986
bgr,14940000000,1987
bgr,16570000000,1988
bgr,16030000000,1989
bgr,14560000000,1990
bgr,13330000000,1991
bgr,12360000000,1992
bgr,12180000000,1993
bgr,12400000000,1994
bgr,12760000000,1995
bgr,11610000000,1996
bgr,11410000000,1997
bgr,11970000000,1998
bgr,12200000000,1999
bgr,12900000000,2000
bgr,13440000000,2001
bgr,14060000000,2002
bgr,14840000000,2003
bgr,15840000000,2004
bgr,16850000000,2005
bgr,17950000000,2006
bgr,19100000000,2007
bgr,20290000000,2008
bgr,19170000000,2009
bgr,19250000000,2010
bgr,19570000000,2011
bfa,596600000,1960
bfa,620700000,1961
bfa,658800000,1962
bfa,650400000,1963
bfa,665300000,1964
bfa,690300000,1965
bfa,694000000,1966
bfa,755300000,1967
bfa,778500000,1968
bfa,794200000,1969
bfa,795200000,1970
bfa,806400000,1971
bfa,825000000,1972
bfa,828700000,1973
bfa,897400000,1974
bfa,924300000,1975
bfa,1003000000,1976
bfa,1007000000,1977
bfa,1053000000,1978
bfa,1092000000,1979
bfa,1101000000,1980
bfa,1147000000,1981
bfa,1257000000,1982
bfa,1262000000,1983
bfa,1239000000,1984
bfa,1345000000,1985
bfa,1452000000,1986
bfa,1448000000,1987
bfa,1532000000,1988
bfa,1565000000,1989
bfa,1556000000,1990
bfa,1697000000,1991
bfa,1701000000,1992
bfa,1760000000,1993
bfa,1783000000,1994
bfa,1885000000,1995
bfa,2092000000,1996
bfa,2224000000,1997
bfa,2387000000,1998
bfa,2564000000,1999
bfa,2611000000,2000
bfa,2785000000,2001
bfa,2915000000,2002
bfa,3150000000,2003
bfa,3296000000,2004
bfa,3581000000,2005
bfa,3823000000,2006
bfa,3961000000,2007
bfa,4191000000,2008
bfa,4315000000,2009
bfa,4656000000,2010
bfa,4849000000,2011
bdi,341100000,1960
bdi,294200000,1961
bdi,320900000,1962
bdi,334200000,1963
bdi,355100000,1964
bdi,369200000,1965
bdi,386300000,1966
bdi,439600000,1967
bdi,438300000,1968
bdi,431900000,1969
bdi,524000000,1970
bdi,538400000,1971
bdi,504000000,1972
bdi,538700000,1973
bdi,534800000,1974
bdi,538500000,1975
bdi,581300000,1976
bdi,647900000,1977
bdi,641800000,1978
bdi,652500000,1979
bdi,659000000,1980
bdi,739200000,1981
bdi,731400000,1982
bdi,758500000,1983
bdi,759700000,1984
bdi,849200000,1985
bdi,876800000,1986
bdi,925100000,1987
bdi,971600000,1988
bdi,984700000,1989
bdi,1019000000,1990
bdi,1070000000,1991
bdi,1081000000,1992
bdi,1013000000,1993
bdi,974700000,1994
bdi,897500000,1995
bdi,825700000,1996
bdi,812600000,1997
bdi,851200000,1998
bdi,842600000,1999
bdi,835300000,2000
bdi,852500000,2001
bdi,890400000,2002
bdi,879500000,2003
bdi,922000000,2004
bdi,930300000,2005
bdi,980400000,2006
bdi,1027000000,2007
bdi,1079000000,2008
bdi,1117000000,2009
bdi,1159000000,2010
bdi,1207000000,2011
khm,2211000000,1993
khm,2412000000,1994
khm,2568000000,1995
khm,2707000000,1996
khm,2859000000,1997
khm,3002000000,1998
khm,3360000000,1999
khm,3654000000,2000
khm,3948000000,2001
khm,4212000000,2002
khm,4570000000,2003
khm,5043000000,2004
khm,5711000000,2005
khm,6326000000,2006
khm,6972000000,2007
khm,7438000000,2008
khm,7445000000,2009
khm,7889000000,2010
khm,8436000000,2011
cmr,2538000000,1960
cmr,2786000000,1961
cmr,2871000000,1962
cmr,2978000000,1963
cmr,3084000000,1964
cmr,3146000000,1965
cmr,3291000000,1966
cmr,2932000000,1967
cmr,3118000000,1968
cmr,3271000000,1969
cmr,3372000000,1970
cmr,3489000000,1971
cmr,3583000000,1972
cmr,3775000000,1973
cmr,4180000000,1974
cmr,4650000000,1975
cmr,4394000000,1976
cmr,4998000000,1977
cmr,6098000000,1978
cmr,6466000000,1979
cmr,6339000000,1980
cmr,7422000000,1981
cmr,7980000000,1982
cmr,8527000000,1983
cmr,9165000000,1984
cmr,9904000000,1985
cmr,10570000000,1986
cmr,10350000000,1987
cmr,9538000000,1988
cmr,9364000000,1989
cmr,8793000000,1990
cmr,8458000000,1991
cmr,8196000000,1992
cmr,7933000000,1993
cmr,7735000000,1994
cmr,7990000000,1995
cmr,8390000000,1996
cmr,8818000000,1997
cmr,9262000000,1998
