geo,total_health_spending_per_person_international_dollar,time
cmr,72.28,1996
cmr,68.0,1997
cmr,67.39,1998
cmr,69.93,1999
cmr,73.51,2000
cmr,80.6,2001
cmr,86.16,2002
cmr,91.55,2003
cmr,90.79,2004
cmr,94.26,2005
cmr,96.89,2006
cmr,101.2,2007
cmr,111.9,2008
cmr,116.7,2009
cmr,121.6,2010
can,2054.0,1995
can,2056.0,1996
can,2150.0,1997
can,2309.0,1998
can,2416.0,1999
can,2519.0,2000
can,2733.0,2001
can,2871.0,2002
can,3058.0,2003
can,3211.0,2004
can,3449.0,2005
can,3673.0,2006
can,3850.0,2007
can,3996.0,2008
can,4314.0,2009
can,4404.0,2010
cpv,76.19,1995
cpv,72.19,1996
cpv,72.49,1997
cpv,86.18,1998
cpv,86.58,1999
cpv,95.12,2000
cpv,108.4,2001
cpv,111.1,2002
cpv,109.8,2003
cpv,120.6,2004
cpv,125.1,2005
cpv,159.9,2006
cpv,167.6,2007
cpv,177.0,2008
cpv,174.4,2009
cpv,184.0,2010
caf,22.43,1995
caf,21.28,1996
caf,23.32,1997
caf,22.3,1998
caf,23.21,1999
caf,26.11,2000
caf,26.22,2001
caf,26.66,2002
caf,25.57,2003
caf,25.96,2004
caf,25.07,2005
caf,26.76,2006
caf,30.44,2007
caf,30.03,2008
caf,30.49,2009
caf,31.15,2010
tcd,36.43,1995
tcd,34.91,1996
tcd,36.78,1997
tcd,37.72,1998
tcd,39.87,1999
tcd,41.75,2000
tcd,44.17,2001
tcd,62.45,2002
tcd,50.95,2003
tcd,59.69,2004
tcd,64.99,2005
tcd,55.57,2006
tcd,58.05,2007
tcd,48.95,2008
tcd,60.33,2009
tcd,61.67,2010
chl,500.1,1995
chl,599.9,1996
chl,641.7,1997
chl,711.6,1998
chl,724.0,1999
chl,768.4,2000
chl,815.9,2001
chl,834.6,2002
chl,779.6,2003
chl,798.2,2004
chl,842.7,2005
chl,863.6,2006
chl,958.9,2007
chl,1094.0,2008
chl,1209.0,2009
chl,1199.0,2010
chn,52.6,1995
chn,62.6,1996
chn,73.46,1997
chn,85.68,1998
chn,96.06,1999
chn,108.1,2000
chn,117.9,2001
chn,136.4,2002
chn,153.5,2003
chn,169.3,2004
chn,191.0,2005
chn,214.9,2006
chn,240.4,2007
chn,284.8,2008
chn,347.2,2009
chn,378.9,2010
col,405.8,1995
col,495.5,1996
col,559.1,1997
col,545.5,1998
col,522.1,1999
col,428.8,2000
col,437.5,2001
col,449.0,2002
col,494.4,2003
col,510.3,2004
col,544.0,2005
col,580.8,2006
col,618.5,2007
col,621.9,2008
col,686.7,2009
col,712.6,2010
com,36.49,1995
com,34.48,1996
com,35.33,1997
com,31.4,1998
com,29.88,1999
com,26.85,2000
com,22.06,2001
com,28.25,2002
com,30.71,2003
com,33.93,2004
com,38.56,2005
com,42.45,2006
com,46.07,2007
com,49.09,2008
com,34.34,2009
com,49.11,2010
cod,10.9,1995
cod,9.867,1996
cod,11.09,1997
cod,12.6,1998
cod,10.74,1999
cod,11.19,2000
cod,9.908,2001
cod,9.876,2002
cod,12.54,2003
cod,14.22,2004
cod,16.2,2005
cod,17.87,2006
cod,19.13,2007
cod,23.76,2008
cod,31.35,2009
cod,27.25,2010
cog,81.04,1995
cog,75.66,1996
