geo,population_aged_0_4_years_both_sexes_percent,time
ltu,8.648,1950
ltu,9.958,1955
ltu,9.716,1960
ltu,9.63,1965
ltu,8.564,1970
ltu,8.301,1975
ltu,7.589,1980
ltu,7.812,1985
ltu,7.842,1990
ltu,6.615,1995
ltu,5.316,2000
ltu,4.508,2005
ltu,4.702,2010
ltu,4.962,2015
ltu,5.067,2020
ltu,4.993,2025
ltu,4.71,2030
ltu,4.351,2035
ltu,4.38,2040
ltu,4.669,2045
ltu,4.998,2050
lux,6.441,1950
lux,6.908,1955
lux,7.987,1960
lux,7.784,1965
lux,7.122,1970
lux,5.833,1975
lux,5.495,1980
lux,5.707,1985
lux,6.037,1990
lux,6.618,1995
lux,6.437,2000
lux,5.857,2005
lux,5.691,2010
lux,5.598,2015
lux,5.839,2020
lux,6.014,2025
lux,6.026,2030
lux,5.873,2035
lux,5.63,2040
lux,5.54,2045
lux,5.571,2050
mac,12.63,1950
mac,16.76,1955
mac,13.29,1960
mac,13.94,1965
mac,9.412,1970
mac,9.486,1975
mac,7.905,1980
mac,11.8,1985
mac,10.75,1990
mac,8.232,1995
mac,5.43,2000
mac,3.696,2005
mac,4.197,2010
mac,4.218,2015
mac,4.266,2020
mac,3.821,2025
mac,3.273,2030
mac,3.1,2035
mac,3.1,2040
mac,3.328,2045
mac,3.535,2050
mkd,14.24,1950
mkd,14.25,1955
mkd,13.35,1960
mkd,12.75,1965
mkd,11.01,1970
mkd,10.67,1975
mkd,9.816,1980
mkd,9.25,1985
mkd,8.586,1990
mkd,7.837,1995
mkd,6.67,2000
mkd,5.796,2005
mkd,5.341,2010
mkd,5.384,2015
mkd,5.327,2020
mkd,5.15,2025
mkd,4.908,2030
mkd,4.637,2035
mkd,4.573,2040
mkd,4.677,2045
mkd,4.793,2050
mdg,15.46,1950
mdg,17.94,1955
mdg,18.21,1960
mdg,18.27,1965
mdg,18.41,1970
mdg,18.78,1975
mdg,18.6,1980
mdg,17.07,1985
mdg,18.11,1990
mdg,18.29,1995
mdg,17.83,2000
mdg,16.65,2005
mdg,15.62,2010
mdg,14.66,2015
mdg,13.7,2020
mdg,12.75,2025
mdg,11.85,2030
mdg,11.02,2035
mdg,10.29,2040
mdg,9.621,2045
mdg,9.02,2050
mwi,19.29,1950
mwi,18.47,1955
mwi,18.98,1960
mwi,19.34,1965
mwi,19.65,1970
mwi,19.62,1975
mwi,20.01,1980
mwi,19.6,1985
mwi,18.79,1990
mwi,18.56,1995
mwi,18.86,2000
mwi,18.07,2005
mwi,17.08,2010
mwi,16.36,2015
mwi,15.64,2020
mwi,14.69,2025
mwi,13.59,2030
mwi,12.56,2035
mwi,11.71,2040
mwi,11.01,2045
mwi,10.34,2050
mys,16.69,1950
mys,18.26,1955
mys,18.61,1960
mys,18.04,1965
mys,16.36,1970
mys,15.28,1975
mys,13.57,1980
mys,15.3,1985
mys,13.68,1990
mys,12.84,1995
mys,11.42,2000
mys,10.66,2005
mys,9.755,2010
mys,9.04,2015
mys,8.317,2020
mys,7.578,2025
mys,6.94,2030
mys,6.682,2035
mys,6.475,2040
mys,6.238,2045
mys,5.968,2050
mdv,12.35,1950
mdv,16.67,1955
mdv,16.49,1960
mdv,15.6,1965
mdv,15.83,1970
mdv,16.91,1975
mdv,17.72,1980
mdv,18.92,1985
mdv,18.43,1990
mdv,15.85,1995
mdv,11.36,2000
mdv,8.904,2005
mdv,8.946,2010
mdv,8.929,2015
mdv,8.587,2020
mdv,7.833,2025
mdv,6.948,2030
mdv,6.22,2035
mdv,6.032,2040
mdv,6.067,2045
mdv,5.921,2050
mli,16.12,1950
mli,15.73,1955
mli,16.83,1960
mli,17.05,1965
mli,17.37,1970
mli,17.1,1975
mli,17.21,1980
mli,17.97,1985
mli,18.21,1990
mli,17.98,1995
mli,17.5,2000
mli,17.3,2005
mli,17.33,2010
mli,16.67,2015
mli,15.59,2020
mli,14.46,2025
mli,13.38,2030
mli,12.57,2035
mli,11.91,2040
mli,11.23,2045
mli,10.53,2050
mlt,15.11,1950
mlt,13.69,1955
mlt,13.33,1960
mlt,10.49,1965
mlt,7.541,1970
mlt,8.224,1975
mlt,8.385,1980
mlt,8.14,1985
mlt,7.542,1990
mlt,6.878,1995
mlt,5.928,2000
mlt,4.975,2005
mlt,4.412,2010
mlt,4.567,2015
mlt,4.728,2020
mlt,4.46,2025
mlt,4.439,2030
mlt,4.235,2035
mlt,4.038,2040
mlt,4.057,2045
mlt,4.327,2050
mtq,15.38,1950
mtq,17.14,1955
mtq,15.85,1960
mtq,16.45,1965
mtq,14.94,1970
mtq,12.12,1975
mtq,7.951,1980
mtq,8.529,1985
mtq,8.357,1990
mtq,7.859,1995
mtq,7.292,2000
mtq,6.801,2005
mtq,6.158,2010
mtq,5.783,2015
mtq,5.542,2020
mtq,5.516,2025
mtq,5.276,2030
mtq,5.072,2035
mtq,4.878,2040
mtq,4.738,2045
mtq,4.604,2050
mrt,17.69,1950
mrt,17.2,1955
mrt,18.16,1960
mrt,18.25,1965
mrt,18.1,1970
mrt,17.9,1975
mrt,17.76,1980
mrt,17.43,1985
mrt,17.11,1990
mrt,16.52,1995
mrt,15.86,2000
mrt,15.21,2005
mrt,14.47,2010
mrt,13.57,2015
mrt,12.37,2020
mrt,11.41,2025
mrt,10.7,2030
mrt,10.1,2035
mrt,9.525,2040
mrt,8.877,2045
mrt,8.248,2050
mus,18.05,1950
mus,18.77,1955
mus,18.66,1960
mus,17.93,1965
mus,13.92,1970
mus,11.42,1975
mus,11.28,1980
mus,10.25,1985
mus,9.28,1990
mus,9.84,1995
mus,8.612,2000
mus,7.668,2005
mus,6.785,2010
mus,6.876,2015
mus,6.701,2020
mus,6.495,2025
mus,6.127,2030
mus,5.882,2035
mus,5.734,2040
mus,5.66,2045
mus,5.61,2050
myt,12.5,1950
myt,15.79,1955
myt,17.39,1960
myt,19.35,1965
myt,18.92,1970
myt,19.57,1975
myt,20.0,1980
myt,18.31,1985
myt,18.48,1990
myt,17.89,1995
myt,16.89,2000
myt,14.37,2005
myt,12.12,2010
myt,11.26,2015
myt,10.53,2020
myt,9.818,2025
myt,8.94,2030
myt,7.975,2035
myt,7.225,2040
myt,6.812,2045
myt,6.753,2050
mex,17.21,1950
mex,18.91,1955
mex,18.9,1960
mex,18.44,1965
mex,18.27,1970
mex,18.07,1975
mex,15.97,1980
mex,14.25,1985
mex,13.17,1990
mex,12.47,1995
mex,11.03,2000
mex,10.06,2005
mex,9.076,2010
mex,8.135,2015
mex,7.338,2020
mex,6.866,2025
mex,6.575,2030
mex,6.213,2035
mex,5.83,2040
mex,5.5,2045
mex,5.266,2050
fsm,15.62,1950
fsm,18.92,1955
fsm,18.18,1960
fsm,16.98,1965
fsm,18.03,1970
fsm,17.74,1975
fsm,18.06,1980
fsm,17.65,1985
fsm,15.79,1990
fsm,14.95,1995
fsm,14.02,2000
fsm,12.73,2005
fsm,11.71,2010
fsm,11.5,2015
fsm,10.17,2020
fsm,9.917,2025
fsm,8.8,2030
fsm,8.594,2035
fsm,6.923,2040
fsm,7.031,2045
fsm,6.25,2050
mda,8.668,1950
mda,12.22,1955
mda,13.26,1960
mda,11.78,1965
mda,9.46,1970
mda,9.661,1975
mda,9.433,1980
mda,9.938,1985
mda,9.787,1990
mda,7.559,1995
mda,6.22,2000
mda,5.003,2005
mda,5.984,2010
mda,6.208,2015
mda,5.95,2020
mda,5.314,2025
mda,4.774,2030
mda,4.728,2035
mda,5.078,2040
mda,5.341,2045
mda,5.229,2050
mng,16.73,1950
mng,16.84,1955
mng,17.07,1960
mng,17.29,1965
mng,17.24,1970
mng,17.15,1975
mng,16.42,1980
mng,15.97,1985
mng,15.96,1990
mng,12.69,1995
mng,9.966,2000
mng,8.542,2005
mng,8.818,2010
mng,8.587,2015
mng,8.161,2020
mng,7.56,2025
mng,6.737,2030
mng,6.133,2035
mng,5.968,2040
mng,6.032,2045
mng,6.012,2050
mne,13.1,1950
mne,13.11,1955
mne,13.06,1960
mne,11.64,1965
mne,10.6,1970
mne,9.836,1975
mne,9.359,1980
mne,8.87,1985
mne,8.532,1990
mne,6.752,1995
mne,6.677,2000
mne,6.41,2005
mne,5.92,2010
mne,6.08,2015
mne,5.854,2020
mne,5.854,2025
mne,5.669,2030
mne,5.538,2035
mne,5.397,2040
mne,5.272,2045
mne,5.314,2050
mar,17.85,1950
mar,17.9,1955
mar,18.03,1960
mar,18.42,1965
mar,18.47,1970
mar,18.54,1975
mar,15.97,1980
mar,15.68,1985
mar,13.95,1990
mar,12.21,1995
mar,10.71,2000
mar,9.72,2005
mar,9.613,2010
mar,9.315,2015
mar,8.691,2020
mar,7.889,2025
mar,7.181,2030
mar,6.731,2035
mar,6.477,2040
mar,6.347,2045
mar,6.136,2050
moz,17.08,1950
moz,17.17,1955
moz,17.51,1960
moz,17.72,1965
moz,17.79,1970
moz,17.83,1975
moz,17.94,1980
moz,17.79,1985
moz,17.43,1990
moz,17.44,1995
moz,17.35,2000
moz,17.7,2005
moz,16.5,2010
moz,15.25,2015
moz,14.25,2020
moz,13.47,2025
moz,12.77,2030
moz,12.01,2035
moz,11.24,2040
moz,10.51,2045
moz,9.885,2050
mmr,14.0,1950
mmr,17.14,1955
mmr,16.76,1960
mmr,16.22,1965
mmr,15.98,1970
mmr,16.0,1975
mmr,14.88,1980
mmr,14.18,1985
mmr,12.41,1990
mmr,10.94,1995
mmr,9.729,2000
mmr,9.523,2005
mmr,9.175,2010
mmr,8.677,2015
mmr,7.979,2020
mmr,7.304,2025
mmr,6.807,2030
mmr,6.483,2035
mmr,6.271,2040
mmr,6.127,2045
mmr,5.922,2050
nam,15.67,1950
nam,16.48,1955
nam,16.67,1960
nam,16.84,1965
nam,17.2,1970
nam,18.25,1975
nam,18.54,1980
nam,17.62,1985
nam,16.54,1990
nam,16.0,1995
nam,14.42,2000
nam,13.43,2005
nam,12.7,2010
nam,11.99,2015
nam,11.36,2020
nam,10.72,2025
nam,9.997,2030
nam,9.37,2035
nam,8.885,2040
nam,8.454,2045
nam,8.025,2050
npl,15.0,1950
npl,15.75,1955
npl,16.18,1960
npl,16.46,1965
npl,16.56,1970
npl,16.63,1975
npl,16.69,1980
npl,16.47,1985
npl,16.15,1990
npl,15.9,1995
npl,15.09,2000
npl,13.39,2005
npl,11.68,2010
npl,10.96,2015
npl,10.58,2020
npl,9.971,2025
npl,9.164,2030
npl,8.403,2035
npl,7.83,2040
npl,7.396,2045
npl,6.99,2050
nld,11.93,1950
nld,10.32,1955
nld,10.06,1960
nld,9.884,1965
nld,9.113,1970
nld,7.522,1975
nld,6.256,1980
nld,5.998,1985
nld,6.273,1990
nld,6.305,1995
nld,6.171,2000
nld,6.11,2005
nld,5.579,2010
nld,5.309,2015
nld,5.332,2020
nld,5.459,2025
nld,5.463,2030
nld,5.384,2035
nld,5.25,2040
nld,5.157,2045
nld,5.173,2050
ant,14.41,1950
ant,18.03,1955
ant,16.3,1960
ant,13.7,1965
ant,11.46,1970
ant,10.78,1975
ant,9.04,1980
ant,9.392,1985
ant,8.995,1990
ant,9.424,1995
ant,7.735,2000
ant,7.027,2005
ant,6.468,2010
ant,5.854,2015
ant,5.263,2020
ant,4.717,2025
ant,4.286,2030
ant,4.39,2035
ant,4.455,2040
ant,4.545,2045
ant,4.663,2050
ncl,14.29,1950
ncl,13.24,1955
ncl,15.58,1960
ncl,15.22,1965
ncl,14.95,1970
ncl,13.95,1975
ncl,12.77,1980
ncl,11.61,1985
ncl,11.11,1990
ncl,10.94,1995
ncl,10.19,2000
ncl,8.475,2005
ncl,7.843,2010
ncl,7.38,2015
ncl,7.241,2020
ncl,6.908,2025
ncl,6.25,2030
ncl,6.061,2035
ncl,5.797,2040
ncl,5.65,2045
ncl,5.51,2050
nzl,12.16,1950
nzl,11.84,1955
nzl,12.18,1960
nzl,11.53,1965
nzl,10.53,1970
nzl,9.828,1975
nzl,8.161,1980
nzl,7.699,1985
nzl,8.092,1990
nzl,7.951,1995
nzl,7.237,2000
nzl,6.886,2005
nzl,6.761,2010
nzl,6.591,2015
nzl,6.34,2020
nzl,6.064,2025
nzl,5.79,2030
nzl,5.618,2035
nzl,5.548,2040
nzl,5.517,2045
nzl,5.478,2050
nic,16.31,1950
nic,20.28,1955
nic,20.56,1960
nic,19.0,1965
nic,18.55,1970
nic,18.91,1975
nic,18.7,1980
nic,18.17,1985
nic,16.73,1990
nic,15.8,1995
nic,13.83,2000
nic,12.28,2005
nic,11.72,2010
nic,10.95,2015
nic,10.06,2020
nic,9.154,2025
nic,8.368,2030
nic,7.735,2035
nic,7.2,2040
nic,6.721,2045
nic,6.298,2050
ner,20.1,1950
ner,18.54,1955
ner,19.41,1960
ner,20.13,1965
ner,20.39,1970
ner,20.22,1975
ner,20.29,1980
ner,20.4,1985
ner,20.32,1990
ner,20.23,1995
ner,20.25,2000
ner,20.32,2005
ner,21.53,2010
ner,20.5,2015
ner,19.58,2020
ner,18.86,2025
ner,18.24,2030
ner,17.4,2035
ner,16.19,2040
ner,14.79,2045
ner,13.47,2050
nga,16.71,1950
nga,17.49,1955
nga,17.59,1960
nga,17.64,1965
nga,17.67,1970
nga,18.19,1975
nga,18.75,1980
nga,18.79,1985
nga,18.2,1990
nga,17.59,1995
nga,17.11,2000
nga,16.78,2005
nga,16.29,2010
nga,15.17,2015
nga,13.85,2020
nga,12.67,2025
nga,11.8,2030
nga,11.13,2035
nga,10.49,2040
nga,9.787,2045
nga,9.094,2050
nor,9.77,1950
nor,8.871,1955
nor,8.599,1960
nor,8.38,1965
nor,8.512,1970
nor,7.738,1975
nor,6.386,1980
nor,6.116,1985
nor,6.604,1990
nor,6.974,1995
nor,6.668,2000
nor,6.168,2005
nor,6.115,2010
nor,5.837,2015
nor,5.81,2020
nor,5.814,2025
nor,5.746,2030
nor,5.594,2035
nor,5.45,2040
nor,5.379,2045
nor,5.363,2050
omn,17.18,1950
omn,18.69,1955
omn,18.94,1960
omn,19.16,1965
omn,19.44,1970
omn,19.5,1975
omn,19.29,1980
omn,19.1,1985
omn,17.42,1990
omn,14.69,1995
omn,13.07,2000
omn,11.12,2005
omn,10.36,2010
omn,10.23,2015
omn,9.731,2020
omn,9.012,2025
omn,8.224,2030
omn,7.531,2035
omn,7.057,2040
omn,6.76,2045
omn,6.5,2050
pak,13.74,1950
pak,14.39,1955
pak,15.01,1960
pak,15.78,1965
pak,16.98,1970
pak,17.58,1975
pak,17.29,1980
pak,17.16,1985
pak,17.48,1990
pak,15.97,1995
pak,14.54,2000
pak,13.76,2005
pak,13.25,2010
pak,12.68,2015
pak,11.64,2020
pak,10.62,2025
pak,9.79,2030
pak,9.185,2035
pak,8.693,2040
pak,8.182,2045
pak,7.627,2050
pan,16.16,1950
pan,16.68,1955
pan,17.23,1960
pan,17.33,1965
pan,17.01,1970
pan,15.77,1975
pan,13.92,1980
pan,13.0,1985
pan,12.52,1990
pan,11.56,1995
pan,11.21,2000
pan,10.61,2005
pan,9.809,2010
pan,9.064,2015
pan,8.493,2020
pan,8.037,2025
pan,7.577,2030
pan,7.089,2035
pan,6.657,2040
pan,6.26,2045
pan,6.029,2050
png,15.28,1950
png,16.72,1955
png,16.78,1960
png,19.97,1965
png,16.88,1970
png,17.03,1975
png,16.29,1980
png,16.04,1985
png,15.85,1990
png,15.86,1995
png,15.99,2000
png,15.0,2005
png,14.09,2010
png,13.14,2015
png,12.16,2020
png,11.46,2025
png,10.8,2030
png,10.09,2035
png,9.413,2040
png,8.78,2045
png,8.237,2050
pry,18.25,1950
pry,19.03,1955
pry,18.41,1960
pry,17.96,1965
pry,17.26,1970
pry,15.75,1975
pry,15.97,1980
pry,16.41,1985
pry,15.48,1990
