geo,industry_workers_percent_of_labour_force,time
nor,21.0,2007
omn,7.5,1993
omn,7.7,1996
omn,11.2,2000
pak,20.3,1980
pak,20.3,1981
pak,20.3,1982
pak,19.5,1983
pak,19.5,1984
pak,20.1,1985
pak,19.2,1986
pak,21.0,1987
pak,19.8,1988
pak,19.8,1989
pak,19.8,1990
pak,19.8,1991
pak,19.7,1992
pak,18.8,1993
pak,17.5,1994
pak,18.5,1995
pak,18.5,1996
pak,18.9,1997
pak,17.1,1998
pak,17.1,1999
pak,18.0,2001
pak,20.8,2003
pak,20.3,2005
pak,21.0,2007
pan,17.9,1982
pan,17.5,1983
pan,16.4,1984
pan,17.4,1985
pan,16.8,1986
pan,17.2,1987
pan,14.3,1988
pan,14.7,1989
pan,14.4,1991
pan,17.0,1992
pan,17.6,1993
pan,18.4,1994
pan,18.1,1995
pan,18.4,1996
pan,18.4,1997
pan,18.1,1998
pan,18.2,1999
pan,17.4,2000
pan,17.3,2001
pan,17.0,2002
pan,17.2,2003
pan,17.6,2004
pan,17.2,2005
pan,18.1,2006
pan,19.3,2007
png,3.6,2000
pry,26.4,1982
pry,26.9,1983
pry,27.1,1984
pry,28.7,1985
pry,26.5,1986
pry,25.7,1987
pry,25.4,1988
pry,27.6,1989
pry,16.7,1995
pry,18.6,1997
pry,18.2,1998
pry,18.1,1999
pry,17.4,2000
pry,16.9,2001
pry,15.7,2002
pry,15.8,2003
pry,18.1,2007
per,29.8,1986
per,28.8,1987
per,26.0,1989
per,27.3,1990
per,25.6,1995
per,21.5,1996
per,20.8,1997
per,20.2,1998
per,18.7,1999
per,18.8,2000
per,17.9,2001
per,41.9,2002
per,41.1,2003
per,41.7,2004
per,41.5,2005
per,41.7,2006
per,42.1,2007
phl,15.4,1980
phl,14.1,1981
phl,14.2,1982
phl,13.8,1983
phl,14.3,1984
phl,13.8,1985
phl,13.4,1986
phl,14.6,1987
phl,15.6,1988
phl,15.8,1989
phl,15.0,1990
phl,16.0,1991
phl,16.0,1992
phl,15.5,1993
phl,15.8,1994
phl,15.6,1995
phl,44.8,1996
phl,43.7,1997
phl,42.1,1998
phl,45.7,1999
phl,16.0,2000
phl,15.6,2001
phl,15.4,2002
phl,15.7,2003
phl,15.4,2004
phl,14.9,2005
phl,14.9,2006
phl,15.1,2007
pol,38.9,1981
pol,38.0,1982
pol,37.8,1983
pol,38.2,1984
pol,38.1,1985
pol,37.5,1986
pol,37.5,1987
pol,37.7,1988
pol,38.0,1989
pol,37.0,1990
pol,36.0,1991
pol,34.6,1992
pol,31.9,1994
pol,32.0,1995
pol,31.7,1996
pol,31.9,1997
pol,32.1,1998
pol,31.3,1999
pol,30.8,2000
pol,30.5,2001
pol,28.6,2002
pol,28.6,2003
pol,28.8,2004
pol,29.2,2005
pol,30.0,2006
pol,30.7,2007
prt,36.4,1980
prt,36.8,1981
prt,37.3,1982
prt,35.4,1983
prt,33.8,1984
prt,33.8,1985
prt,33.7,1986
prt,34.5,1987
prt,34.8,1988
prt,34.9,1989
prt,34.4,1990
prt,33.5,1991
prt,33.2,1992
prt,33.0,1993
prt,32.9,1994
prt,32.3,1995
prt,31.4,1996
prt,31.6,1997
prt,35.5,1998
prt,34.8,1999
prt,34.7,2000
prt,34.3,2001
prt,34.0,2002
prt,32.6,2003
prt,31.4,2004
prt,30.8,2005
prt,30.8,2006
prt,30.5,2007
pri,26.2,1980
pri,26.3,1981
pri,25.1,1982
pri,24.9,1983
pri,24.7,1984
pri,24.4,1985
pri,24.6,1986
pri,25.2,1987
pri,24.8,1988
pri,25.2,1989
pri,24.0,1991
pri,24.0,1992
pri,23.9,1993
pri,23.2,1994
pri,22.8,1995
pri,21.7,1996
pri,21.6,1997
pri,21.9,1998
pri,22.2,1999
pri,22.3,2000
pri,21.7,2001
pri,20.0,2002
pri,19.6,2003
pri,19.4,2004
pri,19.0,2005
pri,19.5,2006
pri,19.2,2007
qat,33.1,1997
qat,38.2,2001
qat,41.0,2004
qat,41.6,2006
mda,25.9,1981
mda,26.2,1982
mda,25.8,1983
mda,26.9,1984
mda,26.8,1985
mda,27.2,1986
mda,27.7,1987
mda,27.9,1988
mda,28.8,1989
mda,29.0,1990
mda,24.0,1991
mda,25.8,1992
mda,20.3,1993
mda,18.6,1994
mda,15.1,1996
mda,14.8,1997
mda,14.6,1998
mda,13.7,1999
mda,13.9,2000
mda,13.9,2001
mda,14.4,2002
mda,16.0,2003
mda,16.2,2004
mda,16.0,2005
mda,18.2,2006
mda,18.7,2007
rou,43.8,1980
rou,43.8,1981
rou,44.2,1982
rou,44.2,1983
rou,44.2,1984
rou,44.5,1985
rou,44.7,1986
rou,44.8,1987
rou,44.8,1988
rou,45.1,1989
rou,43.5,1990
rou,39.9,1991
rou,37.1,1992
rou,35.8,1993
rou,32.9,1994
rou,31.0,1995
rou,31.5,1996
rou,30.5,1997
rou,29.4,1998
rou,27.6,1999
rou,26.2,2000
rou,26.2,2001
rou,29.5,2002
rou,29.8,2003
rou,31.2,2004
rou,30.3,2005
rou,30.6,2006
rou,31.4,2007
rus,40.2,1990
rus,39.8,1991
rus,38.8,1992
rus,38.0,1993
rus,35.9,1994
rus,34.0,1995
rus,32.5,1996
rus,30.0,1997
rus,29.1,1998
rus,28.2,1999
rus,28.4,2000
rus,29.4,2001
rus,29.5,2002
rus,30.4,2003
rus,29.7,2004
rus,29.8,2005
rus,29.3,2006
rus,29.2,2007
rwa,2.9,1989
kna,12.2,1981
kna,11.6,1982
kna,19.3,1983
kna,24.3,1984
lca,21.9,1993
lca,20.8,1994
lca,25.4,1995
lca,22.5,1996
lca,20.2,1997
lca,18.7,1998
lca,19.2,1999
lca,20.3,2000
lca,16.9,2002
lca,15.9,2003
lca,16.1,2004
vct,21.3,1991
vct,19.6,2001
smr,49.1,1980
smr,48.5,1981
smr,47.3,1982
smr,46.2,1983
smr,45.8,1984
smr,46.8,1985
smr,46.3,1986
smr,45.5,1987
smr,44.9,1988
smr,44.6,1989
smr,43.8,1990
smr,43.3,1991
smr,41.9,1992
smr,41.6,1993
smr,41.0,1995
smr,40.8,1996
smr,40.4,1997
smr,40.6,1998
smr,40.2,1999
smr,41.2,2001
smr,40.7,2002
smr,41.2,2003
smr,40.9,2004
smr,39.3,2005
smr,38.8,2006
smr,37.7,2007
stp,23.0,1980
stp,10.8,1981
stp,14.5,1982
stp,13.9,1983
stp,18.2,1984
stp,13.6,1991
stp,19.2,2000
sau,21.0,1999
sau,19.9,2000
sau,21.0,2001
sau,21.0,2002
sau,20.3,2006
sau,19.8,2007
sen,14.8,2006
srb,26.9,2004
srb,27.6,2005
srb,29.3,2006
srb,29.5,2007
sle,6.5,2004
sgp,35.7,1980
sgp,37.1,1981
sgp,36.7,1982
sgp,35.9,1983
sgp,36.9,1984
sgp,35.2,1985
sgp,34.7,1986
sgp,35.1,1987
sgp,35.9,1988
sgp,36.2,1989
sgp,37.9,1990
sgp,35.2,1991
sgp,34.6,1992
sgp,33.9,1993
sgp,32.7,1994
sgp,31.0,1995
sgp,30.2,1996
sgp,30.2,1997
sgp,29.5,1998
sgp,28.9,1999
sgp,33.8,2000
sgp,25.8,2001
sgp,25.1,2002
sgp,25.0,2003
sgp,24.0,2004
sgp,22.1,2006
sgp,22.6,2007
svk,39.6,1994
svk,38.9,1995
svk,39.6,1996
svk,39.3,1997
svk,39.5,1998
svk,38.5,1999
svk,37.3,2000
svk,37.6,2001
svk,38.4,2002
svk,38.3,2003
svk,39.0,2004
svk,38.8,2005
svk,38.8,2006
svk,39.4,2007
svn,44.1,1993
svn,42.2,1994
svn,43.1,1995
svn,42.1,1996
svn,40.6,1997
svn,39.5,1998
svn,37.8,1999
svn,37.4,2000
svn,38.1,2001
svn,38.6,2002
svn,36.9,2003
svn,35.9,2004
svn,37.2,2005
svn,35.0,2006
svn,34.2,2007
zaf,24.2,2000
zaf,26.0,2001
zaf,25.5,2002
zaf,25.0,2003
zaf,26.1,2004
zaf,25.6,2005
zaf,25.6,2006
zaf,26.0,2007
esp,35.9,1980
esp,35.2,1981
esp,34.0,1982
esp,33.4,1983
esp,32.6,1984
esp,31.7,1985
esp,31.9,1986
esp,32.3,1987
esp,32.9,1988
esp,33.2,1989
esp,33.8,1990
esp,33.4,1991
esp,32.7,1992
esp,31.1,1993
esp,30.4,1994
esp,30.2,1995
esp,29.8,1996
esp,30.1,1997
esp,30.7,1998
esp,31.0,1999
esp,31.2,2000
esp,31.5,2001
esp,31.3,2002
esp,30.8,2003
esp,30.6,2004
esp,29.9,2005
esp,29.7,2006
esp,29.3,2007
lka,18.6,1981
lka,18.8,1985
lka,20.6,1990
lka,25.7,1991
lka,19.4,1992
lka,20.1,1993
lka,19.5,1994
lka,23.4,1995
lka,22.4,1996
lka,23.5,1997
lka,22.5,1998
lka,44.7,2001
lka,23.8,2002
lka,23.4,2003
lka,22.8,2004
lka,25.2,2005
lka,26.6,2006
lka,26.6,2007
shn,19.7,1998
spm,22.3,1986
spm,26.6,1989
sur,13.5,1982
sur,21.8,1983
sur,20.8,1984
sur,20.1,1985
sur,19.3,1986
sur,17.6,1987
sur,15.0,1988
sur,17.4,1989
sur,18.3,1992
sur,18.7,1993
sur,19.0,1994
sur,21.2,1995
sur,23.6,1996
sur,22.2,1997
sur,25.0,1998
sur,14.5,1999
sur,23.0,2004
swe,32.2,1980
swe,31.3,1981
swe,30.3,1982
swe,29.9,1983
swe,29.8,1984
swe,29.8,1985
swe,29.7,1986
swe,29.9,1987
swe,29.5,1988
swe,29.5,1989
swe,29.2,1990
swe,28.3,1991
swe,26.6,1992
swe,25.6,1993
swe,25.1,1994
swe,25.9,1995
swe,26.1,1996
swe,26.0,1997
swe,25.7,1998
swe,25.1,1999
swe,24.6,2000
swe,23.8,2001
swe,23.1,2002
swe,22.7,2003
swe,22.7,2004
swe,22.0,2005
swe,22.0,2006
swe,21.6,2007
che,38.1,1980
che,37.9,1981
che,36.9,1982
che,36.0,1983
che,35.7,1984
che,35.6,1985
che,35.3,1986
che,34.4,1987
che,33.6,1988
che,33.0,1989
che,32.2,1990
che,30.2,1991
che,28.9,1992
che,28.0,1993
che,28.2,1994
che,28.6,1995
che,27.5,1996
che,26.2,1997
che,25.7,1998
che,25.4,1999
che,25.7,2000
che,25.5,2001
che,24.8,2002
che,23.8,2003
che,23.6,2004
che,23.7,2005
che,23.7,2006
che,22.9,2007
syr,29.2,1983
syr,33.0,1984
syr,27.3,1989
syr,26.6,1993
syr,31.3,1994
syr,30.5,1995
syr,33.2,1997
syr,28.3,1999
syr,26.1,2000
syr,26.2,2001
syr,27.7,2002
syr,25.6,2003
twn,37.2,1999
twn,37.2,2000
twn,36.0,2001
twn,35.2,2002
twn,34.8,2003
twn,35.2,2004
twn,35.8,2005
tjk,23.1,1991
tjk,22.3,1992
tjk,20.1,1993
tjk,18.5,1994
tjk,15.5,1995
tjk,15.6,1996
tjk,17.4,1997
tjk,17.9,2004
tza,2.6,2001
tza,4.3,2006
tha,10.3,1980
tha,12.8,1981
tha,13.8,1982
tha,13.0,1983
tha,13.1,1984
tha,12.1,1985
tha,10.6,1986
tha,11.8,1987
tha,11.3,1988
tha,11.9,1989
tha,13.6,1990
tha,15.0,1991
tha,15.1,1992
tha,16.8,1993
tha,17.3,1994
tha,18.9,1995
tha,19.8,1996
tha,18.7,1997
tha,16.8,1998
tha,17.3,1999
tha,17.9,2000
tha,18.8,2001
tha,19.8,2002
tha,19.7,2003
tha,20.5,2004
tha,20.2,2005
tha,20.6,2006
tha,20.7,2007
mkd,33.3,2002
mkd,33.9,2003
mkd,32.8,2004
mkd,32.3,2005
mkd,32.6,2006
mkd,31.3,2007
ton,12.0,1984
ton,30.6,2003
tto,36.9,1980
tto,39.6,1981
tto,39.1,1982
tto,37.8,1983
tto,35.5,1984
tto,33.0,1985
tto,29.3,1986
tto,29.1,1987
tto,27.7,1988
tto,27.1,1989
tto,28.8,1991
tto,27.0,1992
tto,26.4,1993
tto,25.4,1994
tto,25.5,1995
tto,25.5,1996
tto,26.4,1997
tto,28.2,1998
tto,27.7,1999
tto,28.0,2000
tto,28.8,2001
tto,28.4,2002
tto,28.5,2003
tto,30.2,2004
tto,31.0,2005
tun,33.4,1980
tun,34.0,1981
tun,34.5,1982
tun,33.6,1989
tur,34.9,1982
tur,32.1,1983
tur,32.6,1984
tur,20.0,1985
tur,21.1,1988
tur,21.0,1989
tur,20.7,1990
tur,20.2,1991
tur,21.6,1992
tur,22.6,1993
tur,22.6,1994
tur,22.3,1995
tur,22.9,1996
tur,24.1,1997
tur,23.6,1998
tur,22.8,1999
tur,24.0,2000
tur,22.7,2001
tur,23.0,2002
tur,22.8,2003
tur,23.0,2004
tur,24.7,2005
tur,25.4,2006
tur,25.5,2007
tca,17.6,2001
tca,16.5,2002
tca,17.0,2003
tca,17.1,2004
tca,17.2,2005
uga,7.8,2003
ukr,8.0,1987
ukr,8.4,1988
ukr,9.4,1989
ukr,9.5,1990
ukr,9.1,1991
ukr,8.0,1992
ukr,30.5,1993
ukr,31.7,1994
ukr,28.0,1995
ukr,26.4,1996
ukr,24.6,1997
ukr,23.8,1998
ukr,22.6,1999
ukr,20.8,2000
ukr,26.3,2001
ukr,25.2,2002
ukr,24.6,2003
ukr,24.6,2004
ukr,24.2,2005
ukr,24.2,2006
ukr,23.9,2007
are,33.6,1995
are,33.4,2000
are,39.8,2005
gbr,37.2,1980
gbr,35.4,1981
gbr,34.2,1982
gbr,33.0,1983
gbr,31.9,1984
gbr,31.2,1985
gbr,30.4,1986
gbr,29.8,1987
gbr,32.8,1988
gbr,32.6,1989
gbr,32.3,1990
gbr,31.0,1991
gbr,30.0,1992
gbr,29.4,1993
gbr,27.6,1994
gbr,27.3,1995
gbr,27.3,1996
gbr,26.7,1997
gbr,26.5,1998
gbr,25.8,1999
gbr,25.2,2000
gbr,24.6,2001
gbr,23.9,2002
gbr,23.3,2003
gbr,22.3,2004
gbr,22.2,2005
gbr,22.0,2006
gbr,22.3,2007
usa,30.8,1980
usa,30.3,1981
usa,28.6,1982
usa,28.2,1983
usa,28.7,1984
usa,28.3,1985
usa,27.9,1986
usa,27.3,1987
usa,27.2,1988
usa,26.9,1989
usa,26.4,1990
usa,25.5,1991
usa,24.9,1992
usa,24.3,1993
usa,24.3,1994
usa,24.3,1995
usa,24.1,1996
usa,24.1,1997
usa,23.9,1998
usa,23.3,1999
usa,23.2,2000
usa,22.6,2001
usa,21.8,2002
usa,20.9,2003
usa,20.8,2004
usa,20.6,2005
usa,20.8,2006
usa,20.6,2007
ury,30.2,1984
ury,31.2,1986
ury,34.5,1987
ury,33.5,1988
ury,34.1,1989
ury,33.0,1990
ury,33.0,1991
ury,29.6,1992
ury,29.3,1993
ury,28.0,1994
ury,26.7,1995
ury,24.7,1998
ury,25.2,1999
ury,24.7,2000
ury,23.8,2001
ury,22.4,2002
ury,21.5,2003
ury,21.4,2004
ury,21.9,2005
ury,21.2,2006
ury,21.7,2007
uzb,19.1,1995
uzb,19.2,1996
uzb,19.1,1997
uzb,19.2,1998
uzb,19.4,1999
ven,27.7,1980
ven,27.6,1981
ven,27.9,1982
ven,25.7,1983
ven,24.7,1984
ven,24.9,1985
ven,26.2,1986
ven,27.6,1987
ven,28.1,1988
ven,25.9,1989
ven,25.3,1990
ven,26.0,1991
ven,26.6,1992
ven,26.3,1993
ven,19.8,2003
ven,22.6,2006
ven,23.3,2007
vnm,10.6,1996
vnm,12.7,1997
vnm,11.6,1998
vnm,12.0,1999
vnm,12.4,2000
vnm,13.9,2001
vnm,14.7,2002
vnm,16.4,2003
vnm,17.4,2004
pse,28.4,1996
pse,34.9,1997
pse,38.0,1998
pse,38.0,1999
pse,34.4,2000
pse,28.7,2001
pse,24.0,2002
pse,25.8,2003
pse,24.7,2004
pse,26.3,2005
pse,23.9,2006
pse,23.8,2007
yem,11.3,1991
yem,10.8,1994
yem,10.7,1998
yem,11.1,1999
zmb,10.9,1990
zmb,7.0,1998
zmb,5.8,2000
zwe,11.8,1999
