merchandise_trade_percent_of_gdp,geo,time
42.05,tcd,1995
35.46,tcd,1996
36.97,tcd,1997
35.42,tcd,1998
36.37,tcd,1999
36.1,tcd,2000
50.78,tcd,2001
92.11,tcd,2002
50.83,tcd,2003
71.21,tcd,2004
76.03,tcd,2005
77.09,tcd,2006
77.91,tcd,2007
74.55,tcd,2008
72.38,tcd,2009
79.73,tcd,2010
26.44,chl,1960
25.88,chl,1961
21.99,chl,1962
21.61,chl,1963
22.69,chl,1964
22.39,chl,1965
24.37,chl,1966
24.1,chl,1967
24.16,chl,1968
25.71,chl,1969
25.74,chl,1970
19.69,chl,1971
16.84,chl,1972
15.38,chl,1973
29.79,chl,1974
42.58,chl,1975
40.04,chl,1976
35.4,chl,1977
38.22,chl,1978
41.98,chl,1979
38.09,chl,1980
33.75,chl,1981
31.61,chl,1982
34.98,chl,1983
37.56,chl,1984
41.71,chl,1985
43.04,chl,1986
46.02,chl,1987
50.1,chl,1988
53.63,chl,1989
51.06,chl,1990
47.08,chl,1991
45.4,chl,1992
42.63,chl,1993
42.47,chl,1994
44.74,chl,1995
47.28,chl,1996
46.76,chl,1997
45.61,chl,1998
45.41,chl,1999
50.15,chl,2000
52.07,chl,2001
52.44,chl,2002
55.39,chl,2003
59.92,chl,2004
62.58,chl,2005
66.15,chl,2006
70.07,chl,2007
75.13,chl,2008
60.04,chl,2009
61.1,chl,2010
8.504,chn,1960
7.362,chn,1961
7.073,chn,1962
6.924,chn,1963
6.757,chn,1964
6.899,chn,1965
6.804,chn,1966
6.325,chn,1967
6.297,chn,1968
5.521,chn,1969
5.012,chn,1970
4.983,chn,1971
5.834,chn,1972
8.104,chn,1973
10.47,chn,1974
9.689,chn,1975
8.972,chn,1976
8.511,chn,1977
14.23,chn,1978
16.55,chn,1979
20.08,chn,1980
22.68,chn,1981
20.48,chn,1982
19.09,chn,1983
20.8,chn,1984
22.7,chn,1985
24.79,chn,1986
30.57,chn,1987
33.21,chn,1988
32.47,chn,1989
32.34,chn,1990
35.76,chn,1991
39.16,chn,1992
44.43,chn,1993
42.31,chn,1994
38.58,chn,1995
33.86,chn,1996
34.13,chn,1997
31.78,chn,1998
33.29,chn,1999
39.58,chn,2000
38.47,chn,2001
42.7,chn,2002
51.86,chn,2003
59.77,chn,2004
63.0,chn,2005
64.89,chn,2006
62.29,chn,2007
56.69,chn,2008
44.23,chn,2009
50.16,chn,2010
24.3,col,1960
21.76,col,1961
20.22,col,1962
19.72,col,1963
18.93,col,1964
17.13,col,1965
21.66,col,1966
17.58,col,1967
20.31,col,1968
20.17,col,1969
21.81,col,1970
20.66,col,1971
19.22,col,1972
21.62,col,1973
25.11,col,1974
22.6,col,1975
23.05,col,1976
22.0,col,1977
25.71,col,1978
24.25,col,1979
25.94,col,1980
22.31,col,1981
21.82,col,1982
20.56,col,1983
20.81,col,1984
22.05,col,1985
25.65,col,1986
24.64,col,1987
25.6,col,1988
27.11,col,1989
30.68,col,1990
29.43,col,1991
27.26,col,1992
30.37,col,1993
24.85,col,1994
25.85,col,1995
24.98,col,1996
25.22,col,1997
25.89,col,1998
25.8,col,1999
24.49,col,2000
25.44,col,2001
25.07,col,2002
28.41,col,2003
28.13,col,2004
28.92,col,2005
31.05,col,2006
30.32,col,2007
31.59,col,2008
27.88,col,2009
27.87,col,2010
30.77,com,1980
42.01,com,1981
49.49,com,1982
47.53,com,1983
46.52,com,1984
45.42,com,1985
35.08,com,1986
32.58,com,1987
35.67,com,1988
30.69,com,1989
28.0,com,1990
33.22,com,1991
34.19,com,1992
30.73,com,1993
34.45,com,1994
31.91,com,1995
27.39,com,1996
28.58,com,1997
27.86,com,1998
28.75,com,1999
28.23,com,2000
30.89,com,2001
28.67,com,2002
29.8,com,2003
28.76,com,2004
28.61,com,2005
31.04,com,2006
32.72,com,2007
34.71,com,2008
34.74,com,2009
38.44,com,2010
20.86,cod,1960
15.96,cod,1961
11.46,cod,1962
9.617,cod,1963
14.08,cod,1964
9.978,cod,1965
11.65,cod,1966
15.49,cod,1967
17.22,cod,1968
16.14,cod,1969
19.68,cod,1970
15.91,cod,1971
15.33,cod,1972
16.07,cod,1973
18.03,cod,1974
11.38,cod,1975
12.11,cod,1976
9.654,cod,1977
7.335,cod,1978
11.37,cod,1979
26.31,cod,1980
24.72,cod,1981
21.23,cod,1982
26.34,cod,1983
39.5,cod,1984
43.09,cod,1985
38.63,cod,1986
46.82,cod,1987
45.93,cod,1988
48.13,cod,1989
43.48,cod,1990
32.49,cod,1991
26.58,cod,1992
16.42,cod,1993
33.04,cod,1994
43.13,cod,1995
45.67,cod,1996
36.43,cod,1997
40.59,cod,1998
29.23,cod,1999
34.59,cod,2000
35.59,cod,2001
39.91,cod,2002
50.66,cod,2003
60.95,cod,2004
71.7,cod,2005
65.5,cod,2006
65.24,cod,2007
74.56,cod,2008
66.05,cod,2009
74.55,cod,2010
66.87,cog,1960
65.05,cog,1961
66.94,cog,1962
61.2,cog,1963
61.48,cog,1964
57.63,cog,1965
52.33,cog,1966
55.78,cog,1967
53.73,cog,1968
46.78,cog,1969
32.83,cog,1970
37.9,cog,1971
39.98,cog,1972
40.17,cog,1973
60.96,cog,1974
45.43,cog,1975
52.08,cog,1976
62.09,cog,1977
64.58,cog,1978
65.64,cog,1979
87.41,cog,1980
63.05,cog,1981
81.46,cog,1982
61.41,cog,1983
82.1,cog,1984
77.98,cog,1985
74.3,cog,1986
65.37,cog,1987
59.43,cog,1988
59.76,cog,1989
57.24,cog,1990
59.56,cog,1991
55.71,cog,1992
85.93,cog,1993
89.86,cog,1994
87.05,cog,1995
114.0,cog,1996
111.7,cog,1997
104.9,cog,1998
101.2,cog,1999
91.74,cog,2000
97.95,cog,2001
97.85,cog,2002
100.3,cog,2003
94.69,cog,2004
99.37,cog,2005
104.6,cog,2006
97.26,cog,2007
95.71,cog,2008
93.81,cog,2009
92.44,cog,2010
38.36,cri,1960
39.04,cri,1961
43.07,cri,1962
42.76,cri,1963
46.54,cri,1964
48.91,cri,1965
48.51,cri,1966
47.82,cri,1967
49.71,cri,1968
50.94,cri,1969
55.63,cri,1970
53.39,cri,1971
52.79,cri,1972
52.31,cri,1973
69.61,cri,1974
60.55,cri,1975
56.51,cri,1976
60.2,cri,1977
57.63,cri,1978
57.77,cri,1979
52.61,cri,1980
84.5,cri,1981
67.48,cri,1982
46.8,cri,1983
45.71,cri,1984
43.24,cri,1985
41.42,cri,1986
43.5,cri,1987
43.8,cri,1988
45.61,cri,1989
46.44,cri,1990
48.52,cri,1991
49.93,cri,1992
63.7,cri,1993
63.06,cri,1994
63.89,cri,1995
67.8,cri,1996
71.65,cri,1997
83.29,cri,1998
81.64,cri,1999
76.74,cri,2000
70.66,cri,2001
73.92,cri,2002
78.58,cri,2003
78.35,cri,2004
84.4,cri,2005
87.67,cri,2006
84.68,cri,2007
83.39,cri,2008
68.97,cri,2009
64.06,cri,2010
52.78,civ,1960
58.58,civ,1961
54.13,civ,1962
52.57,civ,1963
57.75,civ,1964
56.24,civ,1965
55.43,civ,1966
54.55,civ,1967
56.97,civ,1968
57.65,civ,1969
59.13,civ,1970
54.45,civ,1971
54.52,civ,1972
62.42,civ,1973
71.0,civ,1974
59.27,civ,1975
62.81,civ,1976
62.46,civ,1977
58.82,civ,1978
54.75,civ,1979
59.96,civ,1980
58.29,civ,1981
59.87,civ,1982
57.46,civ,1983
61.42,civ,1984
70.88,civ,1985
59.06,civ,1986
54.31,civ,1987
47.27,civ,1988
50.4,civ,1989
47.88,civ,1990
45.64,civ,1991
46.87,civ,1992
41.96,civ,1993
56.04,civ,1994
61.24,civ,1995
60.53,civ,1996
61.69,civ,1997
59.43,civ,1998
63.02,civ,1999
61.15,civ,2000
61.58,civ,2001
68.55,civ,2002
66.0,civ,2003
75.15,civ,2004
82.88,civ,2005
82.32,civ,2006
77.55,civ,2007
78.05,civ,2008
77.93,civ,2009
79.67,civ,2010
88.5,hrv,1992
78.7,hrv,1993
65.09,hrv,1994
53.84,hrv,1995
53.24,hrv,1996
55.67,hrv,1997
50.95,hrv,1998
52.44,hrv,1999
57.25,hrv,2000
59.92,hrv,2001
58.91,hrv,2002
59.74,hrv,2003
60.03,hrv,2004
60.98,hrv,2005
63.94,hrv,2006
64.38,hrv,2007
64.14,hrv,2008
49.93,hrv,2009
52.36,hrv,2010
41.4,cub,1970
32.5,cub,1971
26.15,cub,1972
32.07,cub,1973
46.54,cub,1974
58.03,cub,1975
55.4,cub,1976
61.24,cub,1977
51.93,cub,1978
50.61,cub,1979
60.67,cub,1980
59.31,cub,1981
59.93,cub,1982
61.44,cub,1983
59.82,cub,1984
60.93,cub,1985
63.86,cub,1986
51.61,cub,1987
47.7,cub,1988
47.66,cub,1989
33.86,cub,1990
22.21,cub,1991
14.04,cub,1992
11.18,cub,1993
12.09,cub,1994
14.54,cub,1995
20.87,cub,1996
22.86,cub,1997
22.18,cub,1998
20.66,cub,1999
21.33,cub,2000
20.52,cub,2001
16.66,cub,2002
17.72,cub,2003
20.8,cub,2004
24.39,cub,2005
25.44,cub,2006
25.37,cub,2007
31.79,cub,2008
93.86,cyp,1975
119.8,cyp,1976
128.0,cyp,1977
114.3,cyp,1978
113.8,cyp,1979
80.49,cyp,1980
82.78,cyp,1981
81.83,cyp,1982
79.71,cyp,1983
85.02,cyp,1984
70.89,cyp,1985
55.75,cyp,1986
55.39,cyp,1987
59.92,cyp,1988
67.47,cyp,1989
62.94,cyp,1990
61.9,cyp,1991
62.21,cyp,1992
51.59,cyp,1993
53.66,cyp,1994
53.18,cyp,1995
57.45,cyp,1996
55.08,cyp,1997
49.68,cyp,1998
47.21,cyp,1999
51.5,cyp,2000
50.61,cyp,2001
46.69,cyp,2002
40.46,cyp,2003
40.77,cyp,2004
45.77,cyp,2005
44.81,cyp,2006
45.82,cyp,2007
48.48,cyp,2008
38.62,cyp,2009
42.84,cyp,2010
83.63,cze,1992
84.58,cze,1993
80.92,cze,1994
84.01,cze,1995
80.57,cze,1996
86.58,cze,1997
87.63,cze,1998
91.41,cze,1999
107.7,cze,2000
112.6,cze,2001
105.1,cze,2002
109.9,cze,2003
126.9,cze,2004
124.1,cze,2005
131.9,cze,2006
138.1,cze,2007
133.7,cze,2008
114.6,cze,2009
134.9,cze,2010
52.82,dnk,1960
49.19,dnk,1961
48.62,dnk,1962
48.53,dnk,1963
49.69,dnk,1964
48.16,dnk,1965
46.55,dnk,1966
44.51,dnk,1967
44.53,dnk,1968
45.52,dnk,1969
46.79,dnk,1970
44.76,dnk,1971
42.14,dnk,1972
46.89,dnk,1973
52.92,dnk,1974
48.19,dnk,1975
49.32,dnk,1976
47.75,dnk,1977
45.01,dnk,1978
47.86,dnk,1979
51.77,dnk,1980
55.78,dnk,1981
54.45,dnk,1982
54.59,dnk,1983
56.47,dnk,1984
57.73,dnk,1985
51.14,dnk,1986
47.66,dnk,1987
49.23,dnk,1988
52.32,dnk,1989
51.68,dnk,1990
52.68,dnk,1991
51.46,dnk,1992
49.11,dnk,1993
51.46,dnk,1994
53.22,dnk,1995
52.43,dnk,1996
55.26,dnk,1997
55.22,dnk,1998
55.22,dnk,1999
60.5,dnk,2000
60.46,dnk,2001
62.01,dnk,2002
58.29,dnk,2003
59.35,dnk,2004
62.37,dnk,2005
64.9,dnk,2006
64.61,dnk,2007
65.8,dnk,2008
56.75,dnk,2009
58.5,dnk,2010
63.05,dji,1985
62.4,dji,1987
56.6,dji,1988
54.25,dji,1989
53.06,dji,1990
49.95,dji,1991
49.16,dji,1992
47.87,dji,1993
42.4,dji,1994
38.23,dji,1995
40.73,dji,1996
41.22,dji,1997
43.46,dji,1998
41.28,dji,1999
43.19,dji,2000
39.83,dji,2001
39.36,dji,2002
44.29,dji,2003
44.94,dji,2004
44.69,dji,2005
50.84,dji,2006
62.66,dji,2007
65.38,dji,2008
50.34,dji,2009
93.05,dma,1977
98.11,dma,1978
71.37,dma,1979
98.14,dma,1980
104.2,dma,1981
99.93,dma,1982
90.08,dma,1983
93.49,dma,1984
84.19,dma,1985
88.33,dma,1986
90.23,dma,1987
98.77,dma,1988
99.1,dma,1989
104.0,dma,1990
90.89,dma,1991
82.39,dma,1992
70.85,dma,1993
66.37,dma,1994
72.31,dma,1995
76.13,dma,1996
72.02,dma,1997
77.0,dma,1998
72.83,dma,1999
61.14,dma,2000
51.99,dma,2001
47.78,dma,2002
48.46,dma,2003
50.0,dma,2004
56.26,dma,2005
52.84,dma,2006
54.83,dma,2007
61.86,dma,2008
55.64,dma,2009
58.96,dma,2010
41.7,dom,1960
34.1,dom,1961
38.94,dom,1962
38.11,dom,1963
39.06,dom,1964
25.07,dom,1965
32.34,dom,1966
34.16,dom,1967
37.57,dom,1968
34.98,dom,1969
37.25,dom,1970
36.05,dom,1971
37.03,dom,1972
39.73,dom,1973
49.37,dom,1974
49.52,dom,1975
40.35,dom,1976
38.27,dom,1977
34.82,dom,1978
37.85,dom,1979
47.97,dom,1980
46.9,dom,1981
33.61,dom,1982
32.27,dom,1983
28.06,dom,1984
59.77,dom,1985
54.25,dom,1986
67.22,dom,1987
85.46,dom,1988
81.61,dom,1989
73.17,dom,1990
56.59,dom,1991
59.32,dom,1992
60.61,dom,1993
57.58,dom,1994
54.71,dom,1995
53.94,dom,1996
57.28,dom,1997
59.45,dom,1998
60.7,dom,1999
63.41,dom,2000
56.46,dom,2001
52.7,dom,2002
61.59,dom,2003
62.72,dom,2004
47.09,dom,2005
52.25,dom,2006
50.24,dom,2007
49.65,dom,2008
38.0,dom,2009
42.3,dom,2010
25.77,ecu,1960
23.75,ecu,1961
25.19,ecu,1962
23.93,ecu,1963
25.49,ecu,1964
26.63,ecu,1965
24.65,ecu,1966
27.67,ecu,1967
30.91,ecu,1968
25.01,ecu,1969
27.69,ecu,1970
33.29,ecu,1971
33.38,ecu,1972
35.82,ecu,1973
45.87,ecu,1974
42.16,ecu,1975
38.96,ecu,1976
37.9,ecu,1977
39.37,ecu,1978
38.63,ecu,1979
39.78,ecu,1980
33.61,ecu,1981
34.08,ecu,1982
34.28,ecu,1983
37.2,ecu,1984
39.46,ecu,1985
38.62,ecu,1986
45.94,ecu,1987
42.93,ecu,1988
44.18,ecu,1989
44.18,ecu,1990
46.27,ecu,1991
45.33,ecu,1992
36.28,ecu,1993
40.04,ecu,1994
41.86,ecu,1995
44.56,ecu,1996
43.21,ecu,1997
42.03,ecu,1998
44.77,ecu,1999
54.25,ecu,2000
47.25,ecu,2001
46.42,ecu,2002
45.5,ecu,2003
48.95,ecu,2004
55.19,ecu,2005
59.57,ecu,2006
62.0,ecu,2007
69.49,ecu,2008
55.66,ecu,2009
65.68,ecu,2010
29.81,egy,1960
27.35,egy,1961
28.57,egy,1962
34.56,egy,1963
31.21,egy,1964
30.1,egy,1965
31.39,egy,1966
24.34,egy,1967
21.08,egy,1968
20.15,egy,1969
20.15,egy,1970
20.68,egy,1971
19.67,egy,1972
21.17,egy,1973
42.9,egy,1974
46.65,egy,1975
39.89,egy,1976
44.57,egy,1977
57.0,egy,1978
31.28,egy,1979
34.51,egy,1980
51.58,egy,1981
47.66,egy,1982
47.94,egy,1983
45.38,egy,1984
42.72,egy,1985
40.23,egy,1986
50.79,egy,1987
82.76,egy,1988
51.26,egy,1989
36.84,egy,1990
31.8,egy,1991
27.21,egy,1992
24.3,egy,1993
26.39,egy,1994
25.28,egy,1995
24.51,egy,1996
21.84,egy,1997
22.75,egy,1998
21.59,egy,1999
19.89,egy,2000
18.64,egy,2001
20.85,egy,2002
24.55,egy,2003
32.48,egy,2004
39.43,egy,2005
40.96,egy,2006
43.17,egy,2007
45.82,egy,2008
35.99,egy,2009
36.26,egy,2010
38.29,slv,1960
35.82,slv,1961
36.96,slv,1962
40.95,slv,1963
44.9,slv,1964
44.35,slv,1965
44.07,slv,1966
44.17,slv,1967
42.24,slv,1968
39.09,slv,1969
39.17,slv,1970
40.27,slv,1971
43.19,slv,1972
50.56,slv,1973
61.53,slv,1974
60.8,slv,1975
63.48,slv,1976
64.64,slv,1977
59.99,slv,1978
65.26,slv,1979
54.09,slv,1980
51.87,slv,1981
45.78,slv,1982
46.4,slv,1983
46.26,slv,1984
43.15,slv,1985
44.81,slv,1986
40.05,slv,1987
38.57,slv,1988
37.94,slv,1989
38.43,slv,1990
37.54,slv,1991
44.52,slv,1992
45.79,slv,1993
46.95,slv,1994
52.43,slv,1995
48.59,slv,1996
55.28,slv,1997
53.41,slv,1998
52.99,slv,1999
60.06,slv,2000
57.13,slv,2001
57.18,slv,2002
59.03,slv,2003
60.98,slv,2004
59.13,slv,2005
61.29,slv,2006
63.84,slv,2007
67.47,slv,2008
54.17,slv,2009
61.27,slv,2010
537.1,gnq,1962
424.4,gnq,1963
440.5,gnq,1964
81.86,gnq,1965
83.92,gnq,1966
94.03,gnq,1967
100.7,gnq,1968
105.6,gnq,1969
73.31,gnq,1970
86.55,gnq,1971
70.01,gnq,1972
56.35,gnq,1973
52.17,gnq,1974
44.14,gnq,1975
13.66,gnq,1976
22.95,gnq,1977
46.49,gnq,1985
88.01,gnq,1986
83.53,gnq,1987
86.48,gnq,1988
81.25,gnq,1989
95.27,gnq,1990
155.1,gnq,1991
97.18,gnq,1992
87.77,gnq,1993
82.21,gnq,1994
151.5,gnq,1995
202.2,gnq,1996
171.8,gnq,1997
165.9,gnq,1998
130.0,gnq,1999
123.4,gnq,2000
146.8,gnq,2001
122.2,gnq,2002
125.6,gnq,2003
108.6,gnq,2004
101.9,gnq,2005
106.5,gnq,2006
100.0,gnq,2007
107.5,gnq,2008
117.0,gnq,2009
115.7,gnq,2010
77.01,eri,1992
83.57,eri,1993
106.6,eri,1994
93.42,eri,1995
93.87,eri,1996
84.78,eri,1997
71.9,eri,1998
77.08,eri,1999
80.18,eri,2000
64.28,eri,2001
87.31,eri,2002
50.5,eri,2003
44.3,eri,2004
45.64,eri,2005
41.88,eri,2006
39.7,eri,2007
44.27,eri,2008
32.37,eri,2009
33.16,eri,2010
74.58,est,1994
100.8,est,1995
112.1,est,1996
146.0,est,1997
143.5,est,1998
124.9,est,1999
156.5,est,2000
148.2,est,2001
139.2,est,2002
138.0,est,2003
118.6,est,2004
129.1,est,2005
137.7,est,2006
123.2,est,2007
120.9,est,2008
99.63,est,2009
124.1,est,2010
15.39,eth,1981
15.49,eth,1982
15.03,eth,1983
16.91,eth,1984
14.09,eth,1985
15.93,eth,1986
13.6,eth,1987
14.39,eth,1988
12.36,eth,1989
11.41,eth,1990
4.947,eth,1991
7.15,eth,1992
11.25,eth,1993
20.44,eth,1994
20.6,eth,1995
21.43,eth,1996
19.12,eth,1997
25.75,eth,1998
25.62,eth,1999
21.35,eth,2000
27.74,eth,2001
26.62,eth,2002
37.19,eth,2003
35.33,eth,2004
40.61,eth,2005
41.22,eth,2006
36.24,eth,2007
37.08,eth,2008
29.05,eth,2009
36.31,eth,2010
74.52,fro,1998
83.33,fro,1999
94.79,fro,2000
87.8,fro,2001
81.2,fro,2002
89.58,fro,2003
73.87,fro,2004
77.53,fro,2005
73.14,fro,2006
77.34,fro,2007
76.26,fro,2008
70.3,fro,2009
77.82,fji,1960
71.25,fji,1961
74.67,fji,1962
87.96,fji,1963
102.2,fji,1964
92.22,fji,1965
80.49,fji,1966
82.27,fji,1967
87.62,fji,1968
88.51,fji,1969
86.63,fji,1970
87.46,fji,1971
80.4,fji,1972
80.82,fji,1973
82.75,fji,1974
68.79,fji,1975
62.78,fji,1976
73.74,fji,1977
73.14,fji,1978
76.84,fji,1979
85.82,fji,1980
83.42,fji,1981
74.2,fji,1982
70.34,fji,1983
66.38,fji,1984
65.63,fji,1985
59.76,fji,1986
64.44,fji,1987
80.45,fji,1988
90.89,fji,1989
93.57,fji,1990
79.63,fji,1991
70.05,fji,1992
71.54,fji,1993
77.47,fji,1994
76.69,fji,1995
81.48,fji,1996
75.77,fji,1997
74.48,fji,1998
77.85,fji,1999
84.02,fji,2000
85.72,fji,2001
76.84,fji,2002
80.87,fji,2003
78.42,fji,2004
76.76,fji,2005
80.51,fji,2006
75.6,fji,2007
88.74,fji,2008
71.76,fji,2009
70.23,fji,2010
39.29,fin,1960
37.29,fin,1961
36.77,fin,1962
34.24,fin,1963
36.0,fin,1964
35.77,fin,1965
35.09,fin,1966
34.04,fin,1967
36.58,fin,1968
39.84,fin,1969
44.07,fin,1970
41.8,fin,1971
41.73,fin,1972
42.51,fin,1973
50.11,fin,1974
45.09,fin,1975
43.64,fin,1976
46.14,fin,1977
45.88,fin,1978
51.37,fin,1979
56.19,fin,1980
54.44,fin,1981
50.77,fin,1982
50.4,fin,1983
49.7,fin,1984
48.83,fin,1985
43.83,fin,1986
44.06,fin,1987
40.0,fin,1988
40.87,fin,1989
38.57,fin,1990
35.83,fin,1991
41.02,fin,1992
47.54,fin,1993
52.65,fin,1994
53.48,fin,1995
56.54,fin,1996
59.42,fin,1997
59.12,fin,1998
57.06,fin,1999
66.13,fin,2000
60.87,fin,2001
58.71,fin,2002
58.25,fin,2003
59.75,fin,2004
63.47,fin,2005
70.49,fin,2006
69.77,fin,2007
69.21,fin,2008
51.63,fin,2009
58.03,fin,2010
20.99,fra,1960
20.35,fra,1961
19.38,fra,1962
19.81,fra,1963
20.24,fra,1964
20.13,fra,1965
20.65,fra,1966
20.08,fra,1967
20.73,fra,1968
23.14,fra,1969
25.33,fra,1970
25.75,fra,1971
26.6,fra,1972
28.46,fra,1973
35.15,fra,1974
30.1,fra,1975
32.93,fra,1976
33.49,fra,1977
32.23,fra,1978
34.33,fra,1979
36.34,fra,1980
37.57,fra,1981
36.97,fra,1982
36.5,fra,1983
38.71,fra,1984
38.63,fra,1985
33.53,fra,1986
33.43,fra,1987
34.62,fra,1988
36.98,fra,1989
36.25,fra,1990
36.04,fra,1991
34.63,fra,1992
33.84,fra,1993
36.3,fra,1994
37.57,fra,1995
38.15,fra,1996
41.31,fra,1997
42.78,fra,1998
44.03,fra,1999
50.26,fra,2000
48.72,fra,2001
45.52,fra,2002
44.13,fra,2003
44.9,fra,2004
45.29,fra,2005
46.01,fra,2006
46.1,fra,2007
47.02,fra,2008
39.8,fra,2009
44.0,fra,2010
42.36,pyf,1980
45.7,pyf,1981
42.6,pyf,1982
42.59,pyf,1983
41.04,pyf,1984
39.08,pyf,1985
33.85,pyf,1986
35.86,pyf,1987
32.86,pyf,1988
33.34,pyf,1989
32.72,pyf,1990
31.86,pyf,1991
28.05,pyf,1992
26.77,pyf,1993
30.97,pyf,1994
30.08,pyf,1995
32.19,pyf,1996
32.49,pyf,1997
33.51,pyf,1998
31.05,pyf,1999
34.58,pyf,2000
55.9,gab,1960
54.01,gab,1961
54.54,gab,1962
78.52,gab,1963
69.84,gab,1964
74.47,gab,1965
68.32,gab,1966
69.35,gab,1967
64.11,gab,1968
68.85,gab,1969
69.39,gab,1970
71.25,gab,1971
85.36,gab,1972
71.92,gab,1973
71.14,gab,1974
65.44,gab,1975
54.43,gab,1976
73.3,gab,1977
72.14,gab,1978
78.54,gab,1979
66.53,gab,1980
78.76,gab,1981
83.7,gab,1982
79.17,gab,1983
76.8,gab,1984
84.01,gab,1985
62.78,gab,1986
61.49,gab,1987
51.82,gab,1988
56.49,gab,1989
52.45,gab,1990
56.95,gab,1991
49.75,gab,1992
71.71,gab,1993
74.11,gab,1994
72.5,gab,1995
72.72,gab,1996
77.49,gab,1997
67.34,gab,1998
69.38,gab,1999
70.02,gab,2000
74.82,gab,2001
71.87,gab,2002
70.49,gab,2003
70.7,gab,2004
75.42,gab,2005
75.16,gab,2006
73.17,gab,2007
83.23,gab,2008
77.26,gab,2009
94.03,gab,2010
77.15,gmb,1966
78.67,gmb,1967
82.52,gmb,1968
79.71,gmb,1969
66.59,gmb,1970
62.33,gmb,1971
74.33,gmb,1972
74.52,gmb,1973
93.41,gmb,1974
90.21,gmb,1975
97.02,gmb,1976
90.57,gmb,1977
81.27,gmb,1978
96.23,gmb,1979
81.3,gmb,1980
69.93,gmb,1981
68.05,gmb,1982
76.38,gmb,1983
84.02,gmb,1984
60.25,gmb,1985
75.01,gmb,1986
75.69,gmb,1987
73.5,gmb,1988
66.18,gmb,1989
69.1,gmb,1990
75.76,gmb,1991
79.15,gmb,1992
89.25,gmb,1993
68.04,gmb,1994
51.84,gmb,1995
71.2,gmb,1996
71.53,gmb,1997
59.78,gmb,1998
47.23,gmb,1999
47.99,gmb,2000
34.46,gmb,2001
46.69,gmb,2002
44.79,gmb,2003
59.6,gmb,2004
58.04,gmb,2005
53.27,gmb,2006
51.23,gmb,2007
40.87,gmb,2008
43.48,gmb,2009
36.05,gmb,2010
19.69,geo,1994
20.16,geo,1995
28.63,geo,1996
33.73,geo,1997
29.83,geo,1998
29.39,geo,1999
33.75,geo,2000
33.27,geo,2001
33.63,geo,2002
40.14,geo,2003
48.63,geo,2004
52.33,geo,2005
59.57,geo,2006
63.38,geo,2007
60.94,geo,2008
51.08,geo,2009
57.24,geo,2010
30.73,deu,1970
30.23,deu,1971
30.03,deu,1972
31.76,deu,1973
36.9,deu,1974
34.77,deu,1975
37.89,deu,1976
37.78,deu,1977
36.87,deu,1978
38.86,deu,1979
41.42,deu,1980
43.89,deu,1981
44.14,deu,1982
43.21,deu,1983
46.28,deu,1984
48.3,deu,1985
42.88,deu,1986
41.62,deu,1987
42.32,deu,1988
45.13,deu,1989
45.31,deu,1990
43.83,deu,1991
40.63,deu,1992
36.0,deu,1993
37.63,deu,1994
39.14,deu,1995
40.37,deu,1996
44.44,deu,1997
46.61,deu,1998
47.75,deu,1999
55.61,deu,2000
56.24,deu,2001
55.12,deu,2002
55.95,deu,2003
59.63,deu,2004
63.19,deu,2005
69.41,deu,2006
71.49,deu,2007
72.61,deu,2008
62.04,deu,2009
71.2,deu,2010
56.5,gha,1960
55.49,gha,1961
47.45,gha,1962
43.51,gha,1963
38.18,gha,1964
37.32,gha,1965
29.15,gha,1966
35.17,gha,1967
38.4,gha,1968
34.38,gha,1969
39.23,gha,1970
37.95,gha,1971
34.45,gha,1972
44.96,gha,1973
53.84,gha,1974
57.18,gha,1975
61.28,gha,1976
64.33,gha,1977
57.31,gha,1978
45.96,gha,1979
53.7,gha,1980
51.42,gha,1981
39.12,gha,1982
59.3,gha,1983
25.75,gha,1984
32.92,gha,1985
33.33,gha,1986
42.03,gha,1987
36.84,gha,1988
43.65,gha,1989
35.71,gha,1990
25.33,gha,1991
53.35,gha,1992
59.49,gha,1993
64.94,gha,1994
56.21,gha,1995
54.54,gha,1996
57.54,gha,1997
58.31,gha,1998
67.45,gha,1999
93.3,gha,2000
91.73,gha,2001
74.2,gha,2002
72.59,gha,2003
73.54,gha,2004
76.02,gha,2005
51.4,gha,2006
49.76,gha,2007
54.47,gha,2008
53.45,gha,2009
57.57,gha,2010
20.36,grc,1960
18.69,grc,1961
17.86,grc,1962
18.39,grc,1963
17.87,grc,1964
19.23,grc,1965
19.26,grc,1966
18.4,grc,1967
18.77,grc,1968
19.06,grc,1969
20.57,grc,1970
19.84,grc,1971
19.99,grc,1972
23.15,grc,1973
26.54,grc,1974
28.13,grc,1975
29.02,grc,1976
27.86,grc,1977
26.52,grc,1978
25.98,grc,1979
28.97,grc,1980
26.16,grc,1981
27.5,grc,1982
29.52,grc,1983
31.12,grc,1984
32.18,grc,1985
31.62,grc,1986
31.47,grc,1987
24.41,grc,1988
31.39,grc,1989
29.87,grc,1990
30.17,grc,1991
29.53,grc,1992
29.35,grc,1993
27.8,grc,1994
28.31,grc,1995
28.94,grc,1996
28.4,grc,1997
30.43,grc,1998
31.23,grc,1999
36.35,grc,2000
33.4,grc,2001
28.75,grc,2002
30.2,grc,2003
29.86,grc,2004
29.87,grc,2005
32.2,grc,2006
33.49,grc,2007
34.87,grc,2008
27.94,grc,2009
