geo,population_aged_60plus_years_total_number,time
khm,282000,1965
khm,321000,1970
khm,330000,1975
khm,321000,1980
khm,365000,1985
khm,430000,1990
khm,508000,1995
khm,590000,2000
khm,721000,2005
khm,882000,2010
khm,1070000,2015
khm,1302000,2020
khm,1573000,2025
khm,1863000,2030
khm,2127000,2035
khm,2359000,2040
khm,3084000,2045
khm,3854000,2050
cmr,255000,1950
cmr,282000,1955
cmr,312000,1960
cmr,352000,1965
cmr,398000,1970
cmr,452000,1975
cmr,516000,1980
cmr,589000,1985
cmr,674000,1990
cmr,766000,1995
cmr,864000,2000
cmr,969000,2005
cmr,1084000,2010
cmr,1228000,2015
cmr,1388000,2020
cmr,1576000,2025
cmr,1800000,2030
cmr,2098000,2035
cmr,2523000,2040
cmr,3092000,2045
cmr,3750000,2050
can,1556000,1950
can,1742000,1955
can,1915000,1960
can,2154000,1965
can,2478000,1970
can,2857000,1975
can,3258000,1980
can,3776000,1985
can,4303000,1990
can,4718000,1995
can,5125000,2000
can,5762000,2005
can,6768000,2010
can,7920000,2015
can,9276000,2020
can,10640000,2025
can,11560000,2030
can,12300000,2035
can,12960000,2040
can,13570000,2045
can,14130000,2050
cpv,9000,1950
cpv,12000,1955
cpv,13000,1960
cpv,17000,1965
cpv,21000,1970
cpv,23000,1975
cpv,24000,1980
cpv,22000,1985
cpv,24000,1990
cpv,26000,1995
cpv,29000,2000
cpv,28000,2005
cpv,29000,2010
cpv,31000,2015
cpv,39000,2020
cpv,53000,2025
cpv,71000,2030
cpv,81000,2035
cpv,98000,2040
cpv,119000,2045
cpv,143000,2050
caf,103000,1950
caf,100000,1955
caf,103000,1960
caf,111000,1965
caf,120000,1970
caf,132000,1975
caf,145000,1980
caf,163000,1985
caf,183000,1990
caf,202000,1995
caf,224000,2000
caf,242000,2005
caf,263000,2010
caf,291000,2015
caf,326000,2020
caf,368000,2025
caf,411000,2030
caf,466000,2035
caf,539000,2040
caf,638000,2045
caf,760000,2050
tcd,168000,1950
tcd,172000,1955
tcd,189000,1960
tcd,207000,1965
tcd,226000,1970
tcd,250000,1975
tcd,268000,1980
tcd,292000,1985
tcd,327000,1990
tcd,363000,1995
tcd,408000,2000
tcd,463000,2005
tcd,510000,2010
tcd,587000,2015
tcd,679000,2020
tcd,787000,2025
tcd,911000,2030
tcd,1071000,2035
tcd,1293000,2040
tcd,1581000,2045
tcd,1940000,2050
chanisl,17000,1950
chanisl,20000,1955
chanisl,21000,1960
chanisl,23000,1965
chanisl,24000,1970
chanisl,25000,1975
chanisl,25000,1980
chanisl,27000,1985
chanisl,27000,1990
chanisl,28000,1995
chanisl,28000,2000
chanisl,30000,2005
chanisl,33000,2010
chanisl,37000,2015
chanisl,41000,2020
chanisl,45000,2025
chanisl,50000,2030
chanisl,53000,2035
chanisl,54000,2040
chanisl,53000,2045
chanisl,52000,2050
chl,417000,1950
chl,493000,1955
chl,572000,1960
chl,651000,1965
chl,740000,1970
chl,820000,1975
chl,917000,1980
chl,1031000,1985
chl,1191000,1990
chl,1377000,1995
chl,1589000,2000
chl,1898000,2005
chl,2254000,2010
chl,2690000,2015
chl,3266000,2020
chl,3921000,2025
chl,4466000,2030
chl,4916000,2035
chl,5207000,2040
chl,5543000,2045
chl,5921000,2050
chn,40840000,1950
chn,45360000,1955
chn,46680000,1960
chn,49960000,1965
chn,55780000,1970
chn,63150000,1975
chn,72490000,1980
chn,84500000,1985
chn,96650000,1990
chn,111300000,1995
chn,126500000,2000
chn,142200000,2005
chn,166500000,2010
chn,206600000,2015
chn,239400000,2020
chn,285000000,2025
chn,342300000,2030
chn,386400000,2035
chn,400100000,2040
chn,413300000,2045
chn,440400000,2050
col,634000,1950
col,701000,1955
col,821000,1960
col,972000,1965
col,1153000,1970
col,1351000,1975
col,1557000,1980
col,1818000,1985
col,2088000,1990
col,2377000,1995
col,2728000,2000
col,3207000,2005
col,3974000,2010
col,5030000,2015
col,6279000,2020
col,7759000,2025
col,9326000,2030
col,10630000,2035
col,12000000,2040
col,13310000,2045
col,14540000,2050
com,9000,1950
com,10000,1955
com,10000,1960
com,10000,1965
com,11000,1970
com,13000,1975
com,17000,1980
com,18000,1985
com,20000,1990
com,22000,1995
com,25000,2000
com,29000,2005
com,33000,2010
com,39000,2015
com,51000,2020
com,61000,2025
com,74000,2030
com,93000,2035
com,115000,2040
com,146000,2045
com,168000,2050
cod,680000,1950
cod,678000,1955
cod,727000,1960
cod,810000,1965
cod,932000,1970
cod,1074000,1975
cod,1243000,1980
cod,1423000,1985
cod,1654000,1990
cod,1972000,1995
cod,2183000,2000
cod,2511000,2005
cod,2857000,2010
cod,3246000,2015
cod,3718000,2020
cod,4306000,2025
cod,5074000,2030
cod,6059000,2035
cod,7319000,2040
cod,8983000,2045
cod,11140000,2050
cog,46000,1950
cog,52000,1955
cog,59000,1960
cog,68000,1965
cog,80000,1970
cog,91000,1975
cog,106000,1980
cog,122000,1985
cog,141000,1990
cog,158000,1995
cog,177000,2000
cog,195000,2005
cog,213000,2010
cog,238000,2015
cog,268000,2020
cog,303000,2025
cog,355000,2030
cog,427000,2035
cog,530000,2040
cog,655000,2045
cog,791000,2050
cri,74000,1950
cri,83000,1955
cri,96000,1960
cri,111000,1965
cri,124000,1970
cri,142000,1975
cri,169000,1980
cri,188000,1985
cri,222000,1990
cri,256000,1995
cri,301000,2000
cri,360000,2005
cri,440000,2010
cri,556000,2015
cri,710000,2020
cri,888000,2025
cri,1059000,2030
cri,1198000,2035
cri,1354000,2040
cri,1526000,2045
cri,1700000,2050
civ,100000,1950
civ,118000,1955
civ,142000,1960
civ,175000,1965
civ,218000,1970
civ,277000,1975
civ,355000,1980
civ,455000,1985
civ,575000,1990
civ,727000,1995
civ,912000,2000
civ,1106000,2005
civ,1308000,2010
civ,1532000,2015
civ,1768000,2020
civ,2017000,2025
civ,2300000,2030
civ,2688000,2035
civ,3254000,2040
civ,3949000,2045
civ,4775000,2050
hrv,437000,1950
hrv,431000,1955
hrv,475000,1960
hrv,537000,1965
hrv,624000,1970
hrv,661000,1975
hrv,646000,1980
hrv,699000,1985
hrv,773000,1990
hrv,923000,1995
hrv,979000,2000
hrv,972000,2005
hrv,1035000,2010
hrv,1111000,2015
hrv,1186000,2020
hrv,1238000,2025
hrv,1270000,2030
hrv,1292000,2035
hrv,1321000,2040
hrv,1345000,2045
hrv,1341000,2050
cub,412000,1950
cub,445000,1955
cub,518000,1960
cub,648000,1965
cub,790000,1970
cub,935000,1975
cub,1065000,1980
cub,1146000,1985
cub,1284000,1990
cub,1374000,1995
cub,1594000,2000
cub,1704000,2005
cub,1938000,2010
cub,2196000,2015
cub,2448000,2020
cub,2904000,2025
cub,3403000,2030
cub,3729000,2035
cub,3766000,2040
cub,3730000,2045
cub,3768000,2050
cyp,44000,1950
cyp,53000,1955
cyp,55000,1960
cyp,59000,1965
cyp,85000,1970
cyp,84000,1975
cyp,86000,1980
cyp,93000,1985
cyp,100000,1990
cyp,107000,1995
cyp,121000,2000
cyp,142000,2005
cyp,162000,2010
cyp,183000,2015
cyp,212000,2020
cyp,239000,2025
cyp,260000,2030
cyp,279000,2035
cyp,301000,2040
cyp,328000,2045
cyp,353000,2050
cze,1116000,1950
cze,1215000,1955
cze,1389000,1960
cze,1598000,1965
cze,1782000,1970
cze,1879000,1975
cze,1729000,1980
cze,1797000,1985
cze,1831000,1990
cze,1858000,1995
cze,1875000,2000
cze,2033000,2005
cze,2312000,2010
cze,2559000,2015
cze,2692000,2020
cze,2804000,2025
cze,2906000,2030
cze,3135000,2035
cze,3377000,2040
cze,3470000,2045
cze,3547000,2050
dnk,572000,1950
dnk,632000,1955
dnk,708000,1960
dnk,783000,1965
dnk,868000,1970
dnk,947000,1975
dnk,998000,1980
dnk,1038000,1985
dnk,1047000,1990
dnk,1038000,1995
dnk,1054000,2000
dnk,1149000,2005
dnk,1282000,2010
dnk,1374000,2015
dnk,1460000,2020
dnk,1564000,2025
dnk,1652000,2030
dnk,1704000,2035
dnk,1699000,2040
dnk,1648000,2045
dnk,1624000,2050
dji,2000,1950
dji,2000,1955
dji,3000,1960
dji,4000,1965
dji,6000,1970
dji,7000,1975
dji,12000,1980
dji,15000,1985
dji,22000,1990
dji,25000,1995
dji,32000,2000
dji,41000,2005
dji,48000,2010
dji,57000,2015
dji,67000,2020
dji,79000,2025
dji,95000,2030
dji,113000,2035
dji,134000,2040
dji,161000,2045
dji,193000,2050
dom,106000,1950
dom,118000,1955
dom,137000,1960
dom,163000,1965
dom,194000,1970
dom,234000,1975
dom,282000,1980
dom,351000,1985
dom,438000,1990
dom,540000,1995
dom,649000,2000
dom,764000,2005
dom,896000,2010
dom,1066000,2015
dom,1284000,2020
dom,1547000,2025
dom,1823000,2030
dom,2090000,2035
dom,2344000,2040
dom,2614000,2045
dom,2879000,2050
ecu,277000,1950
ecu,291000,1955
ecu,312000,1960
ecu,344000,1965
ecu,376000,1970
ecu,424000,1975
ecu,475000,1980
ecu,543000,1985
ecu,640000,1990
ecu,762000,1995
ecu,916000,2000
ecu,1094000,2005
ecu,1301000,2010
ecu,1595000,2015
ecu,1914000,2020
ecu,2263000,2025
ecu,2636000,2030
ecu,3011000,2035
ecu,3384000,2040
ecu,3757000,2045
ecu,4130000,2050
egy,1122000,1950
egy,1306000,1955
egy,1500000,1960
egy,1713000,1965
egy,1945000,1970
egy,2199000,1975
egy,2504000,1980
egy,2923000,1985
egy,3442000,1990
egy,3977000,1995
egy,4562000,2000
egy,5157000,2005
egy,6295000,2010
egy,7477000,2015
egy,8972000,2020
egy,10730000,2025
egy,12610000,2030
egy,14600000,2035
egy,17340000,2040
egy,20810000,2045
egy,24850000,2050
slv,133000,1950
slv,141000,1955
slv,157000,1960
slv,180000,1965
slv,204000,1970
slv,235000,1975
slv,270000,1980
slv,314000,1985
slv,364000,1990
slv,429000,1995
slv,498000,2000
slv,563000,2005
slv,630000,2010
slv,704000,2015
slv,786000,2020
slv,887000,2025
slv,1009000,2030
slv,1142000,2035
slv,1276000,2040
slv,1415000,2045
slv,1598000,2050
gnq,20000,1950
gnq,20000,1955
gnq,20000,1960
gnq,20000,1965
gnq,21000,1970
gnq,20000,1975
gnq,20000,1980
gnq,23000,1985
gnq,24000,1990
gnq,25000,1995
gnq,28000,2000
gnq,28000,2005
gnq,30000,2010
gnq,38000,2015
gnq,54000,2020
gnq,72000,2025
gnq,86000,2030
gnq,92000,2035
gnq,93000,2040
gnq,102000,2045
gnq,121000,2050
eri,59000,1950
eri,59000,1955
eri,64000,1960
eri,69000,1965
eri,77000,1970
eri,88000,1975
eri,143000,1980
eri,134000,1985
eri,136000,1990
eri,131000,1995
eri,145000,2000
eri,180000,2005
eri,214000,2010
eri,244000,2015
eri,275000,2020
eri,306000,2025
eri,375000,2030
eri,532000,2035
eri,759000,2040
eri,965000,2045
eri,1167000,2050
est,162000,1950
est,169000,1955
est,182000,1960
est,206000,1965
est,228000,1970
est,246000,1975
est,234000,1980
est,246000,1985
est,270000,1990
est,275000,1995
est,290000,2000
est,292000,2005
est,303000,2010
est,317000,2015
est,332000,2020
est,341000,2025
est,345000,2030
est,351000,2035
est,359000,2040
est,371000,2045
est,392000,2050
eth,885000,1950
eth,906000,1955
