surface_area_sq_km,geo,time
7741000.0,aus,1971
7741000.0,aus,1972
7741000.0,aus,1973
7741000.0,aus,1974
7741000.0,aus,1975
7741000.0,aus,1976
7741000.0,aus,1977
7741000.0,aus,1978
7741000.0,aus,1979
7741000.0,aus,1980
7741000.0,aus,1981
7741000.0,aus,1982
7741000.0,aus,1983
7741000.0,aus,1984
7741000.0,aus,1985
7741000.0,aus,1986
7741000.0,aus,1987
7741000.0,aus,1988
7741000.0,aus,1989
7741000.0,aus,1990
7741000.0,aus,1991
7741000.0,aus,1992
7741000.0,aus,1993
7741000.0,aus,1994
7741000.0,aus,1995
7741000.0,aus,1996
7741000.0,aus,1997
7741000.0,aus,1998
7741000.0,aus,1999
7741000.0,aus,2000
7741000.0,aus,2001
7741000.0,aus,2002
7741000.0,aus,2003
7741000.0,aus,2004
7741000.0,aus,2005
7741000.0,aus,2006
7741000.0,aus,2007
7741000.0,aus,2008
7741000.0,aus,2009
7741000.0,aus,2010
83870.0,aut,1961
83870.0,aut,1962
83870.0,aut,1963
83870.0,aut,1964
83870.0,aut,1965
83870.0,aut,1966
83870.0,aut,1967
83870.0,aut,1968
83870.0,aut,1969
83870.0,aut,1970
83870.0,aut,1971
83870.0,aut,1972
83870.0,aut,1973
83870.0,aut,1974
83870.0,aut,1975
83870.0,aut,1976
83870.0,aut,1977
83870.0,aut,1978
83870.0,aut,1979
83870.0,aut,1980
83870.0,aut,1981
83870.0,aut,1982
83870.0,aut,1983
83870.0,aut,1984
83870.0,aut,1985
83870.0,aut,1986
83870.0,aut,1987
83870.0,aut,1988
83870.0,aut,1989
83870.0,aut,1990
83870.0,aut,1991
83870.0,aut,1992
83870.0,aut,1993
83870.0,aut,1994
83870.0,aut,1995
83870.0,aut,1996
83870.0,aut,1997
83870.0,aut,1998
83870.0,aut,1999
83870.0,aut,2000
83870.0,aut,2001
83870.0,aut,2002
83870.0,aut,2003
83870.0,aut,2004
83870.0,aut,2005
83870.0,aut,2006
83870.0,aut,2007
83870.0,aut,2008
83870.0,aut,2009
83870.0,aut,2010
86600.0,aze,1961
86600.0,aze,1962
86600.0,aze,1963
86600.0,aze,1964
86600.0,aze,1965
86600.0,aze,1966
86600.0,aze,1967
86600.0,aze,1968
86600.0,aze,1969
86600.0,aze,1970
86600.0,aze,1971
86600.0,aze,1972
86600.0,aze,1973
86600.0,aze,1974
86600.0,aze,1975
86600.0,aze,1976
86600.0,aze,1977
86600.0,aze,1978
86600.0,aze,1979
86600.0,aze,1980
86600.0,aze,1981
86600.0,aze,1982
86600.0,aze,1983
86600.0,aze,1984
86600.0,aze,1985
86600.0,aze,1986
86600.0,aze,1987
86600.0,aze,1988
86600.0,aze,1989
86600.0,aze,1990
86600.0,aze,1991
86600.0,aze,1992
86600.0,aze,1993
86600.0,aze,1994
86600.0,aze,1995
86600.0,aze,1996
86600.0,aze,1997
86600.0,aze,1998
86600.0,aze,1999
86600.0,aze,2000
86600.0,aze,2001
86600.0,aze,2002
86600.0,aze,2003
86600.0,aze,2004
86600.0,aze,2005
86600.0,aze,2006
86600.0,aze,2007
86600.0,aze,2008
86600.0,aze,2009
86600.0,aze,2010
13880.0,bhs,1961
13880.0,bhs,1962
13880.0,bhs,1963
