geo,population_density_per_square_km,time
bhs,13.61,1975
bhs,13.9,1976
bhs,14.2,1977
bhs,14.52,1978
bhs,14.84,1979
bhs,15.18,1980
bhs,15.52,1981
bhs,15.87,1982
bhs,16.22,1983
bhs,16.57,1984
bhs,16.9,1985
bhs,17.22,1986
bhs,17.53,1987
bhs,17.83,1988
bhs,18.14,1989
bhs,18.46,1990
bhs,18.8,1991
bhs,19.15,1992
bhs,19.51,1993
bhs,19.85,1994
bhs,20.16,1995
bhs,20.44,1996
bhs,20.7,1997
bhs,20.94,1998
bhs,21.18,1999
bhs,21.45,2000
bhs,21.73,2001
bhs,22.04,2002
bhs,22.35,2003
bhs,22.68,2004
bhs,23.01,2005
bhs,23.35,2006
bhs,23.7,2007
bhs,24.04,2008
bhs,24.38,2009
bhs,24.71,2010
bhr,166.6,1950
bhr,168.4,1951
bhr,172.3,1952
bhr,177.8,1953
bhr,184.5,1954
bhr,192.1,1955
bhr,200.2,1956
bhr,208.5,1957
bhr,216.9,1958
bhr,225.2,1959
bhr,233.2,1960
bhr,240.9,1961
bhr,248.3,1962
bhr,255.3,1963
bhr,262.0,1964
bhr,268.5,1965
bhr,274.8,1966
bhr,281.1,1967
bhr,287.9,1968
bhr,295.8,1969
bhr,305.3,1970
bhr,316.3,1971
bhr,328.9,1972
bhr,343.6,1973
bhr,361.2,1974
bhr,382.1,1975
bhr,406.7,1976
bhr,434.5,1977
bhr,463.6,1978
bhr,491.3,1979
bhr,515.8,1980
bhr,536.1,1981
bhr,553.0,1982
bhr,568.0,1983
bhr,583.3,1984
bhr,600.8,1985
bhr,620.8,1986
bhr,642.9,1987
bhr,666.0,1988
bhr,688.8,1989
bhr,710.2,1990
bhr,730.1,1991
bhr,748.8,1992
bhr,767.1,1993
bhr,785.8,1994
bhr,805.6,1995
bhr,828.4,1996
bhr,854.4,1997
bhr,880.7,1998
bhr,903.1,1999
bhr,919.6,2000
bhr,925.8,2001
bhr,925.2,2002
bhr,932.5,2003
bhr,968.0,2004
bhr,1044.0,2005
bhr,1169.0,2006
bhr,1334.0,2007
bhr,1516.0,2008
bhr,1685.0,2009
bhr,1818.0,2010
bgd,263.2,1950
bgd,271.6,1951
bgd,279.2,1952
bgd,286.5,1953
bgd,293.9,1954
bgd,301.7,1955
bgd,310.0,1956
bgd,318.9,1957
bgd,328.3,1958
bgd,338.1,1959
bgd,347.9,1960
bgd,357.9,1961
bgd,367.9,1962
bgd,378.3,1963
bgd,389.4,1964
bgd,401.3,1965
bgd,414.5,1966
bgd,428.5,1967
bgd,442.4,1968
bgd,454.7,1969
bgd,464.5,1970
bgd,471.2,1971
bgd,475.4,1972
bgd,478.7,1973
bgd,483.1,1974
bgd,490.2,1975
bgd,500.4,1976
bgd,513.3,1977
bgd,528.2,1978
bgd,544.1,1979
bgd,559.9,1980
bgd,575.6,1981
bgd,591.4,1982
bgd,607.4,1983
bgd,623.8,1984
bgd,640.9,1985
bgd,658.5,1986
bgd,676.6,1987
bgd,694.9,1988
bgd,713.1,1989
bgd,731.0,1990
bgd,748.4,1991
bgd,765.5,1992
bgd,782.3,1993
bgd,799.0,1994
bgd,815.9,1995
bgd,832.9,1996
bgd,849.8,1997
bgd,866.7,1998
bgd,883.4,1999
bgd,900.0,2000
bgd,916.3,2001
bgd,932.4,2002
bgd,948.0,2003
bgd,962.7,2004
bgd,976.3,2005
bgd,988.6,2006
bgd,999.7,2007
bgd,1010.0,2008
bgd,1021.0,2009
bgd,1033.0,2010
brb,490.7,1950
brb,501.6,1951
brb,510.7,1952
brb,518.0,1953
brb,523.7,1954
brb,527.9,1955
brb,530.8,1956
brb,532.8,1957
brb,534.3,1958
brb,535.5,1959
brb,536.8,1960
brb,538.5,1961
brb,540.7,1962
brb,543.0,1963
brb,545.2,1964
brb,547.1,1965
brb,548.6,1966
brb,549.9,1967
brb,551.1,1968
brb,552.7,1969
brb,554.9,1970
brb,557.8,1971
brb,561.3,1972
brb,565.0,1973
brb,568.4,1974
brb,571.3,1975
brb,573.3,1976
brb,574.7,1977
brb,575.8,1978
brb,577.0,1979
brb,578.6,1980
brb,580.7,1981
brb,583.3,1982
brb,586.1,1983
brb,588.9,1984
brb,591.7,1985
brb,594.3,1986
brb,596.7,1987
brb,599.1,1988
brb,601.4,1989
brb,603.5,1990
brb,605.5,1991
brb,607.3,1992
brb,609.0,1993
brb,610.8,1994
brb,612.6,1995
brb,614.5,1996
brb,616.5,1997
brb,618.5,1998
brb,620.4,1999
brb,622.1,2000
brb,623.7,2001
brb,625.1,2002
brb,626.5,2003
brb,627.8,2004
brb,629.1,2005
brb,630.4,2006
brb,631.7,2007
brb,633.0,2008
brb,634.3,2009
brb,635.7,2010
blr,37.31,1950
blr,37.18,1951
blr,37.14,1952
blr,37.21,1953
blr,37.36,1954
blr,37.59,1955
blr,37.89,1956
blr,38.24,1957
blr,38.63,1958
blr,39.04,1959
blr,39.45,1960
blr,39.86,1961
blr,40.26,1962
blr,40.65,1963
blr,41.05,1964
blr,41.46,1965
blr,41.88,1966
blr,42.32,1967
blr,42.75,1968
blr,43.16,1969
blr,43.54,1970
blr,43.9,1971
blr,44.23,1972
blr,44.54,1973
blr,44.83,1974
blr,45.12,1975
blr,45.4,1976
blr,45.67,1977
blr,45.94,1978
blr,46.23,1979
