geo,total_health_spending_percent_of_gdp,time
tgo,6.274,2005
tgo,6.775,2006
tgo,6.56,2007
tgo,6.814,2008
tgo,7.367,2009
tgo,7.653,2010
ton,3.926,1995
ton,5.162,1996
ton,5.644,1997
ton,5.868,1998
ton,6.516,1999
ton,6.063,2000
ton,5.695,2001
ton,5.056,2002
ton,5.095,2003
ton,4.815,2004
ton,6.52,2005
ton,5.52,2006
ton,6.766,2007
ton,6.25,2008
ton,4.679,2009
ton,5.071,2010
tto,4.691,1995
tto,4.331,1996
tto,4.159,1997
tto,3.68,1998
tto,4.253,1999
tto,3.883,2000
tto,4.131,2001
tto,4.785,2002
tto,4.943,2003
tto,4.996,2004
tto,5.663,2005
tto,4.96,2006
tto,4.824,2007
tto,4.453,2008
tto,5.776,2009
tto,5.675,2010
tun,6.148,1995
tun,5.693,1996
tun,5.636,1997
tun,5.714,1998
tun,5.763,1999
tun,5.954,2000
tun,5.828,2001
tun,5.85,2002
tun,5.91,2003
tun,6.199,2004
tun,6.169,2005
tun,6.235,2006
tun,6.159,2007
tun,6.163,2008
tun,6.353,2009
tun,6.207,2010
tur,2.507,1995
tur,2.902,1996
tur,3.134,1997
tur,3.593,1998
tur,4.766,1999
tur,4.949,2000
tur,5.16,2001
tur,5.357,2002
tur,5.339,2003
tur,5.37,2004
tur,5.449,2005
tur,5.811,2006
tur,6.037,2007
tur,6.074,2008
tur,6.747,2009
tur,6.74,2010
tkm,3.085,1995
tkm,3.247,1996
tkm,4.847,1997
tkm,4.81,1998
tkm,3.453,1999
tkm,4.039,2000
tkm,3.71,2001
tkm,3.477,2002
tkm,3.796,2003
tkm,3.579,2004
tkm,3.195,2005
tkm,2.665,2006
tkm,2.499,2007
tkm,1.927,2008
tkm,2.488,2009
tkm,2.496,2010
tuv,5.408,1995
tuv,11.44,1996
tuv,8.554,1997
tuv,8.787,1998
tuv,9.308,1999
tuv,15.66,2000
tuv,17.02,2001
tuv,15.2,2002
tuv,21.13,2003
tuv,16.28,2004
tuv,17.59,2005
tuv,18.56,2006
tuv,16.48,2007
tuv,20.6,2008
tuv,14.55,2009
tuv,17.49,2010
uga,5.833,1995
uga,6.063,1996
uga,5.544,1997
uga,5.323,1998
uga,6.266,1999
uga,6.585,2000
uga,7.329,2001
uga,7.535,2002
uga,7.418,2003
uga,7.462,2004
uga,8.127,2005
uga,8.895,2006
uga,8.393,2007
uga,8.622,2008
uga,8.474,2009
uga,9.009,2010
ukr,6.773,1995
ukr,6.138,1996
ukr,6.083,1997
ukr,6.617,1998
ukr,5.895,1999
ukr,5.59,2000
ukr,5.658,2001
ukr,6.253,2002
ukr,6.934,2003
ukr,6.609,2004
ukr,6.41,2005
ukr,6.392,2006
ukr,6.355,2007
ukr,6.634,2008
ukr,7.799,2009
ukr,7.722,2010
are,2.636,1995
are,2.459,1996
are,2.487,1997
are,3.055,1998
are,2.905,1999
are,2.574,2000
are,2.484,2001
are,2.718,2002
are,2.646,2003
are,2.462,2004
are,2.32,2005
are,2.328,2006
are,2.522,2007
are,3.01,2008
are,4.374,2009
are,3.66,2010
gbr,6.831,1995
gbr,6.844,1996
gbr,6.606,1997
gbr,6.655,1998
gbr,6.89,1999
gbr,7.012,2000
gbr,7.238,2001
gbr,7.561,2002
gbr,7.766,2003
gbr,7.994,2004
gbr,8.239,2005
gbr,8.474,2006
gbr,8.414,2007
gbr,8.855,2008
gbr,9.789,2009
gbr,9.636,2010
usa,13.56,1995
usa,13.5,1996
usa,13.35,1997
usa,13.37,1998
usa,13.35,1999
usa,13.41,2000
usa,14.07,2001
usa,14.82,2002
usa,15.67,2003
usa,15.71,2004
usa,15.76,2005
usa,15.85,2006
usa,16.05,2007
usa,16.51,2008
usa,17.61,2009
usa,17.89,2010
ury,11.5,1995
ury,10.8,1996
ury,8.405,1997
ury,8.57,1998
ury,8.663,1999
ury,8.489,2000
ury,8.402,2001
ury,8.241,2002
ury,7.239,2003
ury,8.476,2004
ury,8.273,2005
ury,8.284,2006
ury,7.852,2007
ury,7.733,2008
ury,8.434,2009
ury,8.352,2010
uzb,5.173,1995
uzb,5.433,1996
uzb,5.206,1997
uzb,6.426,1998
uzb,6.008,1999
uzb,5.708,2000
uzb,5.685,2001
uzb,5.524,2002
uzb,5.241,2003
uzb,5.423,2004
uzb,5.265,2005
uzb,5.764,2006
uzb,5.538,2007
uzb,5.386,2008
uzb,5.927,2009
uzb,5.806,2010
vut,2.44,1995
vut,2.145,1996
vut,3.19,1997
vut,3.905,1998
vut,3.524,1999
vut,3.572,2000
vut,3.669,2001
vut,3.86,2002
vut,3.692,2003
vut,3.494,2004
vut,3.269,2005
vut,3.174,2006
vut,3.772,2007
vut,4.257,2008
vut,4.854,2009
vut,5.247,2010
ven,4.233,1995
ven,3.493,1996
ven,3.862,1997
ven,4.513,1998
ven,5.653,1999
ven,5.69,2000
ven,5.96,2001
ven,5.654,2002
ven,5.855,2003
ven,5.572,2004
ven,5.428,2005
ven,5.735,2006
ven,5.805,2007
ven,5.395,2008
ven,6.015,2009
ven,4.906,2010
vnm,5.094,1995
vnm,5.006,1996
vnm,4.857,1997
vnm,4.944,1998
vnm,4.884,1999
vnm,5.279,2000
vnm,5.586,2001
vnm,5.141,2002
vnm,5.226,2003
vnm,5.535,2004
vnm,5.856,2005
vnm,6.441,2006
vnm,6.99,2007
vnm,6.613,2008
vnm,6.895,2009
vnm,6.841,2010
yem,4.494,1995
yem,4.75,1996
yem,4.682,1997
yem,5.399,1998
yem,4.657,1999
yem,4.463,2000
yem,4.785,2001
yem,4.674,2002
yem,5.737,2003
yem,5.332,2004
yem,4.88,2005
yem,5.257,2006
yem,5.313,2007
yem,5.377,2008
yem,5.517,2009
yem,5.185,2010
zmb,5.601,1995
zmb,5.889,1996
zmb,6.21,1997
zmb,6.529,1998
zmb,5.795,1999
zmb,5.671,2000
zmb,5.918,2001
zmb,6.63,2002
zmb,6.582,2003
zmb,6.612,2004
zmb,7.0,2005
zmb,6.335,2006
zmb,5.834,2007
zmb,6.137,2008
zmb,6.212,2009
zmb,5.891,2010
zwe,8.763,1995
zwe,7.936,1996
zwe,9.026,1997
zwe,10.8,1998
zwe,7.436,1999
zwe,9.994,2000
zwe,8.096,2001
