geo,liver_cancer_deaths_per_100000_women,time
isr,1.29,1989
isr,1.73,1990
isr,1.23,1991
isr,1.34,1992
isr,2.49,1993
isr,1.83,1994
isr,1.36,1995
isr,1.43,1996
isr,1.51,1997
isr,2.12,1998
isr,2.11,1999
isr,1.8,2000
isr,2.4,2001
isr,2.11,2002
ita,4.8,2002
jam,3.1,2002
jpn,1.07,1958
jpn,1.12,1959
jpn,1.23,1960
jpn,1.33,1961
jpn,1.3,1962
jpn,1.15,1963
jpn,1.14,1964
jpn,1.1,1965
jpn,0.88,1966
jpn,0.79,1967
jpn,2.94,1979
jpn,2.94,1980
jpn,3.13,1981
jpn,3.13,1982
jpn,3.25,1983
jpn,3.32,1984
jpn,3.43,1985
jpn,3.44,1986
jpn,3.52,1987
jpn,3.65,1988
jpn,3.7,1989
jpn,3.88,1990
jpn,3.81,1991
jpn,3.89,1992
jpn,3.93,1993
jpn,3.98,1994
jpn,6.34,1995
jpn,6.32,1996
jpn,6.25,1997
jpn,6.2,1998
jpn,6.26,1999
jpn,6.01,2000
jpn,5.98,2001
jpn,5.79,2002
jor,1.3,2002
kaz,4.8,2002
ken,5.1,2002
prk,8.6,2002
kor,0.03,1985
kor,0.05,1986
kor,0.01,1987
kor,0.01,1989
kor,0.11,1990
kor,4.96,1991
kor,10.46,1992
kor,10.54,1993
kor,10.56,1994
kor,10.14,1995
kor,9.56,1996
kor,9.27,1997
kor,8.66,1998
kor,8.31,1999
kor,8.42,2000
kor,8.44,2001
kor,8.85,2002
kwt,5.82,1979
kwt,4.54,1980
kwt,4.52,1981
kwt,9.73,1982
kwt,1.2,1983
kwt,2.22,1995
kwt,4.92,1996
kwt,1.78,1997
kwt,5.92,1998
kwt,4.97,1999
kwt,8.87,2000
kwt,7.5,2001
kwt,5.63,2002
kgz,3.93,2000
kgz,4.25,2001
kgz,3.58,2002
lao,7.1,2002
lva,2.28,1996
lva,2.18,1997
lva,2.33,1998
lva,1.71,1999
lva,1.73,2000
lva,2.21,2001
lva,1.68,2002
lbn,0.7,2002
lso,5.2,2002
lbr,4.0,2002
lby,2.5,2002
ltu,2.11,1998
ltu,1.99,1999
ltu,1.41,2000
ltu,1.24,2001
ltu,1.34,2002
lux,1.89,1998
lux,1.31,1999
lux,2.24,2000
lux,1.94,2001
lux,2.39,2002
mkd,3.9,2002
mdg,8.5,2002
mwi,0.7,2002
mys,2.9,2002
mli,13.2,2002
mlt,1.87,1979
mlt,2.44,1980
mlt,0.95,1981
mlt,4.13,1982
mlt,0.98,1983
mlt,2.14,1984
mlt,3.26,1985
mlt,0.88,1986
mlt,0.64,1988
mlt,0.8,1989
mlt,0.18,1990
mlt,0.37,1991
mlt,0.35,1992
mlt,0.45,1993
mlt,0.83,1994
mlt,1.17,1995
mlt,1.69,1996
mlt,1.07,1997
mlt,1.83,1998
mlt,0.9,1999
mlt,0.93,2000
mlt,1.31,2001
mlt,1.9,2002
mrt,5.5,2002
mus,1.24,1982
mus,0.43,1986
mus,0.61,1987
mus,0.72,1988
mus,0.49,1989
mus,0.15,1992
mus,0.12,1993
mus,0.26,1995
mus,0.4,1999
mus,0.66,2000
mus,0.16,2001
mus,0.36,2002
mex,0.73,1981
mex,0.8,1982
mex,0.8,1983
mex,1.11,1985
mex,1.13,1986
mex,0.99,1987
mex,1.36,1988
