geo,sex_ratio_above_50_years,time
gnb,87.52,1965
gnb,88.1,1970
gnb,88.37,1975
gnb,88.51,1980
gnb,88.7,1985
gnb,88.65,1990
gnb,88.89,1995
gnb,89.29,2000
gnb,89.28,2005
gnb,88.67,2010
gnb,88.23,2015
gnb,87.94,2020
gnb,88.97,2025
gnb,89.72,2030
gnb,90.28,2035
gnb,90.82,2040
gnb,91.32,2045
gnb,91.69,2050
guy,84.04,1950
guy,88.01,1955
guy,88.64,1960
guy,92.39,1965
guy,95.86,1970
guy,96.13,1975
guy,96.18,1980
guy,92.64,1985
guy,88.42,1990
guy,83.81,1995
guy,80.36,2000
guy,106.3,2005
guy,104.2,2010
guy,100.5,2015
guy,100.5,2020
guy,99.29,2025
guy,95.48,2030
guy,94.38,2035
guy,92.36,2040
guy,90.61,2045
guy,90.91,2050
hti,84.96,1950
hti,87.77,1955
hti,89.14,1960
hti,90.08,1965
hti,90.19,1970
hti,90.54,1975
hti,89.92,1980
hti,88.96,1985
hti,88.35,1990
hti,88.67,1995
hti,87.81,2000
hti,87.54,2005
hti,87.59,2010
hti,86.76,2015
hti,86.09,2020
hti,85.53,2025
hti,86.07,2030
hti,87.56,2035
hti,88.57,2040
hti,89.09,2045
hti,89.17,2050
hnd,93.81,1950
hnd,94.18,1955
hnd,93.3,1960
hnd,92.98,1965
hnd,92.82,1970
hnd,93.15,1975
hnd,93.98,1980
hnd,95.33,1985
hnd,96.23,1990
hnd,96.42,1995
hnd,96.36,2000
hnd,95.89,2005
hnd,95.27,2010
hnd,93.73,2015
hnd,91.64,2020
hnd,89.75,2025
hnd,88.75,2030
hnd,88.67,2035
hnd,89.17,2040
hnd,90.05,2045
hnd,90.87,2050
hun,80.17,1950
hun,81.3,1955
hun,82.27,1960
hun,81.61,1965
hun,79.61,1970
hun,78.57,1975
hun,77.43,1980
hun,75.4,1985
hun,73.73,1990
hun,72.26,1995
hun,71.77,2000
hun,72.09,2005
hun,71.99,2010
hun,71.91,2015
hun,72.85,2020
hun,74.53,2025
hun,76.55,2030
hun,77.67,2035
hun,78.79,2040
hun,79.96,2045
hun,80.66,2050
isl,86.7,1950
isl,93.76,1955
isl,100.0,1960
isl,90.01,1965
isl,92.61,1970
isl,91.81,1975
isl,91.15,1980
isl,90.34,1985
isl,89.8,1990
isl,90.25,1995
isl,92.24,2000
isl,94.11,2005
isl,98.08,2010
isl,101.3,2015
isl,103.9,2020
isl,106.6,2025
isl,108.7,2030
isl,109.8,2035
isl,109.7,2040
isl,108.5,2045
isl,106.8,2050
ind,105.9,1950
ind,107.7,1955
ind,108.6,1960
ind,109.3,1965
ind,110.0,1970
ind,110.1,1975
ind,108.8,1980
ind,106.3,1985
ind,103.7,1990
ind,101.2,1995
ind,99.3,2000
ind,98.77,2005
ind,98.16,2010
ind,97.59,2015
ind,97.01,2020
ind,96.45,2025
ind,95.97,2030
ind,95.66,2035
ind,95.48,2040
ind,95.56,2045
ind,95.5,2050
idn,96.03,1950
idn,93.87,1955
idn,93.17,1960
idn,93.04,1965
idn,92.78,1970
idn,93.06,1975
idn,92.71,1980
idn,91.3,1985
idn,89.93,1990
idn,88.38,1995
idn,87.61,2000
idn,89.14,2005
idn,90.55,2010
idn,91.58,2015
idn,91.86,2020
idn,91.4,2025
idn,90.73,2030
idn,89.95,2035
idn,89.21,2040
idn,88.81,2045
idn,88.65,2050
irn,103.2,1950
irn,101.3,1955
irn,99.79,1960
irn,98.95,1965
irn,98.81,1970
irn,108.3,1975
irn,113.5,1980
irn,116.9,1985
irn,121.4,1990
irn,112.3,1995
irn,106.4,2000
irn,104.4,2005
irn,100.4,2010
irn,98.84,2015
irn,97.04,2020
irn,97.01,2025
irn,96.13,2030
irn,94.12,2035
irn,93.86,2040
irn,93.51,2045
irn,92.61,2050
irq,88.48,1950
irq,89.07,1955
irq,93.71,1960
irq,98.13,1965
irq,100.9,1970
irq,102.0,1975
irq,99.6,1980
irq,91.03,1985
irq,78.79,1990
irq,74.41,1995
irq,79.29,2000
irq,84.23,2005
irq,82.93,2010
irq,86.69,2015
irq,89.59,2020
irq,91.38,2025
irq,92.38,2030
irq,92.72,2035
irq,92.83,2040
irq,92.77,2045
irq,92.65,2050
irl,99.18,1950
irl,99.73,1955
irl,96.56,1960
irl,96.36,1965
irl,94.89,1970
irl,90.55,1975
irl,90.26,1980
irl,89.15,1985
irl,87.52,1990
irl,88.1,1995
irl,89.71,2000
irl,90.97,2005
irl,91.88,2010
irl,91.94,2015
irl,92.58,2020
irl,93.2,2025
irl,93.29,2030
irl,92.83,2035
irl,92.17,2040
irl,91.66,2045
irl,91.3,2050
isr,102.0,1950
isr,101.0,1955
isr,101.8,1960
isr,101.7,1965
isr,98.52,1970
isr,93.59,1975
isr,88.87,1980
isr,87.34,1985
isr,85.82,1990
isr,82.97,1995
