imports_percent_of_gdp,geo,time
28.12,cmr,1978
28.24,cmr,1979
27.13,cmr,1980
28.41,cmr,1981
28.91,cmr,1982
29.3,cmr,1983
30.99,cmr,1984
31.58,cmr,1985
22.72,cmr,1986
20.63,cmr,1987
15.96,cmr,1988
17.77,cmr,1989
17.31,cmr,1990
14.64,cmr,1991
18.32,cmr,1992
15.57,cmr,1993
16.9,cmr,1994
17.79,cmr,1995
18.39,cmr,1996
18.36,cmr,1997
17.71,cmr,1998
17.16,cmr,1999
19.66,cmr,2000
23.21,cmr,2001
20.72,cmr,2002
19.91,cmr,2003
19.83,cmr,2004
21.47,cmr,2005
20.95,cmr,2006
21.25,cmr,2007
35.54,cmr,2008
31.41,cmr,2009
32.03,cmr,2010
18.14,can,1960
18.05,can,1961
17.79,can,1962
17.45,can,1963
18.15,can,1964
18.65,can,1965
19.31,can,1966
19.25,can,1967
19.98,can,1968
21.14,can,1969
19.77,can,1970
19.8,can,1971
20.77,can,1972
21.77,can,1973
24.37,can,1974
24.19,can,1975
22.86,can,1976
23.36,can,1977
24.68,can,1978
26.32,can,1979
26.23,can,1980
26.19,can,1981
21.8,can,1982
22.2,can,1983
25.12,can,1984
25.96,can,1985
26.88,can,1986
25.64,can,1987
25.95,can,1988
25.65,can,1989
25.68,can,1990
25.69,can,1991
27.47,can,1992
30.21,can,1993
32.82,can,1994
34.13,can,1995
34.36,can,1996
37.53,can,1997
39.44,can,1998
39.52,can,1999
39.83,can,2000
37.8,can,2001
37.15,can,2002
34.36,can,2003
34.11,can,2004
34.08,can,2005
33.62,can,2006
33.02,can,2007
33.59,can,2008
30.43,can,2009
31.31,can,2010
47.5,cpv,1986
42.99,cpv,1987
41.23,cpv,1988
46.49,cpv,1989
43.71,cpv,1990
41.48,cpv,1991
48.8,cpv,1992
49.29,cpv,1993
55.3,cpv,1994
59.14,cpv,1995
54.38,cpv,1996
55.92,cpv,1997
55.28,cpv,1998
57.76,cpv,1999
60.51,cpv,2000
62.35,cpv,2001
68.54,cpv,2002
67.4,cpv,2003
69.56,cpv,2004
66.57,cpv,2005
72.68,cpv,2006
77.77,cpv,2007
78.93,cpv,2008
68.49,cpv,2009
67.26,cpv,2010
34.18,caf,1960
35.76,caf,1961
37.7,caf,1962
38.49,caf,1963
40.8,caf,1964
37.67,caf,1965
42.53,caf,1966
46.9,caf,1967
39.63,caf,1968
37.6,caf,1969
41.56,caf,1970
37.42,caf,1971
