democracy_score_use_as_color,geo,time
-8.0,aze,1927
-8.0,aze,1928
-8.0,aze,1929
-8.0,aze,1930
-8.0,aze,1931
-8.0,aze,1932
-9.0,aze,1933
-9.0,aze,1934
-9.0,aze,1935
-9.0,aze,1936
-9.0,aze,1937
-9.0,aze,1938
-9.0,aze,1939
-9.0,aze,1940
-9.0,aze,1941
-9.0,aze,1942
-9.0,aze,1943
-9.0,aze,1944
-9.0,aze,1945
-9.0,aze,1946
-9.0,aze,1947
-9.0,aze,1948
-9.0,aze,1949
-9.0,aze,1950
-9.0,aze,1951
-9.0,aze,1952
-7.0,aze,1953
-7.0,aze,1954
-7.0,aze,1955
-7.0,aze,1956
-7.0,aze,1957
-7.0,aze,1958
-7.0,aze,1959
-7.0,aze,1960
-7.0,aze,1961
-7.0,aze,1962
-7.0,aze,1963
-7.0,aze,1964
-7.0,aze,1965
-7.0,aze,1966
-7.0,aze,1967
-7.0,aze,1968
-7.0,aze,1969
-7.0,aze,1970
-7.0,aze,1971
-7.0,aze,1972
-7.0,aze,1973
-7.0,aze,1974
-7.0,aze,1975
-7.0,aze,1976
-7.0,aze,1977
-7.0,aze,1978
-7.0,aze,1979
-7.0,aze,1980
-7.0,aze,1981
-7.0,aze,1982
-7.0,aze,1983
-7.0,aze,1984
-7.0,aze,1985
-7.0,aze,1986
-7.0,aze,1987
-6.0,aze,1988
-4.0,aze,1989
0.0,aze,1990
-3.0,aze,1991
1.0,aze,1992
-3.0,aze,1993
-3.0,aze,1994
-6.0,aze,1995
-6.0,aze,1996
-6.0,aze,1997
-7.0,aze,1998
-7.0,aze,1999
-7.0,aze,2000
-7.0,aze,2001
-7.0,aze,2002
-7.0,aze,2003
-7.0,aze,2004
-7.0,aze,2005
-7.0,aze,2006
-7.0,aze,2007
-7.0,aze,2008
-7.0,aze,2009
-7.0,aze,2010
-7.0,aze,2011
-10.0,bhr,1971
-10.0,bhr,1972
-7.0,bhr,1973
-7.0,bhr,1974
-10.0,bhr,1975
-10.0,bhr,1976
-10.0,bhr,1977
-10.0,bhr,1978
-10.0,bhr,1979
-10.0,bhr,1980
-10.0,bhr,1981
-10.0,bhr,1982
-10.0,bhr,1983
-10.0,bhr,1984
-10.0,bhr,1985
-10.0,bhr,1986
-10.0,bhr,1987
-10.0,bhr,1988
-10.0,bhr,1989
-10.0,bhr,1990
-10.0,bhr,1991
-10.0,bhr,1992
-9.0,bhr,1993
-9.0,bhr,1994
-9.0,bhr,1995
-9.0,bhr,1996
-9.0,bhr,1997
-9.0,bhr,1998
-9.0,bhr,1999
-9.0,bhr,2000
-8.0,bhr,2001
-7.0,bhr,2002
-7.0,bhr,2003
-7.0,bhr,2004
-7.0,bhr,2005
-7.0,bhr,2006
-7.0,bhr,2007
-7.0,bhr,2008
-7.0,bhr,2009
-5.0,bhr,2010
-8.0,bhr,2011
8.0,bgd,1972
8.0,bgd,1973
-2.0,bgd,1974
-7.0,bgd,1975
-7.0,bgd,1976
-7.0,bgd,1977
-4.0,bgd,1978
-4.0,bgd,1979
-4.0,bgd,1980
-4.0,bgd,1981
-7.0,bgd,1982
-7.0,bgd,1983
-7.0,bgd,1984
-7.0,bgd,1985
-5.0,bgd,1986
-5.0,bgd,1987
-5.0,bgd,1988
-5.0,bgd,1989
-5.0,bgd,1990
