geo,traffic_deaths_per_100000_people,time
isr,4.579,2006
isr,5.9,2007
ita,9.568,1951
ita,10.85,1952
ita,12.48,1953
ita,14.12,1954
ita,16.29,1955
ita,15.94,1956
ita,16.22,1957
ita,16.36,1958
ita,15.71,1959
ita,17.11,1960
ita,18.67,1961
ita,20.46,1962
ita,21.56,1963
ita,21.53,1964
ita,20.37,1965
ita,19.89,1966
ita,20.94,1967
ita,21.34,1968
ita,22.31,1969
ita,23.12,1970
ita,23.04,1971
ita,24.65,1972
ita,24.13,1973
ita,20.8,1974
ita,20.3,1975
ita,18.92,1976
ita,17.39,1977
ita,17.09,1978
ita,17.66,1979
ita,17.92,1980
ita,16.72,1981
ita,16.02,1982
ita,15.81,1983
ita,14.55,1984
ita,14.34,1985
ita,14.57,1986
ita,13.97,1987
ita,13.66,1988
ita,13.44,1989
ita,14.02,1990
ita,14.89,1991
ita,15.02,1992
ita,13.1,1993
ita,12.91,1994
ita,12.53,1995
ita,11.72,1996
ita,11.98,1997
ita,12.61,1998
ita,12.14,1999
ita,11.63,2000
ita,11.8,2001
ita,11.6,2002
ita,10.31,2003
ita,11.23,2004
ita,9.151,2006
ita,8.675,2007
jam,2.031,2002
jam,14.01,2004
jam,13.5,2007
jpn,3.675,1950
jpn,4.002,1951
jpn,4.584,1952
jpn,5.869,1953
jpn,7.022,1954
jpn,7.084,1955
jpn,7.833,1956
jpn,9.117,1957
jpn,10.32,1958
jpn,12.66,1959
jpn,15.27,1960
jpn,16.67,1961
jpn,15.21,1962
jpn,16.43,1963
jpn,17.88,1964
jpn,17.11,1965
jpn,18.64,1966
jpn,17.97,1967
jpn,18.66,1968
jpn,20.48,1969
jpn,21.12,1970
jpn,20.39,1971
jpn,19.28,1972
jpn,17.73,1973
jpn,14.27,1974
jpn,12.91,1975
jpn,11.68,1976
jpn,10.72,1977
jpn,10.58,1978
jpn,10.38,1979
jpn,10.21,1980
jpn,10.22,1981
jpn,10.43,1982
jpn,10.77,1983
jpn,10.22,1984
jpn,10.22,1985
jpn,9.84,1986
jpn,9.85,1987
jpn,10.37,1988
jpn,10.9,1989
jpn,10.86,1990
jpn,10.54,1991
jpn,10.54,1992
jpn,9.9,1993
jpn,9.509,1994
jpn,9.374,1995
jpn,8.68,1996
jpn,8.394,1997
