military_expenditure_percent_of_gdp,geo,time
1.438,svn,2005
1.562,svn,2006
1.464,svn,2007
1.518,svn,2008
1.628,svn,2009
1.646,svn,2010
1.442,svn,2011
2.789,som,1988
0.7507,som,1989
4.005,zaf,1988
3.775,zaf,1989
3.693,zaf,1990
3.141,zaf,1991
2.592,zaf,1992
2.388,zaf,1993
2.497,zaf,1994
2.124,zaf,1995
1.925,zaf,1996
1.619,zaf,1997
1.476,zaf,1998
1.314,zaf,1999
1.462,zaf,2000
1.571,zaf,2001
1.607,zaf,2002
1.637,zaf,2003
1.506,zaf,2004
1.527,zaf,2005
1.417,zaf,2006
1.344,zaf,2007
1.323,zaf,2008
1.395,zaf,2009
1.274,zaf,2010
1.252,zaf,2011
1.964,esp,1988
1.937,esp,1989
1.738,esp,1990
1.627,esp,1991
1.48,esp,1992
1.626,esp,1993
1.441,esp,1994
1.45,esp,1995
1.384,esp,1996
1.339,esp,1997
1.252,esp,1998
1.223,esp,1999
1.206,esp,2000
1.172,esp,2001
1.154,esp,2002
1.097,esp,2003
1.085,esp,2004
1.046,esp,2005
1.167,esp,2006
1.16,esp,2007
1.173,esp,2008
1.164,esp,2009
1.059,esp,2010
1.015,esp,2011
2.388,lka,1988
1.786,lka,1989
2.331,lka,1990
3.089,lka,1991
3.362,lka,1992
3.423,lka,1993
3.73,lka,1994
5.855,lka,1995
5.52,lka,1996
4.628,lka,1997
4.646,lka,1998
4.033,lka,1999
5.033,lka,2000
4.285,lka,2001
3.343,lka,2002
2.87,lka,2003
2.999,lka,2004
2.638,lka,2005
2.797,lka,2006
3.269,lka,2007
3.718,lka,2008
3.619,lka,2009
3.033,lka,2010
2.629,lka,2011
2.628,sdn,1988
2.576,sdn,1990
2.246,sdn,1991
1.897,sdn,1992
2.12,sdn,1993
1.293,sdn,1994
1.407,sdn,1995
1.179,sdn,1996
0.8367,sdn,1997
2.311,sdn,1998
4.022,sdn,1999
4.749,sdn,2000
2.904,sdn,2001
3.236,sdn,2002
2.239,sdn,2003
5.722,sdn,2004
4.254,sdn,2005
4.223,sdn,2006
1.259,swz,1988
1.379,swz,1989
1.304,swz,1990
1.385,swz,1991
1.632,swz,1992
1.747,swz,1993
1.818,swz,1994
1.688,swz,1995
1.654,swz,1996
1.492,swz,1997
1.629,swz,1998
1.671,swz,1999
1.607,swz,2000
1.455,swz,2001
1.496,swz,2002
1.725,swz,2003
1.765,swz,2004
2.3,swz,2005
1.984,swz,2006
2.026,swz,2007
2.209,swz,2008
3.413,swz,2009
3.35,swz,2010
3.099,swz,2011
2.538,swe,1988
2.463,swe,1989
2.524,swe,1990
2.413,swe,1991
2.404,swe,1992
2.48,swe,1993
2.369,swe,1994
2.259,swe,1995
2.244,swe,1996
2.055,swe,1997
2.015,swe,1998
1.989,swe,1999
1.966,swe,2000
1.816,swe,2001
1.735,swe,2002
1.686,swe,2003
1.523,swe,2004
1.489,swe,2005
1.398,swe,2006
1.381,swe,2007
1.239,swe,2008
1.248,swe,2009
1.274,swe,2010
1.267,swe,2011
1.696,che,1988
1.652,che,1989
1.703,che,1990
1.667,che,1991
1.649,che,1992
1.479,che,1993
1.443,che,1994
1.47,che,1995
1.391,che,1996
1.322,che,1997
1.282,che,1998
1.173,che,1999
1.12,che,2000
1.084,che,2001
1.035,che,2002
1.006,che,2003
0.9653,che,2004
0.9355,che,2005
0.8509,che,2006
0.8119,che,2007
0.8145,che,2008
0.8239,che,2009
0.7796,che,2010
0.8532,che,2011
7.31,syr,1988
7.42,syr,1989
6.41,syr,1990
9.693,syr,1991
8.369,syr,1992
6.743,syr,1993
7.232,syr,1994
6.953,syr,1995
6.036,syr,1996
5.888,syr,1997
5.807,syr,1998
5.811,syr,1999
5.34,syr,2000
5.258,syr,2001
5.21,syr,2002
6.247,syr,2003
5.541,syr,2004
5.025,syr,2005
4.393,syr,2006
4.098,syr,2007
3.55,syr,2008
4.009,syr,2009
3.946,syr,2010
0.4019,tjk,1992
3.437,tjk,1993
1.942,tjk,1994
1.022,tjk,1995
1.297,tjk,1996
2.064,tjk,1997
1.717,tjk,1998
1.39,tjk,1999
1.203,tjk,2000
1.155,tjk,2001
2.095,tjk,2002
2.249,tjk,2003
2.173,tjk,2004
1.402,tza,1988
2.383,tza,1989
2.046,tza,1990
2.182,tza,1991
2.11,tza,1992
1.379,tza,1993
1.296,tza,1994
1.629,tza,1995
1.555,tza,1996
1.544,tza,1997
1.438,tza,1998
1.325,tza,1999
1.325,tza,2000
1.451,tza,2001
1.302,tza,2002
1.074,tza,2003
0.9949,tza,2004
0.9834,tza,2005
1.031,tza,2006
0.9881,tza,2007
0.9362,tza,2008
1.028,tza,2009
1.093,tza,2010
1.079,tza,2011
2.866,tha,1988
2.612,tha,1989
2.665,tha,1990
2.509,tha,1991
2.653,tha,1992
2.423,tha,1993
2.408,tha,1994
2.293,tha,1995
2.212,tha,1996
2.102,tha,1997
1.887,tha,1998
1.635,tha,1999
1.467,tha,2000
1.488,tha,2001
1.416,tha,2002
1.35,tha,2003
1.142,tha,2004
1.101,tha,2005
1.085,tha,2006
1.349,tha,2007
1.564,tha,2008
1.858,tha,2009
1.524,tha,2010
1.594,tha,2011
1.067,tls,2004
1.805,tls,2005
3.84,tls,2006
4.513,tls,2007
3.564,tls,2008
4.631,tls,2009
3.52,tls,2010
2.59,tls,2011
3.125,tgo,1988
3.094,tgo,1989
3.116,tgo,1990
2.865,tgo,1991
2.901,tgo,1992
4.066,tgo,1993
2.585,tgo,1994
2.356,tgo,1995
1.723,tgo,2003
1.638,tgo,2004
1.571,tgo,2005
1.802,tgo,2008
1.789,tgo,2010
1.642,tgo,2011
0.1178,tto,1993
0.4128,tto,1994
0.4511,tto,1995
2.309,tun,1988
2.315,tun,1989
2.016,tun,1990
2.004,tun,1991
1.868,tun,1992
1.889,tun,1993
1.903,tun,1994
1.9,tun,1995
2.03,tun,1996
1.726,tun,1997
1.68,tun,1998
1.558,tun,1999
1.549,tun,2000
1.521,tun,2001
1.492,tun,2002
1.484,tun,2003
1.426,tun,2004
1.452,tun,2005
1.447,tun,2006
1.261,tun,2007
1.289,tun,2008
1.298,tun,2009
1.271,tun,2010
1.338,tun,2011
2.941,tur,1988
3.167,tur,1989
3.536,tur,1990
3.761,tur,1991
3.869,tur,1992
3.921,tur,1993
4.058,tur,1994
3.903,tur,1995
4.143,tur,1996
4.103,tur,1997
3.261,tur,1998
3.985,tur,1999
3.749,tur,2000
3.682,tur,2001
3.892,tur,2002
3.392,tur,2003
2.785,tur,2004
2.501,tur,2005
2.54,tur,2006
2.316,tur,2007
2.298,tur,2008
2.611,tur,2009
2.414,tur,2010
2.312,tur,2011
1.752,tkm,1994
2.309,tkm,1995
2.042,tkm,1996
3.962,tkm,1997
3.114,tkm,1998
2.902,tkm,1999
3.866,uga,1988
3.486,uga,1989
3.336,uga,1990
2.951,uga,1991
2.16,uga,1992
1.935,uga,1993
2.318,uga,1994
2.292,uga,1995
2.319,uga,1996
2.276,uga,1997
2.536,uga,1998
2.839,uga,1999
2.477,uga,2000
2.321,uga,2001
2.361,uga,2002
2.403,uga,2003
2.311,uga,2004
2.405,uga,2005
2.197,uga,2006
2.256,uga,2007
2.539,uga,2008
2.126,uga,2009
1.75,uga,2010
1.634,uga,2011
0.4654,ukr,1993
2.5,ukr,1994
2.829,ukr,1995
3.288,ukr,1996
4.125,ukr,1997
3.355,ukr,1998
2.982,ukr,1999
3.636,ukr,2000
2.864,ukr,2001
2.775,ukr,2002
2.848,ukr,2003
2.597,ukr,2004
2.793,ukr,2005
2.772,ukr,2006
2.87,ukr,2007
2.673,ukr,2008
2.855,ukr,2009
2.72,ukr,2010
2.468,ukr,2011
5.13,are,1997
6.266,are,1998
5.904,are,1999
6.326,are,2000
6.342,are,2001
5.647,are,2002
5.397,are,2003
5.149,are,2004
4.165,are,2005
3.745,are,2006
3.844,are,2007
4.263,are,2008
5.835,are,2009
5.396,are,2010
4.03,gbr,1988
3.898,gbr,1989
3.846,gbr,1990
3.985,gbr,1991
3.735,gbr,1992
3.474,gbr,1993
3.252,gbr,1994
2.96,gbr,1995
2.828,gbr,1996
2.626,gbr,1997
2.532,gbr,1998
2.426,gbr,1999
2.387,gbr,2000
2.402,gbr,2001
2.461,gbr,2002
2.523,gbr,2003
2.452,gbr,2004
2.418,gbr,2005
2.351,gbr,2006
2.346,gbr,2007
2.489,gbr,2008
2.667,gbr,2009
2.568,gbr,2010
2.595,gbr,2011
5.79,usa,1988
5.59,usa,1989
5.324,usa,1990
4.726,usa,1991
4.873,usa,1992
4.521,usa,1993
4.119,usa,1994
3.8,usa,1995
3.502,usa,1996
3.347,usa,1997
3.138,usa,1998
3.021,usa,1999
3.048,usa,2000
3.056,usa,2001
3.368,usa,2002
3.744,usa,2003
3.939,usa,2004
4.006,usa,2005
3.963,usa,2006
3.989,usa,2007
4.368,usa,2008
4.823,usa,2009
4.833,usa,2010
4.713,usa,2011
3.165,ury,1988
3.529,ury,1989
3.531,ury,1990
2.397,ury,1991
2.85,ury,1992
2.792,ury,1993
2.578,ury,1994
2.715,ury,1995
2.806,ury,1996
2.4,ury,1997
2.258,ury,1998
2.394,ury,1999
2.463,ury,2000
2.506,ury,2001
2.531,ury,2002
2.3,ury,2003
2.105,ury,2004
2.082,ury,2005
2.063,ury,2006
1.839,ury,2007
1.953,ury,2008
2.133,ury,2009
1.999,ury,2010
1.931,ury,2011
1.541,uzb,1994
1.123,uzb,1995
1.234,uzb,1996
1.402,uzb,1997
1.64,uzb,1999
1.152,uzb,2000
0.8345,uzb,2001
0.5973,uzb,2002
0.5384,uzb,2003
1.902,ven,1991
1.698,ven,1992
2.217,ven,1993
1.644,ven,1994
1.601,ven,1995
1.074,ven,1996
1.795,ven,1997
1.59,ven,1998
1.437,ven,1999
1.527,ven,2000
1.555,ven,2001
1.154,ven,2002
1.183,ven,2003
1.288,ven,2004
1.411,ven,2005
1.634,ven,2006
1.289,ven,2007
1.37,ven,2008
1.22,ven,2009
0.8539,ven,2010
0.7535,ven,2011
5.136,vnm,1988
7.287,vnm,1989
7.911,vnm,1990
5.595,vnm,1991
3.375,vnm,1992
2.259,vnm,1993
2.649,vnm,1994
2.129,vnm,2003
2.014,vnm,2004
1.94,vnm,2005
2.112,vnm,2006
2.512,vnm,2007
2.347,vnm,2008
2.471,vnm,2009
2.511,vnm,2010
2.174,vnm,2011
6.556,yem,1990
6.983,yem,1991
7.279,yem,1992
7.048,yem,1993
8.41,yem,1994
6.348,yem,1995
5.285,yem,1996
5.802,yem,1997
6.076,yem,1998
5.169,yem,1999
4.915,yem,2000
5.481,yem,2001
6.922,yem,2002
6.85,yem,2003
5.305,yem,2004
4.862,yem,2005
4.308,yem,2006
4.851,yem,2007
4.446,yem,2008
2.326,zmb,1988
4.168,zmb,1989
3.706,zmb,1990
2.566,zmb,1991
2.95,zmb,1992
1.559,zmb,1993
1.879,zmb,1994
1.591,zmb,1995
1.157,zmb,1996
1.109,zmb,1997
1.792,zmb,1999
1.885,zmb,2004
1.954,zmb,2005
1.937,zmb,2006
1.29,zmb,2007
2.042,zmb,2008
1.653,zmb,2009
1.707,zmb,2010
1.592,zmb,2011
4.955,zwe,1988
4.551,zwe,1989
4.638,zwe,1990
3.511,zwe,1991
3.772,zwe,1992
3.286,zwe,1993
3.152,zwe,1996
3.288,zwe,1997
3.841,zwe,1999
5.177,zwe,2000
4.23,zwe,2001
10.67,zwe,2002
3.401,zwe,2003
4.413,zwe,2004
2.283,zwe,2005
2.97,zwe,2006
2.608,zwe,2007
1.315,zwe,2010
1.545,zwe,2011
