internet_users_per_100_people,geo,time
0.1291,cmr,1999
0.2521,cmr,2000
0.2771,cmr,2001
0.3609,cmr,2002
0.5876,cmr,2003
0.9761,cmr,2004
1.403,cmr,2005
2.029,cmr,2006
2.93,cmr,2007
3.4,cmr,2008
3.84,cmr,2009
4.3,cmr,2010
5.0,cmr,2011
0.3598,can,1990
0.568,can,1991
0.9117,can,1992
1.179,can,1993
2.37,can,1994
4.156,can,1995
6.74,can,1996
15.0,can,1997
24.79,can,1998
36.05,can,1999
51.13,can,2000
59.98,can,2001
61.44,can,2002
64.06,can,2003
65.85,can,2004
71.6,can,2005
72.52,can,2006
73.31,can,2007
76.72,can,2008
80.17,can,2009
80.04,can,2010
82.68,can,2011
0.0,cpv,1990
0.241,cpv,1997
0.4727,cpv,1998
1.16,cpv,1999
1.822,cpv,2000
2.685,cpv,2001
3.519,cpv,2002
4.325,cpv,2003
5.319,cpv,2004
6.074,cpv,2005
6.809,cpv,2006
8.283,cpv,2007
20.0,cpv,2008
25.0,cpv,2009
30.0,cpv,2010
32.0,cpv,2011
0.0,cym,1990
0.0,cym,1993
0.0,cym,1994
3.949,cym,1995
38.03,cym,2005
44.5,cym,2006
52.0,cym,2007
61.0,cym,2008
64.5,cym,2009
66.0,cym,2010
69.47,cym,2011
0.0,caf,1990
0.00585,caf,1996
0.01427,caf,1997
0.02788,caf,1998
0.04089,caf,1999
0.05339,caf,2000
0.07854,caf,2001
0.1285,caf,2002
0.1516,caf,2003
0.2234,caf,2004
0.2682,caf,2005
0.3112,caf,2006
0.3758,caf,2007
1.0,caf,2008
1.8,caf,2009
2.0,caf,2010
2.2,caf,2011
0.0,tcd,1990
0.0006582,tcd,1997
0.004269,tcd,1998
0.01232,tcd,1999
0.03571,tcd,2000
0.04593,tcd,2001
0.1661,tcd,2002
0.3203,tcd,2003
0.3609,tcd,2004
0.3993,tcd,2005
0.581,tcd,2006
0.8472,tcd,2007
1.19,tcd,2008
1.5,tcd,2009
1.7,tcd,2010
