geo,female_family_workers_percent_of_female_labour_force,time
usa,0.4,1993
usa,0.2,1994
usa,0.2,1995
usa,0.2,1996
usa,0.2,1997
usa,0.1,1998
usa,0.1,1999
usa,0.1,2000
usa,0.1,2001
usa,0.1,2002
usa,0.1,2003
usa,0.1,2004
usa,0.1,2005
usa,0.1,2006
usa,0.1,2007
ury,2.6,1998
ury,2.5,1999
ury,2.3,2000
ury,2.4,2001
ury,1.4,2002
ury,2.0,2003
ury,2.2,2005
ury,3.4,2006
ury,3.0,2007
ven,1.2,1994
ven,1.4,1995
ven,1.2,1996
ven,0.9,1997
ven,1.6,1998
ven,2.5,1999
ven,2.3,2000
ven,3.3,2001
ven,3.8,2002
ven,3.9,2003
ven,1.8,2006
ven,1.6,2007
vnm,61.5,1996
vnm,55.9,1997
vnm,53.2,1998
vnm,54.2,1999
vnm,53.1,2000
vnm,52.9,2001
vnm,52.6,2002
vnm,50.3,2003
vnm,47.2,2004
pse,28.0,1996
pse,28.5,1997
pse,27.5,1998
pse,27.7,1999
pse,33.4,2000
pse,26.7,2001
pse,29.0,2002
pse,32.6,2003
pse,32.2,2004
pse,30.8,2005
pse,31.5,2006
yem,0.3,1999
zmb,17.2,1980
zmb,55.7,1990
zmb,45.6,1991
zmb,43.2,1996
zmb,39.4,1998
zmb,61.8,2000
zwe,20.5,1994
zwe,15.9,1997
zwe,16.1,1999
zwe,13.6,2002
