geo,patents_granted_total,time
ven,351,1985
ven,1246,1986
ven,1988,1987
ven,204,1989
ven,787,1990
ven,593,1991
ven,481,1992
ven,2103,1993
ven,3238,1994
ven,1271,1996
ven,9844,1997
ven,756,2000
vnm,14,1985
vnm,5,1986
vnm,14,1988
vnm,32,1989
vnm,14,1990
vnm,23,1991
vnm,35,1992
vnm,16,1993
vnm,19,1994
vnm,56,1995
vnm,61,1996
vnm,111,1997
vnm,490,1999
vnm,727,2000
yug,768,1984
yug,1053,1985
yug,634,1986
yug,742,1987
yug,1067,1988
yug,1259,1989
yug,546,1990
yug,1400,1991
zmb,56,1984
zmb,74,1985
zmb,87,1986
zmb,74,1987
zmb,88,1988
zmb,140,1989
zmb,93,1990
zmb,73,1991
zmb,48,1992
zmb,76,1993
zmb,59,1994
zmb,91,1995
zmb,144,1996
zmb,33,1997
zmb,20,1998
zmb,67,1999
zmb,46,2000
zmb,63,2001
zwe,187,1984
zwe,213,1985
zwe,199,1986
zwe,246,1987
zwe,214,1988
zwe,187,1989
zwe,174,1990
zwe,222,1991
zwe,194,1992
zwe,194,1993
zwe,63,1994
zwe,156,1995
zwe,184,1996
zwe,33,1997
zwe,30,1998
zwe,34,1999
zwe,86,2000
zwe,78,2001
