dead_kids_per_woman,geo,time
0.3572,arg,1970
0.3331,arg,1971
0.3385,arg,1972
0.3439,arg,1973
0.3224,arg,1974
0.3283,arg,1975
0.3333,arg,1976
0.3074,arg,1977
0.3074,arg,1978
0.3056,arg,1979
0.3019,arg,1980
0.2707,arg,1981
0.2657,arg,1982
0.2616,arg,1983
0.2583,arg,1984
0.2332,arg,1985
0.2317,arg,1986
0.2309,arg,1987
0.2294,arg,1988
0.2279,arg,1989
0.2049,arg,1990
0.2028,arg,1991
0.2001,arg,1992
0.1973,arg,1993
0.1939,arg,1994
0.1722,arg,1995
0.1691,arg,1996
0.1654,arg,1997
0.1616,arg,1998
0.1437,arg,1999
0.1403,arg,2000
0.1375,arg,2001
0.1347,arg,2002
0.1324,arg,2003
0.1185,arg,2004
0.1175,arg,2005
0.1164,arg,2006
0.1154,arg,2007
0.1149,arg,2008
0.1041,arg,2009
0.1032,arg,2010
0.06858,arg,2030
0.05386,arg,2050
0.0337,arg,2099
0.7015,arm,1950
0.6995,arm,1951
0.651,arm,1952
0.6494,arm,1953
0.6494,arm,1954
0.6066,arm,1955
0.6088,arm,1956
0.5685,arm,1957
0.5711,arm,1958
0.5305,arm,1959
0.5295,arm,1960
0.525,arm,1961
0.4766,arm,1962
0.4639,arm,1963
0.4115,arm,1964
0.3935,arm,1965
0.3435,arm,1966
0.3269,arm,1967
0.3125,arm,1968
0.2743,arm,1969
0.2656,arm,1970
0.2581,arm,1971
0.2288,arm,1972
0.222,arm,1973
0.2148,arm,1974
0.2072,arm,1975
0.1997,arm,1976
0.1928,arm,1977
0.1871,arm,1978
0.1827,arm,1979
0.18,arm,1980
0.1791,arm,1981
0.1797,arm,1982
0.1816,arm,1983
0.2021,arm,1984
0.2054,arm,1985
0.2284,arm,1986
0.2311,arm,1987
0.2538,arm,1988
0.2537,arm,1989
0.251,arm,1990
0.2454,arm,1991
0.2372,arm,1992
0.227,arm,1993
0.2025,arm,1994
0.1632,arm,1995
0.1632,arm,1996
0.1407,arm,1997
0.1242,arm,1998
0.1057,arm,1999
0.09811,arm,2000
0.08223,arm,2001
0.09593,arm,2002
0.08703,arm,2003
0.08703,arm,2004
0.08703,arm,2005
0.08081,arm,2006
0.098,arm,2007
0.0984,arm,2008
0.09845,arm,2009
0.09845,arm,2010
0.07419,arm,2030
0.05856,arm,2050
0.04304,arm,2099
1.149,abw,1950
1.079,abw,1951
1.004,abw,1952
0.9296,abw,1953
0.8573,abw,1954
0.7884,abw,1955
0.7724,abw,1956
0.7053,abw,1957
0.6405,abw,1958
0.6241,abw,1959
0.5609,abw,1960
0.5423,abw,1961
0.5202,abw,1962
0.4589,abw,1963
0.4363,abw,1964
0.4127,abw,1965
0.359,abw,1966
0.3382,abw,1967
0.3194,abw,1968
0.2765,abw,1969
0.2638,abw,1970
0.253,abw,1971
0.2227,abw,1972
0.2161,abw,1973
0.1924,abw,1974
0.1894,abw,1975
0.1864,abw,1976
0.1849,abw,1977
0.1665,abw,1978
0.1651,abw,1979
0.1638,abw,1980
0.148,abw,1981
0.1467,abw,1982
0.1461,abw,1983
0.1455,abw,1984
0.1448,abw,1985
0.1442,abw,1986
0.1436,abw,1987
0.1424,abw,1988
0.1411,abw,1989
0.1399,abw,1990
0.1256,abw,1991
0.1239,abw,1992
0.1217,abw,1993
0.1194,abw,1994
0.1166,abw,1995
0.1143,abw,1996
0.112,abw,1997
0.1098,abw,1998
0.1081,abw,1999
0.1058,abw,2000
0.1047,abw,2001
0.1035,abw,2002
0.1024,abw,2003
0.1013,abw,2004
0.1002,abw,2005
0.09028,abw,2006
0.08926,abw,2007
0.08874,abw,2008
0.08772,abw,2009
0.08721,abw,2010
0.06475,abw,2030
0.05824,abw,2050
0.03903,abw,2099
3.432,aus,1800
3.421,aus,1801
3.411,aus,1802
3.4,aus,1803
3.39,aus,1804
3.379,aus,1805
3.368,aus,1806
3.358,aus,1807
3.347,aus,1808
3.337,aus,1809
3.326,aus,1810
3.315,aus,1811
3.305,aus,1812
3.294,aus,1813
3.284,aus,1814
3.273,aus,1815
3.262,aus,1816
3.252,aus,1817
3.241,aus,1818
3.231,aus,1819
3.22,aus,1820
3.209,aus,1821
3.199,aus,1822
3.188,aus,1823
3.178,aus,1824
3.167,aus,1825
3.145,aus,1826
3.122,aus,1827
3.1,aus,1828
3.078,aus,1829
3.056,aus,1830
3.033,aus,1831
3.011,aus,1832
2.989,aus,1833
2.966,aus,1834
2.944,aus,1835
2.922,aus,1836
2.9,aus,1837
2.877,aus,1838
2.855,aus,1839
2.833,aus,1840
2.81,aus,1841
2.788,aus,1842
2.766,aus,1843
2.744,aus,1844
2.721,aus,1845
2.699,aus,1846
2.677,aus,1847
2.654,aus,1848
2.632,aus,1849
2.61,aus,1850
2.645,aus,1851
2.483,aus,1852
2.652,aus,1853
2.567,aus,1854
2.808,aus,1855
2.737,aus,1856
2.971,aus,1857
3.013,aus,1858
3.034,aus,1859
3.013,aus,1860
2.992,aus,1861
3.063,aus,1862
2.949,aus,1863
3.034,aus,1864
2.978,aus,1865
2.815,aus,1866
2.857,aus,1867
2.864,aus,1868
2.737,aus,1869
2.737,aus,1870
2.608,aus,1871
2.546,aus,1872
2.489,aus,1873
2.449,aus,1874
2.315,aus,1875
2.315,aus,1876
2.186,aus,1877
2.211,aus,1878
2.163,aus,1879
2.133,aus,1880
2.062,aus,1881
2.016,aus,1882
1.964,aus,1883
2.009,aus,1884
1.945,aus,1885
1.86,aus,1886
1.871,aus,1887
1.798,aus,1888
1.757,aus,1889
1.706,aus,1890
1.682,aus,1891
1.58,aus,1892
1.538,aus,1893
1.387,aus,1894
1.369,aus,1895
1.227,aus,1896
1.219,aus,1897
1.127,aus,1898
1.131,aus,1899
1.083,aus,1900
1.079,aus,1901
1.012,aus,1902
0.9161,aus,1903
0.9559,aus,1904
0.9045,aus,1905
0.863,aus,1906
0.8217,aus,1907
0.8217,aus,1908
0.781,aus,1909
0.781,aus,1910
0.7766,aus,1911
0.7766,aus,1912
0.7356,aus,1913
0.7356,aus,1914
0.6955,aus,1915
0.6084,aus,1916
0.5741,aus,1917
0.5741,aus,1918
0.5405,aus,1919
0.5078,aus,1920
0.5159,aus,1921
0.4501,aus,1922
0.4676,aus,1923
0.4307,aus,1924
0.4275,aus,1925
0.4127,aus,1926
0.4058,aus,1927
0.4011,aus,1928
0.3819,aus,1929
0.3241,aus,1930
0.2962,aus,1931
0.2545,aus,1932
0.252,aus,1933
0.2646,aus,1934
0.2656,aus,1935
0.2735,aus,1936
0.2569,aus,1937
0.2566,aus,1938
0.2586,aus,1939
0.2625,aus,1940
0.2751,aus,1941
0.2764,aus,1942
0.2989,aus,1943
0.2601,aus,1944
0.2706,aus,1945
0.2953,aus,1946
0.2789,aus,1947
0.2706,aus,1948
0.2707,aus,1949
0.2781,aus,1950
0.2774,aus,1951
0.2884,aus,1952
0.2643,aus,1953
0.2641,aus,1954
0.2711,aus,1955
0.2757,aus,1956
0.2832,aus,1957
0.2582,aus,1958
0.2848,aus,1959
0.2604,aus,1960
0.2678,aus,1961
0.2589,aus,1962
0.2523,aus,1963
0.238,aus,1964
0.2244,aus,1965
0.2177,aus,1966
0.2149,aus,1967
0.2178,aus,1968
0.2179,aus,1969
0.2158,aus,1970
0.2222,aus,1971
0.188,aus,1972
0.1707,aus,1973
0.159,aus,1974
0.1335,aus,1975
0.1281,aus,1976
0.1248,aus,1977
0.1103,aus,1978
0.1079,aus,1979
0.097,aus,1980
0.09926,aus,1981
0.09895,aus,1982
0.08982,aus,1983
0.0859,aus,1984
0.09864,aus,1985
0.0872,aus,1986
0.08613,aus,1987
0.08548,aus,1988
0.0858,aus,1989
0.08064,aus,1990
0.07126,aus,1991
0.07276,aus,1992
0.07165,aus,1993
0.07099,aus,1994
0.07022,aus,1995
0.06317,aus,1996
0.06253,aus,1997
0.06197,aus,1998
0.05616,aus,1999
0.05619,aus,2000
0.05533,aus,2001
0.05619,aus,2002
0.05089,aus,2003
0.05132,aus,2004
0.05214,aus,2005
0.04799,aus,2006
0.04799,aus,2007
0.04833,aus,2008
0.05123,aus,2009
0.0515,aus,2010
0.04325,aus,2030
0.03543,aus,2050
0.01934,aus,2099
2.692,aut,1800
2.692,aut,1801
2.692,aut,1802
2.692,aut,1803
2.692,aut,1804
2.692,aut,1805
2.692,aut,1806
2.692,aut,1807
2.692,aut,1808
2.692,aut,1809
2.692,aut,1810
2.692,aut,1811
2.692,aut,1812
2.692,aut,1813
2.692,aut,1814
2.692,aut,1815
2.692,aut,1816
2.692,aut,1817
2.692,aut,1818
2.692,aut,1819
2.692,aut,1820
2.692,aut,1821
2.692,aut,1822
2.692,aut,1823
2.692,aut,1824
2.692,aut,1825
2.692,aut,1826
2.692,aut,1827
2.692,aut,1828
2.692,aut,1829
2.692,aut,1830
2.692,aut,1831
2.692,aut,1832
2.692,aut,1833
2.692,aut,1834
2.692,aut,1835
2.692,aut,1836
2.692,aut,1837
2.692,aut,1838
2.692,aut,1839
2.692,aut,1840
2.692,aut,1841
2.692,aut,1842
2.692,aut,1843
2.692,aut,1844
2.692,aut,1845
2.692,aut,1846
2.692,aut,1847
2.692,aut,1848
2.692,aut,1849
2.692,aut,1850
2.692,aut,1851
2.692,aut,1852
2.692,aut,1853
2.692,aut,1854
2.692,aut,1855
2.692,aut,1856
2.692,aut,1857
2.692,aut,1858
2.692,aut,1859
2.692,aut,1860
2.67,aut,1861
2.648,aut,1862
2.627,aut,1863
2.605,aut,1864
2.583,aut,1865
2.561,aut,1866
2.54,aut,1867
2.518,aut,1868
2.496,aut,1869
2.474,aut,1870
2.453,aut,1871
2.433,aut,1872
2.475,aut,1873
2.457,aut,1874
2.466,aut,1875
2.519,aut,1876
2.42,aut,1877
2.361,aut,1878
2.363,aut,1879
2.369,aut,1880
2.328,aut,1881
2.335,aut,1882
2.311,aut,1883
2.274,aut,1884
2.231,aut,1885
2.238,aut,1886
2.228,aut,1887
2.133,aut,1888
2.137,aut,1889
2.041,aut,1890
2.155,aut,1891
2.009,aut,1892
2.032,aut,1893
1.955,aut,1894
1.986,aut,1895
1.918,aut,1896
1.889,aut,1897
1.832,aut,1898
1.832,aut,1899
1.759,aut,1900
1.764,aut,1901
1.831,aut,1902
1.8,aut,1903
1.756,aut,1904
1.68,aut,1905
1.63,aut,1906
1.527,aut,1907
1.503,aut,1908
1.435,aut,1909
1.393,aut,1910
1.272,aut,1911
1.225,aut,1912
1.166,aut,1913
1.076,aut,1914
1.033,aut,1915
0.9487,aut,1916
0.869,aut,1917
0.8286,aut,1918
0.7546,aut,1919
0.9285,aut,1920
0.9082,aut,1921
0.9037,aut,1922
0.8377,aut,1923
0.8083,aut,1924
0.7343,aut,1925
0.6528,aut,1926
0.6069,aut,1927
0.5657,aut,1928
0.5414,aut,1929
0.5135,aut,1930
0.4845,aut,1931
0.4402,aut,1932
0.4135,aut,1933
0.3923,aut,1934
0.359,aut,1935
0.3574,aut,1936
0.3052,aut,1937
0.3587,aut,1938
0.535,aut,1939
0.5044,aut,1940
0.4738,aut,1941
0.4174,aut,1942
0.3886,aut,1943
0.3598,aut,1944
0.311,aut,1945
0.3114,aut,1946
0.3118,aut,1947
0.2736,aut,1948
0.274,aut,1949
0.2377,aut,1950
0.2437,aut,1951
0.2187,aut,1952
0.2287,aut,1953
0.2384,aut,1954
0.2281,aut,1955
0.2367,aut,1956
0.2663,aut,1957
0.2529,aut,1958
0.2599,aut,1959
0.2439,aut,1960
0.2266,aut,1961
0.2292,aut,1962
0.2302,aut,1963
0.2294,aut,1964
0.2235,aut,1965
0.2202,aut,1966
0.2168,aut,1967
0.2139,aut,1968
0.2058,aut,1969
0.1896,aut,1970
0.182,aut,1971
0.1573,aut,1972
0.1461,aut,1973
0.1438,aut,1974
0.1378,aut,1975
0.1156,aut,1976
0.1117,aut,1977
0.1099,aut,1978
0.09932,aut,1979
0.1026,aut,1980
0.104,aut,1981
0.1032,aut,1982
0.09693,aut,1983
0.08615,aut,1984
0.08343,aut,1985
0.08202,aut,1986
0.07345,aut,1987
0.07424,aut,1988
0.0675,aut,1989
0.06805,aut,1990
0.07037,aut,1991
0.07026,aut,1992
0.07008,aut,1993
0.06212,aut,1994
0.06034,aut,1995
0.06128,aut,1996
0.05364,aut,1997
0.05278,aut,1998
0.05162,aut,1999
0.05255,aut,2000
0.04675,aut,2001
0.04902,aut,2002
0.04846,aut,2003
0.04991,aut,2004
0.04501,aut,2005
0.04497,aut,2006
0.04413,aut,2007
0.04032,aut,2008
0.03988,aut,2009
0.03959,aut,2010
0.03678,aut,2030
0.03401,aut,2050
0.02128,aut,2099
1.182,aze,1950
1.172,aze,1951
1.092,aze,1952
1.078,aze,1953
1.012,aze,1954
1.008,aze,1955
1.01,aze,1956
0.956,aze,1957
0.9648,aze,1958
