geo,tb_with_hivplus_number_of_deaths_estimated,time
mli,1673,1997
mli,1941,1998
mli,2187,1999
mli,2413,2000
mli,2599,2001
mli,2749,2002
mli,2907,2003
mli,3045,2004
mli,3180,2005
mli,3297,2006
mli,3412,2007
mlt,0,1990
mlt,0,1991
mlt,0,1992
mlt,0,1993
mlt,0,1994
mlt,0,1995
mlt,0,1996
mlt,0,1997
mlt,0,1998
mlt,0,1999
mlt,0,2000
mlt,0,2001
mlt,0,2002
mlt,0,2003
mlt,0,2004
mlt,0,2005
mlt,0,2006
mlt,0,2007
mrt,1,1990
mrt,1,1991
mrt,2,1992
mrt,5,1993
mrt,10,1994
mrt,21,1995
mrt,39,1996
mrt,77,1997
mrt,137,1998
mrt,209,1999
mrt,282,2000
mrt,345,2001
mrt,397,2002
mrt,438,2003
mrt,355,2004
mrt,430,2005
mrt,443,2006
mrt,466,2007
mus,0,1990
mus,0,1991
mus,0,1992
mus,0,1993
mus,0,1994
mus,0,1995
mus,0,1996
mus,0,1997
mus,0,1998
mus,0,1999
mus,1,2000
mus,1,2001
mus,1,2002
mus,2,2003
mus,3,2004
mus,5,2005
mus,6,2006
mus,6,2007
mex,363,1990
mex,403,1991
mex,434,1992
mex,456,1993
mex,469,1994
mex,473,1995
mex,476,1996
mex,466,1997
mex,433,1998
mex,413,1999
mex,379,2000
mex,349,2001
mex,328,2002
mex,322,2003
mex,308,2004
mex,259,2005
mex,234,2006
mex,209,2007
mng,0,1990
mng,0,1991
mng,0,1992
mng,0,1993
mng,0,1994
mng,0,1995
mng,0,1996
mng,0,1997
mng,0,1998
mng,0,1999
mng,0,2000
mng,0,2001
mng,0,2002
mng,0,2003
mng,1,2004
mng,1,2005
mng,1,2006
mng,1,2007
mar,3,1990
mar,4,1991
mar,4,1992
mar,5,1993
mar,6,1994
mar,7,1995
mar,8,1996
mar,9,1997
mar,11,1998
mar,12,1999
mar,13,2000
mar,14,2001
mar,15,2002
mar,17,2003
mar,18,2004
mar,18,2005
mar,19,2006
mar,20,2007
moz,744,1990
moz,1084,1991
moz,1512,1992
moz,2090,1993
moz,2813,1994
moz,3702,1995
moz,4772,1996
moz,6147,1997
moz,7740,1998
moz,9544,1999
moz,11660,2000
moz,13870,2001
moz,15590,2002
moz,17010,2003
moz,17860,2004
moz,18150,2005
moz,17960,2006
moz,17480,2007
mmr,2126,1990
mmr,2727,1991
mmr,3305,1992
mmr,3862,1993
mmr,4389,1994
mmr,4865,1995
mmr,4386,1996
mmr,4912,1997
mmr,5257,1998
mmr,5148,1999
mmr,4707,2000
mmr,4173,2001
mmr,3089,2002
mmr,1634,2003
mmr,1319,2004
mmr,985,2005
mmr,949,2006
mmr,911,2007
nam,247,1990
nam,396,1991
nam,587,1992
nam,835,1993
nam,1123,1994
nam,1441,1995
nam,525,1996
nam,577,1997
nam,648,1998
nam,864,1999
nam,1134,2000
nam,1085,2001
nam,1347,2002
nam,1396,2003
nam,1529,2004
nam,1730,2005
nam,1872,2006
nam,1518,2007
npl,29,1990
npl,47,1991
npl,73,1992
npl,108,1993
npl,153,1994
npl,205,1995
npl,250,1996
npl,288,1997
npl,316,1998
npl,286,1999
npl,263,2000
npl,274,2001
npl,268,2002
npl,267,2003
npl,265,2004
npl,258,2005
npl,265,2006
npl,268,2007
nld,3,1990
nld,3,1991
nld,3,1992
nld,3,1993
nld,3,1994
nld,4,1995
nld,4,1996
nld,4,1997
nld,4,1998
nld,4,1999
nld,3,2000
nld,3,2001
nld,3,2002
nld,3,2003
nld,3,2004
nld,3,2005
nld,3,2006
nld,3,2007
nzl,0,1990
nzl,0,1991
nzl,0,1992
nzl,0,1993
nzl,0,1994
nzl,0,1995
nzl,0,1996
nzl,0,1997
nzl,0,1998
nzl,0,1999
nzl,0,2000
nzl,0,2001
nzl,0,2002
nzl,0,2003
nzl,0,2004
nzl,0,2005
nzl,0,2006
nzl,0,2007
nic,4,1990
nic,4,1991
nic,5,1992
nic,6,1993
nic,8,1994
nic,9,1995
nic,10,1996
nic,12,1997
nic,14,1998
nic,16,1999
nic,18,2000
nic,19,2001
nic,22,2002
nic,22,2003
nic,23,2004
nic,25,2005
nic,25,2006
nic,21,2007
ner,58,1990
ner,76,1991
ner,102,1992
ner,136,1993
ner,183,1994
ner,244,1995
ner,327,1996
ner,392,1997
ner,457,1998
ner,543,1999
ner,609,2000
ner,683,2001
ner,756,2002
ner,770,2003
ner,845,2004
ner,883,2005
ner,927,2006
ner,968,2007
nga,4340,1990
nga,6397,1991
nga,8840,1992
nga,11880,1993
nga,15430,1994
nga,19450,1995
nga,23520,1996
nga,28140,1997
nga,33000,1998
nga,38290,1999
nga,44340,2000
nga,50130,2001
nga,56060,2002
nga,59370,2003
nga,60700,2004
nga,61110,2005
nga,60370,2006
nga,58970,2007
nor,0,1990
nor,0,1991
nor,1,1992
nor,1,1993
nor,1,1994
nor,1,1995
nor,1,1996
nor,1,1997
nor,1,1998
nor,1,1999
nor,1,2000
nor,1,2001
nor,1,2002
nor,1,2003
nor,1,2004
nor,1,2005
nor,1,2006
nor,1,2007
omn,0,1990
omn,0,1991
omn,0,1992
omn,0,1993
omn,0,1994
omn,0,1995
omn,0,1996
omn,0,1997
omn,0,1998
omn,0,1999
omn,0,2000
omn,0,2001
omn,0,2002
omn,0,2003
omn,0,2004
omn,0,2005
pak,192,1990
pak,237,1991
pak,305,1992
pak,375,1993
pak,490,1994
pak,589,1995
pak,744,1996
pak,910,1997
pak,1098,1998
pak,1329,1999
pak,1552,2000
pak,1764,2001
pak,1861,2002
pak,1959,2003
pak,2025,2004
pak,1877,2005
pak,1819,2006
pak,1426,2007
pan,19,1990
pan,24,1991
pan,29,1992
pan,33,1993
pan,36,1994
pan,39,1995
pan,42,1996
pan,40,1997
pan,45,1998
pan,42,1999
pan,39,2000
pan,29,2001
pan,23,2002
pan,25,2003
pan,20,2004
pan,21,2005
pan,21,2006
pan,23,2007
png,12,1990
png,17,1991
png,23,1992
png,30,1993
png,40,1994
png,53,1995
png,79,1996
png,96,1997
png,104,1998
png,150,1999
png,193,2000
png,238,2001
png,273,2002
png,320,2003
png,334,2004
png,436,2005
png,647,2006
png,1049,2007
pry,4,1990
pry,6,1991
pry,8,1992
pry,10,1993
pry,13,1994
pry,17,1995
pry,13,1996
pry,30,1997
pry,38,1998
pry,46,1999
pry,54,2000
pry,62,2001
pry,72,2002
pry,77,2003
pry,85,2004
pry,86,2005
pry,80,2006
pry,83,2007
per,202,1990
per,236,1991
per,270,1992
per,304,1993
per,337,1994
per,367,1995
per,434,1996
per,458,1997
per,439,1998
per,486,1999
per,494,2000
per,500,2001
per,497,2002
per,522,2003
per,487,2004
per,468,2005
per,432,2006
per,428,2007
phl,0,1990
phl,0,1991
phl,0,1992
phl,0,1993
phl,0,1994
phl,0,1995
phl,0,1996
phl,0,1997
phl,2,1998
phl,6,1999
phl,14,2000
phl,36,2001
phl,75,2002
phl,132,2003
phl,200,2004
phl,237,2005
phl,249,2006
phl,271,2007
pol,4,1990
pol,6,1991
pol,9,1992
pol,13,1993
pol,18,1994
pol,23,1995
pol,29,1996
pol,30,1997
pol,35,1998
pol,39,1999
pol,43,2000
pol,46,2001
pol,32,2002
pol,33,2003
pol,37,2004
pol,38,2005
pol,36,2006
pol,34,2007
prt,45,1990
prt,52,1991
prt,59,1992
prt,67,1993
prt,73,1994
prt,79,1995
prt,84,1996
prt,86,1997
prt,86,1998
prt,113,1999
prt,115,2000
prt,104,2001
prt,103,2002
prt,110,2003
prt,101,2004
prt,94,2005
prt,84,2006
prt,81,2007
kor,0,1990
kor,0,1991
kor,0,1992
kor,0,1993
kor,7,1994
kor,7,1995
kor,7,1996
kor,7,1997
kor,7,1998
kor,8,1999
kor,30,2000
kor,20,2001
kor,26,2002
kor,29,2003
kor,35,2004
kor,38,2005
kor,42,2006
kor,45,2007
mda,0,1990
mda,0,1991
mda,0,1992
mda,0,1993
mda,0,1994
mda,0,1995
mda,0,1996
mda,0,1997
mda,1,1998
mda,1,1999
mda,3,2000
mda,4,2001
mda,10,2002
mda,14,2003
mda,16,2004
mda,23,2005
mda,29,2006
mda,35,2007
rou,5,1990
rou,18,1991
rou,36,1992
rou,55,1993
rou,77,1994
rou,100,1995
rou,118,1996
rou,146,1997
rou,101,1998
rou,162,1999
rou,171,2000
rou,184,2001
rou,162,2002
rou,168,2003
rou,162,2004
rou,150,2005
rou,140,2006
rou,129,2007
rus,0,1990
rus,0,1991
rus,1,1992
rus,3,1993
rus,9,1994
rus,26,1995
rus,72,1996
rus,186,1997
rus,496,1998
rus,1066,1999
rus,2226,2000
rus,3815,2001
rus,5308,2002
rus,6331,2003
rus,6678,2004
rus,5741,2005
rus,5443,2006
rus,5105,2007
rwa,3805,1990
rwa,3944,1991
rwa,3803,1992
rwa,3612,1993
rwa,3483,1994
rwa,3504,1995
rwa,3728,1996
rwa,4122,1997
rwa,4749,1998
rwa,5528,1999
rwa,6409,2000
rwa,7204,2001
rwa,7657,2002
rwa,7772,2003
rwa,7725,2004
rwa,7362,2005
rwa,6931,2006
rwa,6829,2007
sen,59,1990
sen,73,1991
sen,90,1992
sen,110,1993
sen,135,1994
sen,166,1995
sen,203,1996
sen,256,1997
sen,321,1998
sen,418,1999
sen,508,2000
sen,632,2001
sen,777,2002
sen,924,2003
sen,1127,2004
sen,1330,2005
sen,1573,2006
sen,1863,2007
sle,99,1990
sle,183,1991
sle,301,1992
sle,435,1993
sle,557,1994
sle,655,1995
sle,700,1996
sle,801,1997
sle,900,1998
sle,1024,1999
sle,1187,2000
sle,1354,2001
sle,1633,2002
sle,1915,2003
sle,2241,2004
sle,2512,2005
sle,2725,2006
sle,2943,2007
sgp,0,1990
sgp,0,1991
sgp,0,1992
sgp,1,1993
sgp,1,1994
sgp,1,1995
sgp,2,1996
sgp,3,1997
sgp,3,1998
sgp,4,1999
sgp,4,2000
sgp,4,2001
sgp,4,2002
sgp,4,2003
sgp,4,2004
sgp,4,2005
sgp,3,2006
sgp,4,2007
svk,0,1990
svk,0,1991
svk,0,1992
svk,0,1993
svk,0,1994
svk,0,1995
svk,0,1996
svk,0,1997
svk,0,1998
svk,0,1999
svk,0,2000
svk,0,2001
svk,0,2002
svk,0,2003
svk,0,2004
svk,0,2005
svn,0,1990
svn,0,1991
svn,0,1992
svn,0,1993
svn,0,1994
svn,0,1995
svn,0,1996
svn,0,1997
svn,0,1998
svn,0,1999
svn,0,2000
svn,0,2001
svn,0,2002
svn,0,2003
svn,0,2004
svn,0,2005
som,39,1990
som,58,1991
som,83,1992
som,117,1993
som,160,1994
som,215,1995
som,262,1996
som,329,1997
som,408,1998
som,474,1999
som,528,2000
som,559,2001
som,598,2002
som,593,2003
som,541,2004
som,533,2005
som,617,2006
som,682,2007
zaf,1358,1992
zaf,17650,1993
zaf,23470,1994
zaf,29390,1995
zaf,36270,1996
zaf,42820,1997
zaf,50090,1998
zaf,47660,1999
zaf,69440,2000
zaf,82090,2001
zaf,74990,2002
zaf,90060,2003
zaf,93280,2004
zaf,100700,2005
zaf,93750,2006
zaf,93700,2007
esp,145,1990
esp,152,1991
esp,153,1992
esp,149,1993
esp,146,1994
esp,142,1995
esp,139,1996
esp,111,1997
esp,132,1998
esp,110,1999
esp,122,2000
esp,120,2001
esp,122,2002
esp,120,2003
esp,120,2004
esp,121,2005
esp,122,2006
esp,122,2007
lka,1,1990
lka,1,1991
lka,1,1992
lka,1,1993
lka,1,1994
lka,1,1995
lka,2,1996
lka,2,1997
lka,2,1998
lka,2,1999
lka,3,2000
lka,3,2001
lka,2,2002
lka,2,2003
lka,2,2004
lka,2,2005
lka,2,2006
lka,2,2007
sdn,1598,1990
sdn,2273,1991
sdn,2673,1992
sdn,2888,1993
sdn,3027,1994
sdn,3142,1995
sdn,3303,1996
sdn,3503,1997
sdn,3416,1998
sdn,3608,1999
sdn,3707,2000
sdn,3996,2001
sdn,3822,2002
sdn,4053,2003
sdn,4248,2004
sdn,4455,2005
sdn,4619,2006
sdn,4872,2007
sur,2,1990
sur,2,1991
sur,2,1992
sur,2,1993
sur,3,1994
sur,4,1995
sur,5,1996
sur,8,1997
sur,11,1998
sur,14,1999
sur,16,2000
sur,18,2001
sur,21,2002
sur,26,2003
sur,30,2004
sur,36,2005
sur,42,2006
sur,48,2007
swz,115,1990
swz,193,1991
swz,301,1992
swz,458,1993
swz,678,1994
swz,960,1995
swz,1294,1996
swz,1651,1997
swz,2077,1998
swz,2937,1999
swz,3355,2000
swz,3927,2001
swz,2186,2002
swz,2225,2003
swz,2643,2004
swz,3018,2005
swz,3196,2006
swz,3160,2007
swe,1,1990
swe,1,1991
swe,1,1992
swe,1,1993
swe,1,1994
swe,1,1995
swe,1,1996
swe,1,1997
swe,1,1998
swe,1,1999
swe,1,2000
swe,1,2001
swe,1,2002
swe,1,2003
swe,1,2004
swe,1,2005
swe,1,2006
swe,1,2007
che,7,1990
che,7,1991
che,7,1992
che,7,1993
che,7,1994
che,6,1995
che,6,1996
che,6,1997
che,6,1998
che,5,1999
che,5,2000
che,4,2001
che,5,2002
che,5,2003
che,4,2004
che,4,2005
che,4,2006
che,4,2007
tjk,0,1990
tjk,0,1991
tjk,0,1992
tjk,0,1993
tjk,1,1994
tjk,2,1995
tjk,3,1996
tjk,5,1997
tjk,8,1998
tjk,12,1999
tjk,21,2000
tjk,34,2001
tjk,51,2002
tjk,67,2003
tjk,101,2004
tjk,130,2005
tjk,170,2006
tjk,212,2007
tha,3447,1990
tha,4768,1991
tha,5641,1992
tha,6245,1993
tha,6576,1994
tha,6685,1995
tha,6744,1996
tha,6577,1997
tha,5971,1998
tha,5292,1999
tha,4973,2000
tha,4305,2001
tha,4120,2002
tha,3867,2003
tha,3798,2004
tha,3714,2005
tha,3763,2006
tha,3853,2007
mkd,0,1990
mkd,0,1991
mkd,0,1992
mkd,0,1993
mkd,0,1994
mkd,0,1995
mkd,0,1996
mkd,0,1997
mkd,0,1998
mkd,0,1999
mkd,0,2000
mkd,0,2001
mkd,0,2002
mkd,0,2003
mkd,0,2004
mkd,0,2005
tls,0,1990
tls,0,1991
tls,0,1992
tls,0,1993
tls,0,1994
tls,0,1995
tls,0,1996
tls,0,1997
tls,0,1998
tls,0,1999
tls,0,2000
tls,0,2001
tls,0,2002
tls,0,2003
tls,0,2004
tls,0,2005
tls,0,2006
tls,0,2007
tgo,441,1990
tgo,665,1991
tgo,953,1992
tgo,1271,1993
tgo,1573,1994
tgo,1834,1995
tgo,2088,1996
tgo,2485,1997
tgo,2615,1998
tgo,2826,1999
tgo,3003,2000
tgo,3172,2001
tgo,3414,2002
tgo,3461,2003
tgo,3581,2004
tgo,3707,2005
tgo,3855,2006
tgo,4071,2007
tto,1,1990
tto,2,1991
tto,2,1992
tto,3,1993
tto,4,1994
tto,5,1995
tto,6,1996
tto,6,1997
tto,6,1998
tto,7,1999
tto,7,2000
tto,8,2001
tto,9,2002
tto,9,2003
tto,8,2004
tto,9,2005
tto,8,2006
tto,8,2007
tun,1,1990
tun,1,1991
tun,2,1992
tun,2,1993
tun,2,1994
tun,3,1995
tun,3,1996
tun,3,1997
tun,4,1998
tun,4,1999
tun,4,2000
tun,4,2001
tun,4,2002
tun,4,2003
tun,5,2004
tun,5,2005
tun,5,2006
tun,5,2007
tkm,0,1990
tkm,0,1991
tkm,0,1992
tkm,0,1993
tkm,0,1994
tkm,0,1995
tkm,0,1996
tkm,0,1997
tkm,0,1998
tkm,0,1999
tkm,0,2000
tkm,0,2001
tkm,0,2002
tkm,0,2003
tkm,0,2004
tkm,0,2005
uga,9222,1990
uga,14770,1991
uga,16600,1992
uga,18530,1993
uga,19490,1994
uga,20610,1995
uga,20470,1996
uga,15940,1997
uga,16410,1998
uga,16030,1999
uga,17070,2000
uga,17000,2001
uga,18100,2002
uga,19060,2003
uga,18510,2004
uga,18180,2005
uga,17130,2006
uga,16110,2007
ukr,0,1990
ukr,7,1991
ukr,7,1992
ukr,8,1993
ukr,9,1994
ukr,28,1995
ukr,140,1996
ukr,353,1997
ukr,594,1998
ukr,737,1999
ukr,931,2000
ukr,1154,2001
ukr,1394,2002
ukr,1720,2003
ukr,1859,2004
ukr,1625,2005
ukr,1606,2006
ukr,1726,2007
gbr,3,1990
gbr,4,1991
gbr,4,1992
gbr,5,1993
gbr,6,1994
gbr,7,1995
gbr,8,1996
gbr,9,1997
gbr,10,1998
gbr,11,1999
gbr,12,2000
gbr,14,2001
gbr,16,2002
gbr,18,2003
gbr,21,2004
gbr,24,2005
gbr,27,2006
gbr,30,2007
tza,5866,1990
tza,7380,1991
tza,8898,1992
tza,10430,1993
tza,12090,1994
tza,13690,1995
tza,15200,1996
tza,17010,1997
tza,17780,1998
tza,18960,1999
tza,20120,2000
tza,19990,2001
tza,21350,2002
tza,21430,2003
tza,21210,2004
tza,21010,2005
tza,20600,2006
tza,19830,2007
usa,203,1990
usa,227,1991
usa,234,1992
usa,233,1993
usa,224,1994
usa,214,1995
usa,202,1996
usa,189,1997
usa,179,1998
usa,170,1999
usa,164,2000
usa,158,2001
usa,154,2002
usa,151,2003
usa,150,2004
usa,148,2005
usa,145,2006
usa,143,2007
ury,3,1990
ury,4,1991
ury,4,1992
ury,5,1993
ury,6,1994
ury,7,1995
ury,7,1996
ury,8,1997
ury,10,1998
ury,12,1999
ury,12,2000
ury,12,2001
ury,15,2002
ury,16,2003
ury,13,2004
ury,18,2005
ury,19,2006
ury,18,2007
uzb,0,1990
uzb,0,1991
uzb,0,1992
uzb,0,1993
uzb,0,1994
uzb,0,1995
uzb,0,1996
uzb,1,1997
uzb,2,1998
uzb,3,1999
uzb,6,2000
uzb,12,2001
uzb,21,2002
uzb,37,2003
uzb,64,2004
uzb,88,2005
uzb,108,2006
uzb,159,2007
ven,23,1990
ven,29,1991
ven,36,1992
ven,43,1993
ven,52,1994
ven,63,1995
ven,76,1996
ven,89,1997
ven,104,1998
ven,120,1999
ven,138,2000
ven,160,2001
ven,180,2002
ven,194,2003
ven,211,2004
ven,227,2005
ven,244,2006
ven,261,2007
vnm,30,1990
vnm,50,1991
vnm,76,1992
vnm,124,1993
vnm,205,1994
vnm,324,1995
vnm,468,1996
vnm,619,1997
vnm,871,1998
vnm,1181,1999
vnm,1541,2000
vnm,1918,2001
vnm,2227,2002
vnm,2552,2003
vnm,2715,2004
vnm,2928,2005
vnm,3026,2006
vnm,3101,2007
yem,0,1990
yem,0,1991
yem,0,1992
yem,0,1993
yem,0,1994
yem,0,1995
yem,0,1996
yem,0,1997
yem,0,1998
yem,2,1999
yem,2,2000
yem,3,2001
yem,6,2002
yem,10,2003
yem,14,2004
yem,20,2005
zmb,7187,1990
zmb,9671,1991
zmb,12320,1992
zmb,14400,1993
zmb,16030,1994
zmb,17350,1995
zmb,18480,1996
zmb,19700,1997
zmb,20460,1998
zmb,21590,1999
zmb,21760,2000
zmb,23890,2001
zmb,13220,2002
zmb,11980,2003
zmb,12060,2004
zmb,12400,2005
zmb,11640,2006
zmb,10620,2007
zwe,11120,1990
zwe,13790,1991
zwe,16090,1992
zwe,18480,1993
zwe,20800,1994
zwe,23170,1995
zwe,25260,1996
zwe,27300,1997
zwe,15020,1998
zwe,16720,1999
zwe,20160,2000
zwe,21460,2001
zwe,23670,2002
zwe,27860,2003
zwe,27590,2004
zwe,28640,2005
zwe,29050,2006
zwe,28410,2007
