geo,forest_coverage_percent,time
nor,30.37,2000
nor,30.65,2005
pol,29.0,1990
pol,29.58,2000
pol,30.01,2005
prt,33.87,1990
prt,39.16,2000
prt,41.34,2005
mda,9.7,1990
mda,9.91,2000
mda,10.01,2005
rou,27.72,1990
rou,27.69,2000
rou,27.71,2005
rus,47.9,1990
rus,47.92,2000
rus,47.89,2005
scg,25.09,1990
scg,25.97,2000
scg,26.41,2005
svk,39.98,1990
svk,39.95,2000
svk,40.12,2005
svn,59.05,1990
svn,61.58,2000
svn,62.82,2005
esp,26.99,1990
esp,32.91,2000
esp,35.87,2005
swe,66.49,1990
swe,66.75,2000
swe,66.88,2005
che,29.2,1990
che,30.32,2000
che,30.87,2005
mkd,35.63,1990
mkd,35.63,2000
mkd,35.63,2005
ukr,16.01,1990
ukr,16.41,2000
ukr,16.53,2005
gbr,10.84,1990
gbr,11.59,2000
gbr,11.81,2005
aia,75.0,1990
aia,75.0,2000
aia,75.0,2005
atg,20.45,1990
atg,20.45,2000
atg,20.45,2005
bhs,51.45,1990
bhs,51.45,2000
bhs,51.45,2005
brb,4.65,1990
brb,4.65,2000
brb,4.65,2005
bmu,20.0,1990
bmu,20.0,2000
bmu,20.0,2005
vgb,26.67,1990
vgb,26.67,2000
vgb,26.67,2005
cym,46.15,1990
cym,46.15,2000
cym,46.15,2005
cub,18.74,1990
cub,22.17,2000
cub,24.7,2005
dma,66.67,1990
dma,62.67,2000
dma,61.33,2005
dom,28.44,1990
dom,28.44,2000
dom,28.44,2005
grd,11.76,1990
grd,11.76,2000
grd,11.76,2005
glp,49.7,1990
glp,47.93,2000
glp,47.34,2005
hti,4.21,1990
hti,3.96,2000
hti,3.81,2005
jam,31.86,1990
jam,31.49,2000
jam,31.3,2005
mtq,43.4,1990
mtq,43.4,2000
mtq,43.4,2005
msr,40.0,1990
msr,40.0,2000
msr,40.0,2005
ant,1.25,1990
ant,1.25,2000
ant,1.25,2005
pri,45.55,1990
pri,45.89,2000
pri,46.0,2005
kna,13.89,1990
kna,13.89,2000
kna,13.89,2005
lca,27.87,1990
lca,27.87,2000
lca,27.87,2005
vct,23.08,1990
vct,25.64,2000
vct,28.21,2005
tto,45.81,1990
tto,44.44,2000
tto,44.05,2005
tca,79.07,1990
tca,79.07,2000
tca,79.07,2005
vir,35.29,1990
vir,29.41,2000
vir,29.41,2005
blz,72.5,1990
blz,72.5,2000
blz,72.5,2005
cri,50.22,1990
cri,46.53,2000
cri,46.83,2005
slv,18.1,1990
slv,15.64,2000
slv,14.38,2005
gtm,43.79,1990
gtm,38.81,2000
gtm,36.32,2005
hnd,66.0,1990
hnd,48.53,2000
hnd,41.54,2005
nic,53.86,1990
nic,45.63,2000
nic,42.74,2005
pan,58.79,1990
pan,57.87,2000
pan,57.69,2005
can,33.63,1990
can,33.63,2000
can,33.63,2005
mex,36.16,1990
mex,34.34,2000
mex,33.66,2005
spm,13.04,1990
spm,13.04,2000
spm,13.04,2005
usa,32.61,1990
usa,33.01,2000
usa,33.09,2005
