agriculture_percent_of_gdp,geo,time
2.216,brn,1988
0.9616,brn,1989
0.9661,brn,1990
1.022,brn,1991
0.9652,brn,1992
1.077,brn,1993
1.199,brn,1994
1.162,brn,1995
1.122,brn,1996
1.227,brn,1997
1.41,brn,1998
1.235,brn,1999
1.024,brn,2000
1.135,brn,2001
1.094,brn,2002
1.222,brn,2003
1.127,brn,2004
0.9466,brn,2005
0.7061,brn,2006
0.6897,brn,2007
0.6358,brn,2008
0.909,brn,2009
0.7598,brn,2010
14.61,bgr,1980
17.04,bgr,1981
17.17,bgr,1982
14.49,bgr,1983
15.84,bgr,1984
11.92,bgr,1985
13.14,bgr,1986
11.42,bgr,1987
10.92,bgr,1988
10.62,bgr,1989
17.03,bgr,1990
16.94,bgr,1991
12.94,bgr,1992
11.3,bgr,1993
13.34,bgr,1994
15.74,bgr,1995
15.63,bgr,1996
26.72,bgr,1997
18.39,bgr,1998
15.86,bgr,1999
13.56,bgr,2000
13.05,bgr,2001
11.84,bgr,2002
11.2,bgr,2003
10.73,bgr,2004
9.069,bgr,2005
7.168,bgr,2006
5.584,bgr,2007
7.157,bgr,2008
4.841,bgr,2009
5.357,bgr,2010
5.274,bgr,2011
39.6,bfa,1961
39.48,bfa,1962
40.09,bfa,1963
40.54,bfa,1964
37.18,bfa,1965
37.78,bfa,1966
34.21,bfa,1967
32.36,bfa,1968
32.8,bfa,1969
31.36,bfa,1970
32.0,bfa,1971
33.19,bfa,1972
30.82,bfa,1973
32.27,bfa,1974
30.32,bfa,1975
30.79,bfa,1976
30.36,bfa,1977
31.93,bfa,1978
30.27,bfa,1979
29.41,bfa,1980
30.72,bfa,1981
28.41,bfa,1982
28.23,bfa,1983
29.11,bfa,1984
34.85,bfa,1985
30.43,bfa,1986
28.52,bfa,1987
29.59,bfa,1988
28.51,bfa,1989
28.78,bfa,1990
30.88,bfa,1991
29.82,bfa,1992
31.05,bfa,1993
35.19,bfa,1994
35.43,bfa,1995
39.05,bfa,1996
36.37,bfa,1997
39.2,bfa,1998
32.61,bfa,1999
28.99,bfa,2000
36.62,bfa,2001
34.85,bfa,2002
35.6,bfa,2003
32.85,bfa,2004
34.13,bfa,2005
33.28,bfa,2006
70.63,bdi,1970
69.26,bdi,1971
65.32,bdi,1972
67.96,bdi,1973
65.87,bdi,1974
65.67,bdi,1975
64.79,bdi,1976
63.84,bdi,1977
60.71,bdi,1978
60.62,bdi,1979
62.25,bdi,1980
61.32,bdi,1981
56.86,bdi,1982
57.25,bdi,1983
60.13,bdi,1984
61.54,bdi,1985
58.52,bdi,1986
55.11,bdi,1987
54.25,bdi,1988
53.68,bdi,1989
55.88,bdi,1990
54.31,bdi,1991
53.53,bdi,1992
52.62,bdi,1993
46.78,bdi,1994
48.14,bdi,1995
57.22,bdi,1996
49.19,bdi,1997
46.32,bdi,1998
43.69,bdi,1999
45.96,bdi,2000
44.04,bdi,2001
43.52,bdi,2002
44.75,bdi,2003
44.58,bdi,2004
44.5,bdi,2005
43.65,bdi,2006
37.81,bdi,2007
35.36,bdi,2008
35.16,bdi,2009
35.15,bdi,2010
35.18,bdi,2011
46.52,khm,1993
47.69,khm,1994
49.62,khm,1995
46.59,khm,1996
46.34,khm,1997
46.34,khm,1998
43.34,khm,1999
37.84,khm,2000
36.17,khm,2001
32.87,khm,2002
33.6,khm,2003
31.16,khm,2004
32.4,khm,2005
31.65,khm,2006
31.88,khm,2007
34.85,khm,2008
35.65,khm,2009
36.02,khm,2010
32.73,cmr,1965
31.85,cmr,1966
31.13,cmr,1967
31.51,cmr,1968
30.72,cmr,1969
31.36,cmr,1970
31.0,cmr,1971
31.97,cmr,1972
30.79,cmr,1973
29.54,cmr,1974
29.12,cmr,1975
27.61,cmr,1976
33.65,cmr,1977
31.35,cmr,1978
30.82,cmr,1979
31.27,cmr,1980
29.4,cmr,1981
28.66,cmr,1982
24.31,cmr,1983
23.77,cmr,1984
21.57,cmr,1985
22.36,cmr,1986
24.82,cmr,1987
24.66,cmr,1988
26.11,cmr,1989
24.58,cmr,1990
24.79,cmr,1991
27.27,cmr,1992
20.55,cmr,1993
23.81,cmr,1994
23.63,cmr,1995
23.59,cmr,1996
24.74,cmr,1997
25.33,cmr,1998
24.36,cmr,1999
22.14,cmr,2000
22.17,cmr,2001
22.14,cmr,2002
21.75,cmr,2003
20.47,cmr,2004
19.53,cmr,2005
19.86,cmr,2006
19.47,cmr,2007
6.488,can,1965
7.046,can,1966
5.465,can,1967
5.395,can,1968
5.328,can,1969
4.724,can,1970
4.415,can,1971
4.192,can,1972
5.57,can,1973
5.723,can,1974
5.275,can,1975
4.693,can,1976
4.109,can,1977
4.442,can,1978
4.618,can,1979
4.316,can,1980
4.218,can,1981
3.877,can,1982
3.472,can,1983
3.486,can,1984
3.467,can,1985
3.528,can,1986
3.098,can,1987
2.994,can,1988
2.96,can,1989
2.863,can,1990
2.743,can,1991
2.73,can,1992
2.804,can,1993
2.748,can,1994
