geo,education_aid_given_percent_of_aid,time
che,6.757,2003
che,6.407,2004
che,6.103,2005
che,7.176,2006
che,7.09,2007
gbr,49.77,1971
gbr,32.39,1972
gbr,15.87,1973
gbr,16.19,1974
gbr,0.9122,1975
gbr,0.7044,1976
gbr,20.25,1977
gbr,12.57,1978
gbr,9.819,1979
gbr,20.61,1980
gbr,27.14,1981
gbr,18.82,1982
gbr,15.64,1983
gbr,13.26,1984
gbr,26.19,1985
gbr,17.09,1986
gbr,16.95,1987
gbr,18.62,1988
gbr,19.96,1989
gbr,17.51,1990
gbr,18.18,1991
gbr,21.32,1992
gbr,20.37,1993
gbr,19.84,1994
gbr,15.86,1995
gbr,16.06,1996
gbr,17.21,1997
gbr,13.35,1998
gbr,16.41,1999
gbr,11.73,2000
gbr,16.21,2001
gbr,6.715,2002
gbr,14.99,2003
gbr,15.46,2004
gbr,11.11,2005
gbr,12.87,2006
gbr,18.01,2007
usa,69.34,1971
usa,64.01,1972
usa,9.969,1973
usa,7.755,1975
usa,6.188,1976
usa,7.5,1978
usa,6.991,1979
usa,11.9,1980
usa,10.45,1981
usa,5.913,1982
usa,7.089,1983
usa,11.37,1984
usa,10.9,1985
usa,10.36,1986
usa,11.84,1987
usa,12.6,1988
usa,13.69,1989
usa,11.25,1990
usa,11.22,1991
usa,11.22,1992
usa,11.22,1993
usa,7.992,1994
usa,8.465,1995
usa,8.409,1996
usa,4.702,1997
usa,3.038,1998
usa,5.747,1999
usa,3.737,2000
usa,5.606,2001
usa,3.693,2002
usa,2.339,2003
usa,3.208,2004
usa,3.666,2005
usa,2.829,2006
usa,4.519,2007
