tax_revenue_percent_of_gdp,geo,time
20.59,prt,1999
20.54,prt,2000
20.23,prt,2001
20.73,prt,2002
20.8,prt,2003
19.93,prt,2004
20.65,prt,2005
21.34,prt,2006
21.67,prt,2007
21.52,prt,2008
19.55,prt,2009
25.56,qat,2004
21.05,qat,2005
20.18,qat,2006
20.34,qat,2007
16.58,qat,2008
19.82,qat,2009
11.74,rou,2002
12.28,rou,2003
12.3,rou,2004
12.21,rou,2005
11.38,rou,2006
11.81,rou,2007
17.89,rou,2008
13.65,rus,2002
13.31,rus,2003
13.23,rus,2004
16.62,rus,2005
16.57,rus,2006
16.55,rus,2007
15.82,rus,2008
12.96,rus,2009
13.45,rus,2010
8.784,rwa,1990
9.26,rwa,1991
9.048,rwa,1992
19.63,kna,1990
19.55,kna,1991
19.34,kna,1992
20.21,kna,1993
20.29,kna,1994
16.24,kna,2002
18.15,kna,2003
20.07,kna,2004
22.69,kna,2005
21.61,kna,2006
20.97,kna,2007
20.23,kna,2008
19.72,kna,2009
17.6,kna,2010
22.14,vct,1990
23.48,vct,1991
22.03,vct,1992
22.43,vct,1993
23.52,vct,1994
22.79,vct,1995
23.5,vct,1996
24.4,vct,1997
24.89,vct,1998
24.36,vct,1999
20.63,vct,2000
20.29,vct,2001
21.85,vct,2002
20.92,vct,2003
20.61,vct,2004
20.47,vct,2005
22.01,vct,2006
21.77,vct,2007
23.61,vct,2008
22.92,vct,2009
22.15,vct,2010
23.52,smr,2002
21.97,smr,2003
20.7,smr,2004
21.99,smr,2005
22.37,smr,2006
22.85,smr,2007
22.26,smr,2008
14.25,sen,1996
14.71,sen,1997
14.79,sen,1998
15.51,sen,1999
16.13,sen,2000
16.12,sen,2001
23.61,srb,2007
23.11,srb,2008
22.5,srb,2009
22.02,srb,2010
35.36,syc,1993
31.97,syc,1994
27.63,syc,1995
26.94,syc,1996
26.96,syc,1997
26.44,syc,1998
27.22,syc,1999
26.08,syc,2000
25.26,syc,2001
26.14,syc,2002
32.73,syc,2003
35.4,syc,2004
28.39,syc,2005
25.93,syc,2006
23.58,syc,2007
23.49,syc,2008
27.14,syc,2009
28.84,syc,2010
5.317,sle,1990
7.47,sle,1991
10.13,sle,1992
11.83,sle,1993
12.13,sle,1994
9.042,sle,1995
7.661,sle,1996
9.911,sle,1997
7.2,sle,1998
6.294,sle,1999
10.16,sle,2000
12.03,sle,2001
11.38,sle,2002
11.52,sle,2003
10.78,sle,2004
10.77,sle,2005
11.18,sle,2006
10.22,sle,2007
10.53,sle,2008
11.04,sle,2009
14.57,sgp,1990
15.28,sgp,1991
16.14,sgp,1992
16.33,sgp,1993
16.72,sgp,1994
15.9,sgp,1995
16.08,sgp,1996
15.44,sgp,1997
14.15,sgp,1998
14.77,sgp,1999
15.13,sgp,2000
14.93,sgp,2001
12.95,sgp,2002
12.67,sgp,2003
11.85,sgp,2004
11.8,sgp,2005
12.1,sgp,2006
13.08,sgp,2007
14.06,sgp,2008
13.72,sgp,2009
13.77,sgp,2010
17.23,svk,2003
15.84,svk,2004
14.91,svk,2005
13.94,svk,2006
14.19,svk,2007
13.49,svk,2008
12.42,svk,2009
18.77,svn,1992
19.71,svn,1993
21.49,svn,1994
19.78,svn,1995
20.26,svn,1996
20.56,svn,1997
20.97,svn,1998
21.93,svn,1999
20.46,svn,2000
20.42,svn,2001
18.81,svn,2002
20.74,svn,2003
20.49,svn,2004
20.54,svn,2005
21.0,svn,2006
19.65,svn,2007
19.93,svn,2008
18.07,svn,2009
17.13,svn,2010
23.96,zaf,2000
24.81,zaf,2001
24.2,zaf,2002
24.0,zaf,2003
25.33,zaf,2004
26.86,zaf,2005
28.38,zaf,2006
28.87,zaf,2007
27.93,zaf,2008
25.54,zaf,2009
15.86,esp,1995
16.09,esp,1996
15.58,esp,1997
15.57,esp,1998
15.99,esp,1999
16.16,esp,2000
15.83,esp,2001
12.79,esp,2002
12.19,esp,2003
11.76,esp,2004
12.89,esp,2005
13.49,esp,2006
13.87,esp,2007
10.48,esp,2008
8.559,esp,2009
11.17,esp,2010
19.02,lka,1990
18.3,lka,1991
17.95,lka,1992
17.47,lka,1993
17.17,lka,1994
17.75,lka,1995
16.95,lka,1996
16.01,lka,1997
14.48,lka,1998
15.01,lka,1999
14.5,lka,2000
14.63,lka,2001
13.56,lka,2002
12.71,lka,2003
13.47,lka,2004
13.73,lka,2005
14.58,lka,2006
14.22,lka,2007
13.28,lka,2008
6.197,sdn,1998
6.387,sdn,1999
25.06,swz,1999
24.31,swz,2000
23.98,swz,2001
24.08,swz,2002
26.1,swz,2003
20.84,swe,1995
21.08,swe,1996
21.94,swe,1997
22.52,swe,1998
24.5,swe,1999
23.65,swe,2000
21.46,swe,2001
20.37,swe,2002
20.71,swe,2003
21.35,swe,2004
22.59,swe,2005
23.26,swe,2006
22.42,swe,2007
21.65,swe,2008
21.63,swe,2009
8.812,che,1990
8.545,che,1991
8.711,che,1992
8.03,che,1993
8.613,che,1994
8.708,che,1995
9.167,che,1996
9.126,che,1997
10.16,che,1998
9.734,che,1999
11.09,che,2000
10.04,che,2001
9.951,che,2002
9.951,che,2003
9.979,che,2004
10.31,che,2005
10.43,che,2006
10.0,che,2007
10.88,che,2008
16.71,syr,1990
18.09,syr,1991
19.4,syr,1992
17.46,syr,1993
17.47,syr,1994
18.63,syr,1995
15.64,syr,1996
16.3,syr,1997
7.69,tjk,1998
8.21,tjk,1999
7.703,tjk,2000
8.202,tjk,2001
9.71,tjk,2003
9.821,tjk,2004
15.46,tha,2003
15.92,tha,2004
17.24,tha,2005
16.74,tha,2006
16.12,tha,2007
16.45,tha,2008
15.16,tha,2009
15.97,tha,2010
14.39,tgo,2004
13.88,tgo,2005
14.81,tgo,2006
16.2,tgo,2007
14.91,tgo,2008
15.37,tgo,2009
15.8,tgo,2010
23.22,tto,1993
21.39,tto,1994
22.71,tto,1995
22.12,tto,2001
20.46,tto,2002
21.43,tto,2003
22.7,tto,2004
26.38,tto,2005
30.26,tto,2006
26.0,tto,2007
30.24,tto,2008
26.21,tto,2009
19.95,tun,1990
20.38,tun,1991
20.5,tun,1992
21.01,tun,1993
20.76,tun,1994
20.49,tun,1995
19.84,tun,1996
18.44,tun,1997
19.18,tun,1998
19.13,tun,1999
19.29,tun,2000
19.6,tun,2001
19.54,tun,2002
18.75,tun,2003
18.67,tun,2004
18.88,tun,2005
18.51,tun,2006
19.06,tun,2007
20.49,tun,2008
20.02,tun,2009
20.1,tun,2010
19.7,tur,2006
18.73,tur,2007
18.59,tur,2008
18.91,tur,2009
20.48,tur,2010
10.02,uga,1998
11.45,uga,1999
10.44,uga,2000
10.44,uga,2001
11.18,uga,2002
11.26,uga,2003
10.69,uga,2004
11.76,uga,2005
12.25,uga,2006
12.39,uga,2007
12.9,uga,2008
12.17,uga,2009
12.99,ukr,1999
14.1,ukr,2000
12.06,ukr,2001
13.1,ukr,2002
13.65,ukr,2003
13.28,ukr,2004
17.12,ukr,2005
17.75,ukr,2006
16.48,ukr,2007
17.88,ukr,2008
16.41,ukr,2009
0.3788,are,1990
0.3313,are,1991
0.4344,are,1992
0.2953,are,1993
0.7146,are,1994
0.8495,are,1995
0.9734,are,1996
0.9923,are,1997
1.076,are,1998
1.122,are,1999
26.33,gbr,1995
26.28,gbr,1996
26.74,gbr,1997
27.77,gbr,1998
28.03,gbr,1999
28.44,gbr,2000
28.22,gbr,2001
27.06,gbr,2002
26.34,gbr,2003
26.57,gbr,2004
27.24,gbr,2005
27.96,gbr,2006
27.64,gbr,2007
28.84,gbr,2008
25.99,gbr,2009
12.51,usa,2001
10.38,usa,2002
9.849,usa,2003
9.976,usa,2004
11.2,usa,2005
11.89,usa,2006
11.89,usa,2007
10.32,usa,2008
8.477,usa,2009
9.294,usa,2010
16.2,ury,1990
16.79,ury,1991
17.24,ury,1992
19.39,ury,1993
19.03,ury,1994
16.88,ury,1995
17.35,ury,1996
16.78,ury,1997
16.98,ury,1998
15.28,ury,1999
14.7,ury,2000
15.31,ury,2001
15.78,ury,2002
17.21,ury,2003
17.85,ury,2004
17.9,ury,2005
18.99,ury,2006
18.41,ury,2007
18.24,ury,2008
19.48,ury,2009
19.48,ury,2010
21.52,vut,1990
19.08,vut,1995
19.8,vut,1996
19.28,vut,1997
17.73,vut,1998
17.13,vut,1999
18.1,ven,1990
18.27,ven,1991
13.6,ven,1992
13.45,ven,1993
14.06,ven,1994
12.92,ven,1995
13.96,ven,1996
17.47,ven,1997
12.7,ven,1998
13.49,ven,1999
13.29,ven,2000
11.8,ven,2001
10.95,ven,2002
11.53,ven,2003
12.93,ven,2004
15.51,ven,2005
9.282,yem,1990
11.4,yem,1991
8.605,yem,1992
8.434,yem,1993
7.535,yem,1994
8.562,yem,1995
10.74,yem,1996
10.94,yem,1997
13.0,yem,1998
9.207,yem,1999
19.48,zmb,1990
17.49,zmb,1991
18.71,zmb,1992
15.04,zmb,1993
18.83,zmb,1994
17.18,zmb,1995
17.72,zmb,1996
17.66,zmb,1997
17.69,zmb,1998
18.43,zmb,1999
18.62,zmb,2001
17.43,zmb,2002
16.65,zmb,2003
17.52,zmb,2004
17.17,zmb,2005
16.34,zmb,2006
16.89,zmb,2007
17.39,zmb,2008
14.96,zmb,2009
16.58,zmb,2010
21.57,zwe,1990
19.96,zwe,1991
22.05,zwe,1992
22.97,zwe,1993
19.85,zwe,1994
23.16,zwe,1995
22.6,zwe,1996
26.05,zwe,1997
