geo,external_debt_total_us_not_inflation_adjusted,time
cmr,6763000000,1991
cmr,7511000000,1992
cmr,7668000000,1993
cmr,9254000000,1994
cmr,10940000000,1995
cmr,11040000000,1996
cmr,10650000000,1997
cmr,11100000000,1998
cmr,10550000000,1999
cmr,10320000000,2000
cmr,9512000000,2001
cmr,9847000000,2002
cmr,10880000000,2003
cmr,10290000000,2004
cmr,7260000000,2005
cmr,3229000000,2006
cmr,2946000000,2007
cmr,2794000000,2008
cpv,39380000,1981
cpv,59020000,1982
cpv,71700000,1983
cpv,76250000,1984
cpv,94920000,1985
cpv,113300000,1986
cpv,129500000,1987
cpv,124300000,1988
cpv,126000000,1989
cpv,133800000,1990
cpv,134200000,1991
cpv,142000000,1992
cpv,147600000,1993
cpv,175900000,1994
cpv,213800000,1995
cpv,201500000,1996
cpv,204700000,1997
cpv,244500000,1998
cpv,325300000,1999
cpv,316500000,2000
cpv,343200000,2001
cpv,385000000,2002
cpv,438600000,2003
cpv,461600000,2004
cpv,475200000,2005
cpv,522100000,2006
cpv,578700000,2007
cpv,624600000,2008
caf,24140000,1970
caf,28420000,1971
caf,36810000,1972
caf,56160000,1973
caf,68580000,1974
caf,79160000,1975
caf,94580000,1976
caf,132000000,1977
caf,142400000,1978
caf,157800000,1979
caf,194700000,1980
caf,233500000,1981
caf,253500000,1982
caf,257900000,1983
caf,263600000,1984
caf,343500000,1985
caf,461900000,1986
caf,617800000,1987
caf,668800000,1988
caf,693500000,1989
caf,698500000,1990
caf,794200000,1991
caf,814200000,1992
caf,875100000,1993
caf,888100000,1994
caf,946000000,1995
caf,932800000,1996
caf,883000000,1997
caf,918700000,1998
caf,909200000,1999
caf,857800000,2000
caf,821900000,2001
caf,1071000000,2002
caf,1042000000,2003
caf,1065000000,2004
caf,1002000000,2005
caf,992100000,2006
caf,946100000,2007
caf,949400000,2008
tcd,35190000,1970
tcd,46990000,1971
tcd,36530000,1972
tcd,47950000,1973
tcd,76030000,1974
tcd,143000000,1975
tcd,155900000,1976
tcd,206700000,1977
tcd,281000000,1978
tcd,308400000,1979
tcd,284200000,1980
tcd,259200000,1981
tcd,220500000,1982
tcd,219400000,1983
tcd,194000000,1984
tcd,216500000,1985
tcd,263200000,1986
tcd,348000000,1987
tcd,395700000,1988
tcd,398700000,1989
tcd,514200000,1990
tcd,616600000,1991
tcd,641700000,1992
tcd,692300000,1993
tcd,784000000,1994
tcd,843400000,1995
tcd,948100000,1996
tcd,958300000,1997
tcd,1032000000,1998
tcd,1099000000,1999
tcd,1091000000,2000
tcd,1087000000,2001
tcd,1267000000,2002
tcd,1529000000,2003
tcd,1641000000,2004
tcd,1585000000,2005
