geo,out_of_pocket_share_of_total_health_spending_percent,time
mus,43.98,2005
mus,49.84,2006
mus,56.52,2007
mus,58.66,2008
mus,55.82,2009
mus,51.74,2010
fsm,4.826,1995
fsm,5.456,1996
fsm,6.174,1997
fsm,6.939,1998
fsm,6.387,1999
fsm,6.146,2000
fsm,5.589,2001
fsm,6.062,2002
fsm,5.102,2003
fsm,4.667,2004
fsm,6.38,2005
fsm,7.233,2006
fsm,6.705,2007
fsm,9.396,2008
fsm,9.076,2009
fsm,8.625,2010
mda,27.36,1995
mda,27.43,1996
mda,28.19,1997
mda,36.37,1998
mda,43.7,1999
mda,42.88,2000
mda,47.15,2001
mda,39.64,2002
mda,41.88,2003
mda,40.36,2004
mda,44.66,2005
mda,46.1,2006
mda,45.66,2007
mda,45.08,2008
mda,43.67,2009
mda,44.88,2010
mco,7.0,1995
mco,7.0,1996
mco,7.0,1997
mco,7.0,1998
mco,7.0,1999
mco,7.0,2000
mco,7.0,2001
mco,7.0,2002
mco,7.0,2003
mco,7.0,2004
mco,7.0,2005
mco,7.0,2006
mco,7.0,2007
mco,7.0,2008
mco,7.0,2009
mco,7.0,2010
mng,14.48,1995
mng,13.41,1996
mng,12.07,1997
mng,12.76,1998
mng,12.06,1999
mng,12.12,2000
mng,10.5,2001
mng,16.94,2002
mng,15.22,2003
mng,8.661,2004
mng,15.77,2005
mng,23.21,2006
mng,30.27,2007
mng,40.01,2008
mng,41.6,2009
mng,41.37,2010
mne,28.99,1995
mne,29.15,1996
mne,28.86,1997
mne,28.98,1998
mne,29.52,1999
mne,28.18,2000
mne,26.88,2001
mne,28.6,2002
mne,24.62,2003
mne,25.57,2004
mne,28.03,2005
mne,29.08,2006
mne,28.0,2007
mne,26.92,2008
mne,26.13,2009
mne,29.87,2010
mar,52.73,1995
mar,52.78,1996
mar,55.55,1997
mar,54.35,1998
mar,54.57,1999
mar,54.05,2000
mar,51.83,2001
mar,60.51,2002
mar,59.97,2003
mar,59.07,2004
mar,59.8,2005
mar,58.0,2006
mar,54.97,2007
mar,54.49,2008
mar,52.87,2009
mar,53.55,2010
moz,13.76,1995
moz,16.38,1996
moz,14.62,1997
moz,14.91,1998
moz,13.8,1999
moz,12.61,2000
moz,12.71,2001
moz,11.75,2002
moz,13.26,2003
moz,15.18,2004
moz,12.1,2005
moz,12.43,2006
moz,10.06,2007
moz,8.431,2008
moz,11.95,2009
moz,13.65,2010
mmr,80.67,1995
mmr,83.35,1996
mmr,85.3,1997
mmr,89.2,1998
mmr,88.83,1999
mmr,85.87,2000
mmr,87.5,2001
mmr,83.38,2002
mmr,86.08,2003
mmr,84.95,2004
mmr,90.28,2005
mmr,81.28,2006
mmr,84.01,2007
mmr,84.81,2008
mmr,81.9,2009
mmr,81.12,2010
nam,6.33,1995
nam,6.032,1996
nam,6.271,1997
nam,6.023,1998
nam,5.668,1999
nam,5.642,2000
nam,2.977,2001
nam,3.93,2002
nam,5.089,2003
nam,3.747,2004
nam,3.72,2005
nam,3.241,2006
nam,8.517,2007
nam,8.135,2008
nam,8.066,2009
nam,7.448,2010
nru,3.41,1995
nru,2.849,1996
nru,2.629,1997
nru,2.21,1998
nru,2.675,1999
nru,2.918,2000
nru,3.047,2001
nru,3.165,2002
nru,3.951,2003
nru,2.961,2004
nru,3.824,2005
nru,3.578,2006
nru,2.619,2007
nru,4.004,2008
nru,4.965,2009
nru,4.961,2010
npl,78.26,1995
npl,77.88,1996
npl,74.48,1997
npl,71.54,1998
npl,74.3,1999
npl,71.4,2000
npl,65.05,2001
npl,63.69,2002
npl,65.71,2003
npl,55.99,2004
npl,53.4,2005
npl,49.5,2006
npl,53.5,2007
npl,48.63,2008
npl,49.22,2009
npl,48.35,2010
nld,9.64,1995
nld,8.123,1996
nld,7.673,1997
nld,8.449,1998
nld,8.986,1999
nld,8.98,2000
nld,8.7,2001
nld,8.022,2002
nld,7.322,2003
nld,7.164,2004
nld,7.121,2005
nld,5.632,2006
nld,5.516,2007
nld,5.742,2008
nld,5.743,2009
nld,5.2,2010
nzl,16.15,1995
nzl,16.29,1996
nzl,15.63,1997
nzl,16.26,1998
nzl,15.91,1999
nzl,15.36,2000
nzl,16.99,2001
nzl,16.06,2002
nzl,15.6,2003
nzl,14.11,2004
nzl,14.07,2005
nzl,13.84,2006
nzl,11.45,2007
nzl,11.24,2008
nzl,10.63,2009
nzl,10.5,2010
ner,48.35,1995
ner,50.26,1996
ner,45.11,1997
ner,45.22,1998
ner,45.26,1999
ner,45.17,2000
ner,41.28,2001
ner,41.06,2002
ner,43.14,2003
ner,41.45,2004
ner,47.56,2005
ner,43.71,2006
ner,46.03,2007
ner,41.5,2008
ner,42.02,2009
ner,41.31,2010
nga,70.3,1995
nga,74.98,1996
nga,72.35,1997
nga,70.17,1998
nga,67.16,1999
nga,61.65,2000
nga,62.74,2001
nga,67.3,2002
nga,74.66,2003
nga,64.17,2004
nga,67.86,2005
nga,63.1,2006
nga,57.72,2007
nga,56.15,2008
nga,62.09,2009
nga,59.21,2010
niu,1.61,1995
niu,1.334,1996
niu,1.527,1997
niu,1.647,1998
niu,1.41,1999
niu,1.545,2000
niu,1.401,2002
niu,1.087,2003
niu,0.8456,2004
niu,0.9504,2005
niu,0.7838,2006
niu,0.7582,2007
niu,0.741,2008
niu,0.7011,2009
niu,0.7019,2010
nor,17.83,1995
nor,17.83,1996
nor,17.83,1997
nor,16.98,1998
nor,16.64,1999
nor,16.72,2000
nor,15.73,2001
nor,15.76,2002
nor,15.48,2003
nor,15.62,2004
nor,15.65,2005
nor,15.4,2006
nor,15.02,2007
nor,14.94,2008
nor,15.14,2009
nor,15.33,2010
omn,10.14,1995
omn,10.11,1996
omn,10.72,1997
omn,11.89,1998
omn,11.92,1999
omn,11.75,2000
omn,11.27,2001
omn,10.15,2002
omn,10.6,2003
omn,11.18,2004
omn,10.58,2005
omn,11.61,2006
omn,12.05,2007
omn,14.36,2008
omn,13.48,2009
omn,12.32,2010
pak,72.58,1995
pak,71.19,1996
pak,73.25,1997
pak,65.41,1998
pak,66.6,1999
pak,63.48,2000
pak,62.01,2001
pak,56.04,2002
pak,61.49,2003
pak,61.23,2004
pak,60.57,2005
pak,57.41,2006
pak,56.63,2007
pak,52.6,2008
pak,53.33,2009
pak,50.48,2010
plw,18.71,1995
plw,17.07,1996
plw,17.61,1997
plw,22.18,1998
plw,22.33,1999
plw,24.04,2000
plw,13.35,2001
plw,10.35,2002
plw,8.316,2003
plw,8.906,2004
plw,9.418,2005
plw,8.252,2006
plw,8.695,2007
plw,9.165,2008
plw,8.891,2009
plw,9.151,2010
png,6.38,1995
png,6.5,1996
png,9.109,1997
png,7.905,1998
png,8.577,1999
png,10.24,2000
png,9.62,2001
png,11.33,2002
png,11.72,2003
png,10.88,2004
png,11.36,2005
png,12.5,2006
png,15.65,2007
png,13.71,2008
png,16.4,2009
png,15.9,2010
phl,50.01,1995
phl,48.25,1996
phl,46.48,1997
phl,46.3,1998
phl,43.32,1999
phl,40.5,2000
phl,43.85,2001
phl,46.78,2002
phl,46.88,2003
phl,46.91,2004
phl,49.17,2005
phl,52.26,2006
phl,54.35,2007
phl,56.41,2008
phl,54.21,2009
phl,54.03,2010
pol,27.11,1995
pol,26.61,1996
pol,28.04,1997
pol,34.62,1998
pol,28.87,1999
pol,29.97,2000
pol,28.1,2001
pol,25.44,2002
pol,26.43,2003
pol,28.11,2004
pol,26.12,2005
pol,25.59,2006
pol,24.23,2007
pol,22.42,2008
pol,22.3,2009
pol,22.06,2010
prt,23.92,1995
prt,23.33,1996
prt,22.87,1997
prt,22.96,1998
prt,23.68,1999
prt,24.88,2000
prt,24.94,2001
prt,23.92,2002
prt,24.08,2003
prt,24.39,2004
prt,24.77,2005
prt,26.01,2006
prt,26.39,2007
prt,27.16,2008
prt,25.02,2009
prt,24.78,2010
qat,34.63,1995
qat,30.13,1996
qat,28.25,1997
qat,29.86,1998
qat,29.0,1999
qat,26.36,2000
qat,23.62,2001
qat,23.8,2002
qat,15.29,2003
qat,15.27,2004
qat,15.27,2005
qat,15.23,2006
qat,15.21,2007
qat,15.15,2008
qat,15.82,2009
qat,16.01,2010
rus,16.89,1995
rus,18.06,1996
rus,18.08,1997
rus,23.01,1998
rus,27.49,1999
rus,29.97,2000
rus,30.48,2001
rus,30.86,2002
rus,32.83,2003
rus,33.24,2004
rus,31.32,2005
rus,29.97,2006
rus,29.74,2007
rus,29.02,2008
rus,30.09,2009
rus,31.4,2010
rwa,26.3,1995
rwa,24.69,1996
rwa,24.86,1997
rwa,21.34,1998
rwa,22.43,1999
rwa,24.78,2000
rwa,23.61,2001
rwa,24.69,2002
rwa,17.4,2003
rwa,17.35,2004
rwa,16.45,2005
rwa,20.72,2006
rwa,23.5,2007
rwa,23.34,2008
rwa,22.79,2009
rwa,22.16,2010
wsm,24.64,1995
wsm,21.55,1996
wsm,23.32,1997
wsm,21.15,1998
wsm,20.28,1999
wsm,18.99,2000
wsm,21.06,2001
wsm,17.44,2002
wsm,18.77,2003
wsm,12.21,2004
wsm,12.77,2005
wsm,9.479,2006
wsm,8.994,2007
wsm,8.911,2008
wsm,9.232,2009
wsm,7.769,2010
stp,52.16,1995
stp,57.36,1996
stp,48.77,1997
stp,52.57,1998
stp,45.38,1999
stp,49.95,2000
stp,40.55,2001
stp,37.17,2002
stp,30.27,2003
stp,33.12,2004
stp,34.65,2005
stp,39.16,2006
stp,42.0,2007
stp,46.12,2008
stp,45.09,2009
stp,53.55,2010
sau,34.93,1995
sau,32.73,1996
sau,30.54,1997
sau,30.36,1998
sau,22.34,1999
sau,18.92,2000
sau,18.49,2001
sau,18.91,2002
sau,18.4,2003
sau,18.17,2004
sau,16.47,2005
sau,15.4,2006
sau,16.83,2007
sau,18.81,2008
sau,19.66,2009
sau,18.63,2010
sen,64.19,1995
sen,59.64,1996
sen,60.64,1997
sen,59.95,1998
sen,58.26,1999
sen,57.87,2000
sen,57.22,2001
sen,55.59,2002
sen,54.97,2003
sen,55.26,2004
sen,34.07,2005
sen,33.07,2006
sen,34.48,2007
sen,36.0,2008
sen,35.75,2009
sen,34.95,2010
srb,24.65,1995
srb,24.65,1996
srb,23.88,1997
srb,25.36,1998
srb,25.41,1999
srb,25.26,2000
srb,26.63,2001
srb,23.12,2002
srb,24.99,2003
srb,27.32,2004
srb,29.93,2005
srb,32.92,2006
srb,34.82,2007
srb,35.14,2008
srb,35.17,2009
srb,36.43,2010
syc,14.69,1995
syc,12.26,1996
syc,13.6,1997
syc,15.59,1998
syc,15.83,1999
syc,17.12,2000
syc,14.66,2001
syc,12.67,2002
syc,9.927,2003
syc,7.854,2004
syc,6.575,2005
syc,5.34,2006
syc,5.568,2007
syc,5.204,2008
syc,4.928,2009
syc,5.502,2010
sle,86.22,1995
sle,86.54,1996
sle,84.49,1997
sle,86.28,1998
sle,84.26,1999
sle,82.29,2000
sle,81.6,2001
sle,81.37,2002
sle,63.17,2003
sle,81.75,2004
sle,73.78,2005
sle,78.35,2006
sle,83.07,2007
sle,81.0,2008
sle,80.13,2009
sle,79.4,2010
sgp,47.87,1995
sgp,49.22,1996
sgp,49.58,1997
sgp,43.79,1998
sgp,45.28,1999
sgp,45.97,2000
sgp,52.13,2001
sgp,60.02,2002
sgp,55.11,2003
sgp,59.35,2004
sgp,59.87,2005
sgp,60.19,2006
sgp,60.14,2007
sgp,58.41,2008
sgp,54.63,2009
sgp,54.02,2010
slb,4.016,1995
slb,4.352,1996
slb,4.024,1997
slb,3.978,1998
slb,3.819,1999
slb,2.943,2000
slb,2.241,2001
slb,2.272,2002
slb,4.353,2003
slb,4.515,2004
slb,3.206,2005
slb,3.932,2006
slb,4.121,2007
slb,4.792,2008
slb,3.508,2009
slb,3.584,2010
som,56.52,1995
som,55.56,1996
som,54.55,1997
som,53.89,1998
som,55.03,1999
som,55.21,2000
som,55.38,2001
zaf,13.89,1995
zaf,13.04,1996
zaf,11.54,1997
zaf,12.68,1998
zaf,13.94,1999
zaf,14.88,2000
zaf,14.28,2001
zaf,14.18,2002
zaf,14.02,2003
zaf,18.28,2004
zaf,18.4,2005
zaf,18.06,2006
zaf,17.58,2007
zaf,17.17,2008
zaf,16.66,2009
zaf,16.57,2010
lka,45.8,1995
lka,47.08,1996
lka,47.18,1997
lka,42.85,1998
lka,44.66,1999
lka,42.63,2000
lka,45.39,2001
lka,47.11,2002
lka,46.94,2003
lka,43.85,2004
lka,43.34,2005
lka,42.96,2006
lka,41.92,2007
lka,43.67,2008
lka,44.37,2009
lka,44.86,2010
sdn,80.28,1995
sdn,70.59,1996
sdn,72.0,1997
sdn,71.3,1998
sdn,74.5,1999
sdn,66.11,2000
sdn,65.95,2001
sdn,65.45,2002
sdn,64.41,2003
sdn,62.47,2004
sdn,59.77,2005
sdn,62.13,2006
sdn,63.29,2007
sdn,64.08,2008
sdn,69.7,2009
sdn,67.16,2010
swz,13.46,1995
swz,14.67,1996
swz,14.18,1997
swz,16.67,1998
swz,17.86,1999
swz,18.53,2000
swz,17.95,2001
swz,16.77,2002
swz,14.56,2003
swz,16.65,2004
swz,16.26,2005
swz,14.97,2006
swz,15.63,2007
swz,15.12,2008
swz,14.13,2009
swz,15.45,2010
swe,13.34,1995
swe,13.06,1996
swe,14.15,1997
swe,13.6,1998
swe,13.39,1999
swe,13.77,2000
swe,16.58,2001
swe,16.24,2002
swe,15.9,2003
swe,16.31,2004
swe,16.69,2005
swe,16.64,2006
swe,16.49,2007
swe,16.36,2008
swe,16.67,2009
swe,17.02,2010
che,33.1,1995
che,31.5,1996
che,32.41,1997
che,32.87,1998
che,33.38,1999
che,32.98,2000
che,31.79,2001
che,31.56,2002
che,31.62,2003
che,31.86,2004
che,30.63,2005
che,30.79,2006
che,30.57,2007
che,30.5,2008
che,30.49,2009
che,30.87,2010
syr,60.32,1995
syr,64.47,1996
syr,64.56,1997
syr,61.73,1998
syr,61.63,1999
syr,59.55,2000
syr,55.79,2001
syr,54.23,2002
syr,51.75,2003
syr,52.03,2004
syr,49.5,2005
syr,51.46,2006
syr,50.95,2007
syr,53.47,2008
syr,54.0,2009
syr,54.0,2010
tjk,58.06,1995
tjk,56.98,1996
tjk,54.34,1997
tjk,66.29,1998
tjk,70.95,1999
tjk,78.81,2000
tjk,78.63,2001
tjk,78.92,2002
tjk,77.64,2003
tjk,75.84,2004
tjk,73.66,2005
tjk,74.57,2006
tjk,73.04,2007
tjk,72.3,2008
tjk,67.79,2009
tjk,66.51,2010
tza,47.73,1995
tza,50.04,1996
tza,47.15,1997
tza,48.88,1998
tza,50.22,1999
tza,47.26,2000
tza,46.74,2001
tza,48.49,2002
tza,44.11,2003
tza,45.5,2004
tza,37.29,2005
tza,22.33,2006
tza,14.94,2007
tza,15.95,2008
tza,14.11,2009
tza,13.61,2010
tha,42.59,1995
tha,42.49,1996
tha,36.88,1997
tha,35.37,1998
tha,34.51,1999
tha,33.72,2000
tha,33.07,2001
tha,27.2,2002
tha,26.85,2003
tha,26.09,2004
tha,27.23,2005
tha,17.38,2006
tha,14.5,2007
tha,14.53,2008
tha,15.15,2009
tha,13.92,2010
tls,10.31,1995
tls,15.08,1996
tls,9.321,1997
tls,5.094,1998
tls,9.864,1999
tls,7.776,2000
tls,7.083,2001
tls,7.101,2002
tls,6.529,2003
tls,8.95,2004
tls,6.504,2005
tls,5.545,2006
tls,6.569,2007
tls,7.742,2008
tls,8.678,2009
tls,11.29,2010
tgo,56.99,1995
tgo,58.77,1996
tgo,61.35,1997
tgo,54.81,1998
tgo,59.68,1999
tgo,59.68,2000
tgo,66.97,2001
tgo,68.42,2002
tgo,63.59,2003
tgo,63.31,2004
tgo,59.31,2005
tgo,56.99,2006
tgo,57.49,2007
tgo,54.47,2008
tgo,48.01,2009
tgo,46.95,2010
ton,26.8,1995
ton,25.69,1996
ton,24.72,1997
ton,24.42,1998
ton,20.71,1999
ton,22.66,2000
ton,18.83,2001
ton,18.82,2002
ton,10.61,2003
ton,10.61,2004
ton,8.049,2005
ton,8.071,2006
ton,10.22,2007
ton,10.22,2008
ton,13.82,2009
ton,12.55,2010
tun,37.86,1995
tun,40.08,1996
tun,40.5,1997
tun,40.57,1998
tun,40.37,1999
tun,36.17,2000
tun,37.13,2001
tun,38.03,2002
tun,37.98,2003
tun,40.28,2004
tun,40.87,2005
tun,40.79,2006
tun,41.41,2007
tun,39.96,2008
tun,39.27,2009
tun,39.77,2010
tur,29.82,1995
tur,30.88,1996
tur,28.26,1997
tur,27.96,1998
tur,29.07,1999
tur,27.64,2000
tur,22.85,2001
tur,19.84,2002
tur,18.46,2003
tur,19.24,2004
tur,22.76,2005
tur,21.97,2006
tur,21.82,2007
tur,17.38,2008
tur,16.02,2009
tur,15.97,2010
tkm,39.65,1995
tkm,30.34,1996
tkm,28.23,1997
tkm,27.2,1998
tkm,30.9,1999
tkm,20.41,2000
tkm,24.04,2001
tkm,30.08,2002
tkm,28.64,2003
tkm,32.34,2004
tkm,36.74,2005
tkm,42.0,2006
tkm,44.44,2007
tkm,50.86,2008
tkm,40.76,2009
tkm,40.62,2010
uga,52.41,1995
uga,52.08,1996
uga,49.71,1997
uga,50.73,1998
uga,42.73,1999
uga,41.49,2000
uga,37.65,2001
uga,36.73,2002
uga,37.1,2003
uga,42.17,2004
uga,45.29,2005
uga,50.22,2006
uga,51.17,2007
uga,52.68,2008
uga,49.76,2009
uga,49.77,2010
ukr,35.78,1995
ukr,32.67,1996
ukr,40.02,1997
ukr,42.88,1998
ukr,46.15,1999
ukr,44.04,2000
ukr,41.76,2001
ukr,40.35,2002
ukr,38.7,2003
ukr,38.57,2004
ukr,37.5,2005
ukr,36.28,2006
ukr,34.65,2007
ukr,39.44,2008
ukr,41.96,2009
ukr,40.5,2010
are,14.93,1995
are,14.3,1996
are,15.28,1997
are,25.1,1998
are,26.18,1999
are,26.85,2000
are,15.09,2001
are,28.04,2002
are,27.46,2003
are,30.41,2004
are,30.14,2005
are,29.77,2006
are,29.66,2007
are,24.91,2008
are,16.91,2009
are,18.79,2010
gbr,10.91,1995
gbr,10.99,1996
gbr,14.15,1997
gbr,14.2,1998
gbr,13.71,1999
gbr,13.45,2000
gbr,13.49,2001
gbr,13.26,2002
gbr,12.81,2003
gbr,12.36,2004
gbr,11.79,2005
gbr,11.33,2006
gbr,11.65,2007
gbr,10.94,2008
gbr,9.828,2009
gbr,9.991,2010
usa,14.64,1995
usa,14.45,1996
usa,14.66,1997
usa,15.0,1998
usa,14.8,1999
usa,14.51,2000
usa,13.85,2001
usa,13.45,2002
usa,13.65,2003
usa,13.4,2004
usa,13.32,2005
usa,12.89,2006
usa,12.91,2007
usa,12.7,2008
usa,12.26,2009
usa,11.8,2010
uzb,29.35,1995
uzb,30.48,1996
uzb,35.04,1997
uzb,52.78,1998
uzb,51.69,1999
uzb,54.25,2000
uzb,53.59,2001
uzb,54.53,2002
uzb,53.06,2003
uzb,47.42,2004
uzb,46.14,2005
uzb,47.31,2006
uzb,47.58,2007
uzb,44.06,2008
uzb,44.46,2009
uzb,42.74,2010
vut,16.56,1995
vut,19.95,1996
vut,16.64,1997
vut,15.89,1998
vut,17.97,1999
vut,16.73,2000
vut,17.18,2001
vut,17.48,2002
vut,17.83,2003
vut,18.61,2004
vut,19.41,2005
vut,13.39,2006
vut,7.622,2007
vut,6.563,2008
vut,5.755,2009
vut,5.325,2010
vnm,64.01,1995
vnm,65.87,1996
vnm,65.45,1997
vnm,63.51,1998
vnm,61.9,1999
vnm,66.03,2000
vnm,64.53,2001
vnm,64.31,2002
vnm,62.87,2003
vnm,66.54,2004
vnm,67.64,2005
vnm,62.11,2006
vnm,55.66,2007
vnm,61.24,2008
vnm,57.92,2009
vnm,57.64,2010
yem,65.51,1995
yem,53.62,1996
yem,51.95,1997
yem,49.53,1998
yem,47.53,1999
yem,43.65,2000
yem,44.29,2001
yem,46.23,2002
yem,52.12,2003
yem,60.46,2004
yem,64.78,2005
yem,63.27,2006
yem,69.16,2007
yem,68.01,2008
yem,72.46,2009
yem,74.79,2010
zmb,34.95,1995
zmb,35.1,1996
zmb,31.86,1997
zmb,33.25,1998
zmb,41.17,1999
zmb,39.18,2000
zmb,31.93,2001
zmb,27.82,2002
zmb,29.0,2003
zmb,30.48,2004
zmb,27.4,2005
zmb,26.39,2006
zmb,29.87,2007
zmb,27.19,2008
zmb,27.87,2009
zmb,26.49,2010
zwe,30.19,1995
zwe,29.9,1996
zwe,30.5,1997
zwe,33.22,1998
zwe,22.96,1999
zwe,22.63,2000
zwe,30.98,2001
