mean_years_in_school_women_25_years_and_older,geo,time
1.7,cog,1983
1.8,cog,1984
1.9,cog,1985
2.1,cog,1986
2.2,cog,1987
2.3,cog,1988
2.4,cog,1989
2.5,cog,1990
2.7,cog,1991
2.8,cog,1992
2.9,cog,1993
3.0,cog,1994
3.2,cog,1995
3.3,cog,1996
3.4,cog,1997
3.6,cog,1998
3.7,cog,1999
3.9,cog,2000
4.0,cog,2001
4.2,cog,2002
4.3,cog,2003
4.5,cog,2004
4.6,cog,2005
4.8,cog,2006
4.9,cog,2007
5.1,cog,2008
5.3,cog,2009
4.0,cri,1970
4.1,cri,1971
4.2,cri,1972
4.3,cri,1973
4.4,cri,1974
4.5,cri,1975
4.6,cri,1976
4.8,cri,1977
4.9,cri,1978
5.0,cri,1979
5.1,cri,1980
5.2,cri,1981
5.3,cri,1982
5.4,cri,1983
5.6,cri,1984
5.7,cri,1985
5.8,cri,1986
5.9,cri,1987
6.1,cri,1988
6.2,cri,1989
6.3,cri,1990
6.5,cri,1991
6.6,cri,1992
6.7,cri,1993
6.8,cri,1994
7.0,cri,1995
7.1,cri,1996
7.2,cri,1997
7.3,cri,1998
7.4,cri,1999
7.6,cri,2000
7.7,cri,2001
7.8,cri,2002
7.9,cri,2003
8.0,cri,2004
8.1,cri,2005
8.3,cri,2006
8.4,cri,2007
8.5,cri,2008
8.6,cri,2009
0.2,civ,1970
0.3,civ,1971
0.3,civ,1972
0.3,civ,1973
0.3,civ,1974
0.3,civ,1975
0.3,civ,1976
0.4,civ,1977
0.4,civ,1978
0.4,civ,1979
0.4,civ,1980
0.5,civ,1981
0.5,civ,1982
0.5,civ,1983
0.6,civ,1984
0.6,civ,1985
0.6,civ,1986
0.7,civ,1987
0.7,civ,1988
0.8,civ,1989
0.8,civ,1990
0.9,civ,1991
0.9,civ,1992
1.0,civ,1993
1.0,civ,1994
1.1,civ,1995
1.1,civ,1996
1.2,civ,1997
1.2,civ,1998
1.3,civ,1999
1.3,civ,2000
1.4,civ,2001
1.5,civ,2002
1.5,civ,2003
1.6,civ,2004
1.7,civ,2005
1.7,civ,2006
1.8,civ,2007
1.9,civ,2008
2.0,civ,2009
3.3,hrv,1970
3.4,hrv,1971
3.6,hrv,1972
3.7,hrv,1973
3.9,hrv,1974
4.0,hrv,1975
4.2,hrv,1976
4.4,hrv,1977
4.6,hrv,1978
4.7,hrv,1979
4.9,hrv,1980
5.1,hrv,1981
5.3,hrv,1982
5.5,hrv,1983
5.7,hrv,1984
5.9,hrv,1985
6.2,hrv,1986
6.4,hrv,1987
6.6,hrv,1988
6.8,hrv,1989
7.0,hrv,1990
7.2,hrv,1991
7.5,hrv,1992
7.7,hrv,1993
7.9,hrv,1994
8.1,hrv,1995
8.3,hrv,1996
8.5,hrv,1997
8.7,hrv,1998
8.9,hrv,1999
9.1,hrv,2000
9.3,hrv,2001
9.5,hrv,2002
9.7,hrv,2003
9.9,hrv,2004
10.1,hrv,2005
10.3,hrv,2006
10.5,hrv,2007
10.7,hrv,2008
10.8,hrv,2009
5.3,cub,1970
5.4,cub,1971
5.5,cub,1972
5.6,cub,1973
5.8,cub,1974
5.9,cub,1975
6.0,cub,1976
6.1,cub,1977
6.3,cub,1978
6.4,cub,1979
6.5,cub,1980
6.7,cub,1981
6.8,cub,1982
6.9,cub,1983
7.1,cub,1984
7.2,cub,1985
7.3,cub,1986
7.5,cub,1987
7.6,cub,1988
7.7,cub,1989
7.9,cub,1990
8.0,cub,1991
8.1,cub,1992
8.3,cub,1993
8.4,cub,1994
8.5,cub,1995
8.7,cub,1996
8.8,cub,1997
8.9,cub,1998
9.0,cub,1999
9.2,cub,2000
9.3,cub,2001
9.4,cub,2002
9.5,cub,2003
9.6,cub,2004
9.8,cub,2005
9.9,cub,2006
10.0,cub,2007
10.1,cub,2008
10.2,cub,2009
4.5,cyp,1970
4.7,cyp,1971
4.9,cyp,1972
5.1,cyp,1973
5.3,cyp,1974
