geo,market_value_of_listed_companies_percent_of_gdp,time
pol,11.83,1998
pol,17.61,1999
pol,18.26,2000
pol,13.66,2001
pol,14.51,2002
pol,17.14,2003
pol,28.13,2004
pol,30.89,2005
pol,43.63,2006
pol,48.74,2007
pol,17.09,2008
prt,13.31,1988
prt,18.29,1989
prt,12.22,1990
prt,11.26,1991
prt,8.951,1992
prt,13.67,1993
prt,17.04,1994
prt,16.26,1995
prt,20.96,1996
prt,34.8,1997
prt,53.11,1998
prt,54.65,1999
prt,53.87,2000
prt,40.05,2001
prt,33.62,2002
prt,37.26,2003
prt,39.25,2004
prt,36.12,2005
prt,53.43,2006
prt,59.22,2007
prt,28.22,2008
qat,22.91,1997
qat,37.41,1998
qat,44.4,1999
qat,29.01,2000
qat,113.5,2003
qat,166.9,2004
qat,205.6,2005
qat,108.4,2006
qat,134.4,2007
rou,0.1729,1994
rou,0.2819,1995
rou,0.1613,1996
rou,1.777,1997
rou,2.412,1998
rou,2.453,1999
rou,2.886,2000
rou,5.286,2001
rou,9.954,2002
rou,9.384,2003
rou,15.61,2004
rou,20.81,2005
rou,26.73,2006
rou,26.54,2007
rou,9.958,2008
rus,0.0479,1991
rus,0.04737,1992
rus,0.004137,1993
rus,0.03822,1994
rus,4.011,1995
rus,9.504,1996
rus,31.66,1997
rus,7.602,1998
rus,36.86,1999
rus,14.99,2000
rus,24.85,2001
rus,35.95,2002
rus,53.49,2003
rus,45.28,2004
rus,71.75,2005
rus,106.6,2006
rus,116.1,2007
rus,78.7,2008
kna,67.56,2003
kna,62.57,2004
kna,62.2,2005
kna,62.33,2006
kna,85.94,2007
kna,109.6,2008
sau,36.7,1991
sau,40.35,1992
sau,39.95,1993
sau,28.81,1994
sau,28.72,1995
sau,29.07,1996
sau,35.99,1997
sau,29.2,1998
sau,37.55,1999
sau,35.65,2000
sau,40.0,2001
sau,39.7,2002
sau,73.31,2003
sau,122.3,2004
sau,204.7,2005
sau,91.65,2006
sau,134.1,2007
sau,52.55,2008
srb,4.638,2002
srb,6.969,2003
srb,13.38,2004
srb,20.65,2005
srb,35.98,2006
srb,59.65,2007
srb,24.3,2008
sgp,94.41,1988
sgp,119.2,1989
sgp,93.1,1990
sgp,110.3,1991
sgp,98.16,1992
sgp,228.2,1993
sgp,190.3,1994
sgp,175.6,1995
sgp,162.3,1996
sgp,110.9,1997
sgp,114.6,1998
sgp,240.2,1999
sgp,164.8,2000
sgp,137.0,2001
sgp,115.4,2002
sgp,246.0,2003
sgp,252.6,2004
sgp,261.8,2005
sgp,198.5,2006
sgp,211.7,2007
sgp,98.94,2008
svk,5.496,1994
svk,4.893,1995
svk,8.002,1996
svk,6.757,1997
svk,3.298,1998
svk,3.542,1999
svk,4.24,2000
svk,5.141,2001
svk,5.5,2002
svk,6.067,2003
svk,7.871,2004
svk,7.168,2005
svk,8.072,2006
svk,8.275,2007
svk,5.158,2008
svn,4.136,1994
svn,1.494,1995
svn,3.156,1996
svn,8.016,1997
svn,11.35,1998
svn,9.839,1999
svn,12.81,2000
svn,13.93,2001
svn,19.97,2002
svn,24.55,2003
svn,28.69,2004
svn,22.13,2005
svn,39.03,2006
svn,61.39,2007
svn,21.55,2008
zaf,109.9,1988
zaf,104.9,1989
zaf,123.2,1990
zaf,139.7,1991
zaf,79.69,1992
zaf,131.9,1993
zaf,166.4,1994
zaf,185.6,1995
zaf,168.1,1996
zaf,155.9,1997
zaf,126.8,1998
zaf,197.1,1999
zaf,154.2,2000
zaf,118.0,2001
zaf,166.5,2002
zaf,160.7,2003
zaf,210.9,2004
zaf,232.9,2005
zaf,277.4,2006
zaf,293.8,2007
zaf,177.7,2008
esp,24.94,1988
esp,30.54,1989
esp,21.31,1990
esp,26.41,1991
esp,16.16,1992
esp,23.39,1993
esp,30.06,1994
esp,33.14,1995
esp,39.01,1996
esp,50.71,1997
esp,66.94,1998
esp,69.86,1999
esp,86.83,2000
esp,76.87,2001
esp,67.76,2002
esp,82.19,2003
esp,90.08,2004
esp,84.94,2005
esp,107.4,2006
esp,125.2,2007
esp,58.98,2008
lka,6.749,1988
lka,6.111,1989
lka,11.42,1990
lka,21.55,1991
lka,14.84,1992
lka,24.18,1993
lka,24.58,1994
lka,15.33,1995
lka,13.3,1996
lka,13.89,1997
lka,10.79,1998
lka,10.12,1999
lka,6.577,2000
lka,8.456,2001
lka,9.829,2002
lka,14.36,2003
lka,17.7,2004
lka,23.44,2005
lka,27.47,2006
lka,23.34,2007
lka,10.66,2008
swz,1.525,1990
swz,2.331,1991
swz,8.633,1992
swz,21.86,1993
swz,23.8,1994
swz,19.95,1995
swz,29.19,1996
swz,7.508,1997
swz,5.441,1998
swz,6.181,1999
swz,4.903,2000
swz,9.879,2001
swz,12.22,2002
swz,9.577,2003
swz,9.849,2004
swz,7.795,2005
swz,7.486,2006
swz,6.885,2007
swe,51.58,1988
swe,58.21,1989
swe,40.03,1990
swe,39.16,1991
swe,29.34,1992
swe,53.12,1993
swe,60.17,1994
swe,70.18,1995
swe,89.51,1996
swe,108.1,1997
swe,110.1,1998
swe,145.2,1999
swe,133.7,2000
swe,105.0,2001
swe,72.13,2002
swe,93.2,2003
swe,105.5,2004
swe,110.4,2005
swe,145.8,2006
swe,135.1,2007
swe,52.73,2008
che,72.54,1988
che,91.45,1989
che,67.17,1990
che,72.2,1991
che,77.69,1992
che,111.3,1993
che,105.1,1994
che,137.2,1995
che,131.9,1996
che,217.5,1997
che,252.8,1998
che,258.4,1999
che,317.0,2000
che,245.4,2001
che,198.3,2002
che,223.6,2003
che,227.5,2004
che,252.4,2005
che,312.1,2006
che,298.7,2007
che,175.4,2008
tza,2.82,1998
tza,2.091,1999
tza,2.565,2000
tza,4.216,2001
tza,7.249,2002
tza,6.407,2003
tza,5.899,2004
tza,4.157,2005
tza,3.776,2006
tza,6.312,2008
tha,14.29,1988
tha,35.43,1989
tha,28.0,1990
tha,36.44,1991
tha,52.31,1992
tha,104.8,1993
tha,90.78,1994
tha,84.22,1995
tha,54.87,1996
tha,15.6,1997
tha,31.2,1998
tha,47.59,1999
tha,24.03,2000
tha,31.46,2001
tha,36.39,2002
tha,84.99,2003
tha,72.33,2004
tha,70.8,2005
tha,68.09,2006
tha,79.34,2007
tha,37.66,2008
tto,5.96,1988
tto,9.507,1989
tto,13.73,1990
tto,12.51,1991
tto,9.219,1992
tto,10.58,1993
tto,13.4,1994
tto,21.11,1995
tto,24.39,1996
tto,54.32,1997
tto,64.89,1998
tto,64.14,1999
tto,53.1,2000
tto,57.05,2001
tto,72.22,2002
tto,94.38,2003
tto,132.3,2004
tto,111.8,2005
tto,84.56,2006
tto,71.86,2007
tto,50.35,2008
tun,6.062,1988
tun,6.316,1989
tun,4.337,1990
tun,5.438,1991
tun,5.253,1992
tun,6.544,1993
tun,16.38,1994
tun,21.78,1995
tun,21.76,1996
tun,12.28,1997
tun,11.45,1998
tun,13.01,1999
tun,14.54,2000
tun,11.52,2001
tun,10.13,2002
tun,9.86,2003
tun,9.389,2004
tun,9.929,2005
tun,14.36,2006
tun,15.29,2007
tun,15.81,2008
tur,1.262,1988
tur,6.323,1989
tur,12.68,1990
tur,10.41,1991
tur,6.239,1992
tur,20.89,1993
tur,16.63,1994
tur,12.24,1995
tur,16.54,1996
tur,32.22,1997
tur,12.51,1998
tur,45.27,1999
tur,26.07,2000
tur,24.05,2001
tur,14.59,2002
tur,22.45,2003
tur,25.01,2004
tur,33.38,2005
tur,30.65,2006
tur,44.23,2007
tur,16.05,2008
uga,0.6017,2001
uga,0.7855,2002
uga,0.7468,2003
uga,1.13,2004
uga,1.149,2005
uga,1.173,2006
ukr,7.312,1997
ukr,1.361,1998
ukr,3.549,1999
ukr,6.016,2000
ukr,3.591,2001
ukr,7.358,2002
ukr,8.583,2003
ukr,18.15,2004
ukr,28.99,2005
ukr,39.79,2006
ukr,78.31,2007
ukr,13.51,2008
are,18.7,1998
are,13.93,1999
are,8.113,2000
are,8.407,2001
are,27.07,2002
are,34.28,2003
are,90.52,2004
are,169.6,2005
are,84.83,2006
are,113.1,2007
gbr,90.58,1988
gbr,96.23,1989
gbr,83.85,1990
gbr,93.57,1991
gbr,84.91,1992
gbr,117.4,1993
gbr,114.1,1994
gbr,121.7,1995
gbr,142.7,1996
gbr,146.9,1997
gbr,163.1,1998
gbr,195.2,1999
gbr,174.4,2000
gbr,147.2,2001
gbr,115.6,2002
gbr,132.2,2003
gbr,128.1,2004
gbr,134.1,2005
gbr,155.8,2006
gbr,137.6,2007
gbr,69.26,2008
usa,55.1,1988
usa,64.5,1989
usa,53.15,1990
usa,68.78,1991
usa,71.42,1992
usa,77.77,1993
usa,72.21,1994
usa,93.4,1995
usa,109.3,1996
usa,137.1,1997
usa,154.7,1998
usa,180.5,1999
usa,154.7,2000
usa,137.5,2001
usa,106.5,2002
usa,130.8,2003
usa,140.3,2004
usa,137.3,2005
usa,148.1,2006
usa,145.2,2007
usa,83.29,2008
ury,1.673,1993
ury,0.9728,1994
ury,0.9483,1995
ury,1.297,1996
ury,0.8844,1997
ury,0.8233,1998
ury,0.6994,1999
ury,0.7051,2000
ury,0.335,2003
ury,0.6183,2004
ury,0.5512,2005
ury,0.6246,2006
ury,0.6556,2007
uzb,0.9176,1996
uzb,3.154,1997
uzb,0.6968,1999
uzb,0.2319,2000
uzb,0.2444,2001
uzb,0.3222,2002
uzb,0.1387,2003
uzb,0.03574,2004
uzb,0.2578,2005
uzb,4.2,2006
ven,3.115,1988
ven,3.488,1989
ven,17.78,1990
ven,21.65,1991
ven,13.0,1992
ven,13.78,1993
ven,7.27,1994
ven,4.881,1995
ven,14.73,1996
ven,16.99,1997
ven,8.306,1998
ven,7.625,1999
ven,6.938,2000
ven,5.057,2001
ven,4.265,2002
ven,4.574,2003
ven,5.44,2004
ven,3.448,2005
ven,4.472,2006
vnm,0.3972,2003
vnm,0.5462,2004
vnm,0.8737,2005
vnm,15.2,2006
vnm,28.48,2007
vnm,10.58,2008
pse,14.13,1997
pse,15.08,1998
pse,20.35,1999
pse,18.61,2000
pse,21.69,2001
pse,20.34,2002
pse,20.69,2003
pse,30.4,2004
pse,111.1,2005
zmb,0.5463,1995
zmb,5.963,1996
zmb,18.03,1997
zmb,9.31,1998
zmb,8.943,1999
zmb,7.282,2000
zmb,6.972,2001
zmb,6.272,2002
zmb,17.13,2003
zmb,8.372,2004
zmb,13.82,2005
zmb,11.11,2006
zmb,20.56,2007
zwe,9.904,1988
zwe,12.91,1989
zwe,27.32,1990
zwe,16.09,1991
zwe,9.302,1992
zwe,21.79,1993
zwe,26.56,1994
zwe,28.66,1995
zwe,42.5,1996
zwe,23.36,1997
zwe,21.59,1998
zwe,42.16,1999
zwe,32.87,2000
zwe,77.73,2001
zwe,71.39,2002
zwe,67.26,2003
zwe,41.2,2004
zwe,70.26,2005
