cholesterol_fat_in_blood_women_mmolperl,geo,time
4.428,cmr,1997
4.412,cmr,1998
4.396,cmr,1999
4.383,cmr,2000
4.371,cmr,2001
4.36,cmr,2002
4.349,cmr,2003
4.338,cmr,2004
4.326,cmr,2005
4.314,cmr,2006
4.302,cmr,2007
4.29,cmr,2008
5.647,can,1980
5.628,can,1981
5.605,can,1982
5.585,can,1983
5.565,can,1984
5.546,can,1985
5.527,can,1986
5.507,can,1987
5.492,can,1988
5.48,can,1989
5.467,can,1990
5.45,can,1991
5.434,can,1992
5.417,can,1993
5.402,can,1994
5.387,can,1995
5.369,can,1996
5.348,can,1997
5.331,can,1998
5.314,can,1999
5.297,can,2000
5.281,can,2001
5.263,can,2002
5.244,can,2003
5.226,can,2004
5.205,can,2005
5.185,can,2006
5.163,can,2007
5.141,can,2008
4.592,cpv,1980
4.584,cpv,1981
4.58,cpv,1982
4.576,cpv,1983
4.571,cpv,1984
4.568,cpv,1985
4.562,cpv,1986
4.549,cpv,1987
4.54,cpv,1988
4.533,cpv,1989
4.53,cpv,1990
4.528,cpv,1991
4.526,cpv,1992
4.522,cpv,1993
4.514,cpv,1994
4.512,cpv,1995
4.502,cpv,1996
4.494,cpv,1997
4.486,cpv,1998
4.478,cpv,1999
4.468,cpv,2000
4.457,cpv,2001
4.442,cpv,2002
4.424,cpv,2003
4.406,cpv,2004
4.387,cpv,2005
4.37,cpv,2006
4.355,cpv,2007
4.338,cpv,2008
4.646,caf,1980
4.63,caf,1981
4.616,caf,1982
4.599,caf,1983
4.586,caf,1984
4.572,caf,1985
4.559,caf,1986
4.545,caf,1987
4.531,caf,1988
4.517,caf,1989
4.503,caf,1990
4.487,caf,1991
4.467,caf,1992
4.447,caf,1993
4.43,caf,1994
4.414,caf,1995
4.399,caf,1996
4.385,caf,1997
4.372,caf,1998
4.362,caf,1999
4.353,caf,2000
4.344,caf,2001
4.335,caf,2002
4.323,caf,2003
4.31,caf,2004
4.297,caf,2005
4.284,caf,2006
4.272,caf,2007
4.259,caf,2008
4.534,tcd,1980
4.51,tcd,1981
4.486,tcd,1982
4.467,tcd,1983
4.447,tcd,1984
4.433,tcd,1985
4.419,tcd,1986
4.403,tcd,1987
4.39,tcd,1988
4.378,tcd,1989
4.363,tcd,1990
4.348,tcd,1991
4.332,tcd,1992
4.315,tcd,1993
4.292,tcd,1994
4.274,tcd,1995
4.255,tcd,1996
4.237,tcd,1997
4.219,tcd,1998
4.201,tcd,1999
4.183,tcd,2000
4.164,tcd,2001
4.148,tcd,2002
4.136,tcd,2003
4.131,tcd,2004
4.126,tcd,2005
4.119,tcd,2006
4.111,tcd,2007
4.1,tcd,2008
5.113,chl,1980
5.115,chl,1981
5.111,chl,1982
5.106,chl,1983
5.101,chl,1984
5.098,chl,1985
5.095,chl,1986
5.094,chl,1987
5.096,chl,1988
5.101,chl,1989
5.106,chl,1990
5.109,chl,1991
5.117,chl,1992
5.126,chl,1993
5.132,chl,1994
5.137,chl,1995
5.139,chl,1996
5.139,chl,1997
5.136,chl,1998
5.128,chl,1999
5.118,chl,2000
5.104,chl,2001
5.089,chl,2002
5.074,chl,2003
5.057,chl,2004
5.041,chl,2005
5.027,chl,2006
5.014,chl,2007
5.001,chl,2008
4.311,chn,1980
4.296,chn,1981
4.282,chn,1982
4.269,chn,1983
4.259,chn,1984
4.253,chn,1985
4.25,chn,1986
4.249,chn,1987
4.25,chn,1988
4.25,chn,1989
4.248,chn,1990
4.25,chn,1991
4.256,chn,1992
4.266,chn,1993
4.281,chn,1994
4.299,chn,1995
4.317,chn,1996
4.337,chn,1997
4.358,chn,1998
4.38,chn,1999
4.402,chn,2000
4.426,chn,2001
4.452,chn,2002
4.48,chn,2003
4.506,chn,2004
4.532,chn,2005
4.558,chn,2006
4.585,chn,2007
4.611,chn,2008
4.902,col,1980
4.914,col,1981
4.924,col,1982
4.932,col,1983
4.94,col,1984
4.949,col,1985
4.958,col,1986
4.967,col,1987
4.977,col,1988
4.989,col,1989
5.001,col,1990
5.013,col,1991
5.022,col,1992
5.032,col,1993
5.043,col,1994
5.055,col,1995
5.062,col,1996
5.066,col,1997
5.066,col,1998
5.06,col,1999
5.05,col,2000
5.036,col,2001
5.016,col,2002
4.994,col,2003
4.969,col,2004
4.945,col,2005
4.92,col,2006
4.895,col,2007
4.87,col,2008
4.654,com,1980
4.638,com,1981
4.623,com,1982
4.61,com,1983
4.597,com,1984
4.584,com,1985
4.572,com,1986
4.56,com,1987
4.549,com,1988
4.538,com,1989
4.526,com,1990
4.514,com,1991
4.501,com,1992
4.49,com,1993
4.478,com,1994
4.467,com,1995
4.454,com,1996
4.442,com,1997
4.43,com,1998
4.418,com,1999
4.404,com,2000
4.391,com,2001
4.38,com,2002
4.369,com,2003
4.361,com,2004
4.352,com,2005
4.342,com,2006
4.331,com,2007
4.322,com,2008
4.572,cod,1980
4.548,cod,1981
4.523,cod,1982
4.498,cod,1983
4.476,cod,1984
4.456,cod,1985
4.437,cod,1986
4.419,cod,1987
4.4,cod,1988
4.38,cod,1989
4.36,cod,1990
4.336,cod,1991
4.309,cod,1992
4.278,cod,1993
4.247,cod,1994
4.221,cod,1995
4.196,cod,1996
4.173,cod,1997
4.152,cod,1998
4.13,cod,1999
4.109,cod,2000
4.089,cod,2001
4.071,cod,2002
4.058,cod,2003
4.045,cod,2004
4.035,cod,2005
4.025,cod,2006
4.017,cod,2007
4.011,cod,2008
4.83,cog,1980
4.827,cog,1981
4.827,cog,1982
4.826,cog,1983
4.825,cog,1984
4.82,cog,1985
4.81,cog,1986
4.797,cog,1987
4.783,cog,1988
4.767,cog,1989
4.75,cog,1990
4.734,cog,1991
4.718,cog,1992
4.702,cog,1993
4.682,cog,1994
4.665,cog,1995
4.65,cog,1996
4.633,cog,1997
4.619,cog,1998
4.597,cog,1999
4.579,cog,2000
4.563,cog,2001
4.549,cog,2002
4.539,cog,2003
4.531,cog,2004
4.525,cog,2005
4.521,cog,2006
4.516,cog,2007
4.512,cog,2008
4.98,cok,1980
4.99,cok,1981
5.004,cok,1982
5.014,cok,1983
5.026,cok,1984
5.035,cok,1985
5.044,cok,1986
5.05,cok,1987
5.055,cok,1988
5.057,cok,1989
5.06,cok,1990
5.063,cok,1991
5.069,cok,1992
5.075,cok,1993
5.083,cok,1994
5.087,cok,1995
5.093,cok,1996
5.099,cok,1997
5.107,cok,1998
5.117,cok,1999
5.133,cok,2000
5.151,cok,2001
5.17,cok,2002
5.192,cok,2003
5.212,cok,2004
5.23,cok,2005
5.248,cok,2006
5.264,cok,2007
5.28,cok,2008
4.993,cri,1980
4.982,cri,1981
4.965,cri,1982
4.947,cri,1983
4.93,cri,1984
4.916,cri,1985
4.903,cri,1986
4.89,cri,1987
4.88,cri,1988
4.869,cri,1989
4.863,cri,1990
4.859,cri,1991
4.859,cri,1992
4.861,cri,1993
4.864,cri,1994
4.865,cri,1995
4.868,cri,1996
4.87,cri,1997
4.873,cri,1998
4.878,cri,1999
4.882,cri,2000
4.883,cri,2001
4.885,cri,2002
4.886,cri,2003
4.888,cri,2004
4.889,cri,2005
4.892,cri,2006
4.897,cri,2007
4.901,cri,2008
4.773,civ,1980
4.756,civ,1981
4.739,civ,1982
4.718,civ,1983
4.695,civ,1984
4.674,civ,1985
4.652,civ,1986
4.631,civ,1987
4.608,civ,1988
4.587,civ,1989
4.563,civ,1990
4.539,civ,1991
4.516,civ,1992
4.491,civ,1993
4.469,civ,1994
4.448,civ,1995
4.43,civ,1996
4.413,civ,1997
4.398,civ,1998
4.385,civ,1999
4.371,civ,2000
4.356,civ,2001
4.34,civ,2002
4.324,civ,2003
4.307,civ,2004
4.29,civ,2005
4.272,civ,2006
4.255,civ,2007
4.239,civ,2008
5.434,hrv,1980
5.427,hrv,1981
5.419,hrv,1982
5.409,hrv,1983
5.401,hrv,1984
5.39,hrv,1985
5.381,hrv,1986
5.372,hrv,1987
5.361,hrv,1988
5.35,hrv,1989
5.338,hrv,1990
5.316,hrv,1991
5.29,hrv,1992
5.259,hrv,1993
5.23,hrv,1994
5.207,hrv,1995
5.184,hrv,1996
5.166,hrv,1997
5.147,hrv,1998
5.129,hrv,1999
5.116,hrv,2000
5.104,hrv,2001
5.094,hrv,2002
5.083,hrv,2003
5.073,hrv,2004
5.061,hrv,2005
5.048,hrv,2006
5.039,hrv,2007
5.028,hrv,2008
5.05,cub,1980
5.045,cub,1981
5.041,cub,1982
5.036,cub,1983
5.029,cub,1984
5.025,cub,1985
5.019,cub,1986
5.01,cub,1987
5.001,cub,1988
4.992,cub,1989
4.981,cub,1990
4.962,cub,1991
4.932,cub,1992
4.901,cub,1993
4.87,cub,1994
4.841,cub,1995
4.816,cub,1996
4.792,cub,1997
4.77,cub,1998
4.752,cub,1999
4.736,cub,2000
4.72,cub,2001
4.708,cub,2002
4.694,cub,2003
4.682,cub,2004
4.674,cub,2005
