cell_phones_total,geo,time
745,bmu,1989
1112,bmu,1990
1440,bmu,1991
1936,bmu,1992
3400,bmu,1993
5127,bmu,1994
6324,bmu,1995
7980,bmu,1996
10280,bmu,1997
12570,bmu,1998
12800,bmu,1999
13000,bmu,2000
13330,bmu,2001
30000,bmu,2002
40000,bmu,2003
49000,bmu,2004
52720,bmu,2005
60100,bmu,2006
69000,bmu,2007
79000,bmu,2008
85000,bmu,2009
88200,bmu,2010
0,btn,1965
0,btn,1970
0,btn,1975
0,btn,1976
0,btn,1977
0,btn,1978
0,btn,1979
0,btn,1980
0,btn,1981
0,btn,1982
0,btn,1983
0,btn,1984
0,btn,1985
0,btn,1986
0,btn,1987
0,btn,1988
0,btn,1989
0,btn,1990
0,btn,1991
0,btn,1992
0,btn,1993
0,btn,1994
0,btn,1995
0,btn,1996
0,btn,1997
0,btn,1998
0,btn,1999
0,btn,2000
0,btn,2001
0,btn,2002
2255,btn,2003
19140,btn,2004
36000,btn,2005
82080,btn,2006
149400,btn,2007
253400,btn,2008
338900,btn,2009
394300,btn,2010
484200,btn,2011
0,bol,1965
0,bol,1970
0,bol,1975
0,bol,1976
0,bol,1977
0,bol,1978
0,bol,1979
0,bol,1980
0,bol,1981
0,bol,1982
0,bol,1983
0,bol,1984
0,bol,1985
0,bol,1986
0,bol,1987
0,bol,1988
0,bol,1989
0,bol,1990
295,bol,1991
1551,bol,1992
2659,bol,1993
4056,bol,1994
7229,bol,1995
33400,bol,1996
118400,bol,1997
239300,bol,1998
420300,bol,1999
582600,bol,2000
779900,bol,2001
1023000,bol,2002
1279000,bol,2003
1801000,bol,2004
2421000,bol,2005
2876000,bol,2006
3254000,bol,2007
5039000,bol,2008
6464000,bol,2009
7179000,bol,2010
8353000,bol,2011
0,bih,1965
0,bih,1970
0,bih,1975
0,bih,1976
0,bih,1977
0,bih,1978
0,bih,1979
0,bih,1980
0,bih,1981
0,bih,1982
0,bih,1983
0,bih,1984
0,bih,1985
0,bih,1986
0,bih,1987
0,bih,1988
0,bih,1989
0,bih,1990
0,bih,1991
0,bih,1992
0,bih,1993
0,bih,1994
0,bih,1995
1500,bih,1996
9000,bih,1997
25180,bih,1998
52610,bih,1999
93390,bih,2000
444700,bih,2001
748800,bih,2002
1075000,bih,2003
1407000,bih,2004
1594000,bih,2005
1888000,bih,2006
2450000,bih,2007
3179000,bih,2008
3257000,bih,2009
3110000,bih,2010
3171000,bih,2011
0,bwa,1965
0,bwa,1970
0,bwa,1975
0,bwa,1976
0,bwa,1977
0,bwa,1978
