improved_sanitation_rural_access_percent,geo,time
81,jam,1990
81,jam,1991
81,jam,1992
81,jam,1993
81,jam,1994
81,jam,1995
81,jam,1996
81,jam,1997
82,jam,1998
82,jam,1999
82,jam,2000
82,jam,2001
82,jam,2002
82,jam,2003
82,jam,2004
82,jam,2005
82,jam,2006
82,jam,2007
82,jam,2008
82,jam,2009
82,jam,2010
100,jpn,1990
100,jpn,1991
100,jpn,1992
100,jpn,1993
100,jpn,1994
100,jpn,1995
100,jpn,1996
100,jpn,1997
100,jpn,1998
100,jpn,1999
100,jpn,2000
100,jpn,2001
100,jpn,2002
100,jpn,2003
100,jpn,2004
100,jpn,2005
100,jpn,2006
100,jpn,2007
100,jpn,2008
100,jpn,2009
100,jpn,2010
95,jor,1990
95,jor,1991
95,jor,1992
95,jor,1993
95,jor,1994
95,jor,1995
95,jor,1996
95,jor,1997
95,jor,1998
96,jor,1999
96,jor,2000
96,jor,2001
96,jor,2002
96,jor,2003
97,jor,2004
97,jor,2005
97,jor,2006
97,jor,2007
97,jor,2008
98,jor,2009
98,jor,2010
97,kaz,1990
97,kaz,1991
97,kaz,1992
97,kaz,1993
97,kaz,1994
97,kaz,1995
97,kaz,1996
97,kaz,1997
97,kaz,1998
97,kaz,1999
97,kaz,2000
97,kaz,2001
97,kaz,2002
97,kaz,2003
98,kaz,2004
98,kaz,2005
98,kaz,2006
98,kaz,2007
98,kaz,2008
98,kaz,2009
98,kaz,2010
25,ken,1990
26,ken,1991
26,ken,1992
26,ken,1993
27,ken,1994
27,ken,1995
27,ken,1996
27,ken,1997
28,ken,1998
28,ken,1999
28,ken,2000
29,ken,2001
29,ken,2002
29,ken,2003
30,ken,2004
30,ken,2005
30,ken,2006
31,ken,2007
31,ken,2008
31,ken,2009
32,ken,2010
21,kir,1990
21,kir,1991
21,kir,1992
21,kir,1993
21,kir,1994
21,kir,1995
22,kir,1996
22,kir,1997
22,kir,1998
22,kir,1999
22,kir,2000
22,kir,2001
22,kir,2002
22,kir,2003
22,kir,2004
22,kir,2005
22,kir,2006
48,prk,1992
48,prk,1993
48,prk,1994
48,prk,1995
48,prk,1996
50,prk,1997
51,prk,1998
53,prk,1999
55,prk,2000
56,prk,2001
58,prk,2002
60,prk,2003
61,prk,2004
63,prk,2005
64,prk,2006
66,prk,2007
68,prk,2008
69,prk,2009
71,prk,2010
100,kor,1990
100,kor,1991
100,kor,1992
100,kor,1993
100,kor,1994
100,kor,1995
100,kor,1996
100,kor,1997
100,kor,1998
100,kor,1999
100,kor,2000
100,kor,2001
100,kor,2002
100,kor,2003
100,kor,2004
100,kor,2005
100,kor,2006
100,kor,2007
100,kor,2008
100,kor,2009
100,kor,2010
100,kwt,1990
100,kwt,1991
100,kwt,1992
100,kwt,1993
100,kwt,1994
100,kwt,1995
100,kwt,1996
100,kwt,1997
100,kwt,1998
100,kwt,1999
100,kwt,2000
100,kwt,2001
100,kwt,2002
100,kwt,2003
100,kwt,2004
100,kwt,2005
100,kwt,2006
100,kwt,2007
100,kwt,2008
100,kwt,2009
100,kwt,2010
93,kgz,1991
93,kgz,1992
93,kgz,1993
93,kgz,1994
93,kgz,1995
93,kgz,1996
93,kgz,1997
93,kgz,1998
93,kgz,1999
93,kgz,2000
93,kgz,2001
93,kgz,2002
93,kgz,2003
93,kgz,2004
93,kgz,2005
93,kgz,2006
