geo,electricity_generation_per_person,time
swe,17320.0,1998
swe,17410.0,1999
swe,16330.0,2000
swe,18090.0,2001
swe,16390.0,2002
swe,15070.0,2003
swe,16430.0,2004
swe,17600.0,2005
swe,15890.0,2006
swe,16450.0,2007
swe,16500.0,2008
che,8163.0,1990
che,8353.0,1991
che,8452.0,1992
che,8680.0,1993
che,9340.0,1994
che,8814.0,1995
che,7922.0,1996
che,8718.0,1997
che,8723.0,1998
che,9615.0,1999
che,9268.0,2000
che,9836.0,2001
che,9054.0,2002
che,9042.0,2003
che,8797.0,2004
che,7981.0,2005
che,8523.0,2006
che,9005.0,2007
che,9116.0,2008
twn,4448.0,1990
twn,4840.0,1991
twn,5101.0,1992
twn,5517.0,1993
twn,5910.0,1994
twn,6255.0,1995
twn,6619.0,1996
twn,6944.0,1997
twn,7464.0,1998
twn,7706.0,1999
twn,8345.0,2000
twn,8452.0,2001
twn,8854.0,2002
twn,9249.0,2003
twn,9599.0,2004
twn,9931.0,2005
twn,10210.0,2006
twn,10470.0,2007
twn,10200.0,2008
tha,836.6,1990
tha,938.4,1991
tha,1054.0,1992
tha,1155.0,1993
tha,1281.0,1994
tha,1421.0,1995
tha,1531.0,1996
tha,1620.0,1997
tha,1549.0,1998
tha,1535.0,1999
tha,1551.0,2000
tha,1643.0,2001
tha,1736.0,2002
tha,1849.0,2003
tha,1973.0,2004
tha,2060.0,2005
tha,2147.0,2006
tha,2222.0,2007
tha,2253.0,2008
tur,1026.0,1990
tur,1054.0,1991
tur,1157.0,1992
tur,1246.0,1993
tur,1301.0,1994
tur,1410.0,1995
tur,1527.0,1996
tur,1618.0,1997
tur,1734.0,1998
tur,1799.0,1999
tur,1902.0,2000
tur,1846.0,2001
tur,1968.0,2002
tur,2074.0,2003
tur,2172.0,2004
tur,2325.0,2005
tur,2503.0,2006
tur,2680.0,2007
tur,2769.0,2008
tkm,3984.0,1990
tkm,3962.0,1991
tkm,3404.0,1992
tkm,3212.0,1993
tkm,2612.0,1994
tkm,2389.0,1995
tkm,2414.0,1996
tkm,2203.0,1997
tkm,2092.0,1998
tkm,2030.0,1999
tkm,2179.0,2000
tkm,2423.0,2001
tkm,2389.0,2002
tkm,2262.0,2003
