geo,male_family_workers_percent_of_male_labour_force,time
isl,0.1,2007
idn,7.0,2002
idn,8.5,2003
idn,7.5,2004
idn,7.7,2005
idn,7.7,2006
idn,7.8,2007
irn,3.4,1996
irn,7.2,2005
irn,5.4,2007
irl,1.9,1985
irl,1.5,1986
irl,2.3,1987
irl,2.2,1988
irl,2.1,1989
irl,2.0,1990
irl,1.5,1991
irl,1.3,1992
irl,1.3,1993
irl,1.2,1994
irl,1.0,1995
irl,0.8,1996
irl,0.9,1997
irl,0.9,1998
irl,1.0,1999
irl,0.9,2000
irl,0.8,2001
irl,0.7,2002
irl,0.7,2003
irl,0.6,2004
irl,0.6,2005
irl,0.3,2006
irl,0.4,2007
isr,0.2,1995
isr,0.2,1996
isr,0.2,1997
isr,0.2,1998
isr,0.2,1999
isr,0.2,2000
isr,0.2,2001
isr,0.2,2002
isr,0.2,2003
isr,0.2,2004
isr,0.2,2005
isr,0.1,2006
isr,0.1,2007
ita,2.6,1980
ita,2.7,1981
ita,2.6,1982
ita,2.7,1983
ita,2.8,1984
ita,2.8,1985
ita,2.8,1986
ita,2.7,1987
ita,2.6,1988
ita,2.4,1989
ita,2.3,1990
ita,2.4,1991
ita,2.4,1992
ita,2.8,1993
ita,2.8,1994
ita,2.8,1995
ita,2.7,1996
ita,2.8,1997
ita,3.0,1998
ita,2.6,1999
ita,2.8,2000
ita,3.0,2001
ita,3.0,2002
ita,3.0,2003
ita,1.8,2004
ita,1.2,2005
ita,1.3,2006
ita,1.3,2007
jam,2.1,1991
jam,2.2,1992
jam,1.5,1993
jam,1.7,1994
jam,2.0,1995
jam,1.6,1996
jam,1.3,1997
jam,1.3,1998
jam,1.6,1999
jam,1.3,2000
jam,1.1,2001
jam,0.7,2002
jam,0.7,2003
jam,0.5,2004
jam,0.4,2005
jam,0.5,2006
jpn,3.3,1980
jpn,3.2,1981
jpn,3.0,1982
jpn,3.0,1983
jpn,2.9,1984
jpn,2.8,1985
jpn,2.7,1986
jpn,2.6,1987
jpn,2.6,1988
jpn,2.6,1989
jpn,2.5,1990
jpn,2.3,1991
jpn,2.1,1992
jpn,2.0,1993
jpn,1.9,1994
jpn,1.8,1995
jpn,1.7,1996
jpn,1.7,1997
jpn,1.7,1998
jpn,1.7,1999
jpn,1.7,2000
jpn,1.6,2001
jpn,1.6,2002
jpn,1.6,2003
jpn,1.6,2004
jpn,1.5,2005
jpn,1.2,2006
jpn,1.1,2007
kaz,0.9,2001
kaz,0.7,2002
kaz,0.8,2003
kaz,1.0,2004
kor,7.3,1980
kor,7.4,1981
kor,6.7,1982
kor,5.8,1983
kor,4.7,1984
kor,4.4,1985
kor,4.3,1986
kor,3.7,1987
kor,3.1,1988
kor,2.8,1989
kor,2.5,1990
kor,2.2,1991
kor,2.1,1992
kor,2.0,1993
kor,1.8,1994
kor,1.6,1995
kor,1.6,1996
kor,1.5,1997
kor,1.8,1998
kor,1.9,1999
kor,2.0,2000
kor,1.9,2001
kor,1.7,2002
kor,1.3,2003
kor,1.3,2004
kor,1.3,2005
kor,1.2,2006
kor,1.2,2007
kgz,6.5,2002
kgz,9.4,2003
kgz,9.6,2004
kgz,10.1,2005
kgz,8.8,2006
lao,29.1,1995
lva,3.8,1996
lva,5.3,1997
lva,4.7,1998
lva,4.6,1999
lva,3.5,2000
lva,4.4,2001
lva,4.2,2002
lva,3.5,2003
lva,2.9,2004
lva,2.5,2005
lva,1.6,2006
lva,1.5,2007
lso,15.2,1987
ltu,2.7,1997
ltu,3.2,1998
ltu,3.5,1999
ltu,2.6,2000
ltu,2.8,2001
ltu,2.8,2002
ltu,2.8,2003
ltu,2.6,2004
ltu,2.1,2005
ltu,1.3,2006
ltu,1.1,2007
mac,0.3,1996
mac,0.2,1997
mac,0.3,1998
mac,0.3,1999
mac,0.2,2000
mac,0.2,2001
mac,0.3,2002
mac,0.5,2003
mac,0.3,2004
mac,0.2,2005
mac,0.1,2006
mac,0.1,2007
mdg,24.3,1993
mdg,29.7,2003
mdg,32.1,2005
mys,2.4,1991
mys,3.3,1995
mys,3.0,1996
