geo,oil_proven_reserves_per_person,time
sau,2102.0,1992
sau,1974.0,1993
sau,1866.0,1994
sau,1786.0,1995
sau,1729.0,1996
sau,1680.0,1997
sau,1633.0,1998
sau,1594.0,1999
sau,1548.0,2000
sau,1503.0,2001
sau,1463.0,2002
sau,1425.0,2003
sau,1398.0,2004
sau,1364.0,2005
sau,1334.0,2006
sau,1306.0,2007
sau,1279.0,2008
sdn,1.385,1981
sdn,2.679,1982
sdn,1.881,1983
sdn,1.815,1984
sdn,1.745,1985
sdn,1.693,1986
sdn,1.655,1987
sdn,1.621,1988
sdn,1.584,1989
sdn,1.537,1990
sdn,1.491,1991
sdn,1.45,1992
sdn,1.413,1993
sdn,1.374,1994
sdn,1.339,1995
sdn,1.307,1996
sdn,1.112,1997
sdn,1.08,1998
sdn,1.049,1999
sdn,2.333,2000
sdn,2.646,2001
sdn,2.574,2002
sdn,22.59,2003
sdn,22.32,2004
sdn,21.73,2005
sdn,21.88,2006
sdn,21.61,2007
sdn,21.08,2008
syr,22.57,1980
syr,28.41,1981
syr,25.37,1982
syr,20.41,1983
syr,18.85,1984
syr,20.04,1985
syr,20.35,1986
syr,20.87,1987
syr,21.11,1988
syr,22.7,1989
syr,20.62,1990
syr,31.85,1991
syr,30.96,1992
syr,29.63,1993
syr,25.93,1994
syr,24.39,1995
syr,22.75,1996
syr,21.21,1997
syr,20.27,1998
syr,19.74,1999
syr,19.45,2000
syr,18.96,2001
syr,18.13,2002
syr,18.58,2003
syr,23.92,2004
syr,22.18,2005
syr,21.67,2006
syr,17.65,2007
syr,17.27,2008
tha,0.1566,1984
tha,0.2896,1985
tha,0.2721,1986
tha,0.2681,1987
tha,0.2642,1988
tha,0.578,1989
tha,0.646,1990
tha,0.5365,1991
tha,0.4299,1992
tha,0.5183,1993
tha,0.5416,1994
tha,0.6841,1995
tha,0.5524,1996
tha,0.6712,1997
tha,0.8705,1998
tha,0.7964,1999
tha,1.136,2000
tha,1.278,2001
tha,1.503,2002
tha,1.078,2003
tha,1.129,2004
tha,0.9627,2005
tha,0.9729,2006
tha,0.9664,2007
tha,0.9601,2008
tto,71.42,1980
tto,70.69,1981
tto,77.33,1982
tto,64.99,1983
tto,67.58,1984
tto,71.57,1985
tto,65.18,1986
tto,70.93,1987
tto,69.77,1988
tto,70.3,1989
tto,68.55,1990
tto,65.5,1991
tto,62.34,1992
tto,65.05,1993
tto,65.53,1994
tto,77.3,1995
tto,85.82,1996
tto,84.64,1997
tto,89.23,1998
tto,99.5,1999
tto,103.8,2000
tto,118.0,2001
tto,139.3,2002
tto,111.2,2003
tto,101.8,2004
tto,101.9,2005
tto,101.6,2006
tto,112.4,2007
tto,108.1,2008
tun,46.16,1980
tun,51.44,1981
tun,49.66,1982
tun,50.02,1983
tun,34.46,1984
tun,32.98,1985
tun,31.69,1986
tun,30.46,1987
tun,30.93,1988
tun,30.49,1989
tun,28.89,1990
tun,6.531,1991
tun,7.482,1992
tun,5.8,1993
tun,5.22,1994
tun,5.731,1995
tun,5.093,1996
tun,4.638,1997
tun,4.231,1998
tun,4.441,1999
tun,6.064,2000
tun,7.422,2001
