armed_forces_personnel_percent_of_labor_force,geo,time
0.5411,cze,2005
0.5002,cze,2006
0.5185,cze,2007
0.5157,cze,2008
1.061,dnk,1985
1.076,dnk,1989
1.064,dnk,1990
1.029,dnk,1991
0.9593,dnk,1992
0.9321,dnk,1993
1.007,dnk,1994
1.173,dnk,1995
1.16,dnk,1996
1.151,dnk,1997
1.128,dnk,1998
0.9384,dnk,1999
0.7615,dnk,2000
0.7442,dnk,2001
0.7852,dnk,2002
0.7945,dnk,2003
0.7244,dnk,2004
0.7243,dnk,2005
1.023,dnk,2006
1.023,dnk,2007
1.012,dnk,2008
2.078,dji,1985
2.031,dji,1989
1.929,dji,1990
1.39,dji,1991
3.611,dji,1992
3.527,dji,1993
3.455,dji,1994
5.27,dji,1995
5.071,dji,1996
4.854,dji,1997
4.635,dji,1998
4.439,dji,1999
4.268,dji,2000
4.12,dji,2001
3.893,dji,2002
3.782,dji,2003
3.287,dji,2004
3.769,dji,2005
3.279,dji,2007
3.452,dji,2008
0.8761,dom,1985
0.7385,dom,1989
0.7174,dom,1990
0.6995,dom,1991
0.715,dom,1992
0.698,dom,1993
0.6805,dom,1994
1.192,dom,1995
1.164,dom,1996
1.137,dom,1997
1.111,dom,1998
1.087,dom,1999
1.061,dom,2000
1.037,dom,2001
1.015,dom,2002
0.9919,dom,2003
0.9576,dom,2004
0.9621,dom,2005
1.529,dom,2006
1.499,dom,2007
1.469,dom,2008
1.412,ecu,1985
1.362,ecu,1989
1.524,ecu,1990
1.472,ecu,1991
1.522,ecu,1992
1.467,ecu,1993
1.419,ecu,1994
1.382,ecu,1995
1.342,ecu,1996
1.305,ecu,1997
1.27,ecu,1998
1.23,ecu,1999
1.208,ecu,2000
1.212,ecu,2001
1.185,ecu,2002
1.157,ecu,2003
0.8775,ecu,2004
0.8789,ecu,2005
1.043,ecu,2006
1.038,ecu,2007
1.018,ecu,2008
2.999,egy,1985
2.738,egy,1989
2.578,egy,1990
2.514,egy,1991
2.393,egy,1992
2.336,egy,1993
2.312,egy,1994
3.2,egy,1995
3.441,egy,1996
3.399,egy,1997
3.31,egy,1998
3.222,egy,1999
3.133,egy,2000
3.453,egy,2001
3.382,egy,2002
3.322,egy,2003
3.307,egy,2004
3.237,egy,2005
3.416,egy,2006
3.361,egy,2007
3.291,egy,2008
2.413,slv,1985
2.396,slv,1989
2.864,slv,1990
3.05,slv,1991
2.431,slv,1992
2.338,slv,1993
1.384,slv,1994
1.769,slv,1995
1.874,slv,1996
1.854,slv,1997
1.617,slv,1998
1.612,slv,1999
1.268,slv,2000
1.269,slv,2001
1.269,slv,2002
1.174,slv,2003
0.648,slv,2004
0.677,slv,2005
1.161,slv,2006
1.346,slv,2007
1.321,slv,2008
1.648,gnq,1985
0.6716,gnq,1989
0.6646,gnq,1990
0.6563,gnq,1991
0.6489,gnq,1992
0.6409,gnq,1993
0.6313,gnq,1994
0.9921,gnq,1995
0.9713,gnq,1996
0.9596,gnq,1997
0.9214,gnq,1998
0.8927,gnq,1999
0.8619,gnq,2000
0.8295,gnq,2001
1.146,gnq,2002
0.6223,gnq,2003
0.4599,gnq,2004
0.4423,gnq,2005
0.4116,gnq,2007
0.3977,gnq,2008
4.824,eri,1993
4.897,eri,1994
4.864,eri,1995
4.779,eri,1996
3.881,eri,1997
3.81,eri,1998
15.37,eri,1999
14.46,eri,2000
11.76,eri,2001
11.09,eri,2002
12.23,eri,2003
11.51,eri,2004
11.0,eri,2005
10.15,eri,2007
9.82,eri,2008
0.3768,est,1992
