geo,aged_15plus_labour_force_participation_rate_percent,time
dnk,67.6,1986
dnk,67.2,1987
dnk,68.0,1988
dnk,67.8,1989
dnk,68.3,1990
dnk,68.1,1991
dnk,68.0,1992
dnk,67.3,1993
dnk,64.5,1994
dnk,65.3,1995
dnk,65.4,1996
dnk,65.8,1997
dnk,65.5,1998
dnk,66.2,1999
dnk,65.8,2000
dnk,65.5,2001
dnk,66.2,2002
dnk,65.6,2003
dnk,66.1,2004
dnk,65.5,2005
dnk,66.0,2006
dnk,65.5,2007
dji,71.3,1980
dji,71.2,1981
dji,71.1,1982
dji,71.0,1983
dji,70.9,1984
dji,70.8,1985
dji,70.7,1986
dji,70.6,1987
dji,70.6,1988
dji,70.5,1989
dji,70.5,1990
dji,70.5,1991
dji,70.5,1992
dji,70.4,1993
dji,70.4,1994
dji,70.2,1995
dji,70.1,1996
dji,69.9,1997
dji,69.6,1998
dji,69.4,1999
dji,69.1,2000
dji,68.9,2001
dji,68.6,2002
dji,68.3,2003
dji,67.9,2004
dji,67.6,2005
dji,67.4,2006
dji,67.3,2007
dom,54.1,1980
dom,54.3,1981
dom,54.4,1982
dom,54.4,1983
dom,54.4,1984
dom,54.5,1985
dom,54.5,1986
dom,54.5,1987
dom,54.5,1988
dom,54.5,1989
dom,54.5,1990
dom,54.5,1991
dom,54.4,1992
dom,54.4,1993
dom,55.3,1994
dom,56.3,1995
dom,57.3,1996
dom,58.3,1997
dom,59.3,1998
dom,60.4,1999
dom,61.3,2000
dom,62.7,2001
dom,64.0,2002
dom,64.0,2003
dom,63.9,2004
dom,64.1,2005
dom,64.8,2006
dom,64.6,2007
tls,69.1,1980
tls,69.1,1981
tls,68.9,1982
tls,68.6,1983
tls,68.2,1984
tls,68.0,1985
tls,67.7,1986
tls,67.4,1987
tls,67.2,1988
tls,67.0,1989
tls,66.8,1990
tls,66.8,1991
tls,66.8,1992
tls,66.9,1993
tls,67.1,1994
tls,67.2,1995
tls,67.4,1996
tls,67.4,1997
tls,67.5,1998
tls,67.6,1999
tls,67.8,2000
tls,68.1,2001
tls,68.5,2002
tls,68.8,2003
tls,69.0,2004
tls,69.2,2005
tls,69.3,2006
tls,70.5,2007
ecu,55.8,1980
ecu,55.8,1981
ecu,49.0,1982
ecu,49.9,1983
ecu,50.9,1984
ecu,52.0,1985
ecu,53.1,1986
ecu,54.3,1987
ecu,55.5,1988
ecu,55.5,1989
ecu,55.4,1990
ecu,56.0,1991
ecu,56.7,1992
ecu,57.4,1993
ecu,58.1,1994
ecu,58.7,1995
ecu,59.3,1996
ecu,59.8,1997
ecu,60.3,1998
ecu,60.8,1999
ecu,61.3,2000
ecu,62.3,2001
ecu,62.9,2002
ecu,63.5,2003
ecu,64.0,2004
ecu,64.6,2005
ecu,65.2,2006
ecu,65.3,2007
egy,45.4,1980
egy,46.7,1981
egy,48.1,1982
egy,49.6,1983
egy,49.5,1984
egy,49.5,1985
egy,49.6,1986
egy,49.7,1987
egy,49.8,1988
egy,49.8,1989
egy,48.9,1990
egy,47.2,1991
egy,46.8,1992
egy,47.3,1993
egy,47.4,1994
egy,47.2,1995
egy,46.7,1996
egy,46.2,1997
egy,45.7,1998
egy,46.9,1999
egy,46.5,2000
egy,45.9,2001
egy,46.5,2002
egy,46.6,2003
egy,46.8,2004
egy,46.9,2005
egy,46.9,2006
egy,47.3,2007
slv,62.3,1980
slv,62.6,1981
slv,62.8,1982
slv,63.0,1983
slv,63.3,1984
slv,63.5,1985
slv,63.7,1986
slv,64.0,1987
slv,64.3,1988
slv,64.5,1989
slv,64.8,1990
slv,63.0,1991
slv,60.9,1992
slv,61.7,1993
slv,62.5,1994
slv,61.6,1995
slv,60.3,1996
slv,60.3,1997
slv,62.3,1998
slv,62.1,1999
slv,61.8,2000
slv,61.5,2001
slv,61.1,2002
slv,62.7,2003
slv,61.7,2004
slv,61.9,2005
slv,62.1,2006
slv,62.1,2007
gnq,65.5,1980
gnq,65.5,1981
gnq,65.6,1982
gnq,65.6,1983
gnq,65.6,1984
gnq,65.6,1985
gnq,65.7,1986
gnq,65.7,1987
gnq,65.7,1988
gnq,65.8,1989
gnq,65.8,1990
gnq,65.8,1991
gnq,65.9,1992
gnq,65.9,1993
gnq,66.0,1994
gnq,66.1,1995
gnq,66.3,1996
gnq,66.6,1997
gnq,66.7,1998
gnq,67.2,1999
gnq,67.4,2000
gnq,67.5,2001
gnq,67.5,2002
gnq,67.6,2003
gnq,67.6,2004
gnq,67.6,2005
gnq,67.6,2006
gnq,66.6,2007
eri,71.6,1980
eri,71.6,1981
eri,71.6,1982
eri,71.6,1983
eri,71.6,1984
eri,71.5,1985
eri,71.4,1986
eri,71.3,1987
