geo,family_workers_percent_of_labour_force,time
egy,13.2,1995
egy,2.9,1996
egy,12.8,1997
egy,12.1,1998
egy,11.4,1999
egy,11.5,2000
egy,9.3,2001
egy,10.4,2002
egy,12.2,2003
egy,14.0,2004
egy,13.0,2005
egy,13.1,2006
slv,7.9,1993
slv,8.0,1994
slv,8.7,1995
slv,9.9,1996
slv,8.1,1997
slv,10.5,1998
slv,8.4,1999
slv,7.9,2000
slv,10.8,2001
slv,9.1,2002
slv,8.7,2003
slv,7.7,2004
slv,9.8,2005
slv,9.2,2006
gnq,39.5,1983
eri,1.6,1996
est,1.3,1989
est,1.6,1990
est,1.7,1991
est,2.1,1992
est,2.8,1993
est,2.8,1994
est,1.4,1995
est,1.5,1996
est,0.8,1997
est,0.8,1998
est,0.8,1999
est,0.7,2000
est,0.8,2001
est,0.5,2002
est,0.4,2003
est,0.5,2004
est,0.2,2005
est,0.2,2006
est,0.2,2007
eth,47.0,1999
eth,7.2,2004
eth,50.3,2005
eth,10.0,2006
fji,14.6,2005
fin,3.8,1980
fin,3.8,1981
fin,3.7,1982
fin,1.9,1983
fin,1.6,1984
fin,1.5,1985
fin,1.4,1986
fin,1.2,1987
fin,1.0,1988
fin,1.5,1989
fin,1.4,1990
fin,1.2,1991
fin,1.3,1992
fin,1.3,1993
fin,1.3,1994
fin,1.2,1995
fin,1.2,1996
fin,0.8,1997
fin,0.7,1998
fin,0.7,1999
fin,0.6,2000
fin,0.5,2001
fin,0.5,2002
fin,0.4,2003
fin,0.5,2004
fin,0.5,2005
fin,0.5,2006
fin,0.6,2007
fra,0.0,1980
fra,0.0,1981
fra,0.0,1982
fra,0.0,1983
fra,0.0,1984
fra,0.0,1985
fra,0.0,1986
fra,0.0,1987
fra,0.0,1988
fra,0.0,1989
fra,0.0,1990
fra,0.0,1991
fra,0.0,1992
fra,0.0,1993
fra,0.0,1994
fra,0.0,1995
fra,0.0,1996
fra,0.0,1997
fra,0.0,1998
fra,0.0,1999
fra,0.0,2000
fra,0.0,2001
fra,0.0,2002
fra,1.2,2003
fra,1.1,2004
fra,1.0,2005
fra,0.9,2006
fra,0.6,2007
gab,3.5,1993
geo,31.4,1998
geo,30.6,1999
geo,29.5,2000
geo,31.4,2001
geo,28.3,2002
geo,28.8,2003
geo,27.9,2004
geo,28.5,2005
geo,28.7,2006
geo,28.4,2007
deu,3.4,1980
deu,3.3,1981
deu,3.1,1982
deu,3.0,1983
deu,1.4,1991
deu,1.4,1992
deu,1.3,1993
deu,1.4,1994
deu,1.3,1995
deu,1.1,1996
deu,1.0,1997
deu,1.1,1998
deu,0.9,1999
deu,0.9,2000
deu,1.2,2001
deu,1.1,2002
deu,1.1,2003
deu,1.1,2004
deu,1.2,2005
deu,1.0,2006
deu,1.0,2007
grc,14.0,1981
grc,12.0,1982
grc,15.1,1983
grc,15.1,1984
grc,14.7,1985
grc,15.4,1986
grc,14.7,1987
grc,14.4,1988
grc,14.3,1989
grc,12.9,1990
grc,11.6,1991
grc,12.1,1992
grc,12.1,1993
grc,12.3,1994
grc,12.4,1995
grc,12.0,1996
grc,11.9,1997
grc,11.3,1998
grc,10.0,1999
grc,9.6,2000
grc,8.4,2001
grc,8.0,2002
grc,8.0,2003
grc,6.3,2004
grc,6.3,2005
grc,6.5,2006
grc,6.4,2007
grd,0.9,1996
grd,1.1,1998
gtm,22.4,2002
guy,8.0,1992
hti,11.9,1990
hnd,9.8,1990
hnd,9.9,1991
hnd,8.8,1992
hnd,8.6,1994
hnd,9.0,1995
hnd,12.8,1996
hnd,11.9,1997
hnd,11.4,1998
hnd,13.0,1999
hnd,12.0,2001
hnd,12.3,2002
hnd,8.5,2003
hnd,12.2,2004
hnd,10.9,2005
hkg,0.9,1993
hkg,0.8,1994
hkg,0.6,1995
hkg,0.6,1996
hkg,0.6,1997
hkg,0.6,1998
hkg,0.7,1999
hkg,0.6,2000
hkg,0.6,2001
hkg,0.7,2002
hkg,0.7,2003
hkg,0.7,2004
hkg,0.7,2005
hkg,0.6,2006
hkg,0.6,2007
hun,1.2,1992
hun,1.1,1993
hun,1.1,1994
hun,1.1,1995
hun,1.1,1996
hun,1.1,1997
hun,0.8,1998
hun,0.7,1999
hun,0.7,2000
hun,0.7,2001
hun,0.6,2002
hun,0.5,2003
hun,0.4,2004
hun,0.4,2005
hun,0.5,2006
hun,0.5,2007
isl,2.6,1991
isl,2.6,1992
isl,2.8,1993
isl,1.7,1994
isl,1.1,1995
isl,0.4,1996
isl,0.5,1997
isl,0.3,1998
isl,0.3,1999
isl,0.4,2000
isl,0.3,2001
isl,0.3,2002
isl,0.1,2003
isl,0.0,2004
isl,0.1,2005
isl,0.1,2006
isl,0.1,2007
idn,18.5,1997
idn,19.5,1998
idn,18.3,1999
idn,20.1,2000
idn,19.4,2001
idn,17.6,2002
idn,20.3,2003
idn,18.5,2004
idn,18.0,2005
idn,16.9,2006
idn,17.3,2007
irn,5.5,1996
irn,12.9,2005
irn,10.4,2007
irl,3.3,1980
irl,3.2,1981
irl,3.2,1982
irl,3.5,1983
irl,3.1,1984
irl,2.7,1985
irl,2.1,1986
irl,2.8,1987
irl,2.6,1988
irl,2.6,1989
irl,2.4,1990
irl,1.9,1991
irl,1.6,1992
irl,1.7,1993
irl,1.5,1994
irl,1.3,1995
irl,1.1,1996
irl,1.3,1997
irl,1.3,1998
irl,1.3,1999
irl,1.3,2000
irl,1.1,2001
irl,0.9,2002
irl,1.0,2003
irl,0.7,2004
irl,0.7,2005
irl,0.6,2006
irl,0.6,2007
isr,0.6,1995
isr,0.6,1996
isr,0.5,1997
isr,0.5,1998
isr,0.5,1999
isr,0.5,2000
isr,0.5,2001
isr,0.4,2002
isr,0.4,2003
isr,0.4,2004
isr,0.3,2005
isr,0.3,2006
isr,0.2,2007
ita,5.4,1980
ita,5.3,1981
ita,5.1,1982
ita,5.2,1983
ita,5.6,1984
ita,5.4,1985
ita,5.3,1986
ita,5.1,1987
ita,4.9,1988
ita,4.3,1989
ita,4.1,1990
ita,4.1,1991
ita,4.1,1992
ita,4.7,1993
ita,4.6,1994
ita,4.4,1995
ita,4.3,1996
ita,4.2,1997
ita,4.3,1998
ita,3.8,1999
ita,3.9,2000
ita,4.2,2001
ita,4.1,2002
ita,4.1,2003
ita,2.5,2004
ita,1.9,2005
ita,1.8,2006
ita,1.8,2007
jam,3.1,1991
jam,3.0,1992
jam,2.2,1993
jam,2.4,1994
jam,2.8,1995
jam,2.4,1996
jam,2.1,1997
jam,2.2,1998
jam,2.2,1999
jam,2.0,2000
jam,2.1,2001
jam,1.4,2002
jam,1.3,2003
jam,1.3,2004
jam,1.3,2005
jam,1.2,2006
jpn,10.9,1980
jpn,10.6,1981
jpn,10.4,1982
jpn,10.0,1983
jpn,9.8,1984
jpn,9.6,1985
jpn,9.3,1986
jpn,9.3,1987
jpn,9.0,1988
jpn,8.7,1989
jpn,8.3,1990
jpn,7.7,1991
jpn,7.1,1992
jpn,6.5,1993
jpn,6.3,1994
jpn,6.1,1995
jpn,5.9,1996
jpn,5.7,1997
jpn,5.6,1998
jpn,5.5,1999
jpn,5.3,2000
jpn,5.1,2001
jpn,4.8,2002
jpn,4.7,2003
jpn,4.6,2004
jpn,4.4,2005
jpn,3.9,2006
jpn,3.7,2007
kaz,1.1,2001
kaz,1.0,2002
kaz,1.0,2003
kaz,1.2,2004
kor,18.8,1980
kor,19.1,1981
kor,18.3,1982
kor,16.8,1983
kor,15.4,1984
kor,14.6,1985
kor,14.2,1986
kor,13.3,1987
kor,12.8,1988
kor,12.1,1989
kor,11.4,1990
kor,10.9,1991
kor,10.5,1992
kor,10.8,1993
kor,10.2,1994
kor,9.6,1995
kor,9.3,1996
kor,9.0,1997
kor,10.1,1998
kor,9.5,1999
kor,9.1,2000
kor,8.6,2001
kor,8.1,2002
kor,7.7,2003
kor,6.9,2004
kor,6.6,2005
kor,6.3,2006
kor,6.0,2007
kgz,10.6,2002
kgz,13.1,2003
kgz,14.8,2004
kgz,14.7,2005
kgz,13.2,2006
lao,33.5,1995
lva,4.4,1996
lva,6.3,1997
lva,5.4,1998
lva,5.1,1999
lva,3.9,2000
lva,4.6,2001
lva,4.3,2002
lva,3.7,2003
lva,3.4,2004
lva,2.3,2005
lva,1.5,2006
lva,1.6,2007
lso,18.8,1987
ltu,3.6,1997
ltu,3.6,1998
ltu,4.0,1999
ltu,3.4,2000
ltu,3.2,2001
ltu,3.5,2002
ltu,3.5,2003
ltu,3.5,2004
ltu,3.0,2005
ltu,2.4,2006
ltu,1.7,2007
lux,0.0,1980
lux,0.0,1981
lux,0.0,1982
lux,0.0,1983
lux,0.0,1984
lux,0.0,1985
lux,0.0,1986
lux,0.0,1987
lux,0.0,1988
lux,0.0,1989
lux,0.0,1990
lux,0.0,1991
lux,0.0,1992
lux,0.0,1993
lux,0.0,1994
lux,0.0,1995
lux,0.0,1996
lux,0.0,1997
lux,0.0,1998
lux,0.0,1999
lux,0.0,2000
lux,0.0,2001
lux,0.0,2002
lux,0.0,2003
lux,0.0,2004
mac,1.2,1996
mac,1.5,1997
mac,1.6,1998
mac,1.6,1999
mac,1.5,2000
mac,1.4,2001
mac,1.4,2002
mac,1.6,2003
mac,1.8,2004
mac,1.2,2005
mac,0.9,2006
mac,0.7,2007
mdg,31.2,1993
mdg,40.6,2003
mdg,52.3,2005
mys,4.2,1991
mys,6.6,1995
mys,6.7,1996
mys,6.0,1997
mys,6.0,1998
mys,6.2,1999
mys,5.7,2000
mys,5.1,2001
mys,4.8,2002
mys,4.8,2003
mys,5.0,2004
mys,4.5,2005
mys,5.0,2006
mys,4.9,2007
mdv,4.5,1990
mdv,6.3,1995
mdv,2.0,2000
mli,66.9,1994
mli,15.0,2004
mlt,0.0,2006
mlt,0.0,2007
mhl,1.0,1999
mus,2.0,1990
mus,2.4,1995
mus,0.9,2000
mus,2.1,2004
mus,2.1,2005
mus,2.1,2006
mus,2.2,2007
mex,33.8,1980
mex,2.5,1990
mex,13.0,1991
mex,11.5,1992
mex,13.9,1993
mex,12.0,1994
mex,11.7,1995
mex,11.4,1996
mex,11.9,1997
mex,10.3,1998
mex,9.7,1999
mex,8.3,2000
mex,8.0,2001
mex,8.4,2002
mex,7.9,2003
mex,7.8,2004
mex,7.4,2005
mex,7.0,2006
mex,6.8,2007
mng,25.3,2000
mng,24.8,2003
mne,2.2,2005
msr,0.9,1991
mar,19.2,1994
mar,31.3,1999
mar,5.5,2000
mar,5.5,2001
mar,29.9,2002
mar,29.7,2003
mar,32.0,2004
mar,31.7,2005
mar,27.4,2006
nam,22.4,1994
nam,11.7,1997
nam,3.3,2000
nam,16.9,2001
nam,4.4,2004
npl,8.8,2001
nld,0.0,1980
nld,0.0,1981
nld,0.0,1982
nld,0.0,1983
nld,0.0,1984
nld,0.0,1985
nld,0.0,1986
nld,2.2,1987
nld,2.1,1988
nld,2.0,1989
nld,2.0,1990
nld,1.6,1991
nld,1.3,1992
nld,1.4,1993
nld,1.3,1994
nld,1.3,1995
nld,1.2,1996
nld,1.1,1997
nld,0.8,1998
nld,0.8,1999
nld,0.8,2000
nld,0.7,2001
nld,0.6,2002
nld,0.6,2003
nld,0.6,2004
nld,0.6,2005
nld,0.6,2006
nld,0.6,2007
ant,1.8,1991
ant,1.2,1992
ant,1.3,1993
ant,0.8,1994
ant,0.8,1995
ant,0.8,1996
ant,0.6,1997
ant,1.0,1998
ant,0.5,2000
ant,0.3,2002
ant,0.6,2003
ant,0.5,2004
ant,0.5,2005
ant,0.6,2006
ant,0.2,2007
ncl,0.3,1996
nzl,0.0,1980
nzl,0.5,1981
nzl,1.0,1986
nzl,0.7,1987
nzl,0.6,1988
nzl,0.8,1989
nzl,1.2,1990
nzl,1.3,1991
nzl,1.2,1992
nzl,1.1,1993
nzl,1.1,1994
nzl,1.1,1995
nzl,1.2,1996
nzl,0.9,1997
nzl,0.9,1998
nzl,0.9,1999
nzl,0.8,2000
nzl,0.9,2001
nzl,0.8,2002
nzl,0.7,2003
nzl,0.6,2004
nzl,0.6,2005
nzl,0.9,2006
nzl,1.1,2007
nic,3.6,2002
nic,13.7,2003
nic,12.9,2004
nic,13.4,2005
nic,11.0,2006
nor,4.3,1980
nor,3.8,1981
nor,3.4,1982
nor,3.0,1983
nor,3.3,1984
nor,2.6,1985
nor,3.3,1986
nor,2.6,1987
nor,2.5,1988
nor,2.3,1989
nor,2.1,1990
nor,1.7,1991
nor,1.3,1992
nor,1.2,1993
nor,1.0,1994
nor,0.9,1995
nor,0.9,1996
nor,0.6,1997
nor,0.6,1998
nor,0.4,1999
nor,0.4,2000
nor,0.4,2001
nor,0.3,2002
nor,0.3,2003
nor,0.3,2004
nor,0.3,2005
nor,0.3,2006
nor,0.2,2007
pak,22.6,1995
pak,22.6,1996
pak,20.3,1997
pak,22.4,1998
