mean_years_in_school_women_percent_men_25_to_34_years,geo,time
38.0,cod,1976
38.46,cod,1977
39.62,cod,1978
41.82,cod,1979
42.11,cod,1980
43.1,cod,1981
43.33,cod,1982
44.26,cod,1983
46.03,cod,1984
46.88,cod,1985
46.97,cod,1986
47.76,cod,1987
50.0,cod,1988
50.72,cod,1989
51.43,cod,1990
52.11,cod,1991
52.78,cod,1992
54.79,cod,1993
55.41,cod,1994
56.76,cod,1995
57.33,cod,1996
57.89,cod,1997
59.74,cod,1998
60.26,cod,1999
61.54,cod,2000
62.03,cod,2001
62.5,cod,2002
63.75,cod,2003
65.43,cod,2004
66.67,cod,2005
67.07,cod,2006
68.29,cod,2007
69.51,cod,2008
69.88,cod,2009
40.0,cog,1970
40.43,cog,1971
40.82,cog,1972
43.14,cog,1973
43.4,cog,1974
45.45,cog,1975
44.83,cog,1976
46.67,cog,1977
48.39,cog,1978
48.44,cog,1979
50.0,cog,1980
51.47,cog,1981
54.29,cog,1982
55.56,cog,1983
56.76,cog,1984
57.89,cog,1985
59.74,cog,1986
60.76,cog,1987
62.5,cog,1988
64.2,cog,1989
65.85,cog,1990
67.47,cog,1991
69.05,cog,1992
69.77,cog,1993
71.26,cog,1994
72.41,cog,1995
73.86,cog,1996
75.28,cog,1997
75.56,cog,1998
76.92,cog,1999
78.02,cog,2000
79.35,cog,2001
79.57,cog,2002
81.72,cog,2003
81.91,cog,2004
82.98,cog,2005
84.21,cog,2006
85.26,cog,2007
86.32,cog,2008
87.37,cog,2009
102.0,cri,1970
104.0,cri,1971
103.8,cri,1972
101.9,cri,1973
103.6,cri,1974
103.5,cri,1975
103.4,cri,1976
103.3,cri,1977
104.9,cri,1978
103.2,cri,1979
103.1,cri,1980
104.5,cri,1981
102.9,cri,1982
104.3,cri,1983
104.2,cri,1984
104.2,cri,1985
104.1,cri,1986
104.0,cri,1987
103.9,cri,1988
103.8,cri,1989
105.1,cri,1990
103.7,cri,1991
104.9,cri,1992
104.8,cri,1993
106.0,cri,1994
104.7,cri,1995
104.6,cri,1996
105.7,cri,1997
105.6,cri,1998
106.7,cri,1999
105.4,cri,2000
105.4,cri,2001
105.3,cri,2002
106.3,cri,2003
106.2,cri,2004
106.2,cri,2005
106.1,cri,2006
107.1,cri,2007
107.0,cri,2008
106.9,cri,2009
33.33,civ,1970
31.58,civ,1971
30.0,civ,1972
33.33,civ,1973
31.82,civ,1974
34.78,civ,1975
33.33,civ,1976
32.0,civ,1977
34.62,civ,1978
37.04,civ,1979
35.71,civ,1980
37.93,civ,1981
40.0,civ,1982
37.5,civ,1983
39.39,civ,1984
40.0,civ,1985
41.67,civ,1986
43.24,civ,1987
44.74,civ,1988
46.15,civ,1989
47.5,civ,1990
47.62,civ,1991
48.84,civ,1992
50.0,civ,1993
48.89,civ,1994
50.0,civ,1995
51.06,civ,1996
52.08,civ,1997
53.06,civ,1998
54.0,civ,1999
54.9,civ,2000
55.77,civ,2001
56.6,civ,2002
58.49,civ,2003
59.26,civ,2004
58.18,civ,2005
58.93,civ,2006
60.71,civ,2007
61.4,civ,2008
63.16,civ,2009
78.69,hrv,1970
80.65,hrv,1971
81.25,hrv,1972
81.82,hrv,1973
82.35,hrv,1974
82.86,hrv,1975
84.72,hrv,1976
85.14,hrv,1977
85.53,hrv,1978
87.18,hrv,1979
88.61,hrv,1980
90.12,hrv,1981
90.36,hrv,1982
91.76,hrv,1983
93.02,hrv,1984
94.32,hrv,1985
95.51,hrv,1986
95.6,hrv,1987
95.65,hrv,1988
96.77,hrv,1989
97.87,hrv,1990
98.95,hrv,1991
100.0,hrv,1992
101.0,hrv,1993
101.0,hrv,1994
101.0,hrv,1995
102.0,hrv,1996
103.0,hrv,1997
103.9,hrv,1998
104.9,hrv,1999
104.8,hrv,2000
105.7,hrv,2001
105.7,hrv,2002
105.6,hrv,2003
107.5,hrv,2004
107.4,hrv,2005
107.3,hrv,2006
108.3,hrv,2007
109.1,hrv,2008
110.0,hrv,2009
100.0,cub,1970
100.0,cub,1971
100.0,cub,1972
100.0,cub,1973
101.4,cub,1974
100.0,cub,1975
100.0,cub,1976
100.0,cub,1977
101.3,cub,1978
100.0,cub,1979
100.0,cub,1980
101.2,cub,1981
101.2,cub,1982
101.1,cub,1983
101.1,cub,1984
101.1,cub,1985
102.2,cub,1986
102.1,cub,1987
102.1,cub,1988
103.1,cub,1989
103.1,cub,1990
103.0,cub,1991
103.0,cub,1992
104.0,cub,1993
103.9,cub,1994
104.9,cub,1995
104.8,cub,1996
104.8,cub,1997
105.7,cub,1998
105.6,cub,1999
105.6,cub,2000
104.5,cub,2001
105.4,cub,2002
106.3,cub,2003
106.2,cub,2004
106.2,cub,2005
106.1,cub,2006
107.0,cub,2007
107.0,cub,2008
106.9,cub,2009
91.46,cyp,1970
91.67,cyp,1971
93.02,cyp,1972
93.18,cyp,1973
94.44,cyp,1974
94.57,cyp,1975
95.74,cyp,1976
95.83,cyp,1977
95.92,cyp,1978
96.97,cyp,1979
98.02,cyp,1980
98.06,cyp,1981
99.04,cyp,1982
99.06,cyp,1983
100.0,cyp,1984
100.0,cyp,1985
100.9,cyp,1986
100.9,cyp,1987
100.9,cyp,1988
101.8,cyp,1989
101.7,cyp,1990
102.6,cyp,1991
102.6,cyp,1992
102.5,cyp,1993
102.5,cyp,1994
102.5,cyp,1995
102.5,cyp,1996
103.3,cyp,1997
103.2,cyp,1998
103.2,cyp,1999
104.0,cyp,2000
104.0,cyp,2001
103.9,cyp,2002
103.9,cyp,2003
104.7,cyp,2004
104.7,cyp,2005
104.6,cyp,2006
105.4,cyp,2007
104.6,cyp,2008
105.3,cyp,2009
89.52,cze,1970
89.72,cze,1971
89.91,cze,1972
90.09,cze,1973
91.07,cze,1974
91.23,cze,1975
91.38,cze,1976
92.31,cze,1977
93.22,cze,1978
94.12,cze,1979
93.39,cze,1980
94.26,cze,1981
94.31,cze,1982
95.12,cze,1983
95.16,cze,1984
96.0,cze,1985
96.03,cze,1986
96.03,cze,1987
96.06,cze,1988
96.85,cze,1989
96.88,cze,1990
97.66,cze,1991
96.9,cze,1992
97.67,cze,1993
97.69,cze,1994
98.46,cze,1995
98.47,cze,1996
98.47,cze,1997
98.48,cze,1998
99.24,cze,1999
99.25,cze,2000
100.0,cze,2001
99.25,cze,2002
100.0,cze,2003
100.7,cze,2004
100.0,cze,2005
100.7,cze,2006
100.7,cze,2007
100.7,cze,2008
101.5,cze,2009
95.7,dnk,1970
95.83,dnk,1971
95.92,dnk,1972
97.0,dnk,1973
97.06,dnk,1974
98.06,dnk,1975
98.1,dnk,1976
98.13,dnk,1977
99.07,dnk,1978
99.09,dnk,1979
100.0,dnk,1980
99.12,dnk,1981
100.0,dnk,1982
100.0,dnk,1983
100.0,dnk,1984
100.0,dnk,1985
100.8,dnk,1986
100.8,dnk,1987
101.7,dnk,1988
100.8,dnk,1989
100.8,dnk,1990
101.6,dnk,1991
101.6,dnk,1992
101.6,dnk,1993
101.6,dnk,1994
102.4,dnk,1995
101.6,dnk,1996
102.4,dnk,1997
102.4,dnk,1998
102.4,dnk,1999
102.4,dnk,2000
102.4,dnk,2001
102.3,dnk,2002
103.1,dnk,2003
103.1,dnk,2004
103.1,dnk,2005
103.1,dnk,2006
103.1,dnk,2007
103.1,dnk,2008
103.1,dnk,2009
16.0,dji,1970
19.23,dji,1971
18.52,dji,1972
17.86,dji,1973
20.69,dji,1974
20.0,dji,1975
18.75,dji,1976
21.21,dji,1977
20.59,dji,1978
22.86,dji,1979
21.62,dji,1980
21.05,dji,1981
23.08,dji,1982
22.5,dji,1983
24.39,dji,1984
25.58,dji,1985
25.0,dji,1986
26.09,dji,1987
25.53,dji,1988
26.53,dji,1989
28.0,dji,1990
28.85,dji,1991
30.19,dji,1992
29.09,dji,1993
30.36,dji,1994
31.03,dji,1995
32.2,dji,1996
32.79,dji,1997
33.87,dji,1998
34.38,dji,1999
36.92,dji,2000
37.88,dji,2001
38.24,dji,2002
39.13,dji,2003
40.0,dji,2004
41.67,dji,2005
42.47,dji,2006
44.59,dji,2007
45.33,dji,2008
46.75,dji,2009
85.71,dom,1970
88.37,dom,1971
86.67,dom,1972
87.23,dom,1973
87.5,dom,1974
88.0,dom,1975
88.46,dom,1976
88.68,dom,1977
89.09,dom,1978
91.07,dom,1979
89.66,dom,1980
91.53,dom,1981
91.8,dom,1982
90.48,dom,1983
92.19,dom,1984
92.42,dom,1985
94.03,dom,1986
95.59,dom,1987
95.71,dom,1988
97.18,dom,1989
98.61,dom,1990
98.63,dom,1991
100.0,dom,1992
100.0,dom,1993
101.3,dom,1994
101.3,dom,1995
102.5,dom,1996
103.8,dom,1997
103.7,dom,1998
104.9,dom,1999
104.8,dom,2000
106.0,dom,2001
105.9,dom,2002
108.2,dom,2003
108.1,dom,2004
108.0,dom,2005
110.3,dom,2006
110.2,dom,2007
110.1,dom,2008
111.2,dom,2009
93.48,ecu,1970
93.75,ecu,1971
94.0,ecu,1972
94.12,ecu,1973
94.34,ecu,1974
94.55,ecu,1975
96.43,ecu,1976
94.83,ecu,1977
95.0,ecu,1978
95.16,ecu,1979
95.24,ecu,1980
95.38,ecu,1981
96.97,ecu,1982
97.06,ecu,1983
95.71,ecu,1984
97.18,ecu,1985
97.26,ecu,1986
97.3,ecu,1987
97.37,ecu,1988
97.4,ecu,1989
98.72,ecu,1990
97.5,ecu,1991
98.77,ecu,1992
98.78,ecu,1993
98.81,ecu,1994
98.82,ecu,1995
100.0,ecu,1996
98.86,ecu,1997
98.88,ecu,1998
100.0,ecu,1999
100.0,ecu,2000
100.0,ecu,2001
100.0,ecu,2002
100.0,ecu,2003
101.0,ecu,2004
101.0,ecu,2005
101.0,ecu,2006
101.0,ecu,2007
102.0,ecu,2008
102.0,ecu,2009
40.48,egy,1970
40.91,egy,1971
43.48,egy,1972
44.68,egy,1973
44.9,egy,1974
47.06,egy,1975
47.17,egy,1976
49.09,egy,1977
49.12,egy,1978
51.72,egy,1979
51.67,egy,1980
53.23,egy,1981
54.69,egy,1982
54.55,egy,1983
55.88,egy,1984
57.97,egy,1985
57.75,egy,1986
58.9,egy,1987
60.81,egy,1988
61.84,egy,1989
63.64,egy,1990
63.29,egy,1991
65.0,egy,1992
65.85,egy,1993
67.47,egy,1994
69.05,egy,1995
69.77,egy,1996
71.26,egy,1997
72.73,egy,1998
74.16,egy,1999
74.73,egy,2000
76.09,egy,2001
76.34,egy,2002
77.66,egy,2003
78.95,egy,2004
81.05,egy,2005
82.29,egy,2006
83.51,egy,2007
84.69,egy,2008
85.71,egy,2009
90.62,slv,1970
88.24,slv,1971
91.43,slv,1972
91.67,slv,1973
89.47,slv,1974
92.31,slv,1975
92.5,slv,1976
90.48,slv,1977
93.02,slv,1978
91.11,slv,1979
91.3,slv,1980
91.67,slv,1981
91.84,slv,1982
90.2,slv,1983
90.38,slv,1984
92.45,slv,1985
90.91,slv,1986
91.07,slv,1987
91.23,slv,1988
91.53,slv,1989
91.67,slv,1990
91.8,slv,1991
93.55,slv,1992
92.19,slv,1993
92.31,slv,1994
93.94,slv,1995
92.65,slv,1996
92.75,slv,1997
94.29,slv,1998
94.37,slv,1999
93.15,slv,2000
94.59,slv,2001
94.67,slv,2002
96.05,slv,2003
96.1,slv,2004
96.15,slv,2005
96.25,slv,2006
97.5,slv,2007
97.53,slv,2008
100.0,slv,2009
47.37,gnq,1970
47.5,gnq,1971
47.62,gnq,1972
48.84,gnq,1973
48.89,gnq,1974
48.94,gnq,1975
50.0,gnq,1976
50.0,gnq,1977
50.0,gnq,1978
50.94,gnq,1979
50.91,gnq,1980
50.88,gnq,1981
52.54,gnq,1982
53.33,gnq,1983
53.23,gnq,1984
54.69,gnq,1985
55.38,gnq,1986
56.06,gnq,1987
58.21,gnq,1988
58.82,gnq,1989
59.42,gnq,1990
60.0,gnq,1991
61.97,gnq,1992
62.5,gnq,1993
63.01,gnq,1994
63.51,gnq,1995
65.33,gnq,1996
66.67,gnq,1997
67.11,gnq,1998
67.53,gnq,1999
69.23,gnq,2000
69.62,gnq,2001
70.89,gnq,2002
71.25,gnq,2003
71.6,gnq,2004
73.17,gnq,2005
74.39,gnq,2006
74.7,gnq,2007
75.0,gnq,2008
76.19,gnq,2009
30.0,eri,1970
27.27,eri,1971
33.33,eri,1972
33.33,eri,1973
30.77,eri,1974
35.71,eri,1975
33.33,eri,1976
37.5,eri,1977
35.29,eri,1978
38.89,eri,1979
36.84,eri,1980
40.0,eri,1981
42.86,eri,1982
39.13,eri,1983
41.67,eri,1984
44.0,eri,1985
46.15,eri,1986
44.44,eri,1987
44.83,eri,1988
46.67,eri,1989
48.39,eri,1990
48.48,eri,1991
50.0,eri,1992
50.0,eri,1993
51.35,eri,1994
53.85,eri,1995
55.0,eri,1996
54.76,eri,1997
55.81,eri,1998
57.78,eri,1999
58.7,eri,2000
58.33,eri,2001
61.22,eri,2002
60.78,eri,2003
63.46,eri,2004
62.96,eri,2005
65.45,eri,2006
64.91,eri,2007
67.24,eri,2008
67.8,eri,2009
114.1,est,1970
113.7,est,1971
113.3,est,1972
113.0,est,1973
112.7,est,1974
112.3,est,1975
112.2,est,1976
111.9,est,1977
111.6,est,1978
111.5,est,1979
111.2,est,1980
111.0,est,1981
110.9,est,1982
109.6,est,1983
109.4,est,1984
109.3,est,1985
109.2,est,1986
108.0,est,1987
107.9,est,1988
107.8,est,1989
107.8,est,1990
106.7,est,1991
107.7,est,1992
107.6,est,1993
107.5,est,1994
107.5,est,1995
106.5,est,1996
106.4,est,1997
107.3,est,1998
107.3,est,1999
107.2,est,2000
107.2,est,2001
107.1,est,2002
107.1,est,2003
107.1,est,2004
107.0,est,2005
107.9,est,2006
107.0,est,2007
107.8,est,2008
107.8,est,2009
25.0,eth,1970
22.22,eth,1971
22.22,eth,1972
22.22,eth,1973
30.0,eth,1974
30.0,eth,1975
27.27,eth,1976
27.27,eth,1977
25.0,eth,1978
25.0,eth,1979
30.77,eth,1980
28.57,eth,1981
28.57,eth,1982
33.33,eth,1983
31.25,eth,1984
31.25,eth,1985
35.29,eth,1986
33.33,eth,1987
36.84,eth,1988
35.0,eth,1989
40.0,eth,1990
38.1,eth,1991
40.91,eth,1992
39.13,eth,1993
41.67,eth,1994
40.0,eth,1995
44.0,eth,1996
46.15,eth,1997
44.44,eth,1998
46.43,eth,1999
48.28,eth,2000
48.28,eth,2001
50.0,eth,2002
51.61,eth,2003
53.12,eth,2004
53.12,eth,2005
54.55,eth,2006
55.88,eth,2007
58.82,eth,2008
60.0,eth,2009
82.86,fji,1970
84.51,fji,1971
84.93,fji,1972
85.33,fji,1973
85.53,fji,1974
85.9,fji,1975
87.34,fji,1976
87.65,fji,1977
87.8,fji,1978
89.16,fji,1979
90.48,fji,1980
90.59,fji,1981
90.8,fji,1982
90.91,fji,1983
92.13,fji,1984
92.22,fji,1985
93.41,fji,1986
94.57,fji,1987
94.62,fji,1988
95.74,fji,1989
95.79,fji,1990
96.88,fji,1991
96.91,fji,1992
97.96,fji,1993
97.98,fji,1994
98.0,fji,1995
100.0,fji,1996
100.0,fji,1997
100.0,fji,1998
101.0,fji,1999
101.0,fji,2000
101.9,fji,2001
102.9,fji,2002
102.8,fji,2003
103.8,fji,2004
103.7,fji,2005
104.7,fji,2006
104.6,fji,2007
105.6,fji,2008
106.4,fji,2009
92.41,fin,1970
93.83,fin,1971
93.98,fin,1972
94.12,fin,1973
95.4,fin,1974
96.59,fin,1975
96.67,fin,1976
97.83,fin,1977
97.87,fin,1978
97.92,fin,1979
98.97,fin,1980
98.99,fin,1981
100.0,fin,1982
100.0,fin,1983
101.0,fin,1984
101.0,fin,1985
101.9,fin,1986
102.8,fin,1987
102.8,fin,1988
103.7,fin,1989
103.6,fin,1990
103.6,fin,1991
104.5,fin,1992
104.4,fin,1993
105.3,fin,1994
105.3,fin,1995
106.1,fin,1996
106.0,fin,1997
106.0,fin,1998
106.8,fin,1999
106.8,fin,2000
106.7,fin,2001
107.6,fin,2002
107.5,fin,2003
108.3,fin,2004
108.3,fin,2005
109.1,fin,2006
109.0,fin,2007
109.0,fin,2008
109.8,fin,2009
98.57,fra,1970
98.61,fra,1971
98.65,fra,1972
100.0,fra,1973
98.7,fra,1974
98.73,fra,1975
100.0,fra,1976
100.0,fra,1977
100.0,fra,1978
100.0,fra,1979
100.0,fra,1980
101.1,fra,1981
100.0,fra,1982
101.1,fra,1983
101.1,fra,1984
101.1,fra,1985
102.1,fra,1986
102.1,fra,1987
103.1,fra,1988
103.1,fra,1989
103.0,fra,1990
103.0,fra,1991
103.0,fra,1992
103.9,fra,1993
103.9,fra,1994
103.8,fra,1995
104.8,fra,1996
104.7,fra,1997
104.7,fra,1998
105.6,fra,1999
105.5,fra,2000
105.5,fra,2001
105.4,fra,2002
105.4,fra,2003
106.2,fra,2004
106.1,fra,2005
106.1,fra,2006
106.0,fra,2007
106.9,fra,2008
106.8,fra,2009
65.79,gab,1970
65.0,gab,1971
64.29,gab,1972
63.64,gab,1973
65.22,gab,1974
65.96,gab,1975
65.31,gab,1976
66.67,gab,1977
66.04,gab,1978
68.52,gab,1979
69.64,gab,1980
70.69,gab,1981
71.67,gab,1982
72.58,gab,1983
75.0,gab,1984
75.76,gab,1985
76.47,gab,1986
78.26,gab,1987
78.87,gab,1988
80.56,gab,1989
82.19,gab,1990
82.43,gab,1991
84.0,gab,1992
85.53,gab,1993
84.62,gab,1994
86.08,gab,1995
87.5,gab,1996
87.65,gab,1997
89.02,gab,1998
89.16,gab,1999
90.48,gab,2000
90.59,gab,2001
90.7,gab,2002
91.95,gab,2003
93.1,gab,2004
93.18,gab,2005
93.26,gab,2006
94.38,gab,2007
94.44,gab,2008
94.51,gab,2009
40.0,gmb,1970
37.5,gmb,1971
35.29,gmb,1972
38.89,gmb,1973
38.89,gmb,1974
36.84,gmb,1975
40.0,gmb,1976
38.1,gmb,1977
40.91,gmb,1978
39.13,gmb,1979
37.5,gmb,1980
40.0,gmb,1981
38.46,gmb,1982
40.74,gmb,1983
37.93,gmb,1984
40.0,gmb,1985
38.71,gmb,1986
40.62,gmb,1987
41.18,gmb,1988
40.0,gmb,1989
41.67,gmb,1990
43.24,gmb,1991
42.11,gmb,1992
42.5,gmb,1993
43.9,gmb,1994
42.86,gmb,1995
44.19,gmb,1996
45.45,gmb,1997
46.67,gmb,1998
44.68,gmb,1999
45.83,gmb,2000
46.94,gmb,2001
48.0,gmb,2002
49.02,gmb,2003
48.08,gmb,2004
49.06,gmb,2005
50.0,gmb,2006
50.91,gmb,2007
51.79,gmb,2008
50.88,gmb,2009
108.3,geo,1970
108.1,geo,1971
108.0,geo,1972
107.9,geo,1973
107.7,geo,1974
107.5,geo,1975
106.3,geo,1976
107.3,geo,1977
106.1,geo,1978
106.0,geo,1979
105.9,geo,1980
104.9,geo,1981
105.8,geo,1982
104.7,geo,1983
104.7,geo,1984
104.6,geo,1985
104.6,geo,1986
104.5,geo,1987
104.5,geo,1988
103.5,geo,1989
103.5,geo,1990
103.5,geo,1991
103.4,geo,1992
103.4,geo,1993
103.4,geo,1994
103.4,geo,1995
103.4,geo,1996
103.3,geo,1997
103.3,geo,1998
102.5,geo,1999
103.3,geo,2000
103.3,geo,2001
102.4,geo,2002
103.2,geo,2003
103.2,geo,2004
102.4,geo,2005
103.2,geo,2006
102.4,geo,2007
103.1,geo,2008
102.3,geo,2009
86.05,deu,1970
86.36,deu,1971
87.78,deu,1972
88.04,deu,1973
89.25,deu,1974
89.47,deu,1975
89.69,deu,1976
90.82,deu,1977
90.0,deu,1978
90.2,deu,1979
91.26,deu,1980
92.31,deu,1981
91.51,deu,1982
92.52,deu,1983
92.59,deu,1984
93.58,deu,1985
93.64,deu,1986
93.69,deu,1987
94.64,deu,1988
94.69,deu,1989
95.58,deu,1990
95.61,deu,1991
95.65,deu,1992
96.55,deu,1993
97.41,deu,1994
97.44,deu,1995
97.46,deu,1996
98.31,deu,1997
98.32,deu,1998
99.16,deu,1999
99.17,deu,2000
99.17,deu,2001
100.0,deu,2002
100.0,deu,2003
100.0,deu,2004
100.8,deu,2005
100.8,deu,2006
101.6,deu,2007
102.4,deu,2008
102.4,deu,2009
56.1,gha,1970
55.81,gha,1971
57.78,gha,1972
57.45,gha,1973
58.33,gha,1974
58.0,gha,1975
59.62,gha,1976
59.26,gha,1977
60.0,gha,1978
61.4,gha,1979
62.07,gha,1980
63.33,gha,1981
63.93,gha,1982
65.08,gha,1983
65.62,gha,1984
67.69,gha,1985
67.16,gha,1986
67.65,gha,1987
68.12,gha,1988
68.57,gha,1989
69.01,gha,1990
70.83,gha,1991
71.23,gha,1992
71.62,gha,1993
72.97,gha,1994
73.33,gha,1995
73.68,gha,1996
74.03,gha,1997
74.36,gha,1998
75.95,gha,1999
77.22,gha,2000
77.5,gha,2001
77.78,gha,2002
79.01,gha,2003
79.27,gha,2004
78.31,gha,2005
79.52,gha,2006
79.76,gha,2007
80.95,gha,2008
82.14,gha,2009
89.71,grc,1970
90.0,grc,1971
91.67,grc,1972
91.89,grc,1973
92.11,grc,1974
92.31,grc,1975
92.5,grc,1976
95.06,grc,1977
95.18,grc,1978
95.29,grc,1979
95.4,grc,1980
95.51,grc,1981
95.6,grc,1982
96.77,grc,1983
96.84,grc,1984
97.92,grc,1985
97.96,grc,1986
98.99,grc,1987
99.01,grc,1988
99.02,grc,1989
99.04,grc,1990
100.0,grc,1991
100.0,grc,1992
100.0,grc,1993
100.0,grc,1994
100.9,grc,1995
101.8,grc,1996
101.8,grc,1997
101.8,grc,1998
101.7,grc,1999
101.7,grc,2000
102.6,grc,2001
102.5,grc,2002
102.5,grc,2003
103.3,grc,2004
103.3,grc,2005
104.1,grc,2006
104.1,grc,2007
104.1,grc,2008
104.0,grc,2009
63.64,gtm,1970
65.22,gtm,1971
66.67,gtm,1972
68.0,gtm,1973
69.23,gtm,1974
66.67,gtm,1975
67.86,gtm,1976
66.67,gtm,1977
67.74,gtm,1978
68.75,gtm,1979
69.7,gtm,1980
70.59,gtm,1981
71.43,gtm,1982
72.22,gtm,1983
71.05,gtm,1984
71.79,gtm,1985
72.5,gtm,1986
73.17,gtm,1987
72.09,gtm,1988
72.73,gtm,1989
73.33,gtm,1990
73.91,gtm,1991
74.47,gtm,1992
75.0,gtm,1993
75.51,gtm,1994
76.0,gtm,1995
76.47,gtm,1996
76.92,gtm,1997
77.36,gtm,1998
79.63,gtm,1999
80.0,gtm,2000
80.36,gtm,2001
80.7,gtm,2002
81.03,gtm,2003
81.36,gtm,2004
83.33,gtm,2005
83.61,gtm,2006
85.25,gtm,2007
85.48,gtm,2008
85.71,gtm,2009
27.27,gin,1970
25.0,gin,1971
25.0,gin,1972
23.08,gin,1973
28.57,gin,1974
26.67,gin,1975
26.67,gin,1976
25.0,gin,1977
29.41,gin,1978
27.78,gin,1979
26.32,gin,1980
30.0,gin,1981
28.57,gin,1982
27.27,gin,1983
30.43,gin,1984
29.17,gin,1985
32.0,gin,1986
30.77,gin,1987
29.63,gin,1988
33.33,gin,1989
32.14,gin,1990
31.03,gin,1991
33.33,gin,1992
32.26,gin,1993
35.48,gin,1994
34.38,gin,1995
33.33,gin,1996
35.29,gin,1997
35.29,gin,1998
37.14,gin,1999
36.11,gin,2000
35.14,gin,2001
37.84,gin,2002
36.84,gin,2003
36.84,gin,2004
38.46,gin,2005
38.46,gin,2006
41.03,gin,2007
40.0,gin,2008
40.0,gin,2009
30.0,gnb,1970
27.27,gnb,1971
27.27,gnb,1972
25.0,gnb,1973
23.08,gnb,1974
23.08,gnb,1975
28.57,gnb,1976
26.67,gnb,1977
26.67,gnb,1978
25.0,gnb,1979
29.41,gnb,1980
27.78,gnb,1981
27.78,gnb,1982
30.0,gnb,1983
28.57,gnb,1984
27.27,gnb,1985
31.82,gnb,1986
30.43,gnb,1987
33.33,gnb,1988
32.0,gnb,1989
34.62,gnb,1990
33.33,gnb,1991
35.71,gnb,1992
34.48,gnb,1993
36.67,gnb,1994
35.48,gnb,1995
37.5,gnb,1996
40.62,gnb,1997
39.39,gnb,1998
41.18,gnb,1999
42.86,gnb,2000
41.67,gnb,2001
43.24,gnb,2002
44.74,gnb,2003
47.37,gnb,2004
46.15,gnb,2005
47.5,gnb,2006
50.0,gnb,2007
51.22,gnb,2008
50.0,gnb,2009
72.73,guy,1970
71.93,guy,1971
72.88,guy,1972
72.13,guy,1973
73.02,guy,1974
72.31,guy,1975
74.24,guy,1976
75.0,guy,1977
74.29,guy,1978
76.06,guy,1979
76.71,guy,1980
78.38,guy,1981
80.0,guy,1982
80.52,guy,1983
83.33,guy,1984
84.81,guy,1985
87.5,guy,1986
88.89,guy,1987
91.46,guy,1988
92.77,guy,1989
94.05,guy,1990
95.35,guy,1991
96.55,guy,1992
97.73,guy,1993
98.88,guy,1994
100.0,guy,1995
101.1,guy,1996
102.2,guy,1997
103.2,guy,1998
103.2,guy,1999
104.2,guy,2000
105.2,guy,2001
105.2,guy,2002
107.2,guy,2003
107.1,guy,2004
107.1,guy,2005
108.0,guy,2006
107.9,guy,2007
107.8,guy,2008
108.8,guy,2009
53.33,hti,1970
56.25,hti,1971
52.94,hti,1972
55.56,hti,1973
57.89,hti,1974
60.0,hti,1975
57.14,hti,1976
59.09,hti,1977
58.33,hti,1978
60.0,hti,1979
61.54,hti,1980
62.96,hti,1981
62.07,hti,1982
63.33,hti,1983
64.52,hti,1984
63.64,hti,1985
64.71,hti,1986
63.89,hti,1987
65.79,hti,1988
66.67,hti,1989
68.29,hti,1990
69.05,hti,1991
68.18,hti,1992
69.57,hti,1993
72.34,hti,1994
71.43,hti,1995
72.55,hti,1996
75.0,hti,1997
74.07,hti,1998
75.0,hti,1999
77.19,hti,2000
77.97,hti,2001
78.69,hti,2002
77.78,hti,2003
79.69,hti,2004
80.3,hti,2005
82.09,hti,2006
82.61,hti,2007
84.29,hti,2008
84.72,hti,2009
96.15,hnd,1970
96.3,hnd,1971
100.0,hnd,1972
100.0,hnd,1973
96.77,hnd,1974
96.88,hnd,1975
100.0,hnd,1976
100.0,hnd,1977
97.22,hnd,1978
100.0,hnd,1979
100.0,hnd,1980
97.5,hnd,1981
100.0,hnd,1982
100.0,hnd,1983
100.0,hnd,1984
100.0,hnd,1985
102.2,hnd,1986
102.1,hnd,1987
102.1,hnd,1988
102.0,hnd,1989
102.0,hnd,1990
101.9,hnd,1991
103.8,hnd,1992
103.7,hnd,1993
103.6,hnd,1994
105.4,hnd,1995
103.4,hnd,1996
103.4,hnd,1997
105.0,hnd,1998
104.9,hnd,1999
106.5,hnd,2000
106.3,hnd,2001
106.2,hnd,2002
107.7,hnd,2003
107.6,hnd,2004
109.0,hnd,2005
108.8,hnd,2006
108.7,hnd,2007
108.6,hnd,2008
111.4,hnd,2009
100.0,hun,1970
98.82,hun,1971
100.0,hun,1972
98.86,hun,1973
100.0,hun,1974
100.0,hun,1975
100.0,hun,1976
100.0,hun,1977
100.0,hun,1978
100.0,hun,1979
100.0,hun,1980
101.0,hun,1981
101.0,hun,1982
100.0,hun,1983
100.0,hun,1984
101.0,hun,1985
101.0,hun,1986
101.0,hun,1987
100.9,hun,1988
100.9,hun,1989
101.9,hun,1990
101.9,hun,1991
101.8,hun,1992
101.8,hun,1993
101.8,hun,1994
101.8,hun,1995
102.7,hun,1996
102.7,hun,1997
102.6,hun,1998
102.6,hun,1999
102.6,hun,2000
102.6,hun,2001
102.6,hun,2002
103.4,hun,2003
103.4,hun,2004
104.2,hun,2005
103.4,hun,2006
103.3,hun,2007
104.2,hun,2008
104.1,hun,2009
35.48,ind,1970
34.38,ind,1971
35.29,ind,1972
37.14,ind,1973
37.84,ind,1974
36.84,ind,1975
38.46,ind,1976
39.02,ind,1977
40.48,ind,1978
40.91,ind,1979
42.22,ind,1980
