geo,aged_25_54_labour_force_participation_rate_percent,time
caf,84.9,1993
caf,85.1,1994
caf,85.3,1995
caf,85.1,1996
caf,85.2,1997
caf,85.3,1998
caf,85.4,1999
caf,85.4,2000
caf,85.4,2001
caf,85.3,2002
caf,84.9,2003
caf,85.0,2004
caf,85.0,2005
caf,85.2,2006
caf,85.0,2007
tcd,62.2,1980
tcd,63.6,1981
tcd,65.0,1982
tcd,66.6,1983
tcd,68.2,1984
tcd,69.8,1985
tcd,71.4,1986
tcd,73.1,1987
tcd,74.7,1988
tcd,76.3,1989
tcd,77.9,1990
tcd,79.4,1991
tcd,80.7,1992
tcd,82.0,1993
tcd,82.7,1994
tcd,82.3,1995
tcd,82.3,1996
tcd,82.5,1997
tcd,82.7,1998
tcd,82.4,1999
tcd,82.1,2000
tcd,82.7,2001
tcd,83.1,2002
tcd,85.2,2003
tcd,86.8,2004
tcd,87.2,2005
tcd,87.0,2006
tcd,87.0,2007
chl,64.5,1980
chl,64.8,1981
chl,64.6,1982
chl,65.8,1983
chl,66.1,1984
chl,66.4,1985
chl,66.5,1986
chl,67.2,1987
chl,67.9,1988
chl,68.6,1989
chl,68.4,1990
chl,68.5,1991
chl,69.4,1992
chl,70.1,1993
chl,70.2,1994
chl,69.4,1995
chl,70.1,1996
chl,70.7,1997
chl,71.4,1998
chl,71.9,1999
chl,71.1,2000
chl,71.3,2001
chl,71.2,2002
chl,71.8,2003
chl,73.6,2004
chl,73.1,2005
chl,74.2,2006
chl,73.6,2007
chn,89.8,1980
chn,89.9,1981
chn,90.0,1982
chn,90.3,1983
chn,90.6,1984
chn,90.9,1985
chn,91.2,1986
chn,91.5,1987
chn,91.8,1988
chn,92.1,1989
chn,92.4,1990
chn,92.5,1991
chn,92.6,1992
chn,92.8,1993
chn,92.9,1994
chn,93.0,1995
chn,93.0,1996
chn,93.1,1997
chn,93.1,1998
chn,93.0,1999
chn,93.0,2000
chn,93.0,2001
chn,93.0,2002
chn,92.9,2003
chn,92.9,2004
chn,92.9,2005
chn,93.0,2006
chn,93.1,2007
col,69.5,1980
col,70.6,1981
col,71.8,1982
col,72.8,1983
col,73.7,1984
col,74.5,1985
col,75.1,1986
col,76.1,1987
col,76.3,1988
col,76.5,1989
col,75.8,1990
col,78.1,1991
col,79.5,1992
col,80.0,1993
col,79.0,1994
col,79.2,1995
col,79.3,1996
col,80.9,1997
col,81.5,1998
col,84.2,1999
col,84.8,2000
col,85.4,2001
col,85.9,2002
col,86.5,2003
col,87.2,2004
col,87.9,2005
col,88.7,2006
col,89.0,2007
com,84.4,1980
com,84.5,1981
com,84.6,1982
com,84.7,1983
com,84.8,1984
com,84.8,1985
com,84.8,1986
com,84.8,1987
com,84.9,1988
com,84.7,1989
com,84.9,1990
com,84.7,1991
com,85.0,1992
com,85.1,1993
com,85.0,1994
com,85.2,1995
com,85.2,1996
com,85.4,1997
com,85.5,1998
com,85.7,1999
com,85.8,2000
com,85.9,2001
com,86.0,2002
com,86.1,2003
com,86.1,2004
com,86.2,2005
com,86.2,2006
com,86.6,2007
cog,78.3,1980
cog,78.8,1981
cog,79.8,1982
cog,80.0,1983
cog,80.1,1984
cog,79.9,1985
cog,79.0,1986
cog,78.9,1987
cog,79.8,1988
cog,79.9,1989
cog,79.9,1990
cog,79.9,1991
cog,79.8,1992
cog,79.7,1993
cog,79.3,1994
cog,81.4,1995
cog,81.6,1996
cog,80.4,1997
cog,80.2,1998
cog,80.4,1999
cog,80.6,2000
cog,80.7,2001
cog,80.7,2002
cog,80.4,2003
cog,80.5,2004
cog,80.7,2005
cog,80.9,2006
cog,80.6,2007
cod,81.2,1980
cod,81.2,1981
cod,81.0,1982
cod,80.9,1983
cod,81.1,1984
cod,81.1,1985
cod,81.1,1986
cod,81.2,1987
cod,81.1,1988
cod,80.8,1989
cod,80.5,1990
cod,79.9,1991
cod,78.8,1992
cod,78.2,1993
cod,78.1,1994
cod,78.1,1995
cod,77.5,1996
cod,77.1,1997
cod,76.9,1998
cod,76.7,1999
cod,76.3,2000
cod,76.0,2001
cod,75.9,2002
cod,75.9,2003
cod,76.2,2004
cod,76.4,2005
cod,76.5,2006
cod,76.1,2007
cri,67.6,1980
cri,67.9,1981
cri,67.4,1982
cri,66.9,1983
cri,67.4,1984
cri,67.3,1985
cri,67.8,1986
cri,68.4,1987
cri,69.1,1988
cri,69.7,1989
cri,70.0,1990
cri,69.6,1991
cri,70.7,1992
cri,71.6,1993
cri,71.8,1994
cri,72.8,1995
cri,72.3,1996
cri,72.9,1997
cri,73.7,1998
cri,75.2,1999
cri,74.3,2000
cri,74.6,2001
cri,74.6,2002
cri,74.7,2003
cri,74.1,2004
cri,74.8,2005
cri,75.7,2006
cri,75.6,2007
civ,76.3,1980
civ,76.3,1981
civ,76.1,1982
civ,75.7,1983
civ,75.2,1984
civ,75.3,1985
civ,75.1,1986
civ,74.9,1987
civ,74.8,1988
civ,75.0,1989
civ,74.7,1990
civ,74.4,1991
civ,74.2,1992
civ,74.0,1993
civ,73.7,1994
civ,73.9,1995
civ,74.1,1996
civ,74.3,1997
civ,74.5,1998
civ,74.5,1999
civ,74.3,2000
civ,74.3,2001
civ,74.1,2002
civ,73.9,2003
civ,74.0,2004
civ,73.9,2005
civ,73.9,2006
civ,73.8,2007
hrv,87.0,1980
hrv,87.1,1981
hrv,87.1,1982
hrv,87.2,1983
hrv,87.2,1984
hrv,87.3,1985
hrv,87.4,1986
hrv,87.5,1987
hrv,87.6,1988
hrv,87.7,1989
hrv,87.7,1990
hrv,82.8,1991
hrv,82.8,1992
hrv,82.9,1993
hrv,82.9,1994
hrv,82.8,1995
hrv,82.7,1996
hrv,82.5,1997
hrv,82.2,1998
hrv,82.0,1999
hrv,81.7,2000
hrv,81.5,2001
hrv,81.4,2002
hrv,81.3,2003
hrv,81.2,2004
hrv,81.1,2005
hrv,81.0,2006
hrv,81.1,2007
cub,71.8,1980
cub,71.5,1981
cub,70.7,1982
cub,70.3,1983
cub,70.5,1984
cub,70.3,1985
cub,70.6,1986
cub,71.0,1987
cub,71.5,1988
cub,72.0,1989
cub,72.5,1990
cub,73.0,1991
cub,73.3,1992
cub,73.8,1993
cub,74.3,1994
cub,75.0,1995
cub,75.7,1996
cub,76.5,1997
cub,77.4,1998
cub,78.1,1999
cub,78.6,2000
cub,78.8,2001
cub,79.0,2002
cub,79.2,2003
cub,79.1,2004
cub,79.4,2005
cub,80.0,2006
cub,80.2,2007
cyp,69.5,1980
cyp,70.2,1981
cyp,71.6,1982
cyp,72.7,1983
cyp,74.1,1984
cyp,75.3,1985
cyp,76.3,1986
cyp,76.6,1987
cyp,78.0,1988
cyp,79.5,1989
cyp,79.9,1990
cyp,79.5,1991
cyp,79.3,1992
cyp,80.0,1993
cyp,80.5,1994
cyp,80.7,1995
cyp,81.0,1996
cyp,81.3,1997
cyp,81.5,1998
cyp,81.6,1999
cyp,81.7,2000
cyp,83.5,2001
cyp,84.6,2002
cyp,85.6,2003
cyp,85.9,2004
cyp,85.4,2005
cyp,85.8,2006
cyp,86.5,2007
cze,92.4,1980
cze,92.5,1981
cze,92.7,1982
cze,92.8,1983
cze,93.0,1984
cze,93.1,1985
cze,93.3,1986
cze,93.4,1987
cze,93.5,1988
cze,93.6,1989
cze,93.6,1990
cze,89.4,1991
cze,89.5,1992
cze,89.4,1993
cze,89.3,1994
cze,89.2,1995
cze,88.6,1996
cze,88.6,1997
cze,88.5,1998
cze,88.6,1999
cze,88.4,2000
cze,88.5,2001
cze,88.3,2002
cze,87.8,2003
cze,87.8,2004
cze,88.3,2005
cze,88.2,2006
cze,89.2,2007
dnk,88.7,1980
dnk,88.7,1981
dnk,88.9,1982
dnk,89.2,1983
