geo,income_share_of_poorest_20percent,time
mex,3.97,1994
mex,4.3,1996
mex,4.0,1998
mex,3.86,2000
mex,4.25,2002
mex,4.48,2004
mex,4.64,2006
mda,9.96,1988
mda,6.85,1992
mda,6.46,1997
mda,6.78,1999
mda,6.82,2002
mda,7.3,2004
mng,7.37,1995
mng,7.72,1998
mng,7.45,2002
mng,7.22,2005
mar,6.74,1985
mar,6.56,1991
mar,6.42,1999
mar,6.33,2001
mar,6.52,2007
moz,5.63,1997
moz,5.43,2003
nam,1.48,1993
npl,7.58,1996
npl,6.1,2004
nld,7.6,1999
nzl,6.449,1997
nic,2.6,1993
nic,3.24,1998
nic,4.21,2001
nic,3.79,2005
ner,7.45,1992
ner,6.03,1994
ner,5.85,2005
nga,6.02,1986
nga,4.0,1993
nga,5.07,1996
nga,5.13,2004
nor,9.591,2000
pak,8.35,1987
pak,8.08,1991
pak,9.54,1993
pak,9.97,1997
pak,8.73,1999
pak,9.39,2002
pak,9.07,2005
pan,3.89,1979
pan,2.08,1991
pan,2.3,1995
pan,2.34,1996
pan,3.43,1997
pan,2.38,2000
pan,2.57,2002
pan,2.75,2004
pan,2.51,2006
png,4.52,1996
pry,5.81,1990
pry,2.25,1995
pry,1.97,1998
pry,2.25,1999
pry,2.22,2002
pry,3.02,2005
pry,3.4,2007
per,4.84,1986
per,5.63,1990
per,4.88,1994
per,4.38,1996
per,3.13,2002
per,3.73,2005
per,3.88,2006
phl,6.43,1985
phl,6.51,1988
phl,5.88,1991
phl,5.95,1994
phl,5.36,1997
phl,5.37,2000
phl,5.44,2003
phl,5.6,2006
pol,9.84,1985
pol,9.71,1987
pol,9.24,1989
pol,6.53,1993
pol,8.23,1996
pol,7.86,1999
pol,7.56,2002
pol,7.34,2005
prt,5.755,1997
rou,9.98,1989
rou,9.26,1992
rou,8.85,1994
rou,8.69,1998
rou,8.18,2000
rou,7.9,2002
rou,8.22,2005
rus,10.01,1988
rus,4.36,1993
rus,4.41,1996
rus,6.17,1999
rus,6.76,2002
rus,6.41,2005
rwa,9.7,1985
rwa,5.26,2000
lca,5.23,1995
sen,3.5,1991
sen,6.54,1995
sen,6.57,2001
sen,6.22,2005
sle,1.12,1990
sle,6.09,2003
sgp,5.043,1998
svk,11.89,1988
svk,11.58,1992
svk,8.81,1996
svn,10.49,1987
svn,9.28,1993
svn,8.96,1998
svn,8.65,2002
svn,8.22,2004
zaf,2.95,1993
zaf,3.57,1995
zaf,3.06,2000
esp,6.97,2000
lka,8.29,1985
lka,8.72,1991
lka,8.01,1996
lka,6.75,2002
sur,2.98,1999
swz,2.74,1995
swz,4.45,2001
swe,9.119,2000
che,7.555,2000
tjk,8.03,1999
tjk,7.92,2003
tjk,7.71,2004
tza,7.43,1992
tza,7.33,2000
tha,5.42,1981
tha,6.12,1988
tha,5.62,1992
tha,5.9,1996
tha,5.99,1999
tha,6.22,2002
tha,6.07,2004
tls,6.7,2001
tgo,7.62,2006
tto,4.9,1988
tto,5.51,1992
tun,5.53,1985
tun,5.86,1990
tun,5.6,1995
tun,5.93,2000
tur,5.91,1987
tur,5.8,1994
tur,5.64,2002
tur,5.18,2005
tkm,10.49,1988
tkm,6.89,1993
tkm,6.04,1998
uga,4.94,1989
uga,6.04,1992
uga,7.32,1996
uga,5.99,1999
uga,5.78,2002
uga,6.08,2005
ukr,10.31,1988
