geo,male_self_employed_percent_of_male_labour_force,time
gbr,17.9,1990
gbr,17.6,1991
gbr,17.0,1992
gbr,17.0,1993
gbr,17.5,1994
gbr,17.7,1995
gbr,17.0,1996
gbr,16.8,1997
gbr,16.1,1998
gbr,15.7,1999
gbr,15.0,2000
gbr,15.1,2001
gbr,15.4,2002
gbr,16.9,2003
gbr,17.3,2004
gbr,17.0,2005
gbr,17.1,2006
gbr,17.4,2007
usa,11.1,1980
usa,11.1,1981
usa,11.4,1982
usa,11.4,1983
usa,11.1,1984
usa,10.8,1985
usa,10.7,1986
usa,10.7,1987
usa,10.6,1988
usa,10.5,1989
usa,10.4,1990
usa,10.7,1991
usa,10.5,1992
usa,10.7,1993
usa,10.2,1994
usa,9.8,1995
usa,9.7,1996
usa,9.5,1997
usa,9.2,1998
usa,8.9,1999
usa,8.5,2000
usa,8.4,2001
usa,8.3,2002
usa,8.8,2003
usa,8.8,2004
usa,8.7,2005
usa,8.6,2006
usa,8.4,2007
ury,29.5,1998
ury,29.7,1999
ury,29.6,2000
ury,31.6,2001
ury,33.5,2002
ury,33.6,2003
ury,31.7,2005
ury,31.3,2006
ury,31.3,2007
ven,40.7,1994
ven,39.5,1995
ven,39.2,1996
ven,36.4,1997
ven,37.9,1998
ven,38.7,1999
ven,40.6,2000
ven,37.9,2001
ven,43.1,2002
ven,44.5,2003
ven,41.4,2006
ven,41.0,2007
vnm,49.9,1996
vnm,54.9,1997
vnm,53.0,1998
vnm,55.6,1999
vnm,56.0,2000
vnm,52.6,2001
vnm,51.9,2002
vnm,51.6,2003
vnm,51.4,2004
pse,35.2,1996
pse,30.5,1997
pse,28.7,1998
pse,25.8,1999
pse,26.7,2000
pse,32.3,2001
pse,34.5,2002
pse,35.3,2003
pse,35.0,2004
pse,34.0,2005
pse,33.2,2006
yem,49.0,1999
zmb,35.3,1980
zmb,30.6,1990
zmb,44.5,1991
zmb,55.4,1996
zmb,57.9,1998
zmb,49.0,2000
zwe,30.6,1994
zwe,30.7,1997
zwe,38.6,2002
