alternative_gdp_per_capita_ppp_pwt_8_0,geo,time
581.4,bdi,1988
610.1,bdi,1989
570.8,bdi,1990
544.9,bdi,1991
496.0,bdi,1992
474.8,bdi,1993
458.3,bdi,1994
418.6,bdi,1995
408.6,bdi,1996
506.1,bdi,1997
478.3,bdi,1998
466.5,bdi,1999
447.6,bdi,2000
452.3,bdi,2001
448.5,bdi,2002
455.7,bdi,2003
473.4,bdi,2004
435.9,bdi,2005
433.8,bdi,2006
430.3,bdi,2007
534.9,bdi,2008
462.8,bdi,2009
471.2,bdi,2010
490.1,bdi,2011
1299.0,khm,1970
1217.0,khm,1971
1138.0,khm,1972
917.3,khm,1973
869.8,khm,1974
865.4,khm,1975
881.1,khm,1976
770.8,khm,1977
792.1,khm,1978
703.3,khm,1979
662.7,khm,1980
648.8,khm,1981
624.8,khm,1982
623.8,khm,1983
623.6,khm,1984
620.8,khm,1985
624.5,khm,1986
725.7,khm,1987
783.5,khm,1988
808.7,khm,1989
785.1,khm,1990
832.2,khm,1991
864.2,khm,1992
791.7,khm,1993
833.4,khm,1994
887.6,khm,1995
837.4,khm,1996
877.6,khm,1997
877.6,khm,1998
972.7,khm,1999
1023.0,khm,2000
1090.0,khm,2001
1186.0,khm,2002
1265.0,khm,2003
1362.0,khm,2004
1513.0,khm,2005
1657.0,khm,2006
1825.0,khm,2007
2051.0,khm,2008
2107.0,khm,2009
2183.0,khm,2010
2348.0,khm,2011
1117.0,cmr,1960
1143.0,cmr,1961
1115.0,cmr,1962
1163.0,cmr,1963
