geo,natural_gas_production_total,time
tto,7776000,1998
tto,10560000,1999
tto,12640000,2000
tto,13670000,2001
tto,15570000,2002
tto,22270000,2003
tto,24570000,2004
tto,27250000,2005
tto,32800000,2006
tto,35100000,2007
tto,35370000,2008
tkm,67760000,1985
tkm,68990000,1986
tkm,71760000,1987
tkm,71920000,1988
tkm,73220000,1989
tkm,71510000,1990
tkm,68660000,1991
tkm,48950000,1992
tkm,53190000,1993
tkm,29080000,1994
tkm,26310000,1995
tkm,28670000,1996
tkm,14090000,1997
tkm,10830000,1998
tkm,18570000,1999
tkm,38280000,2000
tkm,41780000,2001
tkm,43570000,2002
tkm,48120000,2003
tkm,47480000,2004
tkm,51310000,2005
tkm,54330000,2006
tkm,58890000,2007
tkm,59460000,2008
ukr,34920000,1985
ukr,32330000,1986
ukr,29000000,1987
ukr,26390000,1988
ukr,25090000,1989
ukr,22890000,1990
ukr,19870000,1991
ukr,17100000,1992
ukr,15640000,1993
ukr,14820000,1994
ukr,14820000,1995
ukr,14990000,1996
ukr,15210000,1997
ukr,14640000,1998
ukr,14750000,1999
ukr,14570000,2000
ukr,14910000,2001
ukr,15210000,2002
ukr,15760000,2003
ukr,16640000,2004
ukr,16920000,2005
ukr,17150000,2006
ukr,17230000,2007
ukr,16870000,2008
are,750000,1970
are,1324000,1971
are,1344000,1972
are,1562000,1973
are,1564000,1974
are,1494000,1975
are,1746000,1976
are,3510000,1977
are,5139000,1978
are,5499000,1979
are,6768000,1980
are,7974000,1981
are,8550000,1982
are,7524000,1983
are,9900000,1984
are,11910000,1985
are,13700000,1986
are,15200000,1987
are,15620000,1988
are,18340000,1989
are,18100000,1990
are,21430000,1991
are,19950000,1992
are,20690000,1993
are,24170000,1994
are,28190000,1995
are,30420000,1996
are,32680000,1997
are,33360000,1998
are,34640000,1999
are,34540000,2000
are,40450000,2001
are,39050000,2002
are,40310000,2003
are,41660000,2004
are,43010000,2005
are,44140000,2006
are,45400000,2007
are,45220000,2008
gbr,9415000,1970
gbr,15650000,1971
gbr,22580000,1972
gbr,24510000,1973
gbr,29560000,1974
gbr,30780000,1975
gbr,32600000,1976
gbr,34060000,1977
gbr,32620000,1978
gbr,32940000,1979
gbr,31310000,1980
gbr,31240000,1981
gbr,31750000,1982
gbr,32740000,1983
gbr,32010000,1984
gbr,35710000,1985
gbr,37540000,1986
gbr,39310000,1987
gbr,37850000,1988
gbr,37070000,1989
gbr,40930000,1990
gbr,45570000,1991
gbr,46340000,1992
gbr,54490000,1993
gbr,58170000,1994
gbr,63730000,1995
gbr,75760000,1996
gbr,77300000,1997
gbr,81140000,1998
gbr,89180000,1999
gbr,97540000,2000
gbr,95240000,2001
gbr,93240000,2002
gbr,92580000,2003
gbr,86720000,2004
gbr,79350000,2005
gbr,71970000,2006
gbr,64870000,2007
gbr,62650000,2008
usa,546000000,1970
usa,561400000,1971
usa,559600000,1972
usa,559100000,1973
usa,534500000,1974
usa,494900000,1975
usa,490900000,1976
usa,493000000,1977
usa,491000000,1978
usa,505900000,1979
usa,501700000,1980
usa,496400000,1981
usa,461600000,1982
usa,418100000,1983
usa,453800000,1984
usa,427900000,1985
usa,416800000,1986
usa,431800000,1987
usa,443500000,1988
usa,449700000,1989
usa,461800000,1990
usa,459400000,1991
usa,463000000,1992
usa,468300000,1993
usa,487600000,1994
usa,480900000,1995
usa,487500000,1996
usa,488700000,1997
usa,494200000,1998
usa,487400000,1999
usa,495500000,2000
usa,508200000,2001
usa,489900000,2002
usa,496200000,2003
usa,481100000,2004
usa,468100000,2005
usa,479300000,2006
usa,494500000,2007
usa,533000000,2008
uzb,28170000,1985
uzb,31440000,1986
uzb,32420000,1987
uzb,32500000,1988
uzb,33480000,1989
uzb,33230000,1990
uzb,34110000,1991
uzb,34860000,1992
uzb,36680000,1993
uzb,38430000,1994
uzb,39550000,1995
uzb,39890000,1996
uzb,41740000,1997
uzb,44630000,1998
uzb,45270000,1999
uzb,45950000,2000
uzb,46760000,2001
uzb,46730000,2002
uzb,46820000,2003
uzb,48760000,2004
uzb,48610000,2005
uzb,49030000,2006
uzb,53190000,2007
uzb,55950000,2008
ven,6939000,1970
ven,6725000,1971
ven,6684000,1972
ven,8234000,1973
ven,8702000,1974
ven,8464000,1975
ven,10490000,1976
ven,11450000,1977
ven,11560000,1978
ven,12940000,1979
ven,13320000,1980
ven,13400000,1981
ven,14300000,1982
ven,14080000,1983
ven,15570000,1984
ven,15590000,1985
ven,17170000,1986
ven,16730000,1987
ven,17120000,1988
ven,17580000,1989
ven,19770000,1990
ven,19710000,1991
ven,19460000,1992
ven,21000000,1993
ven,22210000,1994
ven,24750000,1995
ven,26760000,1996
ven,27750000,1997
ven,29100000,1998
ven,24670000,1999
ven,25130000,2000
ven,26630000,2001
ven,25570000,2002
ven,22700000,2003
ven,25560000,2004
ven,24680000,2005
ven,28330000,2006
ven,28880000,2007
ven,28330000,2008
vnm,59000,1983
vnm,51000,1984
vnm,65000,1991
vnm,189000,1992
vnm,225000,1993
vnm,225000,1994
vnm,131000,1995
vnm,258000,1996
vnm,478000,1997
vnm,810000,1998
vnm,1170000,1999
vnm,1440000,2000
vnm,1800000,2001
vnm,2160000,2002
vnm,2136000,2003
vnm,3744000,2004
vnm,6201000,2005
vnm,6109000,2006
vnm,6372000,2007
vnm,7150000,2008
