geo,time,other_social_services_aid_given_percent_of_aid
che,2004,1.334
che,2005,2.233
che,2006,1.726
che,2007,1.934
gbr,1967,31.0
gbr,1968,14.24
gbr,1969,26.85
gbr,1970,25.25
gbr,1972,20.04
gbr,1973,1.459
gbr,1974,3.493
gbr,1975,5.225
gbr,1976,2.37
gbr,1977,2.64
gbr,1978,1.32
gbr,1979,1.653
gbr,1980,1.462
gbr,1981,3.248
gbr,1982,0.7864
gbr,1983,1.937
gbr,1984,15.18
gbr,1985,4.096
gbr,1986,3.478
gbr,1987,4.847
gbr,1988,8.302
gbr,1989,9.215
gbr,1990,1.072
gbr,1991,4.137
gbr,1992,0.09002
gbr,1993,2.115
gbr,1994,1.584
gbr,1995,7.271
gbr,1996,4.192
gbr,1997,5.054
gbr,1998,7.685
gbr,1999,6.862
gbr,2000,6.782
gbr,2001,6.448
gbr,2002,6.703
gbr,2003,5.317
gbr,2004,3.158
gbr,2005,3.208
gbr,2006,3.555
gbr,2007,4.201
usa,1967,6.593
usa,1968,9.886
usa,1969,17.07
usa,1970,30.03
usa,1973,1.221
usa,1975,9.796
usa,1976,2.319
usa,1978,5.373
usa,1979,1.513
usa,1980,4.231
usa,1981,7.717
usa,1982,7.418
usa,1983,11.37
usa,1984,7.331
usa,1985,15.01
usa,1986,13.55
usa,1987,3.615
usa,1988,7.488
usa,1989,9.353
usa,1990,3.706
usa,1991,3.859
usa,1992,3.859
usa,1993,3.859
usa,1994,10.14
usa,1995,12.28
usa,1996,12.29
usa,1997,13.03
usa,1998,12.87
usa,1999,17.65
usa,2000,27.55
usa,2001,19.11
usa,2002,22.57
usa,2003,13.96
usa,2004,7.398
usa,2005,11.73
usa,2006,14.94
usa,2007,6.532
