gnipercapita_ppp_current_international,geo,time
29790,cyp,2008
30750,cyp,2009
30910,cyp,2010
11780,cze,1992
11900,cze,1993
12460,cze,1994
13420,cze,1995
14170,cze,1996
14270,cze,1997
14270,cze,1998
14540,cze,1999
15280,cze,2000
16340,cze,2001
16920,cze,2002
18100,cze,2003
19110,cze,2004
20370,cze,2005
22070,cze,2006
23610,cze,2007
24670,cze,2008
23910,cze,2009
23550,cze,2010
24280,cze,2011
9920,dnk,1980
10660,dnk,1981
11660,dnk,1982
12480,dnk,1983
13430,dnk,1984
14370,dnk,1985
15440,dnk,1986
15980,dnk,1987
16470,dnk,1988
17120,dnk,1989
18000,dnk,1990
18820,dnk,1991
19660,dnk,1992
20140,dnk,1993
21650,dnk,1994
22750,dnk,1995
23760,dnk,1996
24920,dnk,1997
25850,dnk,1998
26690,dnk,1999
28210,dnk,2000
29010,dnk,2001
30390,dnk,2002
30240,dnk,2003
32430,dnk,2004
33660,dnk,2005
36720,dnk,2006
38120,dnk,2007
40460,dnk,2008
38910,dnk,2009
41120,dnk,2010
42300,dnk,2011
1970,dji,1991
1970,dji,1992
1860,dji,1993
1830,dji,1994
1770,dji,1995
1670,dji,1996
1620,dji,1997
1590,dji,1998
1600,dji,1999
1600,dji,2000
1620,dji,2001
1660,dji,2002
1810,dji,2003
1930,dji,2004
2010,dji,2005
2170,dji,2006
2290,dji,2007
2400,dji,2008
2450,dji,2009
1920,dma,1980
2360,dma,1981
2600,dma,1982
2770,dma,1983
3000,dma,1984
3060,dma,1985
3480,dma,1986
3830,dma,1987
4370,dma,1988
4480,dma,1989
5000,dma,1990
5140,dma,1991
5370,dma,1992
5600,dma,1993
5670,dma,1994
5860,dma,1995
6010,dma,1996
6270,dma,1997
6850,dma,1998
6750,dma,1999
6600,dma,2000
7100,dma,2001
7030,dma,2002
7780,dma,2003
8180,dma,2004
8530,dma,2005
9650,dma,2006
10270,dma,2007
11440,dma,2008
11650,dma,2009
11960,dma,2010
12460,dma,2011
1740,dom,1980
1920,dom,1981
2050,dom,1982
2170,dom,1983
2230,dom,1984
2140,dom,1985
2270,dom,1986
2490,dom,1987
2550,dom,1988
2740,dom,1989
2650,dom,1990
2730,dom,1991
3010,dom,1992
3190,dom,1993
3290,dom,1994
3490,dom,1995
3760,dom,1996
4070,dom,1997
4340,dom,1998
4610,dom,1999
4910,dom,2000
5030,dom,2001
5330,dom,2002
5220,dom,2003
5260,dom,2004
6020,dom,2005
6810,dom,2006
7510,dom,2007
8060,dom,2008
8330,dom,2009
8990,dom,2010
9490,dom,2011
2620,ecu,1980
2870,ecu,1981
2890,ecu,1982
2840,ecu,1983
2940,ecu,1984
2990,ecu,1985
3080,ecu,1986
2970,ecu,1987
3220,ecu,1988
3290,ecu,1989
3450,ecu,1990
3750,ecu,1991
3890,ecu,1992
3990,ecu,1993
4210,ecu,1994
4320,ecu,1995
4420,ecu,1996
4630,ecu,1997
4690,ecu,1998
4260,ecu,1999
4350,ecu,2000
4740,ecu,2001
5030,ecu,2002
5210,ecu,2003
5700,ecu,2004
6190,ecu,2005
6630,ecu,2006
6860,ecu,2007
7530,ecu,2008
7530,ecu,2009
7850,ecu,2010
8310,ecu,2011
1070,egy,1980
1180,egy,1981
1350,egy,1982
1470,egy,1983
1580,egy,1984
1650,egy,1985
1670,egy,1986
1890,egy,1987
2030,egy,1988
2150,egy,1989
2280,egy,1990
2370,egy,1991
2490,egy,1992
2560,egy,1993
2700,egy,1994
2860,egy,1995
3020,egy,1996
3210,egy,1997
3330,egy,1998
3510,egy,1999
3710,egy,2000
3860,egy,2001
3910,egy,2002
4030,egy,2003
4230,egy,2004
4480,egy,2005
4890,egy,2006
5310,egy,2007
5710,egy,2008
5890,egy,2009
6030,egy,2010
6160,egy,2011
2040,slv,1980
1950,slv,1981
1900,slv,1982
1980,slv,1983
2050,slv,1984
2110,slv,1985
2140,slv,1986
2230,slv,1987
2320,slv,1988
2400,slv,1989
2600,slv,1990
2730,slv,1991
2980,slv,1992
3210,slv,1993
3440,slv,1994
3710,slv,1995
3810,slv,1996
3990,slv,1997
4170,slv,1998
4320,slv,1999
4500,slv,2000
4660,slv,2001
4810,slv,2002
4980,slv,2003
5190,slv,2004
5540,slv,2005
5950,slv,2006
6330,slv,2007
6560,slv,2008
6330,slv,2009
6460,slv,2010
6690,slv,2011
1300,gnq,1985
1230,gnq,1986
1280,gnq,1987
1310,gnq,1988
1290,gnq,1989
1350,gnq,1990
1330,gnq,1991
1500,gnq,1992
1610,gnq,1993
1560,gnq,1994
1790,gnq,1995
1920,gnq,1996
3450,gnq,1997
4380,gnq,1998
3280,gnq,1999
5430,gnq,2000
6140,gnq,2001
7860,gnq,2002
7730,gnq,2003
9950,gnq,2004
12600,gnq,2005
13700,gnq,2006
16240,gnq,2007
20950,gnq,2008
25960,gnq,2009
21980,gnq,2010
24110,gnq,2011
340,eri,1992
400,eri,1993
490,eri,1994
520,eri,1995
560,eri,1996
600,eri,1997
610,eri,1998
600,eri,1999
510,eri,2000
610,eri,2001
610,eri,2002
580,eri,2003
580,eri,2004
590,eri,2005
580,eri,2006
590,eri,2007
530,eri,2008
540,eri,2009
540,eri,2010
580,eri,2011
6340,est,1995
6970,est,1996
7790,est,1997
8360,est,1998
8650,est,1999
9560,est,2000
