geo,poverty_percent_people_below_2_a_day,time
hun,0.35,2007
ind,88.97,1978
ind,84.79,1983
ind,83.77,1988
ind,81.73,1994
ind,75.62,2005
ind,68.72,2010
idn,88.4,1984
idn,91.1,1987
idn,84.59,1990
idn,84.57,1993
idn,77.01,1996
idn,81.55,1999
idn,66.97,2002
idn,53.8,2005
idn,63.35,2006
idn,56.13,2007
idn,54.4,2008
idn,52.68,2009
idn,46.12,2010
irn,13.83,1986
irn,13.12,1990
irn,8.24,1994
irn,8.3,1998
irn,8.03,2005
irq,21.41,2007
jam,13.4,1988
jam,13.07,1990
jam,21.31,1993
jam,8.75,1996
jam,6.27,1999
jam,8.5,2002
jam,5.44,2004
jor,1.72,1987
jor,14.87,1992
jor,11.5,1997
jor,11.03,2003
jor,3.46,2006
jor,2.11,2008
jor,1.59,2010
kaz,0.06,1988
kaz,17.57,1993
kaz,18.76,1996
kaz,30.3,2001
kaz,21.53,2002
kaz,17.17,2003
kaz,13.92,2004
kaz,3.32,2006
kaz,1.48,2007
kaz,0.89,2008
kaz,1.12,2009
ken,59.32,1992
ken,53.65,1994
ken,42.7,1997
ken,67.21,2005
kgz,0.0,1988
kgz,30.09,1993
kgz,60.77,1998
kgz,66.65,2002
kgz,38.81,2004
kgz,45.8,2005
kgz,32.11,2006
kgz,29.4,2007
kgz,20.74,2008
kgz,21.69,2009
lao,84.82,1992
lao,79.9,1997
lao,76.85,2002
lao,66.0,2008
lva,0.04,1988
lva,0.15,1993
lva,2.32,1995
lva,3.85,1996
lva,3.81,1997
lva,4.5,1998
lva,0.0,2002
lva,1.44,2003
lva,1.04,2004
lva,0.47,2007
lva,0.37,2008
lso,62.23,1987
lso,70.88,1993
lso,59.71,1994
lso,62.25,2003
lbr,94.88,2007
ltu,0.14,1988
ltu,16.92,1993
ltu,0.99,1996
ltu,1.37,1998
ltu,1.28,2000
ltu,1.9,2001
ltu,1.83,2002
ltu,1.55,2004
ltu,0.44,2008
mkd,3.86,1998
mkd,11.51,2000
mkd,3.1,2002
mkd,3.17,2003
mkd,3.14,2004
mkd,3.73,2005
mkd,4.62,2006
mkd,4.26,2008
mkd,5.91,2009
mdg,94.3,1980
mdg,88.43,1993
mdg,89.38,1997
mdg,93.13,1999
mdg,88.75,2001
mdg,89.61,2005
mdg,92.62,2010
mwi,93.5,1998
mwi,90.45,2004
mys,12.31,1984
mys,11.91,1987
mys,11.09,1989
mys,11.21,1992
mys,10.97,1995
mys,6.84,1997
mys,7.81,2004
mys,2.93,2007
mys,2.27,2009
mli,93.86,1994
mli,82.04,2001
mli,77.1,2006
mli,78.66,2010
mrt,64.62,1987
mrt,68.59,1993
mrt,48.3,1996
mrt,44.13,2000
mrt,52.59,2004
mrt,47.69,2008
mex,28.46,1984
mex,6.55,1989
mex,15.18,1992
mex,13.95,1994
mex,20.14,1996
mex,20.09,1998
mex,15.11,2000
mex,13.47,2002
mex,7.6,2004
mex,4.94,2006
mex,5.19,2008
fsm,44.69,2000
mda,50.04,1988
mda,39.15,1992
mda,36.79,1997
mda,52.22,1998
mda,66.96,1999
mda,54.33,2001
mda,40.94,2002
mda,27.75,2003
mda,28.82,2004
