geo,sulfur_emissions_per_person_kg,time
arg,12.42,1966
arg,10.85,1967
arg,8.943,1968
arg,10.11,1969
arg,9.445,1970
arg,10.28,1971
arg,8.074,1972
arg,9.604,1973
arg,11.3,1974
arg,10.02,1975
arg,10.24,1976
arg,11.06,1977
arg,8.743,1978
arg,9.212,1979
arg,9.541,1980
arg,7.943,1981
arg,6.831,1982
arg,4.997,1983
arg,5.052,1984
arg,5.157,1985
arg,5.7,1986
arg,5.746,1987
arg,6.194,1988
arg,5.91,1989
arg,5.245,1990
arg,5.044,1991
arg,5.166,1992
arg,4.903,1993
arg,4.982,1994
arg,4.685,1995
arg,4.87,1996
arg,5.311,1997
arg,5.364,1998
arg,5.546,1999
arg,5.34,2000
arm,0.00763,1850
arm,0.008461,1851
arm,0.01672,1852
arm,0.02469,1853
arm,0.03241,1854
arm,0.0401,1855
arm,0.04822,1856
arm,0.05609,1857
arm,0.06289,1858
arm,0.07017,1859
arm,0.07708,1860
arm,0.08999,1861
arm,0.09005,1862
arm,0.09429,1863
arm,0.1017,1864
arm,0.1023,1865
arm,0.1131,1866
arm,0.1273,1867
arm,0.1043,1868
arm,0.1423,1869
arm,0.1553,1870
arm,0.2078,1871
arm,0.2138,1872
arm,0.1995,1873
arm,0.2331,1874
arm,0.2749,1875
arm,0.3326,1876
arm,0.329,1877
arm,0.4332,1878
arm,0.4415,1879
arm,0.5107,1880
arm,0.5315,1881
arm,0.56,1882
arm,0.6288,1883
arm,0.6108,1884
arm,0.6491,1885
arm,0.6707,1886
arm,0.6559,1887
arm,0.7468,1888
arm,0.8701,1889
arm,0.8388,1890
arm,0.8841,1891
arm,0.941,1892
arm,1.059,1893
arm,1.154,1894
arm,1.255,1895
arm,1.287,1896
arm,1.471,1897
arm,1.639,1898
arm,1.914,1899
arm,2.156,1900
arm,2.165,1901
arm,2.102,1902
arm,2.191,1903
arm,2.38,1904
arm,2.16,1905
arm,2.443,1906
arm,2.791,1907
arm,2.819,1908
arm,2.905,1909
arm,2.806,1910
arm,3.042,1911
arm,3.292,1912
arm,3.787,1913
arm,3.138,1914
arm,2.789,1915
arm,3.045,1916
arm,2.727,1917
arm,1.102,1918
arm,0.8376,1919
arm,0.7591,1920
arm,0.8265,1921
arm,1.018,1922
arm,1.127,1923
arm,1.403,1924
arm,1.426,1925
arm,2.138,1926
arm,2.689,1927
arm,2.975,1928
arm,3.384,1929
arm,4.102,1930
arm,4.848,1931
arm,5.304,1932
arm,6.087,1933
arm,7.404,1934
arm,8.53,1935
arm,9.874,1936
arm,10.09,1937
arm,10.66,1938
arm,11.6,1939
arm,12.98,1940
arm,12.72,1941
arm,12.47,1942
arm,12.23,1943
arm,11.97,1944
arm,11.73,1945
arm,12.8,1946
arm,14.13,1947
arm,15.83,1948
arm,17.51,1949
arm,19.16,1950
arm,20.27,1951
arm,21.02,1952
arm,21.58,1953
arm,22.66,1954
arm,24.41,1955
arm,25.72,1956
arm,26.48,1957
arm,26.6,1958
arm,26.13,1959
arm,25.46,1960
arm,24.28,1961
arm,24.1,1962
arm,23.82,1963
arm,23.85,1964
arm,24.15,1965
arm,23.9,1966
arm,23.82,1967
arm,23.31,1968
arm,23.22,1969
arm,23.39,1970
arm,23.34,1971
arm,23.36,1972
arm,23.41,1973
arm,23.7,1974
arm,23.91,1975
arm,23.53,1976
arm,23.6,1977
arm,23.36,1978
arm,22.83,1979
arm,22.63,1980
arm,17.48,1981
arm,15.74,1982
arm,16.86,1983
arm,14.58,1984
arm,14.85,1985
arm,16.25,1986
arm,15.94,1987
arm,14.81,1988
arm,9.426,1989
arm,10.66,1990
arm,8.655,1991
arm,6.527,1992
arm,0.851,1993
arm,0.6718,1994
