children_out_of_school_primary,geo,time
33310,jam,1976
30040,jam,1977
14880,jam,1979
13720,jam,1980
13040,jam,1981
7956,jam,1983
11300,jam,1984
12880,jam,1985
11020,jam,1986
3198,jam,1987
12770,jam,1988
1222,jam,1989
3624,jam,1990
9223,jam,1991
19610,jam,1993
30160,jam,1999
20840,jam,2000
23680,jam,2001
26360,jam,2002
32120,jam,2003
29050,jam,2004
38590,jam,2005
67590,jam,2007
60820,jam,2008
60110,jam,2009
59450,jam,2010
8345,jpn,1971
49760,jpn,1972
108300,jpn,1973
264300,jpn,1974
129800,jpn,1975
9915,jpn,1976
11380,jpn,1977
9344,jpn,1978
5867,jpn,1979
7250,jpn,1980
5044,jpn,1981
22440,jpn,1982
74830,jpn,1983
56290,jpn,1984
9682,jpn,1985
9644,jpn,1986
8141,jpn,1987
6285,jpn,1988
3517,jpn,1989
2873,jpn,1990
3243,jpn,1991
2752,jpn,1992
3524,jpn,1994
3394,jpn,1995
290,jpn,1998
506,jpn,1999
2529,jpn,2000
1836,jpn,2001
2447,jpn,2002
1433,jpn,2003
3883,jpn,2004
1814,jpn,2005
441,jpn,2006
2031,jpn,2007
2609,jpn,2008
1551,jpn,2009
1979,jpn,2010
26780,jor,1972
17550,jor,1973
17030,jor,1974
16470,jor,1975
14910,jor,1976
12600,jor,1977
9057,jor,1978
6992,jor,1979
19710,jor,1980
30790,jor,1981
33840,jor,1982
48530,jor,1983
51500,jor,1984
48380,jor,1985
57470,jor,1999
40030,jor,2000
5159,jor,2002
6463,jor,2003
8813,jor,2004
6173,jor,2005
8665,jor,2006
30180,jor,2007
51420,jor,2008
82700,jor,2010
75050,kaz,2000
33290,kaz,2001
16370,kaz,2002
16490,kaz,2003
14620,kaz,2004
14650,kaz,2005
15450,kaz,2006
10860,kaz,2007
9292,kaz,2008
6491,kaz,2009
2738,kaz,2010
4316,kaz,2011
2241000,ken,1998
1980000,ken,1999
1814000,ken,2000
2017000,ken,2002
1368000,ken,2003
1436000,ken,2004
1361000,ken,2005
1398000,ken,2006
771300,ken,2007
1051000,ken,2008
1010000,ken,2009
466,kir,1979
150,kir,1985
32,kir,1986
559,kir,1987
366,kir,1989
45,kir,1991
102,kir,1992
262,kir,1993
204,kir,1994
257,kir,1995
231,kir,1996
76,kir,1997
116,kir,1999
139,kir,2000
81,kir,2002
188200,kor,1971
97380,kor,1972
150500,kor,1973
191000,kor,1974
195600,kor,1975
138000,kor,1976
178800,kor,1977
154200,kor,1978
61710,kor,1979
6914,kor,1980
3074,kor,1981
7535,kor,1982
9767,kor,1983
41630,kor,1984
73760,kor,1985
70870,kor,1986
18490,kor,1987
19240,kor,1988
23570,kor,1989
28880,kor,1990
27540,kor,1991
29750,kor,1992
32590,kor,1993
38080,kor,1994
47450,kor,1995
45270,kor,1996
39050,kor,1997
46320,kor,1998
25610,kor,1999
9888,kor,2000
19000,kor,2001
27460,kor,2002
10140,kor,2003
22740,kor,2004
25120,kor,2005
24670,kor,2006
23510,kor,2007
19920,kor,2008
14350,kor,2009
35310,kor,2010
33830,kwt,1971
34580,kwt,1972
33780,kwt,1973
34120,kwt,1974
33790,kwt,1975
33030,kwt,1976
28850,kwt,1977
18700,kwt,1978
21250,kwt,1979
23170,kwt,1980
20810,kwt,1981
20940,kwt,1982
19810,kwt,1983
20580,kwt,1984
19970,kwt,1985
20280,kwt,1986
29410,kwt,1987
33000,kwt,1988
104100,kwt,1992
46610,kwt,1994
7710,kwt,1996
9968,kwt,1997
2438,kwt,1998
2462,kwt,1999
5893,kwt,2000
5294,kwt,2001
241,kwt,2002
3050,kwt,2003
3314,kwt,2004
1859,kwt,2005
4331,kwt,2007
3535,kwt,2008
37810,kgz,1996
34380,kgz,1999
37340,kgz,2000
33260,kgz,2001
32260,kgz,2002
31700,kgz,2003
9539,kgz,2004
19990,kgz,2005
15690,kgz,2006
21240,kgz,2007
23310,kgz,2008
24310,kgz,2009
18490,kgz,2010
15260,kgz,2011
179300,lao,1988
189600,lao,1990
240200,lao,1992
217200,lao,1993
199800,lao,1994
198800,lao,1996
186800,lao,1997
167900,lao,1998
167900,lao,1999
165600,lao,2000
173500,lao,2001
167700,lao,2002
149000,lao,2003
144900,lao,2004
135400,lao,2005
123200,lao,2006
102600,lao,2007
82220,lao,2008
61670,lao,2009
23220,lao,2010
18920,lao,2011
25230,lva,1995
25980,lva,1996
21330,lva,1997
17410,lva,1998
9127,lva,1999
6752,lva,2008
6235,lva,2009
4697,lva,2010
32110,lbn,1974
101700,lbn,1997
35700,lbn,1998
21770,lbn,1999
57870,lbn,2006
57320,lbn,2007
55420,lbn,2008
47160,lbn,2009
29850,lbn,2010
12460,lbn,2011
78900,lso,1970
88580,lso,1971
89280,lso,1972
90470,lso,1973
75380,lso,1974
76400,lso,1976
76010,lso,1977
93350,lso,1978
92760,lso,1979
94160,lso,1980
96130,lso,1981
87820,lso,1982
91780,lso,1983
91480,lso,1984
86510,lso,1985
88640,lso,1986
86390,lso,1987
85260,lso,1988
89840,lso,1989
95550,lso,1990
93520,lso,1991
95340,lso,1992
106100,lso,1993
105200,lso,1994
112000,lso,1995
113600,lso,1996
145800,lso,1998
159900,lso,1999
87690,lso,2000
88790,lso,2001
88420,lso,2002
88790,lso,2003
97790,lso,2004
100900,lso,2005
111600,lso,2006
110100,lso,2007
106000,lso,2008
105200,lso,2009
98870,lso,2010
225500,lbr,1999
324600,lbr,2006
300900,lbr,2007
317700,lbr,2008
351900,lbr,2009
385700,lbr,2011
48460,lby,1971
37760,lby,1972
28020,lby,1973
9692,lby,1978
16,lie,2003
12,lie,2004
24,lie,2006
23,lie,2007
16,lie,2008
30,lie,2009
16,lie,2010
9081,ltu,1998
7180,ltu,1999
4210,ltu,2000
3662,ltu,2001
4195,ltu,2002
9678,ltu,2003
14510,ltu,2004
15150,ltu,2005
12290,ltu,2006
8390,ltu,2007
5485,ltu,2008
4415,ltu,2009
5495,ltu,2010
2667,lux,1972
2956,lux,1973
2179,lux,1974
2380,lux,1975
2374,lux,1976
2719,lux,1977
2911,lux,1978
5936,lux,1981
4195,lux,1982
4351,lux,1983
4573,lux,1984
4487,lux,1986
5290,lux,1987
3757,lux,1988
982,lux,1999
973,lux,2000
1023,lux,2001
901,lux,2002
1240,lux,2003
1005,lux,2004
631,lux,2005
596,lux,2006
748,lux,2007
1141,lux,2008
1951,lux,2010
4738,mac,1990
4172,mac,1992
6721,mac,1999
6403,mac,2000
6730,mac,2001
5738,mac,2002
5102,mac,2003
4463,mac,2004
4091,mac,2005
4050,mac,2006
3777,mac,2007
3853,mac,2008
4355,mac,2009
4710,mac,2010
4884,mac,2011
6055,mkd,1998
6317,mkd,1999
2769,mkd,2000
2321,mkd,2001
4128,mkd,2002
5989,mkd,2003
5953,mkd,2004
6286,mkd,2005
7766,mkd,2006
8154,mkd,2007
10330,mkd,2008
7730,mkd,2009
2212,mkd,2010
354900,mdg,1972
467200,mdg,1989
468400,mdg,1990
429000,mdg,1991
725200,mdg,1995
744300,mdg,1996
714700,mdg,1999
705300,mdg,2000
693900,mdg,2001
697700,mdg,2002
485300,mdg,2003
17330,mwi,1999
22750,mwi,2003
53530,mwi,2004
53210,mwi,2005
66020,mwi,2006
134600,mwi,2007
69890,mwi,2008
62280,mwi,2009
312400,mys,1970
328300,mys,1971
313000,mys,1972
109100,mys,1994
148500,mys,1999
67390,mys,2000
99740,mys,2001
156100,mys,2002
161500,mys,2003
113400,mys,2004
136600,mys,2005
975,mdv,1998
1273,mdv,1999
782,mdv,2000
1248,mdv,2001
1272,mdv,2002
127,mdv,2004
979,mdv,2005
882,mdv,2006
1253,mdv,2007
1178,mdv,2008
1330,mdv,2009
1388,mdv,2010
740000,mli,1971
749400,mli,1972
765800,mli,1973
764700,mli,1974
820000,mli,1977
1038000,mli,1999
974500,mli,2002
1002000,mli,2003
1033000,mli,2004
965100,mli,2005
969500,mli,2006
958100,mli,2007
860700,mli,2009
858300,mli,2010
849700,mli,2011
5467,mlt,1971
5111,mlt,1972
5080,mlt,1973
4371,mlt,1974
3250,mlt,1975
1608,mlt,1976
80,mlt,1977
390,mlt,1978
409,mlt,1980
488,mlt,1981
227,mlt,1982
1306,mlt,1983
1577,mlt,1984
1128,mlt,1985
1850,mlt,1986
2761,mlt,1987
3112,mlt,1988
2980,mlt,1989
2678,mlt,1990
2576,mlt,1991
2738,mlt,1992
2898,mlt,1993
3640,mlt,1994
3618,mlt,1995
3224,mlt,1996
2978,mlt,1997
2543,mlt,1998
2244,mlt,1999
2130,mlt,2000
2299,mlt,2001
2453,mlt,2002
2470,mlt,2003
2258,mlt,2004
2966,mlt,2005
2393,mlt,2007
2188,mlt,2008
2875,mlt,2009
1529,mlt,2010
137,mhl,2002
50,mhl,2011
199400,mrt,1985
189900,mrt,1994
170400,mrt,1995
161500,mrt,1996
155100,mrt,1998
161200,mrt,1999
164000,mrt,2000
152500,mrt,2001
150000,mrt,2002
147500,mrt,2003
117500,mrt,2004
125200,mrt,2005
113400,mrt,2006
110200,mrt,2007
129300,mrt,2008
134500,mrt,2009
133500,mrt,2010
37650,mus,1972
35410,mus,1973
31870,mus,1974
27470,mus,1975
26690,mus,1976
20500,mus,1977
21570,mus,1978
22650,mus,1979
18620,mus,1980
12440,mus,1981
5680,mus,1982
5604,mus,1983
7232,mus,1984
5802,mus,1985
11080,mus,1986
6880,mus,1987
3288,mus,1988
896,mus,1989
625,mus,1990
1342,mus,1991
6141,mus,1993
10900,mus,1994
15200,mus,1995
15350,mus,1996
14700,mus,1997
12140,mus,1998
10770,mus,1999
9940,mus,2000
10580,mus,2001
8762,mus,2002
8940,mus,2003
9984,mus,2004
8871,mus,2005
8140,mus,2006
7698,mus,2007
7682,mus,2008
8034,mus,2009
7797,mus,2010
7143,mus,2011
1922000,mex,1971
1256000,mex,1977
149500,mex,1985
0,mex,1986
0,mex,1987
12580,mex,1988
309500,mex,1989
77970,mex,1990
116700,mex,1991
49420,mex,1992
39490,mex,1993
63310,mex,1994
57480,mex,1995
79820,mex,1996
113900,mex,1997
105200,mex,1998
59310,mex,1999
73700,mex,2000
80050,mex,2001
69620,mex,2002
63310,mex,2003
59960,mex,2004
59230,mex,2005
46160,mex,2006
75230,mex,2007
61720,mex,2008
49790,mex,2009
58270,mex,2010
18510,mda,2000
10460,mda,2001
9108,mda,2002
7181,mda,2003
6717,mda,2004
12470,mda,2005
16570,mda,2006
16980,mda,2007
15390,mda,2008
15480,mda,2009
14940,mda,2010
13940,mda,2011
4783,mng,1980
9261,mng,1983
8656,mng,1987
35190,mng,1995
30300,mng,1996
40100,mng,1997
31920,mng,1998
27320,mng,1999
21170,mng,2000
16580,mng,2001
17630,mng,2002
32890,mng,2003
17160,mng,2004
24090,mng,2005
13270,mng,2006
14810,mng,2007
7731,mng,2008
6673,mng,2009
2122,mng,2010
2671,mng,2011
884,mne,2003
682,mne,2005
510,mne,2006
1784,mne,2007
2240,mne,2008
1298,mne,2011
1391000,mar,1971
1417000,mar,1972
1446000,mar,1973
1406000,mar,1975
1335000,mar,1976
1220000,mar,1977
1139000,mar,1978
1099000,mar,1979
1061000,mar,1980
1017000,mar,1981
1068000,mar,1982
1051000,mar,1983
1011000,mar,1984
1063000,mar,1985
1118000,mar,1986
1188000,mar,1987
1260000,mar,1988
1357000,mar,1989
1371000,mar,1990
1686000,mar,1991
1721000,mar,1992
1680000,mar,1993
1603000,mar,1994
1506000,mar,1995
1418000,mar,1996
1357000,mar,1997
1371000,mar,1998
1157000,mar,1999
941900,mar,2000
757100,mar,2001
564800,mar,2002
498200,mar,2003
497900,mar,2004
461100,mar,2005
419200,mar,2006
380000,mar,2007
351500,mar,2008
344700,mar,2009
207700,mar,2010
133600,mar,2011
924800,moz,1973
827400,moz,1979
849900,moz,1980
899600,moz,1981
935300,moz,1982
736600,moz,1983
738900,moz,1985
773200,moz,1986
1032000,moz,1987
1123000,moz,1988
1136000,moz,1989
1122000,moz,1990
1154000,moz,1991
1195000,moz,1992
1231000,moz,1993
1227000,moz,1994
1204000,moz,1995
1681000,moz,1998
1598000,moz,1999
1498000,moz,2000
1379000,moz,2001
1566000,moz,2002
1126000,moz,2004
938000,moz,2005
791000,moz,2006
589300,moz,2007
459400,moz,2008
422000,moz,2009
366700,moz,2010
482100,moz,2011
1263000,mmr,1971
1020000,mmr,1973
1412000,mmr,1974
1342000,mmr,1978
54220,nam,1989
54880,nam,1990
48210,nam,1992
43630,nam,1994
42370,nam,1995
45410,nam,1996
38770,nam,1998
39090,nam,1999
35270,nam,2000
33430,nam,2001
29580,nam,2002
31230,nam,2003
41330,nam,2004
42810,nam,2005
49200,nam,2006
45960,nam,2007
50040,nam,2008
51670,nam,2009
52850,nam,2010
910700,npl,1983
904800,npl,1984
835500,npl,1988
1094000,npl,1999
926500,npl,2000
94880,nld,1971
102400,nld,1972
110500,nld,1973
122500,nld,1974
127400,nld,1975
118000,nld,1976
115700,nld,1977
112500,nld,1978
109100,nld,1979
112500,nld,1980
124500,nld,1981
153400,nld,1982
175600,nld,1983
183700,nld,1984
177800,nld,1985
101900,nld,1986
70210,nld,1987
45780,nld,1988
35790,nld,1989
37390,nld,1990
47580,nld,1991
60480,nld,1992
68620,nld,1993
9329,nld,1994
4434,nld,1995
3238,nld,1996
3574,nld,1997
7408,nld,1999
6916,nld,2000
7151,nld,2001
7377,nld,2002
18610,nld,2003
26360,nld,2004
25660,nld,2005
17230,nld,2006
6746,nld,2007
4750,nld,2008
2770,nld,2009
266,nld,2010
461,nzl,1970
1202,nzl,1971
61,nzl,1972
3303,nzl,1973
2830,nzl,1974
928,nzl,1975
288,nzl,1976
445,nzl,1977
865,nzl,1978
959,nzl,1979
807,nzl,1980
1377,nzl,1981
2224,nzl,1982
4108,nzl,1983
916,nzl,1984
789,nzl,1985
350,nzl,1986
148,nzl,1987
512,nzl,1988
401,nzl,1989
1403,nzl,1990
3519,nzl,1991
8109,nzl,1992
9841,nzl,1994
5446,nzl,1995
3925,nzl,1996
850,nzl,1997
1385,nzl,1998
1689,nzl,1999
3650,nzl,2000
9721,nzl,2001
3816,nzl,2002
6721,nzl,2003
5851,nzl,2004
3178,nzl,2005
2989,nzl,2006
1781,nzl,2007
1390,nzl,2008
1693,nzl,2009
1833,nzl,2010
200800,nic,1970
191600,nic,1971
196000,nic,1972
197000,nic,1973
202100,nic,1974
198300,nic,1975
197800,nic,1976
208500,nic,1977
225900,nic,1978
194300,nic,1980
215500,nic,1982
219500,nic,1983
235400,nic,1984
215600,nic,1985
228400,nic,1986
223600,nic,1987
228400,nic,1988
246900,nic,1989
235700,nic,1990
222700,nic,1991
202000,nic,1992
199400,nic,1993
194300,nic,1994
209000,nic,1995
213700,nic,1996
152700,nic,1999
138700,nic,2000
118000,nic,2001
71320,nic,2002
67360,nic,2003
53250,nic,2004
45550,nic,2005
58370,nic,2006
55660,nic,2007
44710,nic,2008
48170,nic,2010
682200,ner,1973
704400,ner,1974
736600,ner,1977
753300,ner,1978
801200,ner,1981
864500,ner,1986
945700,ner,1989
973300,ner,1990
992200,ner,1991
1044000,ner,1992
1188000,ner,1997
1254000,ner,1999
1295000,ner,2000
1279000,ner,2001
1256000,ner,2002
1230000,ner,2003
1205000,ner,2004
1249000,ner,2005
1259000,ner,2006
1267000,ner,2007
1221000,ner,2008
1162000,ner,2009
1086000,ner,2010
978700,ner,2011
7444000,nga,1999
6941000,nga,2000
7123000,nga,2003
7094000,nga,2004
7133000,nga,2005
7150000,nga,2006
7974000,nga,2007
9687000,nga,2008
10290000,nga,2009
10540000,nga,2010
8873,nor,1971
6848,nor,1972
1190,nor,1976
1429,nor,1977
3941,nor,1978
5333,nor,1979
3169,nor,1980
6185,nor,1981
7035,nor,1982
9521,nor,1984
12780,nor,1985
12190,nor,1986
9727,nor,1987
7375,nor,1988
4009,nor,1989
641,nor,1990
105,nor,1991
973,nor,1992
4035,nor,1993
4929,nor,1994
5642,nor,1995
5494,nor,1996
2941,nor,1997
1010,nor,1998
892,nor,1999
1179,nor,2000
970,nor,2001
1083,nor,2002
624,nor,2003
2277,nor,2004
5999,nor,2005
5891,nor,2006
4664,nor,2007
4194,nor,2008
4407,nor,2009
3657,nor,2010
115100,omn,1973
112000,omn,1974
106200,omn,1975
109500,omn,1976
107100,omn,1978
107100,omn,1979
108800,omn,1981
110000,omn,1982
110900,omn,1983
104800,omn,1984
106500,omn,1985
99390,omn,1986
99830,omn,1987
107300,omn,1988
109500,omn,1989
110700,omn,1990
111600,omn,1991
111100,omn,1992
103800,omn,1993
102600,omn,1994
99450,omn,1995
90690,omn,1996
88490,omn,1997
79630,omn,1998
70060,omn,1999
61330,omn,2000
49960,omn,2001
42310,omn,2002
41500,omn,2003
5240,omn,2009
5371,omn,2010
6697,omn,2011
8399000,pak,2001
8508000,pak,2003
7510000,pak,2004
7158000,pak,2005
7619000,pak,2006
6603000,pak,2007
6266000,pak,2008
5710000,pak,2009
5125000,pak,2010
5436000,pak,2011
54,plw,1999
61,plw,2000
61480,pan,1970
42200,pan,1971
36960,pan,1972
32940,pan,1973
31500,pan,1975
34120,pan,1976
29240,pan,1978
33290,pan,1979
35580,pan,1980
38890,pan,1981
40390,pan,1982
41880,pan,1983
39900,pan,1984
35090,pan,1985
32740,pan,1986
28700,pan,1987
31340,pan,1988
27270,pan,1989
28450,pan,1990
13950,pan,1999
5002,pan,2000
3112,pan,2001
3814,pan,2002
4501,pan,2004
3642,pan,2005
3743,pan,2006
4077,pan,2007
4579,pan,2008
11690,pan,2009
5457,pan,2010
10230,pan,2011
243500,png,1989
256500,png,1990
86650,pry,1970
86170,pry,1972
85200,pry,1973
101500,pry,1975
98320,pry,1976
95400,pry,1977
88280,pry,1978
82670,pry,1979
72210,pry,1980
62960,pry,1981
41100,pry,1982
62200,pry,1983
65700,pry,1984
68000,pry,1985
75850,pry,1986
74470,pry,1987
68560,pry,1988
60980,pry,1989
53660,pry,1990
44810,pry,1991
41560,pry,1992
39860,pry,1993
71250,pry,1994
70230,pry,1995
42870,pry,1996
25890,pry,1999
17060,pry,2000
19280,pry,2001
34990,pry,2002
40760,pry,2003
44690,pry,2004
41430,pry,2005
56900,pry,2006
77960,pry,2007
100900,pry,2008
122600,pry,2009
136000,pry,2010
470700,per,1970
427000,per,1973
363700,per,1980
230400,per,1981
218500,per,1982
101900,per,1985
241700,per,1988
424400,per,1993
327200,per,1995
345700,per,1996
369400,per,1997
15850,per,1998
3834,per,1999
1174,per,2000
4664,per,2001
2835,per,2002
4744,per,2003
14150,per,2004
14120,per,2005
11670,per,2006
12060,per,2007
62390,per,2008
97460,per,2009
65930,per,2010
99610,per,2011
218900,phl,1976
210300,phl,1979
454200,phl,1981
465200,phl,1982
611600,phl,1983
697800,phl,1984
441700,phl,1985
531200,phl,1986
551100,phl,1987
406100,phl,1988
292100,phl,1989
215400,phl,1990
412900,phl,1991
486000,phl,1992
572700,phl,1993
728700,phl,1994
422200,phl,1996
823600,phl,1998
1156000,phl,1999
1101000,phl,2001
1066000,phl,2002
1043000,phl,2003
1128000,phl,2004
1243000,phl,2005
1469000,phl,2006
1525000,phl,2007
1516000,phl,2008
1460000,phl,2009
91120,pol,1999
84810,pol,2000
75900,pol,2001
81800,pol,2002
91950,pol,2003
104000,pol,2004
117500,pol,2005
119800,pol,2006
120100,pol,2007
116000,pol,2008
93740,pol,2009
72720,pol,2010
119000,prt,1973
118500,prt,1974
74250,prt,1976
63670,prt,1977
38710,prt,1978
42570,prt,1980
37060,prt,1981
20860,prt,1984
5544,prt,1985
3540,prt,1986
4825,prt,1987
2477,prt,1990
15360,prt,1991
2988,prt,1992
2044,prt,1993
7824,prt,1994
3933,prt,1995
3109,prt,1996
20230,prt,1999
19820,prt,2000
5123,prt,2001
4255,prt,2002
7841,prt,2003
6143,prt,2004
5248,prt,2005
6114,prt,2006
7849,prt,2007
10090,prt,2008
4202,prt,2009
4208,prt,2010
45650,pri,2010
52970,pri,2011
2443,qat,1971
1961,qat,1972
1882,qat,1973
2129,qat,1974
1734,qat,1976
1504,qat,1977
714,qat,1978
571,qat,1979
926,qat,1980
892,qat,1981
1183,qat,1982
1410,qat,1983
1554,qat,1984
2390,qat,1985
2243,qat,1986
3794,qat,1987
4636,qat,1988
5392,qat,1989
6600,qat,1990
9299,qat,1991
10320,qat,1992
10300,qat,1993
7092,qat,1994
252,qat,1998
2664,qat,1999
2316,qat,2000
3073,qat,2001
2116,qat,2002
4098,qat,2003
5364,qat,2004
3901,qat,2005
1968,qat,2006
2910,qat,2007
1979,qat,2008
1497,qat,2009
3311,qat,2010
4608,qat,2011
297000,rou,1993
187700,rou,1994
125000,rou,1995
111900,rou,1996
116700,rou,1997
66120,rou,1998
98750,rou,1999
88990,rou,2000
72640,rou,2001
34730,rou,2002
1239,rou,2003
8723,rou,2004
9261,rou,2005
45500,rou,2006
56230,rou,2007
65790,rou,2008
67510,rou,2009
109000,rou,2010
253200,rus,1994
496200,rus,1995
310300,rus,2006
286200,rus,2007
259700,rus,2008
220700,rus,2009
300300,rwa,1973
327400,rwa,1974
356400,rwa,1975
355600,rwa,1977
351400,rwa,1978
336700,rwa,2001
279000,rwa,2002
196100,rwa,2003
272800,rwa,2004
251800,rwa,2005
123300,rwa,2007
144600,rwa,2008
25710,rwa,2009
20210,rwa,2010
732,kna,1985
488,kna,1986
49,kna,1989
41,kna,1992
33,kna,2000
145,kna,2001
63,kna,2002
30,kna,2003
113,kna,2004
197,kna,2005
671,kna,2007
1163,kna,2008
517,kna,2009
937,kna,2010
843,kna,2011
1949,lca,1981
1468,lca,1982
297,lca,1983
387,lca,1984
0,lca,1985
144,lca,1986
1050,lca,1990
1188,lca,1991
1842,lca,1999
790,lca,2000
631,lca,2001
876,lca,2002
839,lca,2003
1318,lca,2004
1803,lca,2005
1188,lca,2006
1339,lca,2007
1544,lca,2008
1647,lca,2009
2124,lca,2010
2418,lca,2011
1238,vct,1984
545,vct,1986
97,vct,1994
253,vct,2000
248,vct,2001
122,vct,2002
82,vct,2003
92,vct,2004
260,vct,2005
230,vct,2007
346,vct,2008
234,vct,2009
209,vct,2010
916,wsm,1998
1643,wsm,1999
2201,wsm,2000
1285,wsm,2001
244,wsm,2002
266,wsm,2003
384,wsm,2004
794,wsm,2007
517,wsm,2009
1411,wsm,2010
1898,wsm,2011
135,smr,2009
88,smr,2010
498,stp,1983
307,stp,1984
0,stp,1987
28,stp,1988
464,stp,1990
2636,stp,1999
383,stp,2002
188,stp,2003
126,stp,2004
157,stp,2005
1262,stp,2007
693,stp,2008
550,stp,2009
354,stp,2010
796600,sau,1979
594800,sau,2005
538900,sau,2007
460400,sau,2008
318400,sau,2009
581600,sen,1978
582300,sen,1979
592600,sen,1980
598500,sen,1981
601600,sen,1982
603200,sen,1983
615800,sen,1984
628100,sen,1985
574100,sen,1986
600900,sen,1988
626100,sen,1989
650700,sen,1990
683000,sen,1992
707700,sen,1994
684500,sen,1996
642100,sen,1997
623200,sen,1998
659500,sen,1999
627000,sen,2000
616200,sen,2001
560500,sen,2003
507100,sen,2004
423300,sen,2005
449000,sen,2006
436300,sen,2007
402100,sen,2008
424100,sen,2009
429200,sen,2010
423200,sen,2011
1129,srb,2004
992,srb,2005
145,srb,2006
4878,srb,2007
5765,srb,2008
11310,srb,2009
16130,srb,2010
16790,srb,2011
1264,syc,1979
451,syc,1993
227,syc,1994
206,syc,1995
121,syc,1996
94,syc,1998
572,syc,1999
531,syc,2000
712,syc,2001
494,syc,2002
18,syc,2004
403,syc,2005
300500,sle,1983
5332,svn,1995
3894,svn,1996
3896,svn,1997
2057,svn,1998
3388,svn,1999
4223,svn,2000
3522,svn,2001
3009,svn,2002
2492,svn,2003
1275,svn,2004
2502,svn,2005
3710,svn,2006
4248,svn,2007
3561,svn,2008
3094,svn,2009
2746,svn,2010
16760,slb,2005
13480,slb,2006
13730,slb,2007
10280,slb,2010
559900,som,1976
634200,som,1977
732400,som,1978
811000,som,1979
878900,som,1980
1416000,zaf,1970
678100,zaf,1991
415700,zaf,1994
350900,zaf,1995
337700,zaf,1998
268600,zaf,1999
425500,zaf,2000
401700,zaf,2001
388100,zaf,2002
362500,zaf,2003
388900,zaf,2004
478000,zaf,2005
518900,zaf,2006
481800,zaf,2007
577400,zaf,2008
678500,zaf,2009
174700,esp,1971
140500,esp,1972
119400,esp,1973
15230,esp,1975
1125,esp,1976
29130,esp,1977
55300,esp,1978
52160,esp,1979
26970,esp,1980
26940,esp,1981
14360,esp,1983
7386,esp,1984
3594,esp,1985
117,esp,1986
17610,esp,1987
4975,esp,1988
1838,esp,1989
5315,esp,1990
6224,esp,1991
1739,esp,1992
1587,esp,1993
2496,esp,1994
1833,esp,1995
5776,esp,1996
3517,esp,1997
7495,esp,1999
1378,esp,2000
2661,esp,2001
2677,esp,2002
4694,esp,2003
5232,esp,2004
8128,esp,2005
6840,esp,2006
5443,esp,2007
4453,esp,2008
2865,esp,2009
6109,esp,2010
365300,lka,1977
38350,lka,1986
3329,lka,2001
2950,lka,2003
51310,lka,2004
2355,lka,2005
1734,lka,2006
14570,lka,2007
45620,lka,2008
106500,lka,2009
102100,lka,2010
2989000,sdn,1999
3059000,sdn,2000
2948000,sdn,2001
4957,sur,1977
3880,sur,1978
545,sur,1985
685,sur,1987
756,sur,1988
908,sur,1989
4187,sur,2001
4459,sur,2002
4185,sur,2003
4922,sur,2005
6493,sur,2006
9399,sur,2007
6979,sur,2008
5680,sur,2009
39240,swz,1970
40470,swz,1971
39950,swz,1972
38530,swz,1973
38870,swz,1974
37680,swz,1975
37890,swz,1976
37840,swz,1977
38740,swz,1978
38870,swz,1979
37510,swz,1980
34790,swz,1981
35860,swz,1982
38130,swz,1983
38710,swz,1984
37730,swz,1985
40940,swz,1986
41900,swz,1987
44400,swz,1988
47220,swz,1989
45600,swz,1990
47240,swz,1991
47890,swz,1992
52720,swz,1993
54020,swz,1994
54180,swz,1995
61100,swz,1996
64520,swz,1998
66580,swz,1999
63000,swz,2000
61590,swz,2001
61150,swz,2002
59880,swz,2003
53480,swz,2004
50720,swz,2005
37710,swz,2006
31730,swz,2007
37780,swz,2009
29970,swz,2010
3870,swe,1976
25550,swe,1982
10920,swe,1987
9201,swe,1988
6949,swe,1989
2574,swe,1990
1361,swe,1991
897,swe,1992
2187,swe,1993
628,swe,1994
7170,swe,1995
1278,swe,1996
1241,swe,1997
1719,swe,1999
4151,swe,2000
2010,swe,2001
3508,swe,2002
7179,swe,2003
21740,swe,2004
30210,swe,2005
30210,swe,2006
21410,swe,2007
8150,swe,2008
3932,swe,2009
3597,swe,2010
147700,che,1977
142600,che,1978
125200,che,1981
120800,che,1982
118200,che,1983
116700,che,1984
113300,che,1985
108300,che,1986
100500,che,1987
90910,che,1988
81010,che,1989
73420,che,1990
70530,che,1991
71800,che,1992
77040,che,1993
82710,che,1994
53050,che,1995
44350,che,1996
2593,che,1999
3570,che,2000
3996,che,2001
4028,che,2002
4064,che,2003
6238,che,2004
10350,che,2005
11240,che,2006
12080,che,2007
8625,che,2008
5564,che,2009
3888,che,2010
300400,syr,1971
220000,syr,1973
209300,syr,1974
214100,syr,1975
211100,syr,1976
205900,syr,1977
219800,syr,1978
229300,syr,1979
221600,syr,1980
226600,syr,1981
227400,syr,1982
224600,syr,1983
195200,syr,1984
169500,syr,1985
138200,syr,1986
90200,syr,1987
89690,syr,1988
86250,syr,1989
90860,syr,1990
97280,syr,1991
90290,syr,1992
91020,syr,1993
87030,syr,1994
87230,syr,1995
89860,syr,1996
86470,syr,1997
79630,syr,1998
87260,syr,1999
79110,syr,2000
62640,syr,2001
63880,syr,2002
34270,syr,2003
26020,syr,2004
23500,syr,2005
25590,syr,2006
27100,syr,2007
23030,syr,2008
18850,syr,2009
31300,tjk,1999
